game_id,rated,start_time,end_time,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
Qb0cJ4h1,TRUE,1504155178008,1504156065068,127,mate,white,8+0,toitles,1431,sgbarrys,1520,e4 e5 Nf3 f6 Bb5 Ne7 c3 Nec6 O-O Bd6 d4 O-O Be3 a6 Ba4 b5 Bb3+ Kh8 Nh4 a5 f4 exf4 Bxf4 Bxf4 Rxf4 a4 Bc2 d5 Qf3 dxe4 Bxe4 Ra6 Qh5 f5 Bxf5 Bxf5 Nxf5 Ne7 Nd2 Rxf5 Rxf5 Nxf5 Qxf5 Rf6 Qe5 Nc6 Qc5 Qd6 Qxb5 Qf4 Rf1 Qe3+ Kh1 Qxd2 Rxf6 gxf6 h3 Qe1+ Kh2 Ne7 Qc5 Kg7 Qxc7 a3 bxa3 Kg6 a4 Nd5 Qc4 Nxc3 Qg8+ Kh6 a5 Nxa2 a6 Qa5 Qf8+ Kg6 Qe8+ Kf5 Qd7+ Kf4 a7 Nb4 Qd6+ Kf5 Qc5+ Qxc5 dxc5 Nc6 a8=Q Ne5 c6 Nxc6 Qxc6 h5 Qf3+ Kg6 Qe4+ f5 Qe6+ Kg5 Qg8+ Kf4 Qg6 h4 Qh6+ Ke5 Qxh4 f4 Qe7+ Kf5 Qc5+ Kg6 h4 Kh6 h5 Kg7 Qg5+ Kh7 Qxf4 Kg7 h6+ Kh7 Qg5 Kh8 Qg7#,C40,King's Pawn Game: Damiano Defense,4
gg5qpgov,TRUE,1504154641182,1504155162680,96,resign,white,8+0,sgbarrys,1511,toitles,1439,d4 e6 e3 b6 c4 Bb7 Nf3 c5 Be2 cxd4 exd4 Nf6 O-O Be7 Nc3 d5 Bg5 dxc4 Bxf6 Bxf6 Bxc4 Nc6 Bb5 O-O d5 exd5 Qxd5 Qxd5 Nxd5 Na5 Nxf6+ gxf6 b4 Bxf3 gxf3 Nb7 Kh1 Kh8 Bc6 Rab8 a4 Nd8 Be4 Ne6 a5 bxa5 Rxa5 Rxb4 Rf5 Nd4 Rxf6 Ne6 Ra1 Ra8 Rxf7 a5 Bxa8 Nf4 Rf8+ Kg7 Rxf4 Rxf4 Rxa5 Kh6 Ra6+ Kg5 Kg2 Kh4 Rh6+ Kg5 Rxh7 Ra4 Be4 Kf4 Rh4+ Kg5 Rh8 Rb4 h4+ Kf4 Rf8+ Ke5 h5 Rb6 Rf5+ Ke6 Rg5 Kf7 Bg6+ Kg7 Be4+ Kh6 Rg6+ Rxg6+ Bxg6 Kg7,A40,Horwitz Defense,2
jE8qRfOQ,FALSE,1504379128843,1504382758215,78,outoftime,black,30+10,asoola2009,1512,mrcrusher,2085,d4 Nf6 Nf3 g6 c4 Bg7 Nc3 d6 e4 O-O Bg5 c5 dxc5 dxc5 Bd3 Nc6 O-O h6 Bh4 g5 Bg3 Nh5 Ne2 Nxg3 Nxg3 e6 Bc2 Qxd1 Rfxd1 Nd4 Nxd4 Bxd4 Rab1 f5 exf5 exf5 Ne2 Rd8 Nxd4 cxd4 Re1 d3 Ba4 d2 Red1 f4 b3 Bf5 Rb2 Rd4 Rbxd2 Rxd2 Rxd2 Kf7 h3 Rf8 Rd5 Be6 Rb5 b6 Re5 Kf6 Re1 Rd8 Bc6 Rd2 Be4 Rxa2 Bd5 Bf5 g4 fxg3 fxg3 Bxh3 b4 Rb2 b5 Kf5,E90,King's Indian Defense: Zinnowitz Variation,11
8TXODbts,TRUE,1504375469163,1504376171848,88,mate,black,10+0,amiriali,1507,mrcrusher,2084,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nf6 Nc3 d6 f4 Nc6 Be3 Be7 Bb5 Bd7 e5 dxe5 fxe5 Nxe5 Bf4 Ng6 Bg3 Bxb5 Ncxb5 O-O Qd2 a6 Nc7 Rc8 Ncxe6 fxe6 O-O-O e5 Ne6 Qxd2+ Rxd2 Ne4 Rd7 Nxg3 hxg3 Rf2 Rd2 Rxd2 Kxd2 Rc6 Nxg7 Kxg7 Re1 Bg5+ Ke2 Rxc2+ Kf3 Rxb2 a4 Rb4 Re4 a5 Rg4 Rxg4 Kxg4 Bd8 Kf3 b5 axb5 a4 Ke2 a3 Kd3 a2 Kc4 a1=Q Kd5 Qd4+ Kc6 Ne7+ Kb7 Qd5+ Ka6 Qa2+ Kb7 Qa5 g4 Qb6+ Ka8 Bc7 g5 Qb8#,B82,Sicilian Defense: Scheveningen Variation |  Matanovic Attack,11
QJVU7Kcg,TRUE,1504374710055,1504375460945,113,mate,white,10+0,mrcrusher,2082,amiriali,1509,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 O-O f6 d4 Be6 dxe5 fxe5 Nxe5 Qf6 Nf3 Bd6 e5 Bxe5 Nxe5 Qxe5 Re1 Qf6 Qe2 Kf7 Bg5 Qf5 Qe4 Re8 Qxf5+ Bxf5 Rxe8 Kxe8 Na3 b5 c3 h6 Re1+ Kf8 Bf4 c5 Bxc7 b4 cxb4 cxb4 Bd6+ Kf7 Bxb4 Nf6 Re7+ Kg6 Nc4 Rd8 Ne5+ Kh5 h3 Nd5 g4+ Bxg4 hxg4+ Kh4 Rb7 Kh3 f3 Kg3 Be1+ Kf4 Ng6+ Kxf3 Rxg7 Ne3 Nh4+ Kf4 Ng2+ Nxg2 Kxg2 Rd1 Bg3+ Ke4 Re7+ Kd3 Rd7+ Kc2 Rxd1 Kxd1 b4 Kc2 a4 Kc3 b5 axb5 axb5 Kc4 b6 Kc5 b7 Kc6 b8=Q Kd7 Qb7+ Ke6 Qe4+ Kf6 Bh4+ Kf7 Qe5 Kg6 Qf6+ Kh7 Qf7+ Kh8 Bf6#,C69,Ruy Lopez: Exchange Variation |  Gligoric Variation,10
jsSUUfbK,TRUE,1504282326258,1504282423055,21,resign,white,15+0,mrcrusher,2069,acamus66,2030,e4 c5 d4 cxd4 c3 dxc3 Nxc3 e6 Bc4 Nc6 Nf3 Bb4 O-O Nge7 Nb5 d6 a3 a6 axb4 Nxb4 Nxd6+,B21,Sicilian Defense: Smith-Morra Gambit Accepted |  Pin Defense,12
v2XDN50z,TRUE,1504467482117,1504467989182,20,resign,black,15+6,aquinas,2043,mike007,2104,c4 e5 Nc3 Nf6 e3 d6 Nge2 Be6 Qa4+ c6 d4 Nbd7 b3 a6 Ng3 b5 cxb5 axb5 Qb4 d5,A22,English Opening: King's English Variation |  Two Knights Variation,4
7hit8cPS,TRUE,1504397443952,1504398566902,60,resign,black,10+15,aquinas,2063,udav202,2010,c4 Nf6 Nc3 e6 e4 d6 d4 e5 dxe5 dxe5 Qxd8+ Kxd8 Bg5 c6 O-O-O+ Ke8 Bxf6 gxf6 g3 Be6 b3 Ba3+ Kb1 Na6 Nf3 Ke7 Nh4 Nc5 Nf5+ Bxf5 exf5 a5 f3 a4 Nxa4 Nxa4 bxa4 Rxa4 Rd3 Bc5 Be2 Rha8 Rd2 Bd4 Bd1 Rb4+ Bb3 c5 Re2 Ra6 Rd1 Rab6 Ree1 Rxc4 Re4 Rc3 f4 Kf8 fxe5 fxe5,A18,English Opening: Mikenas-Carls Variation #2,5
XVbvDgrS,TRUE,1503849713232,1503851025878,57,resign,white,15+3,mukuyanzi,1970,aquinas,2087,d4 f5 Nf3 Nf6 h4 e6 e3 b6 h5 Bb7 b3 d5 a3 Nbd7 Bb2 Bd6 Nbd2 Qe7 Bd3 O-O Ne5 c5 c4 Ne4 Ndf3 Ndf6 Qc2 Kh8 O-O-O cxd4 Bxd4 Bxa3+ Kb1 Rfc8 Bxe4 Nxe4 h6 Nf6 hxg7+ Qxg7 Rh6 Kg8 Rdh1 dxc4 bxc4 Qe7 Ng5 Qb4+ Ka1 Rc7 Nxe6 Be4 Qa2 Qe7 Nxc7 Qxc7 Rxf6,A80,Dutch Defense,2
UM1nnT09,TRUE,1503789514983,1503791252009,57,resign,white,10+15,aquinas,2077,udav202,1899,c4 Nf6 Nc3 e6 e4 d5 e5 Ng8 d4 g6 Nf3 h5 Qb3 c6 h4 Nh6 Bg5 Be7 Qc2 Nf5 cxd5 exd5 Bd3 Bxg5 hxg5 Be6 g4 Ng7 Bxg6 Bxg4 Nh2 Qxg5 Bd3 Ne6 Nxd5 cxd5 Qc8+ Nd8 Nxg4 Nd7 Qxa8 Qxg4 Qxa7 Qf3 Kd2 Qxf2+ Be2 Nxe5 Qa4+ Nd7 Rae1 Rh6 Kd1 Re6 Rxh5 Rxe2 Rxe2+,A18,English Opening: Mikenas-Carls Variation,7
yJA7BcWS,FALSE,1502626936493,1502627256113,52,resign,black,15+0,ogeldi,1780,singyoursong42,2015,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 Bd3 Bd6 Bg5 O-O h3 h6 Bh4 Re8+ Be2 Qe7 Bxf6 Qxf6 O-O Bf5 Nc3 c6 Re1 Nd7 Nb1 Re7 Bf1 Rxe1 Qxe1 Bxc2 Nbd2 Qf5 Rc1 Nf6 Be2 Re8 Qf1 Ba4 b3 Bb5 Bxb5 cxb5 Qxb5 Ne4 Nxe4 Qxe4 Re1 Qxe1+ Nxe1 Rxe1+,C00,French Defense: Knight Variation,3
XajnTMHg,FALSE,1501955804640,1501957163913,152,mate,black,10+0,ogeldi,1793,singyoursong42,2015,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 h4 Nh5 g4 Nf6 f4 h5 g5 Ng4 Bh3 c5 e5 dxe5 dxe5 Qxd1+ Kxd1 Nf2+ Ke1 Nxh1 Nf3 Bxh3 Nd5 O-O Nxe7+ Kh8 Nd5 Nc6 b3 Rad8 Ba3 b6 Rb1 Rfe8 b4 cxb4 Bxb4 Bf8 Bxf8 Rxf8 Nf6 Ng3 Rd1 Rxd1+ Kxd1 Bg4 Nxg4 hxg4 Nh2 Rd8+ Ke1 Nd4 Nxg4 Nc2+ Kf2 Ne4+ Kf3 Nd2+ Ke2 Ne4 Kf3 Nc5 Nf6 Rd2 f5 gxf5 h5 Rh2 Kf4 Rh3 Kxf5 Rf3+ Kg4 Ra3 e6 Nxe6 g6 fxg6 hxg6 Kg7 Kf5 Ncd4+ Ke5 Re3+ Kd5 Kxf6 g7 Kxg7 c5 bxc5 a4 c4 Kxc4 Ra3 Kb4 Nc2+ Kb5 Ned4+ Ka5 Nb3+ Kb5 Ncd4+ Kb4 Ra1 a5 Rxa5 Kc4 Rc5+ Kd3 a5 Ke3 Ne2 Ke4 Nd2+ Kd3 a4 Kxd2 a3 Kd3 a2 Ke4 a1=Q Kf3 Nf4 Kg4 Qd4 Kg3 Ng2 Kh2 Rh5+ Kg3 Rh4 Kf3 Qe4+ Kf2 Qe3+ Kf1 Qe1+ Kxg2 Qc3 Kf2 Rd4 Ke2 Rd2+ Ke1 Qc1#,E77,King's Indian Defense: Six Pawns Attack,8
Qklh7FBI,FALSE,1501955670426,1501955788847,18,resign,black,10+0,singyoursong42,2015,ogeldi,1793,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 a6 Na3 Be7 Bg5 b5 Nd5 Nxd5,B33,Sicilian Defense: Lasker-Pelikan Variation,10
N9q5r2gD,FALSE,1501954476751,1501955647058,120,mate,black,10+0,ogeldi,1793,singyoursong42,2015,d4 Nf6 c4 g6 Bg5 Bg7 Qd2 O-O Bh6 d5 Bxg7 Kxg7 cxd5 Nxd5 e4 Nf6 Bc4 c5 e5 Nfd7 dxc5 Nxe5 Qxd8 Rxd8 Bb3 Nbc6 Ne2 Bf5 Nbc3 Rd7 O-O Rad8 Rfd1 Nd3 Rab1 Nxc5 Rxd7 Rxd7 Bc4 a6 Rd1 Rxd1+ Nxd1 b5 Bd5 Nb4 Bb3 Nxb3 axb3 Nd3 f3 e5 g4 Be6 b4 Nxb4 Ndc3 Nd3 Ne4 f5 Nc5 Nxc5 gxf5 gxf5 Nc3 Nd3 b3 Bxb3 Ne2 a5 Ng3 Kf6 Nh5+ Kg6 Ng3 a4 Ne2 a3 Nc3 a2 Nxa2 Bxa2 Kf1 b4 Ke2 Nc5 Kd2 b3 Kc1 Nd3+ Kd2 Nf2 Kc3 e4 fxe4 fxe4 Kd2 b2 Ke2 b1=Q Kxf2 Qc2+ Ke3 Qd3+ Kf4 Qf3+ Ke5 Qf5+ Kd4 Qd5+ Ke3 Qd3+ Kf4 e3 Kf3 e2+ Kf4 e1=Q h4 Qeg3#,E61,Indian Game: West Indian Defense,4
VjrTwpKb,FALSE,1501953410790,1501954465164,105,mate,white,10+0,singyoursong42,2015,ogeldi,1793,d4 g6 c4 e6 Nc3 Ne7 d5 Bg7 e4 O-O Bd3 f5 Nf3 fxe4 Bxe4 Nf5 O-O exd5 cxd5 d6 Bg5 Qd7 Qd2 c6 dxc6 Nxc6 Bxf5 Qxf5 Bh6 Bxh6 Qxh6 Ne5 Nxe5 dxe5 Rfe1 b6 Qe3 Re8 Nd5 Bb7 Nc7 Qg4 f3 Qh4 Nxa8 Bxa8 Qf2 Qb4 Rad1 Bc6 a3 Qc5 Qxc5 bxc5 Rc1 e4 fxe4 Rxe4 Rxe4 Bxe4 Rxc5 Kf7 Rc7+ Ke6 Rxa7 Kd5 Kf2 Kc4 Rxh7 Kb3 Re7 Bb1 Rb7+ Ka4 Ke3 Ka5 Kd4 Ka6 Rb4 Bf5 a4 Bd7 b3 Ka5 Rc4 Be6 Rc5+ Kb6 b4 Bd7 a5+ Ka6 Rc7 Bb5 Kc5 Bf1 g3 Bg2 Rg7 Be4 h4 Bf5 b5+ Kxa5 Ra7#,A40,Modern Defense,2
yWK4N1Gs,FALSE,1496490481315,1496491827705,39,draw,draw,10+0,le_truand,2524,kiathong,1500,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Bb6 c3 Nf6 f3 d5 Nxc6 bxc6 Bxb6 axb6 e5 Nd7 f4 Qh4+ g3 Qe7 Be2 f6 exf6 Nxf6 O-O Bh3 Re1 O-O Bf1 Qd7 Nd2 Rae8 Rxe8 Rxe8 Qf3,C45,Scotch Game: Classical Variation,8
6mELPaah,TRUE,1500085267342,1500086510000,18,resign,black,10+0,duckduckfrog,1527,smartduckduckcow,1882,e4 e5 a3 Bc5 Nf3 Nc6 c3 Nf6 d4 exd4 cxd4 Be7 e5 Nd5 Bc4 Nb6 O-O Nxc4,C20,King's Pawn Game: Mengarini's Opening,3
eP09Yv7W,TRUE,1500085220607,1500085237165,4,mate,black,10+0,duckduckfrog,1527,smartduckduckcow,1882,f4 e6 g4 Qh4#,A02,Bird Opening,1
KfuKdhkr,TRUE,1499934035416,1499934386298,54,mate,black,7+2,abolfazl1386,1500,smartduckduckcow,1901,d4 d5 c4 c6 Nc3 Nf6 Bg5 Bf5 e3 e6 Nf3 Be7 Be2 Nbd7 Qb3 Qc7 cxd5 exd5 Bf4 Bd6 Bxd6 Qxd6 Qxb7 Rb8 Qxa7 Rxb2 Na4 Qb4+ Kf1 O-O Nxb2 Qxb2 g3 Qxa1+ Kg2 Bh3+ Kxh3 Qxh1 a4 Nb8 a5 Ne4 Ne5 Nxf2+ Kh4 Qxh2+ Kg5 Qxg3+ Ng4 h6+ Kf5 g6+ Kf6 Qd6#,D10,Slav Defense #2,5
