id,status_code,status_label
kare1339,1,not endangered
bara1367,2,threatened
mari1430,3,shifting
batu1258,3,shifting
tons1239,4,moribund
osin1237,1,not endangered
teng1272,2,threatened
beny1237,1,not endangered
sula1248,2,threatened
bint1246,2,threatened
bolo1268,2,threatened
achi1257,2,threatened
duan1242,3,shifting
haji1235,1,not endangered
mala1480,1,not endangered
oldm1243,6,extinct
dusu1271,2,threatened
dusu1269,2,threatened
nort2864,3,shifting
sout2905,4,moribund
nort2875,3,shifting
dupa1235,3,shifting
dica1235,6,extinct
isna1241,1,not endangered
keda1252,1,not endangered
sika1262,1,not endangered
ganj1241,4,moribund
oyda1235,2,threatened
wola1242,1,not endangered
melo1242,2,threatened
dorz1235,2,threatened
yona1241,4,moribund
yaey1239,3,shifting
yoro1243,4,moribund
kika1239,4,moribund
kuni1268,4,moribund
cent2126,4,moribund
jion1236,3,shifting
wuna1248,3,shifting
pahn1237,2,threatened
tlah1239,3,shifting
texi1237,5,nearly extinct
taba1264,5,nearly extinct
rayo1235,3,shifting
fran1266,1,not endangered
copa1236,3,shifting
wers1238,2,threatened
sawi1256,3,shifting
kelo1247,3,shifting
lamm1241,2,threatened
kuii1253,3,shifting
sepe1240,3,shifting
arua1260,3,shifting
awar1249,4,moribund
bosn1248,3,shifting
wata1253,3,shifting
kaia1245,3,shifting
tang1355,3,shifting
kang1291,3,shifting
brer1240,3,shifting
romk1240,3,shifting
komi1271,3,shifting
igan1243,3,shifting
yano1262,3,shifting
yano1261,2,threatened
toba1269,2,threatened
pila1245,3,shifting
kani1285,3,shifting
alam1246,3,shifting
piam1243,4,moribund
hewa1241,3,shifting
niks1238,3,shifting
ayip1235,3,shifting
pasi1259,3,shifting
kalo1262,3,shifting
elhu1238,4,moribund
kark1256,3,shifting
wali1262,3,shifting
dill1242,3,shifting
dair1239,3,shifting
ghul1238,3,shifting
kada1282,3,shifting
quec1382,3,shifting
moha1256,4,moribund
mari1440,4,moribund
paip1241,5,nearly extinct
hava1248,3,shifting
coco1261,3,shifting
bale1254,3,shifting
didi1258,1,not endangered
nari1240,3,shifting
murs1242,3,shifting
suri1267,2,threatened
bodi1253,3,shifting
gula1266,2,threatened
kara1482,3,shifting
vale1250,1,not endangered
luto1241,2,threatened
nyam1279,3,shifting
jurm1239,1,not endangered
moro1284,3,shifting
moda1242,3,shifting
mitt1253,6,extinct
sanm1298,2,threatened
chic1273,2,threatened
copa1237,2,threatened
ixca1245,5,nearly extinct
chiq1250,3,shifting
teoj1234,6,extinct
solt1234,6,extinct
nort2984,3,shifting
