id,status_code,status_label
sout2978,2,threatened
mesk1242,4,moribund
kick1244,3,shifting
pota1247,5,nearly extinct
pisc1239,6,extinct
nant1249,6,extinct
gros1243,6,extinct
arap1274,4,moribund
ling1262,1,not endangered
saek1240,3,shifting
suii1243,1,not endangered
sout2741,1,not endangered
lach1248,3,shifting
whit1266,6,extinct
gauu1234,6,extinct
ennn1243,3,shifting
emab1235,3,shifting
lang1316,4,moribund
tsoa1238,3,shifting
kuaa1238,3,shifting
naro1249,2,threatened
kxoe1243,3,shifting
anii1246,3,shifting
pata1262,2,threatened
akaw1239,2,threatened
watu1247,2,threatened
masi1266,2,threatened
bobo1254,4,moribund
lian1255,2,threatened
beng1287,3,shifting
hoti1237,6,extinct
sala1269,4,moribund
west2548,1,not endangered
teun1241,6,extinct
sela1259,2,threatened
selu1242,2,threatened
tiii1241,2,threatened
lole1239,2,threatened
dela1251,2,threatened
iliu1237,2,threatened
waim1252,3,shifting
naue1237,3,shifting
kair1265,3,shifting
habu1241,3,shifting
ngul1236,5,nearly extinct
yape1248,1,not endangered
rotu1241,2,threatened
muss1246,3,shifting
teni1244,4,moribund
asss1237,5,nearly extinct
waig1244,3,shifting
ware1253,3,shifting
yamd1240,2,threatened
keii1239,1,not endangered
ford1242,2,threatened
topo1243,4,moribund
wotu1240,3,shifting
koli1253,1,not endangered
west2557,2,threatened
lapu1236,2,threatened
kasi1256,1,not endangered
nort2883,1,not endangered
cebu1242,1,not endangered
bant1288,1,not endangered
kama1363,1,not endangered
dava1245,1,not endangered
cama1250,2,threatened
alab1246,5,nearly extinct
kaga1256,1,not endangered
cala1258,1,not endangered
agut1237,1,not endangered
buhi1245,1,not endangered
phil1247,1,not endangered
saba1284,2,threatened
pono1240,6,extinct
mong1342,2,threatened
lola1250,4,moribund
bint1245,3,shifting
goro1259,2,threatened
buol1237,1,not endangered
suwa1241,3,shifting
kaid1239,3,shifting
bola1252,2,threatened
magi1241,2,threatened
maga1263,2,threatened
boto1242,1,not endangered
aben1249,3,shifting
tina1248,3,shifting
boli1256,2,threatened
bata1292,1,not endangered
bata1294,2,threatened
bata1293,2,threatened
bata1288,1,not endangered
sela1260,1,not endangered
mand1442,1,not endangered
mamu1255,2,threatened
lemo1243,3,shifting
seko1242,2,threatened
seko1243,1,not endangered
