call_sign,facility_id,service,licensee,status,details
KBXX,11969,FM,"RADIO ONE LICENSES, LLC",LICENSED,Click for Details
KBYU-FM,6825,FM,BRIGHAM YOUNG UNIVERSITY,LICENSED,Click for Details
KBZD,33449,FM,GRACE COMMUNITY CHURCH OF AMARILLO,LICENSED,Click for Details
KBZT,58816,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KBZU,6819,FM,"SIGNAL MEDIA OF ARKANSAS, INC.",LICENSED,Click for Details
KCAW,55213,FM,"RAVEN RADIO FOUNDATION, INC.",LICENSED,Click for Details
KCBX,33705,FM,"KCBX, INC.",LICENSED,Click for Details
KCCD,42951,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KCCK-FM,34954,FM,KIRKWOOD COMMUNITY COLLEGE,LICENSED,Click for Details
KCCM-FM,42926,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KCCN-FM,34552,FM,"SM-KCCN, LLC",LICENSED,Click for Details
KCCU,8484,FM,CAMERON UNIVERSITY,LICENSED,Click for Details
KCCY-FM,40847,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KCDA,57625,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KCEP,50390,FM,ECONOMIC OPPORTUNITY BOARD OF CLARK COUNTY,LICENSED,Click for Details
KCFR-FM,53777,FM,"PUBLIC BROADCASTING OF COLORADO, INC.",LICENSED,Click for Details
KCJK,87565,FM,"CMP HOUSTON-KC, LLC",LICENSED,Click for Details
KCLC,37722,FM,LINDENWOOD UNIVERSITY,LICENSED,Click for Details
KCLH,63807,FM,"FAMILY RADIO, INC.",LICENSED,Click for Details
KCLM,87300,FM,CALIFORNIA LUTHERAN UNIVERSITY,LICENSED,Click for Details
KCLS,55461,FM,"CANYON MEDIA GROUP, LLC",LICENSED,Click for Details
KCLU-FM,8220,FM,CALIFORNIA LUTHERAN UNIVERSITY,LICENSED,Click for Details
KCMO-FM,6385,FM,"CMP HOUSTON-KC, LLC",LICENSED,Click for Details
