call_sign,facility_id,service,licensee,status,details
KKZX,53146,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KLAQ,48670,FM,"TOWNSQUARE MEDIA OF EL PASO, INC.",LICENSED,Click for Details
KLBN,29296,FM,LOTUS FRESNO CORP.,LICENSED,Click for Details
KLBR,89855,FM,LANE COMMUNITY COLLEGE,LICENSED,Click for Details
KLCA,41884,FM,"RENO MEDIA GROUP, L.P.",LICENSED,Click for Details
KLCC,36522,FM,LANE COMMUNITY COLLEGE,LICENSED,Click for Details
KLCI,59617,FM,MILESTONE RADIO LLC,LICENSED,Click for Details
KLCO,36516,FM,LANE COMMUNITY COLLEGE,LICENSED,Click for Details
KLCU,82834,FM,CAMERON UNIVERSITY,LICENSED,Click for Details
KLDN,6100,FM,"BD SUPERVISORS, LOUISIANA STATE UNIVERSITY & A&M COLLEGE",LICENSED,Click for Details
KLDV,12354,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLFO,88117,FM,LANE COMMUNITY COLLEGE,LICENSED,Click for Details
KLFX,60090,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KLFZ,57204,FM,"EDUCATIONAL RADIO FOUNDATION OF EAST TEXAS, INC.",LICENSED,Click for Details
KLIF-FM,27299,FM,RADIO LICENSE HOLDING SRC LLC,LICENSED,Click for Details
KLJA,55475,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KLJY,65924,FM,"GATEWAY CREATIVE BROADCASTING, INC.",LICENSED,Click for Details
KLLC,9624,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KLLI,59987,FM,"KXOS RADIO HOLDINGS, LLC",LICENSED,Click for Details
KLMD,166023,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLNE-FM,47968,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KLNO,41380,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KLNR,48350,FM,NEVADA PUBLIC RADIO,LICENSED,Click for Details
KLNZ,48738,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KLOB,40518,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KLOL,35073,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KLOS,35078,FM,"KLOS RADIO HOLDINGS, LLC",LICENSED,Click for Details
KLOU,9626,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KLPX,2745,FM,ARIZONA LOTUS CORP.,LICENSED,Click for Details
KLQQ,165310,FM,"LOVCOM, INC.",LICENSED,Click for Details
KLRE-FM,37788,FM,BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS,LICENSED,Click for Details
KLSA,4218,FM,"BD SUPERVISORS, LOUISIANA STATE UNIVERSITY & A&M COLLEGE",LICENSED,Click for Details
KLSB,3159,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLSE,42929,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KLTA-FM,21191,FM,"RADIO FARGO-MOORHEAD, INC.",LICENSED,Click for Details
KLTH,4115,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KLTU,79359,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLTY,2809,FM,"INSPIRATION MEDIA OF TEXAS, LLC",LICENSED,Click for Details
KLUC-FM,47744,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KLUU,164206,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLUV,67195,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KLUX,16945,FM,DIOCESAN TELECOMMUNICATIONS CORP.,LICENSED,Click for Details
KLVB,70676,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLVE,35086,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KLVG,6739,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLVM,51718,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLVP,12501,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLVS,69685,FM,"SAN JOAQUIN BROADCASTING CO., NON-PROFIT CORPORATION",LICENSED,Click for Details
KLVU,23030,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLWS,71043,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KLXB,2316,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLXF,43333,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KLYY,58809,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KLZK-FM,88795,FM,RAMAR COMMUNICATIONS INC,LICENSED,Click for Details
KLZT,9973,FM,"WATERLOO MEDIA GROUP, L.P.",LICENSED,Click for Details
KLZX,88184,FM,SUN VALLEY RADIO INC,LICENSED,Click for Details
KMBZ-FM,2449,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KMCU,8489,FM,CAMERON UNIVERSITY,LICENSED,Click for Details
KMDL,59289,FM,"TOWNSQUARE MEDIA OF LAFAYETTE, LLC",LICENSED,Click for Details
KMDR,170994,FM,"MAD RIVER RADIO, INC.",LICENSED,Click for Details
KMEL,35121,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KMEZ,12157,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KMFA,8685,FM,"CAPITOL BROADCASTING ASSOCIATION, INC",LICENSED,Click for Details
KMGL,55708,FM,"TYLER MEDIA, L.L.C.",LICENSED,Click for Details
KMGV,18409,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
KMHD,46719,FM,MT. HOOD COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KMIT,43239,FM,"SAGA COMMUNICATIONS OF SOUTH DAKOTA, LLC",LICENSED,Click for Details
KMIX,60420,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KMJ-FM,26933,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
KMJK,33713,FM,"CMP HOUSTON-KC, LLC",LICENSED,Click for Details
KMJQ,11971,FM,"RADIO ONE LICENSES, LLC",LICENSED,Click for Details
KMJX,39689,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KMMA,24583,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KMNB,9641,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KMNE-FM,47984,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KMNT,162476,FM,"BICOASTAL MEDIA LICENSES IV, LLC",LICENSED,Click for Details
KMOC,11107,FM,"CHRISTIAN SERVICE FOUNDATION, INC.",LICENSED,Click for Details
KMOJ,14679,FM,CENTER FOR COMMUNICATION & DEVELOPMENT,LICENSED,Click for Details
KMON-FM,62331,FM,"CCR-GREAT FALLS IV, LLC",LICENSED,Click for Details
KMPO,54493,FM,"RADIO BILINGUE, INC.",LICENSED,Click for Details
KMPQ,89864,FM,LANE COMMUNITY COLLEGE,LICENSED,Click for Details
KMPR,53319,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KMRQ,12963,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KMRR,29080,FM,"SAGA COMMUNICATIONS OF IOWA, LLC",LICENSED,Click for Details
KMSE,83876,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KMTX,8668,FM,"THE MONTANA RADIO COMPANY, LLC",LICENSED,Click for Details
KMUD,55426,FM,REDWOOD COMMUNITY RADIO,LICENSED,Click for Details
KMUE,55429,FM,REDWOOD COMMUNITY RADIO,LICENSED,Click for Details
KMUW,72364,FM,WICHITA STATE UNIVERSITY,LICENSED,Click for Details
KMVK,23440,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KMVP-FM,52514,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KMVQ-FM,1084,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KMWS,60531,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KMWV,184546,FM,"CAPITAL COMMUNITY TELEVISION, INC.",LICENSED,Click for Details
KMXB,51676,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KMXD,164258,FM,SANPETE COUNTY BROADCASTING CO.,LICENSED,Click for Details
KMXM,164132,FM,"THE MONTANA RADIO COMPANY, LLC",LICENSED,Click for Details
KMXN,7946,FM,"GREAT PLAINS MEDIA, INC.",LICENSED,Click for Details
KMXP,6361,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KMXT,35339,FM,KODIAK PUBLIC BROADCASTING CORP.,LICENSED,Click for Details
KMXZ-FM,2434,FM,ARIZONA LOTUS CORP.,LICENSED,Click for Details
KMYI,58821,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KNAH,37123,FM,"CHAMPLIN BROADCASTING, INC.",LICENSED,Click for Details
KNBA,35289,FM,KOAHNIC BROADCAST CORPORATION,LICENSED,Click for Details
KNBJ,42966,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNBR-FM,54770,FM,RADIO LICENSE HOLDING SRC LLC,LICENSED,Click for Details
KNBX,51720,FM,"KCBX, INC.",LICENSED,Click for Details
KNCI,20353,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KNCM,42967,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNCT-FM,9977,FM,CENTRAL TEXAS COLLEGE,LICENSED,Click for Details
KNDE,7631,FM,BRYAN BROADCASTING LICENSE CORPORATION,LICENSED,Click for Details
KNDH,162283,FM,"Public Broadcasting of Colorado, Inc.",LICENSED,Click for Details
KNEB-FM,51462,FM,NEBRASKA RURAL RADIO ASSOCIATION,LICENSED,Click for Details
KNGA,42910,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNHC,59526,FM,SEATTLE PUBLIC SCHOOLS,LICENSED,Click for Details
KNHK-FM,78697,FM,"ALEXANDRA COMMUNICATIONS, INC.",LICENSED,Click for Details
KNHM,12486,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KNHT,17412,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KNIX-FM,7698,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KNKX,51199,FM,PACIFIC PUBLIC MEDIA,LICENSED,Click for Details
KNLR,65261,FM,COWAN BROADCASTING LLC,LICENSED,Click for Details
KNON,601,FM,"AGAPE BROADCASTING FOUNDATION, INC.",LICENSED,Click for Details
KNOW-FM,42949,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNPR,79047,FM,NEVADA PUBLIC RADIO,LICENSED,Click for Details
KNRK,51213,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KNRS-FM,69555,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KNSB,83540,FM,UNIVERSITY OF NORTHERN IOWA,LICENSED,Click for Details
KNSE,90889,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNSK,29066,FM,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,LICENSED,Click for Details
KNSM,69284,FM,UNIVERSITY OF NORTHERN IOWA,LICENSED,Click for Details
KNSQ,62957,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KNSR,42938,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNSS-FM,23292,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KNSW,42947,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNTN,42922,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KNTY,20435,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KNUC,57843,FM,"SEATTLE FCC LICENSE SUB, LLC",LICENSED,Click for Details
KNVE,77093,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KNVO-FM,40680,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KNWI,37454,FM,UNIVERSITY OF NORTHWESTERN-ST. PAUL,LICENSED,Click for Details
KNWO,71018,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KNWP,81161,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KNWR,71028,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KNWV,71042,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KNWY,71031,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KNX-FM,25075,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KOAB-FM,50609,FM,OREGON PUBLIC BROADCASTING,LICENSED,Click for Details
KOCN,8082,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KODA,35337,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KODJ,48916,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KOEZ,7823,FM,"SAGA COMMUNICATIONS OF IOWA, LLC",LICENSED,Click for Details
KOHT,8143,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KOIT,6380,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KOJI,123310,FM,WESTERN IOWA TECH COMMUNITY COLLEGE,LICENSED,Click for Details
KOKY,15161,FM,"THE LAST BASTION STATION TRUST, LLC, AS TRUSTEE",LICENSED,Click for Details
KOLC,53706,FM,AMERICOM LIMITED PARTNERSHIP,LICENSED,Click for Details
KOMA,72469,FM,"TYLER MEDIA, L.L.C.",LICENSED,Click for Details
KOMP,38451,FM,LOTUS BROADCASTING CORP.,LICENSED,Click for Details
KONO-FM,50030,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KOOZ,33248,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KOPB-FM,50607,FM,OREGON PUBLIC BROADCASTING,LICENSED,Click for Details
KORL-FM,36242,FM,"HOCHMAN HAWAII-THREE, INC.",LICENSED,Click for Details
KORR,28256,FM,IDAHO WIRELESS CORPORATION,LICENSED,Click for Details
KOSF,65484,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KOSI,67844,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KOSO,35426,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KOSR,173942,FM,OKLAHOMA STATE UNIVERSITY,LICENSED,Click for Details
KOST,34424,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KOSU,50220,FM,OKLAHOMA STATE UNIVERSITY,LICENSED,Click for Details
KOTO,58920,FM,"SAN MIGUEL EDUCATIONAL FUND, INC.",LICENSED,Click for Details
KPBS-FM,58823,FM,"THE BD. OF TRUSTEES, CALIFORNIA STATE UNIVERSITY",LICENSED,Click for Details
KPBX-FM,61942,FM,"SPOKANE PUBLIC RADIO, INC.",LICENSED,Click for Details
KPBZ,90126,FM,"SPOKANE PUBLIC RADIO, INC.",LICENSED,Click for Details
KPCC,51701,FM,PASADENA AREA COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KPEK,4704,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KPEZ,11935,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KPFT,51244,FM,"PACIFICA FOUNDATION, INC.",LICENSED,Click for Details
KPFX,47310,FM,"RADIO FARGO-MOORHEAD, INC.",LICENSED,Click for Details
KPGS,123206,FM,"KUTE, INC.",LICENSED,Click for Details
KPHT,87658,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KPLD,55399,FM,"CANYON MEDIA GROUP, LLC",LICENSED,Click for Details
KPLI,91212,FM,PACIFIC PUBLIC MEDIA,LICENSED,Click for Details
KPLX,54675,FM,KPLX LICO LLC,LICENSED,Click for Details
KPNE-FM,47965,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KPNT,56525,FM,"ST. LOUIS FCC LICENSE SUB, LLC",LICENSED,Click for Details
KPPD,165891,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KPPR,53327,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KPPT-FM,642,FM,"PACNW BROADCASTING, LLC",LICENSED,Click for Details
KPPW,174363,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KPQX,49261,FM,"NEW MEDIA BROADCASTERS, INC.",LICENSED,Click for Details
KPRC-FM,8204,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KPRE,53722,FM,"PUBLIC BROADCASTING OF COLORADO, INC.",LICENSED,Click for Details
KPRJ,53314,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KPRR,68688,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KPRX,72186,FM,"WHITE ASH BROADCASTING, INC.",LICENSED,Click for Details
KPSC,69394,FM,UNIVERSITY OF SOUTHERN CALIFORNIA,LICENSED,Click for Details
KPVU,53347,FM,PRAIRIE VIEW A & M UNIVERSITY,LICENSED,Click for Details
KPWR,35498,FM,KPWR Radio Holdings LLC,LICENSED,Click for Details
KQAC,59343,FM,"ALL CLASSICAL PUBLIC MEDIA, INC.",LICENSED,Click for Details
KQBL,54509,FM,"ILIAD MEDIA BOISE, LLC",LICENSED,Click for Details
KQBT,9625,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KQCH,50314,FM,"SM-KQCH, LLC",LICENSED,Click for Details
KQED-FM,35501,FM,KQED INC.,LICENSED,Click for Details
KQEI-FM,20791,FM,KQED INC.,LICENSED,Click for Details
KQEO,87926,FM,SANDHILL MEDIA CORPORATION,LICENSED,Click for Details
KQFO,78988,FM,Noemy Rodriguez,LICENSED,Click for Details
KQHR,175508,FM,"ALL CLASSICAL PUBLIC MEDIA, INC.",LICENSED,Click for Details
KQID-FM,9751,FM,"CENLA BROADCASTING LICENSING COMPANY, LLC",LICENSED,Click for Details
KQKS,35574,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KQLA,33565,FM,"EAGLE COMMUNICATIONS, INC.",LICENSED,Click for Details
KQMI,173887,FM,"ALL CLASSICAL PUBLIC MEDIA, INC.",LICENSED,Click for Details
KQMN,42974,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KQMR,22977,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KQMT,26929,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KQMV,4630,FM,"SEATTLE FCC LICENSE SUB, LLC",LICENSED,Click for Details
KQOC,91191,FM,"ALL CLASSICAL PUBLIC MEDIA, INC.",LICENSED,Click for Details
KQOD,9134,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KQOW,174445,FM,THE UNIVERSITY OF WASHINGTON,LICENSED,Click for Details
KQPI,164125,FM,"SANDHILL MEDIA GROUP, LLC",LICENSED,Click for Details
KQQL,54457,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KQRC-FM,74101,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KQRS-FM,35505,FM,RADIO LICENSE HOLDINGS LLC,LICENSED,Click for Details
KQRT,51731,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KQVO,8175,FM,"STATE OF CALIFORNIA, SAN DIEGO STATE UNIVERSITY",LICENSED,Click for Details
KQXL-FM,11607,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KQXT-FM,11962,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KQXX-FM,36168,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRAV-FM,65764,FM,"COX RADIO, LLC",LICENSED,Click for Details
KRAZ,33439,FM,"KNIGHT BROADCASTING, INC.",LICENSED,Click for Details
KRBB,39902,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRBD,54928,FM,RAINBIRD COMMUNITY BROADCASTING CORP,LICENSED,Click for Details
KRBE,35524,FM,RADIO LICENSE HOLDING SRC LLC,LICENSED,Click for Details
KRBQ,65486,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KRBZ,57119,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KRCC,65563,FM,THE COLORADO COLLEGE,LICENSED,Click for Details
KRCD,1025,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KRCG-FM,57946,FM,RURAL CALIFORNIA BROADCASTING CORP.,LICENSED,Click for Details
KRCK-FM,52808,FM,Major Market Radio LLC - Debtor in Possession,LICENSED,Click for Details
KRCL,37766,FM,"LISTENERS COMMUNITY RADIO OF UTAH, INC.",LICENSED,Click for Details
KRCX-FM,56513,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KRCY-FM,77754,FM,RICK L. MURPHY,LICENSED,Click for Details
KRDA,39567,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KREF-FM,11964,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRFX,29731,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRIG-FM,35535,FM,"KCD ENTERPRISES, INC.",LICENSED,Click for Details
KRLD-FM,1087,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KRLS,39462,FM,"M AND H BROADCASTING, INC.",LICENSED,Click for Details
KRMG-FM,47102,FM,"COX RADIO, LLC",LICENSED,Click for Details
KRMS-FM,35553,FM,"VIPER COMMUNICATIONS, INC.",LICENSED,Click for Details
KRNE-FM,47955,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KRNH,41061,FM,"RADIO RANCH, LLC",LICENSED,Click for Details
KRNN,17049,FM,KTOO PUBLIC MEDIA,LICENSED,Click for Details
KRNW,49747,FM,NORTHWEST MISSOURI STATE UNIVERSITY,LICENSED,Click for Details
KROI,35565,FM,"RADIO ONE LICENSES, LLC",LICENSED,Click for Details
KROQ-FM,28622,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KRQQ,53591,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRRL,35022,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRRV-FM,33768,FM,"CENLA BROADCASTING LICENSING COMPANY, LLC",LICENSED,Click for Details
KRSD,42909,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KRSK,68213,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KRSP-FM,27462,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KRSU,42981,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KRSW,42958,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KRTH,28631,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KRTU-FM,68128,FM,TRINITY UNIVERSITY,LICENSED,Click for Details
KRVB,17397,FM,LOTUS BOISE CORP.,LICENSED,Click for Details
KRVE,40866,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KRVM-FM,59340,FM,LANE COUNTY SCHOOL DISTRICT NO. 4J,LICENSED,Click for Details
KRVN-FM,48001,FM,NEBRASKA RURAL RADIO ASSOCIATION,LICENSED,Click for Details
KRVS,66595,FM,THE UNIVERSITY OF LOUISIANA AT LAFAYETTE,LICENSED,Click for Details
KRVX,164198,FM,"I3G MEDIA, INC.",LICENSED,Click for Details
KRWM,53870,FM,"SEATTLE FCC LICENSE SUB, LLC",LICENSED,Click for Details
KRXO-FM,16851,FM,"TYLER MEDIA, L.L.C.",LICENSED,Click for Details
KRXQ,20354,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KRXW,166032,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KRXY,82527,FM,"OLYMPIA BROADCASTERS, INC.",LICENSED,Click for Details
KRYK,56336,FM,"NEW MEDIA BROADCASTERS, INC.",LICENSED,Click for Details
KSAN,14484,FM,RADIO LICENSE HOLDING SRC LLC,LICENSED,Click for Details
KSBJ,35590,FM,Hope Media Group,LICENSED,Click for Details
KSCA,24548,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KSCS,71201,FM,RADIO LICENSE HOLDINGS LLC,LICENSED,Click for Details
KSD,20360,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSDN-FM,25118,FM,"PRAIRIE WINDS BROADCASTING, INC.",LICENSED,Click for Details
KSDS,58818,FM,SAN DIEGO COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KSEF,90232,FM,"BOARD OF REGENTS, SOUTHEAST MISSOURI STATE UNIVERSITY",LICENSED,Click for Details
KSEG,11281,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KSER,29649,FM,KSER FOUNDATION,LICENSED,Click for Details
KSFC,61933,FM,"SPOKANE PUBLIC RADIO, INC.",LICENSED,Click for Details
KSFM,59598,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KSHE,19523,FM,"ST. LOUIS FCC LICENSE SUB, LLC",LICENSED,Click for Details
KSHU,58743,FM,SAM HOUSTON STATE UNIVERSITY,LICENSED,Click for Details
KSJD,58851,FM,"COMMUNITY RADIO PROJECT, INC.",LICENSED,Click for Details
KSJE,58863,FM,SAN JUAN COLLEGE,LICENSED,Click for Details
KSJN,42911,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KSJO,4117,FM,"UNIVERSAL MEDIA ACCESS - KSJO-FM, LLC",LICENSED,Click for Details
KSJR-FM,42955,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KSJV,54496,FM,"RADIO BILINGUE, INC.",LICENSED,Click for Details
KSKA,805,FM,"ALASKA PUBLIC TELECOM., INC.",LICENSED,Click for Details
KSKG,58645,FM,"EAGLE COMMUNICATIONS, INC.",LICENSED,Click for Details
KSKS,26924,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
KSL-FM,54156,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KSLC,37731,FM,"ALL CLASSICAL PUBLIC MEDIA, INC.",LICENSED,Click for Details
KSLU,61234,FM,SOUTHEASTERN LOUISIANA UNIVERSITY,LICENSED AND SILENT,Click for Details
KSLX-FM,11282,FM,"PHOENIX FCC LICENSE SUB, LLC",LICENSED,Click for Details
KSLZ,48960,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSME,17626,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSMF,63022,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KSMG,34977,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KSMS-FM,61519,FM,BOARD OF GOVERNORS OF MISSOURI STATE UNIVERSITY,LICENSED,Click for Details
KSMU,4210,FM,BOARD OF GOVERNORS OF MISSOURI STATE UNIVERSITY,LICENSED,Click for Details
KSMW,94057,FM,BOARD OF GOVERNORS OF MISSOURI STATE UNIVERSITY,LICENSED,Click for Details
KSNE-FM,71525,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSOF,54560,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSON,59816,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KSOP-FM,35629,FM,"KSOP, INC.",LICENSED,Click for Details
KSOR,50622,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KSRG,62105,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KSRQ,2694,FM,NORTHLAND COMMUNITY & TECHNICAL COLLEGE,LICENSED,Click for Details
