subcategory,rank,year,name,restaurant,city
Outstanding Baker,Semifinalist,2022,Hovsep Geragosian,Old Sasson Bakery,"Pasadena, California"
Best Chefs,Semifinalist,2022,Dale Talde,Goosefeather,"Tarrytown, New York"
Best New Restaurant,Semifinalist,2022,MACHETE,"Greensboro, North Carolina",NA
Best Chefs,Semifinalist,2022,Tomasz Skowronski,Apteka,"Pittsburgh, Pennsylvania"
Outstanding Restaurant,Semifinalist,2022,Friday Saturday Sunday,"Philadelphia, Pennsylvania",NA
Outstanding Restaurateur,Nominee,2022,Ashok Bajaj,"Knightsbridge Restaurant Group (Rasika, Bindaas, Annabelle, and others)","Washington, District of Columbia"
Best New Restaurant,Semifinalist,2022,Laser Wolf,"Philadelphia, Pennsylvania",NA
Outstanding Chef,Semifinalist,2022,Josh Niernberg,Bin 707 Foodbar,"Grand Junction, Colorado"
Best Chefs,Winner,2022,Brandon Jew,Mister Jiu's,"San Francisco, California"
Best Chefs,Winner,2022,Cristina Martinez,South Philly Barbacoa,"Philadelphia, Pennsylvania"
Best Chefs,Nominee,2022,Martin Rios,Restaurant Martín,"Santa Fe, New Mexico"
Best Chefs,Semifinalist,2022,Thomas Melvin,Vida,"Indianapolis, Indiana"
Best Chefs,Nominee,2022,Angel Barreto,Anju,Washington
Best Chefs,Nominee,2022,Christine Ha,Xin Chào,"Houston, Texas"
Best Chefs,Nominee,2022,Vien Dobui,CÔNG TỬ BỘT,"Portland, Maine"
Best Chefs,Semifinalist,2022,Srijith Gopinath,Ettan,"Palo Alto, California"
Best Chefs,Winner,2022,Adam Evans,Automatic Seafood and Oysters,"Birmingham, Alabama"
Best Chefs,Semifinalist,2022,Carl Thorne-Thomsen,Story.,"Prairie Village, Kansas"
Best Chefs,Nominee,2022,James Syhabout,Commis,"Oakland, California"
Best New Restaurant,Nominee,2022,Horn BBQ,"Oakland, California",NA
Best New Restaurant,Semifinalist,2022,Café Mamajuana,"Burlington, Vermont",NA
Best New Restaurant,Semifinalist,2022,Zitz Sum,"Coral Gables, Florida",NA
Outstanding Baker,Semifinalist,2022,Marissa Gencarelli,Yoli Tortilleria,"Kansas City, Missouri"
Best New Restaurant,Semifinalist,2022,Laser Wolf,"Philadelphia, Pennsylvania",NA
Best New Restaurant,Nominee,2022,BARDA,"Detroit, Michigan",NA
Outstanding Baker,Semifinalist,2022,Susannah Gebhart,Old World Levain (OWL) Bakery,"Asheville, North Carolina"
Best New Restaurant,Semifinalist,2022,Sooper Secret Izakaya,"Honolulu, Hawaii",NA
Outstanding Baker,Semifinalist,2022,Katherine Campecino-Wong,Breadbelly,"San Francisco, California"
Outstanding Baker,Semifinalist,2022,James Wong,Breadbelly,"San Francisco, California"
Best New Restaurant,Nominee,2022,Leeward,"Portland, Maine",NA
Outstanding Baker,Semifinalist,2022,David Cáceres,La Panadería,"San Antonio, Texas"
Outstanding Baker,Semifinalist,2022,Rhonda Saltzman,Second Daughter Baking Co.,"Philadelphia, Pennsylvania"
Outstanding Baker,Semifinalist,2022,Marissa Gencarelli,Yoli Tortilleria,"Kansas City, Missouri"
Outstanding Baker,Semifinalist,2022,Clement Hsu,Breadbelly,"San Francisco, California"
Outstanding Baker,Semifinalist,2022,Louis Volle,Lodi,"New York, New York"
Outstanding Baker,Semifinalist,2022,Hovsep Geragosian,Old Sasson Bakery,"Pasadena, California"
Outstanding Baker,Semifinalist,2022,Hovsep Geragosian,Old Sasson Bakery,"Pasadena, California"
Outstanding Baker,Semifinalist,2022,Nobutoshi Mizushima,Ihatov Bread and Coffee,"Albuquerque, New Mexico"
Best Chefs,Winner,2022,Chintan Pandya,Dhamaka,"New York, New York"
Best Chefs,Nominee,2022,Junghyun Park,Atomix,"New York, New York"
Best Chefs,Nominee,2022,Ayesha Nurdjaja,Shuka,"New York, New York"
Best Chefs,Semifinalist,2022,Minh Phan,Phenakite,"Los Angeles, California"
Best Chefs,Semifinalist,2022,Val M. Cantú,Californios,"San Francisco, California"
Best New Restaurant,Semifinalist,2022,NiHao,NA,NA
Best Chefs,Semifinalist,2022,Erik Ramirez,Llama Inn,"Brooklyn, New York"
Best Chefs,Semifinalist,2022,Dale Talde,Goosefeather,"Tarrytown, New York"
Best Chefs,Semifinalist,2022,Brian Menges,The 2nd Street Bistro,"Livingston, Montana"
Best Chefs,Semifinalist,2022,Einat Admony,Balaboosta,"New York, New York"
Outstanding Bar Program,Semifinalist,2022,Friends and Family,"Oakland, California",NA
Best Chefs,Semifinalist,2022,Helen Nguyen,Saigon Social,"New York, New York"
Best New Restaurant,Nominee,2022,Bacanora,"Phoenix, Arizona",NA
Best Chefs,Semifinalist,2022,Mary Attea,The Musket Room,"New York, New York"
Outstanding Baker,Semifinalist,2022,Brianna Short,La Casita Bakeshop,"Richardson, Texas"
Best New Restaurant,Semifinalist,2022,MACHETE,"Greensboro, North Carolina",NA
Best Chefs,Semifinalist,2022,Hilary Sterling,Ci Siamo,"New York, New York"
Best Chefs,Semifinalist,2022,Malenda Bartley,Top Taste,"Kingston, New York"
Best Chefs,Semifinalist,2022,Albert Bartley,Top Taste,"Kingston, New York"
Best Chefs,Semifinalist,2022,Irwin Sánchez,Under The Volcano,"New York, New York"
Best Chefs,Semifinalist,2022,Kyo Pang,Kopitiam,"New York, New York"
Best New Restaurant,Semifinalist,2022,Fritai,"New Orleans, Louisiana",NA
Best New Restaurant,Semifinalist,2022,Lengua Madre,"New Orleans, Louisiana",NA
Best New Restaurant,Semifinalist,2022,Fritai,"New Orleans, Louisiana",NA
Best Chefs,Semifinalist,2022,Eric Gao,O Mandarin,"Hartsdale, New York"
Best New Restaurant,Semifinalist,2022,Kimika,"New York, New York",NA
Best New Restaurant,Semifinalist,2022,ABACÁ,"San Francisco, California",NA
Best New Restaurant,Semifinalist,2022,Zacatlán Restaurant,"Santa Fe, New Mexico",NA
Best New Restaurant,Semifinalist,2022,República,"Portland, Oregon",NA
Best New Restaurant,Nominee,2022,Ursula,"Brooklyn, New York",NA
Best New Restaurant,Nominee,2022,Oyster Oyster,"Washington, District of Columbia",NA
Best New Restaurant,Nominee,2022,Dhamaka,"New York, New York",NA
Best New Restaurant,Semifinalist,2022,Kimika,"New York, New York",NA
Best Chefs,Semifinalist,2022,Romeo Regalli,Ras Plant Based,"Brooklyn, New York"
Best New Restaurant,Semifinalist,2022,Kimika,"New York, New York",NA
Best New Restaurant,Semifinalist,2022,Matia Kitchen,"Eastsound, Washington",NA
Best New Restaurant,Semifinalist,2022,Gage & Tollner,"Brooklyn, New York",NA
Best New Restaurant,Semifinalist,2022,The Marble Table,"Billings, Montana",NA
Best New Restaurant,Semifinalist,2022,Laser Wolf,"Philadelphia, Pennsylvania",NA
Best Chefs,Nominee,2022,Sarintip Jazz Singsanong,Jitlada,"Los Angeles, California"
Best Chefs,Semifinalist,2022,Carla Perez Gallardo,Lil' Deb's Oasis,"Hudson, New York"
Best Chefs,Semifinalist,2022,Carla Perez Gallardo,Lil' Deb's Oasis,"Hudson, New York"
Best New Restaurant,Semifinalist,2022,Fritai,"New Orleans, Louisiana",NA
Best Chefs,Nominee,2022,Bryant Ng,Cassia,"Santa Monica, California"
Best Chefs,Semifinalist,2022,Nadia Nijimbere,Baobab Fare,"Detroit, Michigan"
Best Chefs,Winner,2022,Erick Williams,Virtue Restaurant & Bar,"Chicago, Illinois"
Best Chefs,Nominee,2022,Noah Sandoval,Oriole,"Chicago, Illinois"
Best Chefs,Semifinalist,2022,Sylvan Mishima Brackett,Rintaro,"San Francisco, California"
Best Chefs,Nominee,2022,Pim Techamuanvivit,Nari,"San Francisco, California"
Best Chefs,Semifinalist,2022,Michael Ransom,ima,"Detroit, Michigan"
Best New Restaurant,Semifinalist,2022,Pier 6 Seafood & Oyster House,"San Leon, Texas",NA
Best Chefs,Semifinalist,2022,Srijith Gopinath,Ettan,"Palo Alto, California"
Best Chefs,Semifinalist,2022,Carl Thorne-Thomsen,Story.,"Prairie Village, Kansas"
Best Chefs,Semifinalist,2022,Amanda Franke,Marrow,"Detroit, Michigan"
Best Chefs,Semifinalist,2022,Melissa K. Perello,Octavia,"San Francisco, California"
Best Chefs,Semifinalist,2022,Thomas Melvin,Vida,"Indianapolis, Indiana"
Best Chefs,Semifinalist,2022,Paul Fehribach,Big Jones,"Chicago, Illinois"
Best Chefs,Semifinalist,2022,Rob Connoley,Bulrush,"Saint Louis, Missouri"
Best Chefs,Semifinalist,2022,Hamissi Mamba,Baobab Fare,"Detroit, Michigan"
Best Chefs,Semifinalist,2022,Matthew Kammerer,The Harbor House Inn,"Elk, California"
Best Chefs,Semifinalist,2022,Darnell Reed,Luellas Southern Kitchen,"Chicago, Illinois"
Best Chefs,Semifinalist,2022,Jonathan Jones,Epilogue Kitchen & Cocktails,"Salem, Oregon"
Best Chefs,Semifinalist,2022,Rodolfo Cuadros,Amaru and Bloom Plant Based Kitchen,"Chicago, Illinois"
Best Chefs,Semifinalist,2022,Judept Irra,Tamales Elena y Antojitos,"Bell Gardens, California"
Best Chefs,Nominee,2022,James Syhabout,Commis,"Oakland, California"
Best Chefs,Semifinalist,2022,Keith Corbin,Alta Adams,"Los Angeles, California"
Outstanding Pastry Chef,Semifinalist,2022,Sofia Tejeda,Mixtli,"San Antonio, Texas"
Best Chefs,Semifinalist,2022,Heena Patel,Besharam,"San Francisco, California"
Best Chefs,Nominee,2022,Omar Anani,Saffron de Twah,"Detroit, Michigan"
Best Chefs,Semifinalist,2022,Daniel Ansotegui,Ansots,"Boise, Idaho"
Best Chefs,Semifinalist,2022,Jill Vedaa,Salt+,"Lakewood, Ohio"
Best Chefs,Semifinalist,2022,Ahmad Sanji,AlTayeb Restaurant,"Dearborn, Michigan"
Best Chefs,Semifinalist,2022,Dave Park,Jeong,"Chicago, Illinois"
Best Chefs,Nominee,2022,Karen Shields,Smyth,"Chicago, Illinois"
Outstanding Hospitality,Nominee,2022,Hugo's,"Houston, Texas",NA
Best Chefs,Nominee,2022,,Smyth,"Chicago, Illinois"
Best Chefs,Semifinalist,2022,Jose Salazar,Salazar,"Cincinnati, Ohio"
Best Chefs,Semifinalist,2022,Orlando Pagán,Wild Common,"Charleston, South Carolina"
Best Chefs,Semifinalist,2022,Carlos Raba,Clavel Mezcaleria,"Baltimore, Maryland"
Emerging Chef of the Year,Nominee,2022,Effie Richardson,Dakar Nola,"New Orleans, Louisiana"
Outstanding Restaurant,Semifinalist,2022,Cora Cora,"West Hartford, Connecticut",NA
Best Chefs,Semifinalist,2022,Alex Au-Yeung,Phat Eatery,"Katy, Texas"
Outstanding Chef,Semifinalist,2022,Emiliano Marentes,ELEMI,"El Paso, Texas"
Best Chefs,Semifinalist,2022,Esaul Ramos Jr.,2M Smokehouse,"San Antonio, Texas"
Outstanding Chef,Semifinalist,2022,Carole Iida-Nakayama,n/naka,"Los Angeles, California"
Outstanding Chef,Semifinalist,2022,Christopher Gross,Christopher's,"Phoenix, Arizona"
Best Chefs,Semifinalist,2022,Chris McDonald,Cowfish,"Lander, Wyoming"
Best Chefs,Semifinalist,2022,Adam Diltz,Elwood,"Philadelphia, Pennsylvania"
Outstanding Bar Program,Semifinalist,2022,La Factoría,"San Juan, Puerto Rico",NA
Outstanding Chef,Semifinalist,2022,Keiji Nakazawa,Sushi Sho,"Honolulu, Hawaii"
Best Chefs,Semifinalist,2022,Felipe Riccio,MARCH,"Houston, Texas"
Outstanding Bar Program,Semifinalist,2022,Genever,"Los Angeles, California",NA
Outstanding Chef,Semifinalist,2022,Alex Raij,La Vara,"Brooklyn, New York"
Outstanding Restaurateur,Semifinalist,2022,Amy Kerstein,Black Shoe Hospitality,"Milwaukee, Wisconsin"
Outstanding Restaurateur,Nominee,2022,Ellen Yin,"High Street Hospitality Group, Fork, a.kitchen + bar, High Street Philly, and others","Philadelphia, Pennsylvania"
Outstanding Bar Program,Semifinalist,2022,Llama San,"New York, New York",NA
Outstanding Bar Program,Semifinalist,2022,La Factoría,"San Juan, Puerto Rico",NA
Outstanding Bar Program,Semifinalist,2022,Café La Trova,"Miami, Florida",NA
Outstanding Restaurateur,Semifinalist,2022,Jason Chin,Good Salt Restaurant Group,"Orlando, Florida"
Outstanding Baker,Nominee,2022,Lauren Heemstra,Wild Crumb,"Bozeman, Montana"
Outstanding Baker,Winner,2022,Don Guerra,Barrio Bread,"Tucson, Arizona"
Outstanding Chef,Semifinalist,2022,Austin Covert,Rosewild,"Fargo, North Dakota"
Best New Restaurant,Semifinalist,2022,Casian Seafood,"Lafayette, Colorado",NA
Outstanding Bar Program,Winner,2022,Julep,"Houston, Texas",NA
Outstanding Restaurateur,Semifinalist,2022,Larry Delgado,Delgado Collective,"McAllen, Texas"
Best New Restaurant,Winner,2022,Owamni,"Minneapolis, Minnesota",NA
Outstanding Restaurateur,Semifinalist,2022,Kim Bartmann,Bartmann Group,"Minneapolis, Minnesota"
Outstanding Baker,Nominee,2022,Lauren Heemstra,Wild Crumb,"Bozeman, Montana"
Best New Restaurant,Semifinalist,2022,Union Hmong Kitchen,"Minneapolis, Minnesota",NA
Outstanding Chef,Semifinalist,2022,Andrew Black,Grey Sweater,"Oklahoma City, Oklahoma"
Outstanding Baker,Semifinalist,2022,Yuko Kawashimo,Ihatov Bread and Coffee,"Albuquerque, New Mexico"
Best New Restaurant,Nominee,2022,Angry Egret Dinette,"Los Angeles, California",NA
Best New Restaurant,Nominee,2022,Kasama,"Chicago, Illinois",NA
Best New Restaurant,Semifinalist,2022,The Marble Table,"Billings, Montana",NA
Best New Restaurant,Semifinalist,2022,MACHETE,"Greensboro, North Carolina",NA
Best New Restaurant,Semifinalist,2022,Matia Kitchen,"Eastsound, Washington",NA
Outstanding Baker,Semifinalist,2022,Pamela Vuong,The Flour Box,"Seattle, Washington"
Best New Restaurant,Semifinalist,2022,Pier 6 Seafood & Oyster House,"Bacliff, Texas",NA
Best New Restaurant,Semifinalist,2022,Gage & Tollner,"Brooklyn, New York",NA
Best New Restaurant,Semifinalist,2022,Gage & Tollner,"Brooklyn, New York",NA
Outstanding Baker,Semifinalist,2022,Susannah Gebhart,Old World Levain (OWL) Bakery,"Asheville, North Carolina"
Best New Restaurant,Nominee,2022,Roots Southern Table,"Farmers Branch, Texas",NA
Outstanding Chef,Semifinalist,2022,Angie Rito,Don Angie,"New York, New York"
Outstanding Baker,Semifinalist,2022,Marissa Gencarelli,Yoli Tortilleria,"Kansas City, Missouri"
Best New Restaurant,Semifinalist,2022,Café Mamajuana,"Burlington, Vermont",NA
Best New Restaurant,Nominee,2022,Horn BBQ,"Oakland, California",NA
Outstanding Wine Program,Nominee,2022,The Little Nell,"Aspen, Colorado",NA
Outstanding Baker,Semifinalist,2022,Mike Hirao,Nisshodo Candy Store,"Honolulu, Hawaii"
Outstanding Baker,Semifinalist,2022,Elaine Townsend,Café Mochiko,"Cincinnati, Ohio"
Best New Restaurant,Semifinalist,2022,Laser Wolf,"Philadelphia, Pennsylvania",NA
Outstanding Wine Program,Semifinalist,2022,a.kitchen + bar,"Philadelphia, Pennsylvania",NA
Best New Restaurant,Nominee,2022,BARDA,"Detroit, Michigan",NA
Outstanding Baker,Semifinalist,2022,Katherine Campecino-Wong,Breadbelly,"San Francisco, California"
Outstanding Restaurant,Semifinalist,2022,Hell's Backbone Grill & Farm,"Boulder, Utah",NA
Outstanding Restaurant,Winner,2022,Chai Pani,"Asheville, North Carolina",NA
Best New Restaurant,Nominee,2022,Bacanora,"Phoenix, Arizona",NA
Best New Restaurant,Semifinalist,2022,Sooper Secret Izakaya,"Honolulu, Hawaii",NA
Outstanding Baker,Semifinalist,2022,James Wong,Breadbelly,"San Francisco, California"
Best New Restaurant,Semifinalist,2022,Zitz Sum,"Coral Gables, Florida",NA
Outstanding Baker,Semifinalist,2022,Hovsep Geragosian,Old Sasson Bakery,"Pasadena, California"
Outstanding Baker,Semifinalist,2022,Hovsep Geragosian,Old Sasson Bakery,"Pasadena, California"
Outstanding Baker,Semifinalist,2022,Louis Volle,Lodi,"New York, New York"
Outstanding Restaurant,Semifinalist,2022,Living Kitchen Farm & Dairy,"Depew, Oklahoma",NA
Outstanding Baker,Semifinalist,2022,Marissa Gencarelli,Yoli Tortilleria,"Kansas City, Missouri"
Best Chefs,Nominee,2022,Vien Dobui,CÔNG TỬ BỘT,"Portland, Maine"
Outstanding Baker,Semifinalist,2022,Clement Hsu,Breadbelly,"San Francisco, California"
Outstanding Wine Program,Semifinalist,2022,The Punchdown,"Oakland, California",NA
Outstanding Baker,Semifinalist,2022,Nobutoshi Mizushima,Ihatov Bread and Coffee,"Albuquerque, New Mexico"
Best Chefs,Nominee,2022,Dana Rodriguez,Work & Class,"Denver, Colorado"
Outstanding Wine Program,Semifinalist,2022,Golden Age Wine,"Mountain Brook, Alabama",NA
Outstanding Baker,Semifinalist,2022,David Cáceres,La Panadería,"San Antonio, Texas"
Outstanding Bar Program,Semifinalist,2022,Bar Leather Apron,"Honolulu, Hawaii",NA
Outstanding Hospitality,Semifinalist,2022,Lil Deb's Oasis,"Hudson, New York",NA
Outstanding Bar Program,Semifinalist,2022,Friends and Family,"Oakland, California",NA
Best Chefs,Semifinalist,2022,Anthony Andiario,Andiario,"West Chester, Pennsylvania"
Outstanding Baker,Semifinalist,2022,Rhonda Saltzman,Second Daughter Baking Co.,"Philadelphia, Pennsylvania"
Best New Restaurant,Nominee,2022,Leeward,"Portland, Maine",NA
Outstanding Bar Program,Semifinalist,2020,Las Almas Rotas,"Dallas, Texas",NA
Outstanding Bar Program,Nominee,2020,Lost Lake,"Chicago, Illinois",NA
Outstanding Bar Program,Semifinalist,2020,The Atomic Lounge,"Birmingham, Alabama",NA
Outstanding Bar Program,Semifinalist,2020,Novare Res Bier Café,"Portland, Maine",NA
Outstanding Bar Program,Semifinalist,2020,Williams & Graham,"Denver, Colorado",NA
Outstanding Bar Program,Nominee,2020,Anvil Bar & Refuge,"Houston, Texas",NA
Rising Star Chef of the Year,Semifinalist,2020,Shota Nakajima,Adana,"Seattle, Washington"
Rising Star Chef of the Year,Semifinalist,2020,Rikki Giambruno,Hyacinth,"Saint Paul, Minnesota"
Outstanding Restaurant Design (76 Seats and Over),Nominee,2020,Ken Fulk Inc,Swan & Bar Bevy,"Miami, Florida"
Rising Star Chef of the Year,Nominee,2020,Paola Velez,Kith/Kin,"Arlington, Virginia"
Rising Star Chef of the Year,Semifinalist,2020,Maricela Vega,8ARM,"Atlanta, Georgia"
Rising Star Chef of the Year,Semifinalist,2020,Matthew Kammerer,The Harbor House Inn,"Elk, California"
Outstanding Bar Program,Semifinalist,2020,Colita,"Minneapolis, Minnesota",NA
Outstanding Bar Program,Nominee,2020,Kimball House,"Decatur, Georgia",NA
Outstanding Bar Program,Semifinalist,2020,The Baldwin Bar,"Woburn, Massachusetts",NA
Outstanding Bar Program,Nominee,2020,Expatriate,"Portland, Oregon",NA
Best Chefs,Nominee,2020,Joshua Skenes,Angler,"San Francisco, California"
Rising Star Chef of the Year,Semifinalist,2020,Johnny Ortiz,/ Shed,"La Madera, New Mexico"
Rising Star Chef of the Year,Semifinalist,2020,Jesse Ito,Royal Izakaya,"Philadelphia, Pennsylvania"
Best Chefs,Nominee,2020,Silvana Salcido Salcido Esparza,Barrio Café Gran Reserva,"Phoenix, Arizona"
Outstanding Restaurateur,Semifinalist,2020,Martha Hoover,"Patachou Inc. (Café Patachou, Public Greens, Bar One Fourteen, and others)","Indianapolis, Indiana"
Outstanding Bar Program,Semifinalist,2020,OTOTO,"Los Angeles, California",NA
Best Chefs,Semifinalist,2020,Bernie Kantak,Citizen Public House,"Scottsdale, Arizona"
Outstanding Bar Program,Semifinalist,2020,Leyenda,"Brooklyn, New York",NA
Best Chefs,Semifinalist,2020,Lisa Becklund,Living Kitchen Farm & Dairy,"Depew, Oklahoma"
Best Chefs,Semifinalist,2020,Ryan Swanson,Kai,"Phoenix, Arizona"
Best Chefs,Nominee,2020,Jonathan Perno,Campo at Los Poblanos Historic Inn & Organic Farm,"Albuquerque, New Mexico"
Best Chefs,Nominee,2020,James Trees,Esther’s Kitchen,"Las Vegas, Nevada"
Best Chefs,Semifinalist,2020,Matthew Kern,Heirloom,"Lewes, Delaware"
Best Chefs,Semifinalist,2020,Mei Lin,Nightshade,"Los Angeles, California"
Best Chefs,Nominee,2020,Isaac Toups,Toups’ Meatery,"New Orleans, Louisiana"
Best Chefs,Semifinalist,2020,Jeff Chanchaleune,Gun Izakaya,"Oklahoma City, Oklahoma"
Outstanding Design of Alternative Eating and Drinking Places,Nominee,2020,Workstead,Citrus Club,"Charleston, South Carolina"
Best Chefs,Semifinalist,2020,Abra Berens,Granor Farm,"THREE OAKS, Michigan"
America's Classics,Winner,2020,Zehnder's of Frankenmuth,"Frankenmuth, Michigan",NA
Best Chefs,Semifinalist,2020,Taylor Mason,LUCA,"Conestoga, Pennsylvania"
Best Chefs,Semifinalist,2020,Albert Bartley,Top Taste Restaurant,"Kingston, New York"
Outstanding Chef,Semifinalist,2020,John C. Fleer,Rhubarb,"Asheville, North Carolina"
Best Chefs,Semifinalist,2020,Peter Prime,Cane,"Washington, District of Columbia"
America's Classics,Winner,2020,Vera's Backyard Bar-B-Que,"Brownsville, Texas",NA
Best Chefs,Semifinalist,2020,Christian Frangiadis,Spork,"Pittsburgh, Pennsylvania"
Outstanding Chef,Semifinalist,2020,Sarah Grueneberg,Monteverde Restaurant,"Chicago, Illinois"
Best Chefs,Nominee,2020,Nicholas Elmi,Laurel,"Collingswood, New Jersey"
Best Chefs,Nominee,2020,Amy Brandwein,Centrolina,"Washington, District of Columbia"
Best Chefs,Semifinalist,2020,Sandeep Baweja,Lehja,"Richmond, Virginia"
Best Chefs,Semifinalist,2020,Maria Mazon,BOCA Tacos Y Tequila,"Tucson, Arizona"
Best Chefs,Semifinalist,2020,Peter Chang,Mama Chang,"Fairfax, Virginia"
Best Chefs,Nominee,2020,Cristina Martinez,South Philly Barbacoa,"Philadelphia, Pennsylvania"
Best Chefs,Semifinalist,2020,Cagla Onal-Urel,Green Almond Pantry,"Annandale, Virginia"
Outstanding Chef,Nominee,2020,Missy Robbins,Lilia,"Brooklyn, New York"
Outstanding Chef,Nominee,2020,Donald Link,Herbsaint Restaurant,"New Orleans, Louisiana"
Best Chefs,Nominee,2020,Cindy Wolf,Charleston,"Baltimore, Maryland"
Outstanding Chef,Nominee,2020,Marc Vetri,Vetri Cucina,"Philadelphia, Pennsylvania"
Outstanding Chef,Semifinalist,2020,Nobuo Fukuda,Nobuo At Teeter House,"Phoenix, Arizona"
Best Chefs,Semifinalist,2020,Derek Kitchen,Laziz Kitchen,"Salt Lake City, Utah"
Best Chefs,Semifinalist,2020,Genet Agonafer,Meals By Genet,"Los Angeles, California"
America's Classics,Winner,2020,Lassis Inn,"Little Rock, Arkansas",NA
Best Chefs,Nominee,2020,Jeff Smedstad,Elote Cafe,"Sedona, Arizona"
Outstanding Chef,Semifinalist,2020,Holly Smith,Cafe Juanita,"Kirkland, Washington"
Outstanding Chef,Semifinalist,2020,Andrew Carmellini,The Dutch,"New York, New York"
Best Chefs,Semifinalist,2020,Stephen M Jones,the larder + the delta,"Phoenix, Arizona"
Outstanding Chef,Semifinalist,2020,Wei Zhu,Chengdu Gourmet,"Pittsburgh, Pennsylvania"
Best New Restaurant,Semifinalist,2020,Lazy betty,"Atlanta, Georgia",NA
Outstanding Hospitality,Semifinalist,2020,Hugo's,"Houston, Texas",NA
Best Chefs,Nominee,2020,Caroline Cassity Glover,Annette,"Aurora, Colorado"
Rising Star Chef of the Year,Semifinalist,2020,Daniel De La Nuez,Forthave Spirits,"Brooklyn, New York"
Outstanding Chef,Semifinalist,2020,Melissa Kelly,Primo,"Rockland, Maine"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Rutger De Vink,RdV Vineyards,"Delaplane, Virginia"
Outstanding Chef,Semifinalist,2020,Christopher Kostow,The Restaurant at Meadowood,"Saint Helena, California"
Outstanding Design of Alternative Eating and Drinking Places,Nominee,2020,Aaron Sciandra,Connie,"Brooklyn, New York"
Best Chefs,Nominee,2020,Jessica Koslow,Sqirl,"Los Angeles, California"
Best Chefs,Semifinalist,2020,Hao Gong,LUVI Restaurant,"New Orleans, Louisiana"
Best Chefs,Semifinalist,2020,Chintan Pandya,Adda,"New York, New York"
Outstanding Hospitality,Semifinalist,2020,Leon's Fine Poultry & Oyster Shop,"Charleston, South Carolina",NA
Outstanding Chef,Nominee,2020,Ana K Sortun,Oleana,"Cambridge, Massachusetts"
Best Chefs,Semifinalist,2020,Luis Young,Penrose Room,"Colorado Springs, Colorado"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Marika Josephson,Scratch Brewing Company,"Ava, Illinois"
Best Chefs,Semifinalist,2020,Brandon Hayato Go,Hayato,"Los Angeles, California"
Outstanding Bar Program,Semifinalist,2020,Little Rituals,"Phoenix, Arizona",NA
Outstanding Hospitality,Semifinalist,2020,The Angus Barn,"Raleigh, North Carolina",NA
Outstanding Chef,Semifinalist,2020,Ann Cashion,Johnny's Half Shell,"Washington, District of Columbia"
Outstanding Chef,Semifinalist,2020,Vikram Sunderam,Rasika,"McLean, Virginia"
Outstanding Chef,Semifinalist,2020,Maricel Presilla,Cucharamama,"Hoboken, New Jersey"
Outstanding Chef,Semifinalist,2020,Gabriel Rucker,Le Pigeon,"Milwaukee, Oregon"
Outstanding Chef,Semifinalist,2020,Justin Yu,Theodore Rex,"Houston, Texas"
Outstanding Hospitality,Semifinalist,2020,Chez Fonfon,"Birmingham, Alabama",NA
Best Chefs,Nominee,2020,Joshua Skenes,Angler,"San Francisco, California"
Outstanding Hospitality,Nominee,2020,Swan Oyster Depot,"San Francisco, California",NA
Outstanding Hospitality,Semifinalist,2020,Kai,"Phoenix, Arizona",NA
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Austin Evans,Cathead Distillery,"Jackson, Mississippi"
Outstanding Chef,Semifinalist,2020,Gavin Kaysen,Spoon and Stable,"Minneapolis, Minnesota"
Outstanding Chef,Nominee,2020,Corey Lee,Benu,"San Francisco, California"
Outstanding Wine Program,Nominee,2020,Canard,"Portland, Oregon",NA
Outstanding Hospitality,Semifinalist,2020,Mistral,"Boston, Massachusetts",NA
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Steve Luke,Cloudburst Brewing,"Seattle, Washington"
Outstanding Hospitality,Semifinalist,2020,1919 Restaurant,"San Juan, Puerto Rico",NA
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Stephen Paul,(Whiskey Del Bac) by HAMILTON DISTILLERS,"Tucson, Arizona"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Nancy Irelan,Red Tail Ridge Winery,"Penn Yan, New York"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Mike Schnelle,Red Tail Ridge Winery,"Penn Yan, New York"
Outstanding Restaurant Design (76 Seats and Over),Nominee,2020,Hacin + Associates,Shore Leave,"Boston, Massachusetts"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Austin Evans,Cathead Distillery,"Jackson, Mississippi"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Marika Josephson,Scratch Brewing Company,"Ava, Illinois"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Deirdre Heekin,La garagista Farm + Winery,"Bethel, Vermont"
"Outstanding Wine, Spirits, or Beer Producer",Nominee,2020,Lance Winters,St. George Spirits,"Alameda, California"
"Outstanding Wine, Spirits, or Beer Producer",Semifinalist,2020,Yoshihiro Sako,Den Sake Brewery,"Oakland, California"
Outstanding Hospitality,Semifinalist,2020,15 Fox Place,"Jersey City, New Jersey",NA
