subcategory,rank,year,name,restaurant,city
Outstanding Chef,Nominee,2024,David Uygur,Lucia,"Dallas, Texas"
Outstanding Pastry Chef,Semifinalist,2024,Eunji Lee,Lysée,"New York, New York"
Emerging Chef of the Year,Semifinalist,2024,Bryce Stevenson,Miijim,"La Pointe, Wisconsin"
Outstanding Pastry Chef,Semifinalist,2024,Kimberly Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Outstanding Bakery,Semifinalist,2024,Koffeteria,"Houston, Texas",NA
Outstanding Bar,Semifinalist,2024,Amalga Distillery,"Juneau, Alaska",NA
Best New Restaurant,Nominee,2024,Shan,"Bozeman, Montana",NA
Best New Restaurant,Semifinalist,2024,Ajja,"Raleigh, North Carolina",NA
Outstanding Pastry Chef,Semifinalist,2024,Joshua Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Outstanding Bakery,Semifinalist,2024,Shatila Bakery,"Dearborn, Michigan",NA
Emerging Chef of the Year,Semifinalist,2024,Rocky Coronado,Nepantla,"Detroit, Michigan"
Emerging Chef of the Year,Semifinalist,2024,Lawrence Weeks,North of Bourbon,"Louisville, Kentucky"
Outstanding Pastry Chef,Winner,2024,Atsuko Fujimoto,Norimoto Bakery,"Portland, Maine"
Best Chef Mid-Atlantic,Semifinalist,2024,Travis Milton,Hickory at Nicewonder Farm and Vineyards,"Bristol, Virginia"
Outstanding Restaurateur,Semifinalist,2024,Nicolas Poilevey,"Obelix, Le Bouchon, Taqueria Chingón","Chicago, Illinois"
Best New Restaurant,Semifinalist,2024,Sado,"Louis, Missouri",NA
Best Chef California,Semifinalist,2024,Shane Stanbridge,Lion Dance Café,"Oakland, California"
Best Chef California,Semifinalist,2024,Sam Habibeh,Ammatolií,"Long Beach, California"
Outstanding Restaurateur,Semifinalist,2024,Robert LeBlanc,"LeBlanc + Smith (Sylvain, The Chloe, The Will & The Way and others)","New Orleans, Louisiana"
Outstanding Restaurateur,Semifinalist,2024,Oliver Poilevey,"Obelix, Le Bouchon, Taqueria Chingón","Chicago, Illinois"
Best Chef California,Nominee,2024,Geoff Davis,Burdell,"Oakland, California"
Best Chef California,Semifinalist,2024,Srijith Gopinathan,Copra,"San Francisco, California"
Best Chef California,Semifinalist,2024,Elvia Garcia,Evil Cooks,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Alex Garcia,Evil Cooks,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Buu “Billy” Ngo,Kru,"Sacramento, California"
Best Chef California,Winner,2024,Lord Maynard Llera,Kuya Lord,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Alisa Reynolds,My 2 Cents,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Jihee Kim,Perilla,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Alfonso Martinez,Poncho's Tlayudas,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Jeong-In Hwang,San Ho Won,"San Francisco, California"
Outstanding Pastry Chef,Semifinalist,2024,Kristina Costa,Loquat,"San Francisco, California"
Best Chef Great Lakes,Semifinalist,2024,Joseph Fontelera,Boonie's Filipino Restaurant,"Chicago, Illinois"
Best Chef Great Lakes,Semifinalist,2024,Bj Lieberman,Chapman's Eat Market,"Columbus, Ohio"
Best Chef Great Lakes,Nominee,2024,Vinnie Cimino,Cordelia,"Cleveland, Ohio"
Outstanding Restaurateur,Semifinalist,2024,Laile Fairbairn,"Locally Grown Restaurants (Snow City Cafe, South Restaurant + Coffeehouse, and Spenard Roadhouse)","Anchorage, Alaska"
Best Chef Mid-Atlantic,Nominee,2024,Jesse Ito,Royal Sushi & Izakaya,"Philadelphia, Pennsylvania"
Best Chef New York State,Semifinalist,2024,Calvin Eng,Bonnie's,"Brooklyn, New York"
