individual,year,year_recode,season,locality,sex,body_mass_grams,body_condition_index,straight_carapace_length_mm
1060,2016,9,Summer,Plateau,m,1534,7.907216495,194
1060,2017,10,Spring,Plateau,m,1446,7.610526316,190
1060,2018,11,Spring,Plateau,m,1485,7.694300518,193
1061,2009,2,Spring,Plateau,m,695,4.492566257,154.7
1062,2009,2,Summer,Plateau,m,944,5.40974212,174.5
1062,2009,2,Summer,Plateau,m,954,5.504269559,173.32
1062,2009,2,Spring,Plateau,m,962,5.547866205,173.4
1063,2009,2,Spring,Plateau,m,790,4.863933013,162.42
1063,2010,3,Spring,Plateau,m,846,5.196560197,162.8
1063,2015,8,Summer,Plateau,m,924,5.546218487,166.6
1063,2016,9,Summer,Plateau,m,862,5.224242424,165
1063,2017,10,Spring,Plateau,m,874,5.329268293,164
1063,2020,13,Summer,Plateau,m,852,5.101796407,167
1063,2023,16,Spring,Plateau,m,880,5.333333333,165
1064,2009,2,Spring,Plateau,m,1188,6.652853223,178.57
1064,2011,4,Spring,Plateau,m,1177,6.314377682,186.4
1064,2015,8,Summer,Plateau,m,1289,7.043715847,183
1064,2016,9,Spring,Plateau,m,1266,7.033333333,180
1064,2016,9,Spring,Plateau,m,1293,7.183333333,180
1064,2017,10,Summer,Plateau,m,1226,6.849162011,179
1066,2009,2,Spring,Plateau,m,956,5.52154326,173.14
1066,2010,3,Spring,Plateau,m,1009,5.792192882,174.2
1066,2011,4,Summer,Plateau,m,1072,6.090909091,176
1066,2016,9,Spring,Plateau,m,1095,6.221590909,176
1066,2017,10,Spring,Plateau,m,998,5.702857143,175
1066,2017,10,Summer,Plateau,m,1066,6.056818182,176
1066,2018,11,Summer,Plateau,m,1084,6.124293785,177
1066,2019,12,Spring,Plateau,m,1029,5.813559322,177
1066,2020,13,Summer,Plateau,m,1095,6.257142857,175
1066,2021,14,Summer,Plateau,m,1091,6.163841808,177
1067,2022,15,Spring,Beach,m,683,4.464052288,153
1067,2023,16,Spring,Beach,m,690,4.539473684,152
1068,2015,8,Summer,Plateau,f,876,5.5796178340000004,157
1068,2017,10,Summer,Plateau,f,966,5.784431138,167
1068,2018,11,Summer,Plateau,f,1076,6.292397661,171
1068,2019,12,Spring,Plateau,f,1024,6.023529412,170
1068,2022,15,Summer,Plateau,f,1098,6.346820809,173
1069,2016,9,Spring,Beach,f,746,4.973333333,150
1069,2018,11,Summer,Beach,f,800,5.128205128,156
1069,2019,12,Spring,Beach,f,800,5.128205128,156
1069,2020,13,Summer,Beach,f,901,5.738853503,157
1069,2022,15,Summer,Beach,f,893,5.546583851,161
1069,2022,15,Summer,Beach,f,914,5.641975309,162
107,2008,1,Spring,Plateau,m,885,5.34097767,165.7
107,2008,1,Summer,Plateau,m,894,5.353293413,167
107,2010,3,Spring,Plateau,m,955,5.668328585,168.48
107,2011,4,Summer,Plateau,m,925,5.538922156,167
107,2012,5,Spring,Plateau,m,1014,6.035714286,168
107,2016,9,Spring,Plateau,m,1057,6.18128655,171
107,2016,9,Spring,Plateau,m,1097,6.377906977,172
107,2017,10,Spring,Plateau,m,1043,6.135294118,170
107,2018,11,Summer,Plateau,m,1108,6.404624277,173
107,2022,15,Spring,Plateau,m,1100,6.358381503,173
1070,2009,2,Spring,Plateau,m,1025,5.849788837,175.22
1070,2009,2,Summer,Plateau,m,1090,6.230707671,174.94
1070,2010,3,Spring,Plateau,m,1089,6.15602035,176.9
1070,2011,4,Summer,Plateau,m,1021,5.801136364,176
1070,2011,4,Summer,Plateau,m,1033,6.01981352,171.6
1070,2011,4,Summer,Plateau,m,1079,6.29154519,171.5
1070,2016,9,Summer,Plateau,m,1089,6.1875,176
1070,2017,10,Summer,Plateau,m,1074,6.102272727,176
1070,2018,11,Summer,Plateau,m,1083,6.153409091,176
1070,2021,14,Summer,Plateau,m,1056,6.034285714,175
1072,2009,2,Spring,Plateau,f,1296,6.592065107,196.6
1072,2011,4,Spring,Plateau,f,1278,6.570694087,194.5
1074,2009,2,Spring,Plateau,m,962,5.695003552,168.92
1074,2010,3,Spring,Plateau,m,1001,5.994011976,167
1074,2015,8,Summer,Plateau,m,1019,5.914103308,172.3
1074,2016,9,Spring,Plateau,m,1057,6.19941349,170.5
1074,2017,10,Spring,Plateau,m,1040,6.19047619,168
1074,2018,11,Spring,Plateau,m,1045,6.111111111,171
1074,2019,12,Spring,Plateau,m,1000,5.882352941,170
1074,2020,13,Summer,Plateau,m,1010,5.941176471,170
1074,2022,15,Spring,Plateau,m,1049,6.134502924,171
1076,2009,2,Spring,Plateau,m,887,5.462495381,162.38
1077,2022,15,Summer,Beach,m,653,4.324503311,151
1078,2009,2,Spring,Plateau,m,921,5.224346248,176.29
1078,2011,4,Summer,Plateau,m,915,5.21070615,175.6
1078,2012,5,Summer,Plateau,m,965,5.458144796,176.8
1078,2015,8,Summer,Plateau,m,1003,5.653889515,177.4
1078,2016,9,Spring,Plateau,m,963,5.440677966,177
1078,2019,12,Spring,Plateau,m,799,4.645348837,172
1078,2021,14,Summer,Plateau,m,950,5.523255814,172
1079,2009,2,Spring,Plateau,m,928,5.508072175,168.48
1079,2011,4,Summer,Plateau,m,945,5.494186047,172
1079,2011,4,Summer,Plateau,m,922,5.520958084,167
1079,2011,4,Spring,Plateau,m,962,5.675516224,169.5
1079,2016,9,Spring,Plateau,m,996,5.790697674,172
1079,2017,10,Spring,Plateau,m,994,5.847058824,170
1079,2018,11,Summer,Plateau,m,1033,5.971098266,173
1079,2019,12,Spring,Plateau,m,985,5.726744186,172
108,2008,1,Spring,Plateau,m,1129,6.227247656,181.3
108,2009,2,Spring,Plateau,m,1125,6.239600666,180.3
108,2010,3,Spring,Plateau,m,1203,6.629560234,181.46
108,2011,4,Summer,Plateau,m,1179,6.359223301,185.4
108,2016,9,Spring,Plateau,m,1248,6.857142857,182
108,2017,10,Spring,Plateau,m,1126,6.186813187,182
108,2017,10,Summer,Plateau,m,1132,6.254143646,181
108,2019,12,Spring,Plateau,m,1201,6.598901099,182
108,2020,13,Summer,Plateau,m,1137,6.179347826,184
108,2021,14,Summer,Plateau,m,1198,6.582417582,182
1080,2009,2,Spring,Plateau,m,1368.5,7.050489438,194.1
1080,2010,3,Spring,Plateau,m,1391,7.199792961,193.2
1081,2009,2,Spring,Plateau,m,1012,5.708805776,177.27
