Year,Sex,Name,Number,Rank
1998,Girl,Nishta,3,3848
1998,Girl,Nneka,5,2701
1998,Girl,Nnenna,5,2701
1998,Girl,Noa,4,3142
1998,Girl,Noam,3,3848
1998,Girl,Noemi,5,2701
1998,Girl,Noemie,3,3848
1998,Girl,Non,5,2701
1998,Girl,Noor,34,701
1998,Girl,Noora,5,2701
1998,Girl,Nora,13,1392
1998,Girl,Norah,3,3848
1998,Girl,Noreen,10,1697
1998,Girl,Norma,3,3848
1998,Girl,Nosheen,14,1319
1998,Girl,Noshin,10,1697
1998,Girl,Nour,7,2165
1998,Girl,Nourin,3,3848
1998,Girl,Nuala,15,1259
1998,Girl,Nuha,5,2701
1998,Girl,Numa,3,3848
1998,Girl,Nur,15,1259
1998,Girl,Nura,4,3142
1998,Girl,Nuria,5,2701
1998,Girl,Nurul,4,3142
1998,Girl,Nusaybah,9,1823
1998,Girl,Nusrat,19,1076
1998,Girl,Nusrath,5,2701
