Year,Sex,Name,Number,Rank
1998,Girl,Loretta,21,995
1998,Girl,Lori,26,846
1998,Girl,Lorianne,3,3848
1998,Girl,Lorna,198,208
1998,Girl,Lorraine,23,925
1998,Girl,Lorren,7,2165
1998,Girl,Loryn,4,3142
1998,Girl,Lotte,4,3142
1998,Girl,Lottie,47,571
1998,Girl,Louanne,3,3848
1998,Girl,Louisa,248,175
1998,Girl,Louise,1102,49
1998,Girl,Louisha,3,3848
1998,Girl,Lowenna,11,1571
1998,Girl,Lowri,121,300
1998,Girl,Lowrie,5,2701
1998,Girl,Luan,4,3142
1998,Girl,Luana,4,3142
1998,Girl,Luanna,3,3848
1998,Girl,Lubna,7,2165
1998,Girl,Lubnaa,5,2701
1998,Girl,Luca,6,2407
1998,Girl,Lucee,3,3848
1998,Girl,Luci,24,898
1998,Girl,Lucia,101,337
1998,Girl,Luciana,10,1697
1998,Girl,Lucianna,5,2701
1998,Girl,Lucianne,5,2701
1998,Girl,Lucie,183,229
1998,Girl,Lucienne,3,3848
1998,Girl,Lucille,14,1319
1998,Girl,Lucina,3,3848
1998,Girl,Lucinda,111,322
1998,Girl,Lucky,3,3848
1998,Girl,Lucrezia,3,3848
1998,Girl,Lucy,4515,10
1998,Girl,Lucy-Ann,7,2165
1998,Girl,Lucy-Anne,8,1979
1998,Girl,Lucy-Jane,4,3142
1998,Girl,Lucy-Jayne,4,3142
1998,Girl,Lucy-Mae,3,3848
1998,Girl,Lucy-Marie,3,3848
1998,Girl,Lucyann,3,3848
1998,Girl,Lucyanne,4,3142
1998,Girl,Luella,3,3848
1998,Girl,Luisa,35,683
1998,Girl,Luka,8,1979
1998,Girl,Lul,3,3848
1998,Girl,Lula,3,3848
1998,Girl,Lulu,8,1979
1998,Girl,Luna,7,2165
1998,Girl,Luul,4,3142
1998,Girl,Lyba,4,3142
1998,Girl,Lydia,1083,50
1998,Girl,Lynda,9,1823
1998,Girl,Lyndsay,3,3848
1998,Girl,Lyndsey,23,925
1998,Girl,Lynette,4,3142
1998,Girl,Lynn,8,1979
1998,Girl,Lynne,3,3848
1998,Girl,Lynnette,3,3848
1998,Girl,Lynsey,8,1979
1998,Girl,Maame,4,3142
1998,Girl,Maaria,16,1211
1998,Girl,Maariah,3,3848
1998,Girl,Maariya,11,1571
1998,Girl,Maariyaah,4,3142
1998,Girl,Maariyah,32,724
1998,Girl,Maarya,6,2407
1998,Girl,Mabel,21,995
1998,Girl,Macey,3,3848
1998,Girl,Mackenzie,38,649
1998,Girl,Madalaine,4,3142
1998,Girl,Madaleine,3,3848
1998,Girl,Madalene,3,3848
1998,Girl,Madaline,3,3848
1998,Girl,Maddi,3,3848
1998,Girl,Maddie,55,501
1998,Girl,Maddison,145,268
1998,Girl,Maddy,12,1480
1998,Girl,Madeeha,11,1571
1998,Girl,Madelaine,62,471
1998,Girl,Madeleine,601,86
1998,Girl,Madelene,5,2701
1998,Girl,Madeline,224,192
1998,Girl,Madelyn,11,1571
1998,Girl,Madelyne,6,2407
1998,Girl,Madhia,3,3848
1998,Girl,Madhvi,3,3848
1998,Girl,Madia,4,3142
1998,Girl,Madiha,15,1259
1998,Girl,Madihah,21,995
1998,Girl,Madina,5,2701
1998,Girl,Madison,229,187
1998,Girl,Madiya,9,1823
1998,Girl,Madlen,3,3848
1998,Girl,Mae,45,583
1998,Girl,Maegan,6,2407
1998,Girl,Maeve,38,649
1998,Girl,Magdalena,4,3142
1998,Girl,Magenta,4,3142
1998,Girl,Maggie,51,530
1998,Girl,Mah-Noor,4,3142
1998,Girl,Maha,13,1392
1998,Girl,Mahak,3,3848
1998,Girl,Mahalia,5,2701
1998,Girl,Maham,7,2165
1998,Girl,Mahbuba,5,2701
1998,Girl,Mahdiyah,3,3848
1998,Girl,Maheen,7,2165
1998,Girl,Mahfuza,6,2407
1998,Girl,Mahima,30,758
1998,Girl,Mahira,5,2701
1998,Girl,Mahisha,3,3848
1998,Girl,Mahiya,3,3848
1998,Girl,Mahjabin,3,3848
1998,Girl,Mahmuda,7,2165
1998,Girl,Mahnoor,25,869
1998,Girl,Mahreen,10,1697
1998,Girl,Mahria,3,3848
1998,Girl,Mahwish,3,3848
1998,Girl,Mai,17,1165
1998,Girl,Maia,96,349
1998,Girl,Maile,3,3848
1998,Girl,Maimoona,4,3142
1998,Girl,Mair,11,1571
1998,Girl,Maira,5,2701
1998,Girl,Mairead,20,1036
1998,Girl,Mairi,13,1392
1998,Girl,Maisey,5,2701
1998,Girl,Maisha,42,607
1998,Girl,Maisie,540,97
1998,Girl,Maisy,50,542
1998,Girl,Maiya,10,1697
1998,Girl,Maizey,4,3142
1998,Girl,Maizie,11,1571
1998,Girl,Maizy,4,3142
1998,Girl,Maja,11,1571
1998,Girl,Majida,3,3848
1998,Girl,Makayla,5,2701
1998,Girl,Makeda,14,1319
1998,Girl,Makenzie,6,2407
1998,Girl,Makita,4,3142
1998,Girl,Mala,5,2701
1998,Girl,Malaika,7,2165
1998,Girl,Malak,5,2701
1998,Girl,Malandra,3,3848
1998,Girl,Maleeha,7,2165
1998,Girl,Mali,10,1697
1998,Girl,Maliha,15,1259
1998,Girl,Malika,21,995
1998,Girl,Malikah,3,3848
1998,Girl,Malina,3,3848
1998,Girl,Malisha,3,3848
1998,Girl,Malka,12,1480
1998,Girl,Mallory,7,2165
1998,Girl,Mamoona,3,3848
1998,Girl,Mamuna,3,3848
1998,Girl,Man,4,3142
1998,Girl,Mana,3,3848
1998,Girl,Manahil,3,3848
1998,Girl,Manal,9,1823
1998,Girl,Mandeep,11,1571
1998,Girl,Mandy,13,1392
1998,Girl,Maninder,3,3848
1998,Girl,Manisha,52,522
1998,Girl,Manjot,5,2701
1998,Girl,Manolya,3,3848
1998,Girl,Manon,24,898
1998,Girl,Manpreet,24,898
1998,Girl,Manuela,4,3142
1998,Girl,Manveer,3,3848
1998,Girl,Manvinder,3,3848
1998,Girl,Manvir,4,3142
1998,Girl,Mara,9,1823
1998,Girl,Maram,4,3142
1998,Girl,Marcella,14,1319
1998,Girl,Marcia,21,995
1998,Girl,Marcie,6,2407
1998,Girl,Marcy,4,3142
1998,Girl,Mared,21,995
1998,Girl,Marella,3,3848
1998,Girl,Margaret,93,358
1998,Girl,Margarita,3,3848
1998,Girl,Marged,3,3848
1998,Girl,Margherita,4,3142
1998,Girl,Margot,15,1259
1998,Girl,Marguerite,4,3142
1998,Girl,Mari,27,817
1998,Girl,Maria,438,114
1998,Girl,Mariah,67,444
1998,Girl,Mariam,165,246
1998,Girl,Mariama,8,1979
1998,Girl,Marian,8,1979
1998,Girl,Mariana,7,2165
1998,Girl,Marianna,16,1211
1998,Girl,Marianne,54,508
1998,Girl,Marie,99,342
1998,Girl,Marie-Claire,5,2701
1998,Girl,Mariel,3,3848
1998,Girl,Mariella,19,1076
1998,Girl,Marielle,3,3848
1998,Girl,Marihah,5,2701
1998,Girl,Marika,7,2165
1998,Girl,Marilena,5,2701
1998,Girl,Marilyn,5,2701
1998,Girl,Marina,54,508
1998,Girl,Marine,4,3142
1998,Girl,Marion,10,1697
1998,Girl,Marisa,40,628
1998,Girl,Marisha,7,2165
1998,Girl,Marissa,30,758
1998,Girl,Marium,19,1076
1998,Girl,Mariya,30,758
1998,Girl,Mariyah,25,869
1998,Girl,Mariyam,18,1122
1998,Girl,Mariyum,6,2407
1998,Girl,Marjana,6,2407
1998,Girl,Marjia,3,3848
1998,Girl,Marla,7,2165
1998,Girl,Marleigh,4,3142
1998,Girl,Marlena,5,2701
1998,Girl,Marley,11,1571
1998,Girl,Marli,3,3848
1998,Girl,Marlie,3,3848
1998,Girl,Marni,32,724
1998,Girl,Marnie,70,435
