ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Лев Біле,0,0,0,0,1,0,0,0,1,48,2487
Puertosol (Eurospin),0,0,0,1,0,0,0,0,1,48,2487
Pull,0,0,0,1,0,0,0,0,1,48,2487
Queso Rallado Entrepinares,0,0,0,1,0,0,0,0,1,48,2487
C-Ice Cannabis Ice Tea,0,0,0,1,0,0,0,0,1,48,2487
Radenska Adriatic,0,0,0,0,1,0,0,0,1,48,2487
Pols,0,0,0,1,0,0,0,0,1,48,2487
Plackers,0,0,0,1,0,0,0,0,1,48,2487
Piškotek,0,0,0,0,0,1,0,0,1,48,2487
Pit Bul,0,0,0,1,0,0,0,0,1,48,2487
Pirate,0,0,0,1,0,0,0,0,1,48,2487
Pipas Facundo,0,0,0,1,0,0,0,0,1,48,2487
Мендмсммарс,0,0,0,1,0,0,0,0,1,48,2487
Piati Ozor,0,0,0,1,0,0,0,0,1,48,2487
Camel (R. J. Reynolds Tobacco Company),0,0,0,1,0,0,0,0,1,48,2487
Candy Nuts,0,0,0,1,0,0,0,0,1,48,2487
"Миколай Коперник, Виробник Прайм",0,0,0,1,0,0,0,0,1,48,2487
Pervachok,0,0,0,1,0,0,0,0,1,48,2487
Pernod Ricard,0,0,0,1,0,0,0,0,1,48,2487
Canlar,0,0,0,1,0,0,0,0,1,48,2487
"Микулин, Виробник Микулинецький Бровар",0,0,0,1,0,0,0,0,1,48,2487
Cappy,0,0,0,0,1,0,0,0,1,48,2487
"Aqua Life, Ids",0,0,0,0,1,0,0,0,1,48,2487
Mövenpick,0,0,0,0,0,1,0,0,1,48,2487
Apinitis,0,0,0,1,0,0,0,0,1,48,2487
Casali,0,0,1,0,0,0,0,0,1,48,2487
Maoman,0,0,0,1,0,0,0,0,1,48,2487
Līvu Senču,0,0,0,0,1,0,0,0,1,48,2487
MAMA,0,0,0,1,0,0,0,0,1,48,2487
"Росинка Прат ""Кзбн Росинка""",0,0,0,0,1,0,0,0,1,48,2487
Ром Кола Оболонь,0,0,0,1,0,0,0,0,1,48,2487
Magic,0,0,0,1,0,0,0,0,1,48,2487
Mamba,0,0,0,1,0,0,0,0,1,48,2487
Marienbade,0,0,0,1,0,0,0,0,1,48,2487
Lviv Croissantes,0,0,0,1,0,0,0,0,1,48,2487
Пепсіко,0,0,0,1,0,0,0,0,1,48,2487
Chio Itern Snec Poland,0,0,0,1,0,0,0,0,1,48,2487
"Регіна, Ат ""Мурованокуриловецький Завод Мiнеральної Води ""Регiна""",0,0,0,0,1,0,0,0,1,48,2487
Растишка,0,0,0,0,0,1,0,0,1,48,2487
"Пірат, Тм ""Pirate""",0,0,0,1,0,0,0,0,1,48,2487
"Пшенична, Виробник Олександрія Преміум",0,0,0,1,0,0,0,0,1,48,2487
Lvivske,0,0,0,0,1,0,0,0,1,48,2487
Luxe,0,0,0,1,0,0,0,0,1,48,2487
"Пшеничка, Виробник Концерн «Биг-М»",0,0,0,1,0,0,0,0,1,48,2487
Ljubljanske Mlekarne,0,0,0,0,0,1,0,0,1,48,2487
Своя Лінія Rolpot,0,0,0,0,0,1,0,0,1,48,2487
Lidl - Floralys,0,0,1,0,0,0,0,0,1,48,2487
Lielvardes,0,0,0,1,0,0,0,0,1,48,2487
Limo,0,0,0,1,0,0,0,0,1,48,2487
Lindt,0,0,0,1,0,0,0,0,1,48,2487
"Санріно, Виробник Пивоварня Зіберта",0,0,0,1,0,0,0,0,1,48,2487
Chopfab,0,0,0,1,0,0,0,0,1,48,2487
Alfred Ritter GmbH&Co,0,0,0,1,0,0,0,0,1,48,2487
Lofthouse Of Fleetwood,0,0,0,1,0,0,0,0,1,48,2487
"Alexx Коньяк, Виробник Дім Марочних Коньяків Таврія",0,0,0,1,0,0,0,0,1,48,2487
Lollipop,0,0,0,1,0,0,0,0,1,48,2487
Love Is,0,0,0,1,0,0,0,0,1,48,2487
Рута Пат Вгп,0,0,0,1,0,0,0,0,1,48,2487
Рудь Морозиво,0,0,0,1,0,0,0,0,1,48,2487
Chernihivske,0,0,0,0,1,0,0,0,1,48,2487
Chipcoa,0,0,0,1,0,0,0,0,1,48,2487
Minsk,0,0,0,1,0,0,0,0,1,48,2487
"Природне Джерело, Нові Продукти",0,0,0,0,1,0,0,0,1,48,2487
Miranda,0,0,0,0,1,0,0,0,1,48,2487
Cedevita (Atlantic Group),0,0,0,0,1,0,0,0,1,48,2487
Mom,0,0,0,1,0,0,0,0,1,48,2487
Minor,0,0,0,1,0,0,0,0,1,48,2487
Miilenium,0,0,0,1,0,0,0,0,1,48,2487
Mon Blanc,0,0,0,1,0,0,0,0,1,48,2487
Miezītis,0,0,0,0,1,0,0,0,1,48,2487
Montain Dew,0,0,0,0,1,0,0,0,1,48,2487
"Прикарпатський Коньяк, Виробник Galicia Distillery",0,0,0,1,0,0,0,0,1,48,2487
Mezzo mix,0,0,0,0,0,1,0,0,1,48,2487
Moods,0,0,0,1,0,0,0,0,1,48,2487
Mollis,0,0,0,1,0,0,0,0,1,48,2487
Mercator (Agrokor) - Natur,0,0,1,0,0,0,0,0,1,48,2487
Прінглс,0,0,0,1,0,0,0,0,1,48,2487
Moretti,0,0,0,1,0,0,0,0,1,48,2487
Alita,0,0,0,1,0,0,0,0,1,48,2487
Mega Choc,0,0,0,1,0,0,0,0,1,48,2487
"Amstel Berg, Виробник Родомишленик",0,0,0,1,0,0,0,0,1,48,2487
saila,0,0,0,0,0,0,0,0,0,48,2487
Amanhecer,0,0,0,0,0,0,0,0,0,48,2487
Aquina Water,0,0,0,0,0,0,0,0,0,48,2487
Andros,0,0,0,0,0,0,0,0,0,48,2487
Argus,0,0,0,0,0,0,0,0,0,48,2487
Aldi Dairyfine,0,0,0,0,0,0,0,0,0,48,2487
la menorquina,0,0,0,0,0,0,0,0,0,48,2487
lanjarÃ³n,0,0,0,0,0,0,0,0,0,48,2487
san miguel,0,0,0,0,0,0,0,0,0,48,2487
lilia,0,0,0,0,0,0,0,0,0,48,2487
limonata happy fresh,0,0,0,0,0,0,0,0,0,48,2487
selex,0,0,0,0,0,0,0,0,0,48,2487
nestlÃ¨,0,0,0,0,0,0,0,0,0,48,2487
Amica chips,0,0,0,0,0,0,0,0,0,48,2487
schwepps,0,0,0,0,0,0,0,0,0,48,2487
no brand,0,0,0,0,0,0,0,0,0,48,2487
schwarz,0,0,0,0,0,0,0,0,0,48,2487
risparmio casa,0,0,0,0,0,0,0,0,0,48,2487
shoes,0,0,0,0,0,0,0,0,0,48,2487
Appenzell still water,0,0,0,0,0,0,0,0,0,48,2487
Anheuser-Busch InBev,0,0,0,0,0,0,0,0,0,48,2487
swiss beverage,0,0,0,0,0,0,0,0,0,48,2487
AQUA FINA,0,0,0,0,0,0,0,0,0,48,2487
Aptonia,0,0,0,0,0,0,0,0,0,48,2487
Ã–ttingen,0,0,0,0,0,0,0,0,0,48,2487
Air China,0,0,0,0,0,0,0,0,0,48,2487
Argus beer- Lidl,0,0,0,0,0,0,0,0,0,48,2487
Ãœltje,0,0,0,0,0,0,0,0,0,48,2487
vipiteno,0,0,0,0,0,0,0,0,0,48,2487
various,0,0,0,0,0,0,0,0,0,48,2487
Absolut,0,0,0,0,0,0,0,0,0,48,2487
unknowns,0,0,0,0,0,0,0,0,0,48,2487
Ariana,0,0,0,0,0,0,0,0,0,48,2487
Allegra,0,0,0,0,0,0,0,0,0,48,2487
Auchan,0,0,0,0,0,0,0,0,0,48,2487
Alo Aloe Vera,0,0,0,0,0,0,0,0,0,48,2487
sveva,0,0,0,0,0,0,0,0,0,48,2487
sterilgarda,0,0,0,0,0,0,0,0,0,48,2487
Alisea,0,0,0,0,0,0,0,0,0,48,2487
Alpen,0,0,0,0,0,0,0,0,0,48,2487
664,0,0,0,0,0,0,0,0,0,48,2487
Alio,0,0,0,0,0,0,0,0,0,48,2487
Acqua Lete,0,0,0,0,0,0,0,0,0,48,2487
August Storck KG,0,0,0,0,0,0,0,0,0,48,2487
guilette,0,0,0,0,0,0,0,0,0,48,2487
22 carats - MKB Ltd.,0,0,0,0,0,0,0,0,0,48,2487
henkel,0,0,0,0,0,0,0,0,0,48,2487
Rugiada,0,0,0,0,0,0,0,0,0,48,2487
grazia,0,0,0,0,0,0,0,0,0,48,2487
Lavazza,0,0,0,0,0,0,0,0,0,48,2487
King,0,0,0,0,0,0,0,0,0,48,2487
Knopers,0,0,0,0,0,0,0,0,0,48,2487
Clivia,0,0,0,0,0,0,0,0,0,48,2487
Kraft Heinz Company,0,0,0,0,0,0,0,0,0,48,2487
L'Oreal,0,0,0,0,0,0,0,0,0,48,2487
Lacrinorm,0,0,0,0,0,0,0,0,0,48,2487
Claudia,0,0,0,0,0,0,0,0,0,48,2487
Lays Chip,0,0,0,0,0,0,0,0,0,48,2487
Kinder Ferrero,0,0,0,0,0,0,0,0,0,48,2487
Clarins,0,0,0,0,0,0,0,0,0,48,2487
Lidl - Argus beer,0,0,0,0,0,0,0,0,0,48,2487
Lidl Lager beer,0,0,0,0,0,0,0,0,0,48,2487
Lilia,0,0,0,0,0,0,0,0,0,48,2487
Lines,0,0,0,0,0,0,0,0,0,48,2487
Churches Chidden Bag,0,0,0,0,0,0,0,0,0,48,2487
Locatelli,0,0,0,0,0,0,0,0,0,48,2487
Kinderschokolade,0,0,0,0,0,0,0,0,0,48,2487
Kinde,0,0,0,0,0,0,0,0,0,48,2487
Istanbul,0,0,0,0,0,0,0,0,0,48,2487
Consorziari dias,0,0,0,0,0,0,0,0,0,48,2487
JOHNY WALKER,0,0,0,0,0,0,0,0,0,48,2487
Continente,0,0,0,0,0,0,0,0,0,48,2487
Contact Energy Drink,0,0,0,0,0,0,0,0,0,48,2487
Jim Beam,0,0,0,0,0,0,0,0,0,48,2487
Joe waffles,0,0,0,0,0,0,0,0,0,48,2487
Constellation,0,0,0,0,0,0,0,0,0,48,2487
Juba,0,0,0,0,0,0,0,0,0,48,2487
Conad,0,0,0,0,0,0,0,0,0,48,2487
Kimberly-Clark,0,0,0,0,0,0,0,0,0,48,2487
Juver,0,0,0,0,0,0,0,0,0,48,2487
Compal,0,0,0,0,0,0,0,0,0,48,2487
KOPRARBERG,0,0,0,0,0,0,0,0,0,48,2487
KP Snacks / Intersnack,0,0,0,0,0,0,0,0,0,48,2487
Kanchevi,0,0,0,0,0,0,0,0,0,48,2487
Karls Quell,0,0,0,0,0,0,0,0,0,48,2487
Cognac Slanchev bryag,0,0,0,0,0,0,0,0,0,48,2487
Lolipop,0,0,0,0,0,0,0,0,0,48,2487
Lowenbrau,0,0,0,0,0,0,0,0,0,48,2487
Lukchecta - Zaharni zavodi,0,0,0,0,0,0,0,0,0,48,2487
Castrol,0,0,0,0,0,0,0,0,0,48,2487
Merivo,0,0,0,0,0,0,0,0,0,48,2487
Michel,0,0,0,0,0,0,0,0,0,48,2487
Midka,0,0,0,0,0,0,0,0,0,48,2487
Mimosa,0,0,0,0,0,0,0,0,0,48,2487
Miracle-Gro,0,0,0,0,0,0,0,0,0,48,2487
Misia,0,0,0,0,0,0,0,0,0,48,2487
Cechetto,0,0,0,0,0,0,0,0,0,48,2487
Monte bianco,0,0,0,0,0,0,0,0,0,48,2487
Luso,0,0,0,0,0,0,0,0,0,48,2487
MorangÃ£o,0,0,0,0,0,0,0,0,0,48,2487
Moreni waffle - Mondelez Iternational,0,0,0,0,0,0,0,0,0,48,2487
Moreninha do Rio,0,0,0,0,0,0,0,0,0,48,2487
Castella,0,0,0,0,0,0,0,0,0,48,2487
Muller,0,0,0,0,0,0,0,0,0,48,2487
NESTLE AQUAREL,0,0,0,0,0,0,0,0,0,48,2487
NESTLE WATER AQUAREL,0,0,0,0,0,0,0,0,0,48,2487
Mentos Gum,0,0,0,0,0,0,0,0,0,48,2487
Menthos,0,0,0,0,0,0,0,0,0,48,2487
Cherisa,0,0,0,0,0,0,0,0,0,48,2487
Medastea,0,0,0,0,0,0,0,0,0,48,2487
LÃ¶wenbrÃ¤u,0,0,0,0,0,0,0,0,0,48,2487
MIGUELAÃ‘EZ,0,0,0,0,0,0,0,0,0,48,2487
MK,0,0,0,0,0,0,0,0,0,48,2487
MOM,0,0,0,0,0,0,0,0,0,48,2487
Chocko Smoki,0,0,0,0,0,0,0,0,0,48,2487
Malboro,0,0,0,0,0,0,0,0,0,48,2487
Maniva,0,0,0,0,0,0,0,0,0,48,2487
Martini,0,0,0,0,0,0,0,0,0,48,2487
Maspex Romania,0,0,0,0,0,0,0,0,0,48,2487
Mastika Vinprom Peshtera,0,0,0,0,0,0,0,0,0,48,2487
Maxi King,0,0,0,0,0,0,0,0,0,48,2487
Mc Donald's,0,0,0,0,0,0,0,0,0,48,2487
McDonaldâ€™s,0,0,0,0,0,0,0,0,0,48,2487
McKee Foods,0,0,0,0,0,0,0,0,0,48,2487
Meda,0,0,0,0,0,0,0,0,0,48,2487
Izidoro,0,0,0,0,0,0,0,0,0,48,2487
IntermarchÃ©,0,0,0,0,0,0,0,0,0,48,2487
Nature Tots,0,0,0,0,0,0,0,0,0,48,2487
Devin,0,0,0,0,0,0,0,0,0,48,2487
Eurospin,0,0,0,0,0,0,0,0,0,48,2487
Eurovast,0,0,0,0,0,0,0,0,0,48,2487
Evrikom,0,0,0,0,0,0,0,0,0,48,2487
FONT BELLA,0,0,0,0,0,0,0,0,0,48,2487
FONTANA DÂ´OR,0,0,0,0,0,0,0,0,0,48,2487
Fabia,0,0,0,0,0,0,0,0,0,48,2487
Famy,0,0,0,0,0,0,0,0,0,48,2487
Desperado,0,0,0,0,0,0,0,0,0,48,2487
Esselunga,0,0,0,0,0,0,0,0,0,48,2487
Feigling,0,0,0,0,0,0,0,0,0,48,2487
FeldschlÃ¶ssen,0,0,0,0,0,0,0,0,0,48,2487
FeldschlÃ¶ssli,0,0,0,0,0,0,0,0,0,48,2487
Derby,0,0,0,0,0,0,0,0,0,48,2487
Ferrarelle,0,0,0,0,0,0,0,0,0,48,2487
Fiorentini,0,0,0,0,0,0,0,0,0,48,2487
Fiorre Sherry 61,0,0,0,0,0,0,0,0,0,48,2487
"EstathÃ¨, San benedetto",0,0,0,0,0,0,0,0,0,48,2487
Eristoff,0,0,0,0,0,0,0,0,0,48,2487
Indofood,0,0,0,0,0,0,0,0,0,48,2487
Duplo,0,0,0,0,0,0,0,0,0,48,2487
Domino Pizza,0,0,0,0,0,0,0,0,0,48,2487
Don Simon,0,0,0,0,0,0,0,0,0,48,2487
Donic SchildkrÃ¶t,0,0,0,0,0,0,0,0,0,48,2487
Doria,0,0,0,0,0,0,0,0,0,48,2487
Dia,0,0,0,0,0,0,0,0,0,48,2487
Dextro Energen,0,0,0,0,0,0,0,0,0,48,2487
Dunnes simply better,0,0,0,0,0,0,0,0,0,48,2487
ESSO,0,0,0,0,0,0,0,0,0,48,2487
Energade,0,0,0,0,0,0,0,0,0,48,2487
ESTRELLA DAMM,0,0,0,0,0,0,0,0,0,48,2487
Eagle Energy Drink,0,0,0,0,0,0,0,0,0,48,2487
Eichhof,0,0,0,0,0,0,0,0,0,48,2487
Einsiedel,0,0,0,0,0,0,0,0,0,48,2487
Elgorriaga,0,0,0,0,0,0,0,0,0,48,2487
Elmer Citro,0,0,0,0,0,0,0,0,0,48,2487
Elvan truffles,0,0,0,0,0,0,0,0,0,48,2487
Deep beer - Lidl,0,0,0,0,0,0,0,0,0,48,2487
Fishermans Friend,0,0,0,0,0,0,0,0,0,48,2487
Fishermens Friends,0,0,0,0,0,0,0,0,0,48,2487
Hacendado,0,0,0,0,0,0,0,0,0,48,2487
Granarolo,0,0,0,0,0,0,0,0,0,48,2487
Gresso,0,0,0,0,0,0,0,0,0,48,2487
Crunchy,0,0,0,0,0,0,0,0,0,48,2487
Crispy waffles,0,0,0,0,0,0,0,0,0,48,2487
GuaranÃ,0,0,0,0,0,0,0,0,0,48,2487
HEB,0,0,0,0,0,0,0,0,0,48,2487
HIPP,0,0,0,0,0,0,0,0,0,48,2487
Haldengut,0,0,0,0,0,0,0,0,0,48,2487
DecÃ²,0,0,0,0,0,0,0,0,0,48,2487
Halter,0,0,0,0,0,0,0,0,0,48,2487
CreditSuisse,0,0,0,0,0,0,0,0,0,48,2487
Havaianas,0,0,0,0,0,0,0,0,0,48,2487
Costa Atum,0,0,0,0,0,0,0,0,0,48,2487
Hersheys,0,0,0,0,0,0,0,0,0,48,2487
Hosta,0,0,0,0,0,0,0,0,0,48,2487
Coop Trockenfleisch,0,0,0,0,0,0,0,0,0,48,2487
Gran Finale,0,0,0,0,0,0,0,0,0,48,2487
Gralsberg,0,0,0,0,0,0,0,0,0,48,2487
Gourmet,0,0,0,0,0,0,0,0,0,48,2487
Crystaline Still Water,0,0,0,0,0,0,0,0,0,48,2487
Floralys (Lidl),0,0,0,0,0,0,0,0,0,48,2487
Flying Row,0,0,0,0,0,0,0,0,0,48,2487
Fonte Azzurrina,0,0,0,0,0,0,0,0,0,48,2487
Fosters,0,0,0,0,0,0,0,0,0,48,2487
Free way,0,0,0,0,0,0,0,0,0,48,2487
Freedea,0,0,0,0,0,0,0,0,0,48,2487
Fresh,0,0,0,0,0,0,0,0,0,48,2487
Frigo,0,0,0,0,0,0,0,0,0,48,2487
David Energy Drinks,0,0,0,0,0,0,0,0,0,48,2487
Fruit Lay,0,0,0,0,0,0,0,0,0,48,2487
GTT,0,0,0,0,0,0,0,0,0,48,2487
Gaia,0,0,0,0,0,0,0,0,0,48,2487
DON SIMON,0,0,0,0,0,0,0,0,0,48,2487
GlaxoSmithKline,0,0,0,0,0,0,0,0,0,48,2487
DESPERADOS,0,0,0,0,0,0,0,0,0,48,2487
Natia,0,0,0,0,0,0,0,0,0,48,2487
Nelsen,0,0,0,0,0,0,0,0,0,48,2487
fonzies,0,0,0,0,0,0,0,0,0,48,2487
Bernardo,0,0,0,0,0,0,0,0,0,48,2487
Test,0,0,0,0,0,0,0,0,0,48,2487
Biffi,0,0,0,0,0,0,0,0,0,48,2487
Bierbrauerei Ãœetliberg,0,0,0,0,0,0,0,0,0,48,2487
The Kroger Company,0,0,0,0,0,0,0,0,0,48,2487
The elements,0,0,0,0,0,0,0,0,0,48,2487
Titanium Gordon,0,0,0,0,0,0,0,0,0,48,2487
Biber,0,0,0,0,0,0,0,0,0,48,2487
Trink Obst,0,0,0,0,0,0,0,0,0,48,2487
Tell,0,0,0,0,0,0,0,0,0,48,2487
Trojkan,0,0,0,0,0,0,0,0,0,48,2487
Tropical,0,0,0,0,0,0,0,0,0,48,2487
Troyka,0,0,0,0,0,0,0,0,0,48,2487
Twinings,0,0,0,0,0,0,0,0,0,48,2487
Twister,0,0,0,0,0,0,0,0,0,48,2487
Uliveto,0,0,0,0,0,0,0,0,0,48,2487
BeltÃ¨ NeslÃ¨,0,0,0,0,0,0,0,0,0,48,2487
Bifidus,0,0,0,0,0,0,0,0,0,48,2487
Tastino wffle,0,0,0,0,0,0,0,0,0,48,2487
Sole,0,0,0,0,0,0,0,0,0,48,2487
Staws,0,0,0,0,0,0,0,0,0,48,2487
Solmar,0,0,0,0,0,0,0,0,0,48,2487
Blues,0,0,0,0,0,0,0,0,0,48,2487
Sorgesana,0,0,0,0,0,0,0,0,0,48,2487
Sovereign,0,0,0,0,0,0,0,0,0,48,2487
Speedy,0,0,0,0,0,0,0,0,0,48,2487
Sprint,0,0,0,0,0,0,0,0,0,48,2487
Starbucks Straws,0,0,0,0,0,0,0,0,0,48,2487
Sternenbier,0,0,0,0,0,0,0,0,0,48,2487
TEQUILA FLAVOUR,0,0,0,0,0,0,0,0,0,48,2487
Striker,0,0,0,0,0,0,0,0,0,48,2487
Bird Scooter,0,0,0,0,0,0,0,0,0,48,2487
Sumol,0,0,0,0,0,0,0,0,0,48,2487
Sun Shopper,0,0,0,0,0,0,0,0,0,48,2487
Super Bock Group,0,0,0,0,0,0,0,0,0,48,2487
Superbock,0,0,0,0,0,0,0,0,0,48,2487
Switcher,0,0,0,0,0,0,0,0,0,48,2487
Beiersdorf Global AG,0,0,0,0,0,0,0,0,0,48,2487
Unknown Plastic Straws,0,0,0,0,0,0,0,0,0,48,2487
Up,0,0,0,0,0,0,0,0,0,48,2487
blues,0,0,0,0,0,0,0,0,0,48,2487
Zhivel Agro,0,0,0,0,0,0,0,0,0,48,2487
Zweifel Chips,0,0,0,0,0,0,0,0,0,48,2487
ZÃ¶pfli,0,0,0,0,0,0,0,0,0,48,2487
ZÃ¼ri,0,0,0,0,0,0,0,0,0,48,2487
auchan,0,0,0,0,0,0,0,0,0,48,2487
barnes,0,0,0,0,0,0,0,0,0,48,2487
beltÃ¨,0,0,0,0,0,0,0,0,0,48,2487
boario,0,0,0,0,0,0,0,0,0,48,2487
Barilla Group,0,0,0,0,0,0,0,0,0,48,2487
chipster,0,0,0,0,0,0,0,0,0,48,2487
chiquita,0,0,0,0,0,0,0,0,0,48,2487
consorziati dias,0,0,0,0,0,0,0,0,0,48,2487
elah dufur,0,0,0,0,0,0,0,0,0,48,2487
estathÃ¨,0,0,0,0,0,0,0,0,0,48,2487
fantastic delite,0,0,0,0,0,0,0,0,0,48,2487
fiorucci,0,0,0,0,0,0,0,0,0,48,2487
Zagorka,0,0,0,0,0,0,0,0,0,48,2487
Yoga,0,0,0,0,0,0,0,0,0,48,2487
Yakult,0,0,0,0,0,0,0,0,0,48,2487
XTC Guarana,0,0,0,0,0,0,0,0,0,48,2487
Vera,0,0,0,0,0,0,0,0,0,48,2487
Vera NestlÃ¨,0,0,0,0,0,0,0,0,0,48,2487
Victoria,0,0,0,0,0,0,0,0,0,48,2487
Viladrau,0,0,0,0,0,0,0,0,0,48,2487
Vimprom Yambol wine,0,0,0,0,0,0,0,0,0,48,2487
Vitalis,0,0,0,0,0,0,0,0,0,48,2487
VogelnÃ¤stli,0,0,0,0,0,0,0,0,0,48,2487
Volg,0,0,0,0,0,0,0,0,0,48,2487
Walls,0,0,0,0,0,0,0,0,0,48,2487
Walmart Bag,0,0,0,0,0,0,0,0,0,48,2487
Balisto,0,0,0,0,0,0,0,0,0,48,2487
Bachmann,0,0,0,0,0,0,0,0,0,48,2487
Wiener FeinbÃ¤cker,0,0,0,0,0,0,0,0,0,48,2487
BUDVEISER,0,0,0,0,0,0,0,0,0,48,2487
BIC (lighter),0,0,0,0,0,0,0,0,0,48,2487
Solero Exotic,0,0,0,0,0,0,0,0,0,48,2487
Bluseco,0,0,0,0,0,0,0,0,0,48,2487
NestlÃ¨,0,0,0,0,0,0,0,0,0,48,2487
Pingo Doce,0,0,0,0,0,0,0,0,0,48,2487
Pasta Salad,0,0,0,0,0,0,0,0,0,48,2487
Pavesini,0,0,0,0,0,0,0,0,0,48,2487
Pejo,0,0,0,0,0,0,0,0,0,48,2487
Penacova,0,0,0,0,0,0,0,0,0,48,2487
Perfetti,0,0,0,0,0,0,0,0,0,48,2487
Peshtera - mastic,0,0,0,0,0,0,0,0,0,48,2487
Pickup,0,0,0,0,0,0,0,0,0,48,2487
Pirinsko - Carlsberg Bulgaria,0,0,0,0,0,0,0,0,0,48,2487
Caprisun,0,0,0,0,0,0,0,0,0,48,2487
CIRC Scooter,0,0,0,0,0,0,0,0,0,48,2487
PitÃ©u,0,0,0,0,0,0,0,0,0,48,2487
Potato chip,0,0,0,0,0,0,0,0,0,48,2487
Presolana,0,0,0,0,0,0,0,0,0,48,2487
Prestizh,0,0,0,0,0,0,0,0,0,48,2487
Prestizh - Cosmetic Company Rosa,0,0,0,0,0,0,0,0,0,48,2487
CHOPF AB,0,0,0,0,0,0,0,0,0,48,2487
Passaia,0,0,0,0,0,0,0,0,0,48,2487
Party Honey Nuts,0,0,0,0,0,0,0,0,0,48,2487
Slushpuppy,0,0,0,0,0,0,0,0,0,48,2487
Nova Brasilia - Jacobs Douwe Egberts BG,0,0,0,0,0,0,0,0,0,48,2487
Nici Stofftier,0,0,0,0,0,0,0,0,0,48,2487
Nike,0,0,0,0,0,0,0,0,0,48,2487
No brand,0,0,0,0,0,0,0,0,0,48,2487
Noberasco,0,0,0,0,0,0,0,0,0,48,2487
Nokia,0,0,0,0,0,0,0,0,0,48,2487
Norda,0,0,0,0,0,0,0,0,0,48,2487
Nova AÃ§ores,0,0,0,0,0,0,0,0,0,48,2487
Novest - M - Sahand Ltd.,0,0,0,0,0,0,0,0,0,48,2487
Parmareggio,0,0,0,0,0,0,0,0,0,48,2487
Nutrisystem,0,0,0,0,0,0,0,0,0,48,2487
OK (Valora),0,0,0,0,0,0,0,0,0,48,2487
Carioca,0,0,0,0,0,0,0,0,0,48,2487
OlÃ¡,0,0,0,0,0,0,0,0,0,48,2487
Ottarkinger,0,0,0,0,0,0,0,0,0,48,2487
"""Inko"" noodles / Ð®Ñ„ÐºÐ° â€œÐ˜Ð½ÐºÐ¾""",0,0,0,0,0,0,0,0,0,48,2487
Captain Morgan,0,0,0,0,0,0,0,0,0,48,2487
Princes,0,0,0,0,0,0,0,0,0,48,2487
Prix Garantie,0,0,0,0,0,0,0,0,0,48,2487
CABREIORA AGUA,0,0,0,0,0,0,0,0,0,48,2487
Schulte,0,0,0,0,0,0,0,0,0,48,2487
"Borovets waffles ""Day&Night""Ltd.",0,0,0,0,0,0,0,0,0,48,2487
Sant'Agata,0,0,0,0,0,0,0,0,0,48,2487
Sant'Anna,0,0,0,0,0,0,0,0,0,48,2487
Santal,0,0,0,0,0,0,0,0,0,48,2487
Savitos,0,0,0,0,0,0,0,0,0,48,2487
Scala,0,0,0,0,0,0,0,0,0,48,2487
Schokko Bons,0,0,0,0,0,0,0,0,0,48,2487
Schwarten Magen,0,0,0,0,0,0,0,0,0,48,2487
Pueblo,0,0,0,0,0,0,0,0,0,48,2487
Schweps,0,0,0,0,0,0,0,0,0,48,2487
SchÃ¼tzengarten,0,0,0,0,0,0,0,0,0,48,2487
Sellers Groceries bag,0,0,0,0,0,0,0,0,0,48,2487
Sexergy,0,0,0,0,0,0,0,0,0,48,2487
Bom Petisco,0,0,0,0,0,0,0,0,0,48,2487
Shumensko - Carlsberg Bulgaria,0,0,0,0,0,0,0,0,0,48,2487
Signal Tootpaste,0,0,0,0,0,0,0,0,0,48,2487
San carlo,0,0,0,0,0,0,0,0,0,48,2487
San Miguel (beer),0,0,0,0,0,0,0,0,0,48,2487
San Miguel,0,0,0,0,0,0,0,0,0,48,2487
San Carlo,0,0,0,0,0,0,0,0,0,48,2487
Purina gourmet,0,0,0,0,0,0,0,0,0,48,2487
Raak,0,0,0,0,0,0,0,0,0,48,2487
Ramseier,0,0,0,0,0,0,0,0,0,48,2487
RayBan,0,0,0,0,0,0,0,0,0,48,2487
Red Label Whisky,0,0,0,0,0,0,0,0,0,48,2487
Refresco Benelux,0,0,0,0,0,0,0,0,0,48,2487
Regina,0,0,0,0,0,0,0,0,0,48,2487
Bubblegum,0,0,0,0,0,0,0,0,0,48,2487
Brazil kaffee,0,0,0,0,0,0,0,0,0,48,2487
Roccfina,0,0,0,0,0,0,0,0,0,48,2487
Romeo,0,0,0,0,0,0,0,0,0,48,2487
Ross Dress for Less,0,0,0,0,0,0,0,0,0,48,2487
Rudolf Wild & Co.,0,0,0,0,0,0,0,0,0,48,2487
Bosque Verde,0,0,0,0,0,0,0,0,0,48,2487
Samari Cacahuate Japones,0,0,0,0,0,0,0,0,0,48,2487
"""ESE""",0,0,0,0,0,0,0,0,0,48,2487
