ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
De la rosa,0,0,0,0,0,0,0,0,50,797
Dentict,0,0,0,0,0,0,0,0,50,797
Devoralien,0,0,0,0,0,0,0,0,50,797
Dinant / yummie,0,0,0,0,0,0,0,0,50,797
Dip n Dots,0,0,0,0,0,0,0,0,50,797
Discover Card,0,0,0,0,0,0,0,0,50,797
Ditta flex,0,0,0,0,0,0,0,0,50,797
Belmont,0,0,0,0,0,0,0,0,50,797
Dixie 16oz,0,0,0,0,0,0,0,0,50,797
Bella Vista,0,0,0,0,0,0,0,0,50,797
Beach Body,0,0,0,0,0,0,0,0,50,797
Don Vasco,0,0,0,0,0,0,0,0,50,797
Donitas,0,0,0,0,0,0,0,0,50,797
Dorco Shai 3,0,0,0,0,0,0,0,0,50,797
Fiesta Grocery Bag,0,0,0,0,0,0,0,0,50,797
Fiji,0,0,0,0,0,0,0,0,50,797
HEB soap,0,0,0,0,0,0,0,0,50,797
Grandmas,0,0,0,0,0,0,0,0,50,797
Giant Eagle,0,0,0,0,0,0,0,0,50,797
Glacier,0,0,0,0,0,0,0,0,50,797
Gloria,0,0,0,0,0,0,0,0,50,797
Goetze Bull's Eye,0,0,0,0,0,0,0,0,50,797
Base Culture,0,0,0,0,0,0,0,0,50,797
Good Times,0,0,0,0,0,0,0,0,50,797
Grace,0,0,0,0,0,0,0,0,50,797
Graphic Packaging,0,0,0,0,0,0,0,0,50,797
Fire Ball,0,0,0,0,0,0,0,0,50,797
Great Value 16oz,0,0,0,0,0,0,0,0,50,797
Green ware,0,0,0,0,0,0,0,0,50,797
Grocery Outlet,0,0,0,0,0,0,0,0,50,797
Grope Gullia,0,0,0,0,0,0,0,0,50,797
H&M,0,0,0,0,0,0,0,0,50,797
HC Plus Apple Juice,0,0,0,0,0,0,0,0,50,797
HDX,0,0,0,0,0,0,0,0,50,797
Giant 32oz,0,0,0,0,0,0,0,0,50,797
General Mills Fruit Snacks,0,0,0,0,0,0,0,0,50,797
Bawsch & Lomb,0,0,0,0,0,0,0,0,50,797
Gamesa Clasicas,0,0,0,0,0,0,0,0,50,797
Foca,0,0,0,0,0,0,0,0,50,797
Foggies Wipes,0,0,0,0,0,0,0,0,50,797
Folger's,0,0,0,0,0,0,0,0,50,797
Forbidden Farms,0,0,0,0,0,0,0,0,50,797
Franz Bakery,0,0,0,0,0,0,0,0,50,797
Fred Meyer,0,0,0,0,0,0,0,0,50,797
French's,0,0,0,0,0,0,0,0,50,797
Fresh Start,0,0,0,0,0,0,0,0,50,797
Frito Chips,0,0,0,0,0,0,0,0,50,797
Fryen,0,0,0,0,0,0,0,0,50,797
Fujifilm,0,0,0,0,0,0,0,0,50,797
G 500,0,0,0,0,0,0,0,0,50,797
GSK,0,0,0,0,0,0,0,0,50,797
Game Cisars,0,0,0,0,0,0,0,0,50,797
Game Garcia & Vega,0,0,0,0,0,0,0,0,50,797
De la Rosa,0,0,0,0,0,0,0,0,50,797
David Seeds,0,0,0,0,0,0,0,0,50,797
"Dasani, Gatorade, Unknown",0,0,0,0,0,0,0,0,50,797
Caprisun,0,0,0,0,0,0,0,0,50,797
COPO,0,0,0,0,0,0,0,0,50,797
Calvin Klein,0,0,0,0,0,0,0,0,50,797
Big Wild Water,0,0,0,0,0,0,0,0,50,797
Camel Crush,0,0,0,0,0,0,0,0,50,797
Campbell Soup Company,0,0,0,0,0,0,0,0,50,797
Canelitas,0,0,0,0,0,0,0,0,50,797
Capri Sun/Kraft,0,0,0,0,0,0,0,0,50,797
Captain Morgan,0,0,0,0,0,0,0,0,50,797
Benson & Hedges 100's,0,0,0,0,0,0,0,0,50,797
Cardinal Health,0,0,0,0,0,0,0,0,50,797
Carlsens,0,0,0,0,0,0,0,0,50,797
Casey's General Store,0,0,0,0,0,0,0,0,50,797
Champs Elysees,0,0,0,0,0,0,0,0,50,797
Chapstick,0,0,0,0,0,0,0,0,50,797
Charms Blow Pop,0,0,0,0,0,0,0,0,50,797
Chewy Fruity,0,0,0,0,0,0,0,0,50,797
CM mr,0,0,0,0,0,0,0,0,50,797
Busch light,0,0,0,0,0,0,0,0,50,797
Busch Beer,0,0,0,0,0,0,0,0,50,797
Buddig,0,0,0,0,0,0,0,0,50,797
Blue Diamond Growers,0,0,0,0,0,0,0,0,50,797
Blunt Wrap,0,0,0,0,0,0,0,0,50,797
Bistro Box,0,0,0,0,0,0,0,0,50,797
Body Armor 16oz,0,0,0,0,0,0,0,0,50,797
Bimbo Multi Grain,0,0,0,0,0,0,0,0,50,797
Bomb Pop,0,0,0,0,0,0,0,0,50,797
Bombay Sapphire,0,0,0,0,0,0,0,0,50,797
Booster Cuterprise,0,0,0,0,0,0,0,0,50,797
Borski,0,0,0,0,0,0,0,0,50,797
Brachâ€™s,0,0,0,0,0,0,0,0,50,797
Bran Frut,0,0,0,0,0,0,0,0,50,797
Brims,0,0,0,0,0,0,0,0,50,797
Brookshires,0,0,0,0,0,0,0,0,50,797
Brookshires Water,0,0,0,0,0,0,0,0,50,797
Bigotes,0,0,0,0,0,0,0,0,50,797
Chex- Mix,0,0,0,0,0,0,0,0,50,797
Chick-Fil-a 20oz,0,0,0,0,0,0,0,0,50,797
Chick-fil-a,0,0,0,0,0,0,0,0,50,797
Coronado,0,0,0,0,0,0,0,0,50,797
Best Way,0,0,0,0,0,0,0,0,50,797
Creamy PB,0,0,0,0,0,0,0,0,50,797
Crujitos,0,0,0,0,0,0,0,0,50,797
Crush 20oz,0,0,0,0,0,0,0,0,50,797
Crusi,0,0,0,0,0,0,0,0,50,797
Crystal Creamery,0,0,0,0,0,0,0,0,50,797
Crystal Lake,0,0,0,0,0,0,0,0,50,797
Cubasa,0,0,0,0,0,0,0,0,50,797
Culligan water,0,0,0,0,0,0,0,0,50,797
Cvs lens wipe,0,0,0,0,0,0,0,0,50,797
D'Gari,0,0,0,0,0,0,0,0,50,797
DIF Cereal Integral,0,0,0,0,0,0,0,0,50,797
Dannon Oikos,0,0,0,0,0,0,0,0,50,797
Danonino,0,0,0,0,0,0,0,0,50,797
Danup,0,0,0,0,0,0,0,0,50,797
Cosecha Pura,0,0,0,0,0,0,0,0,50,797
Big Blue,0,0,0,0,0,0,0,0,50,797
Chik Fil A,0,0,0,0,0,0,0,0,50,797
Cool Plus,0,0,0,0,0,0,0,0,50,797
Chinet,0,0,0,0,0,0,0,0,50,797
Chips Ahoy mini,0,0,0,0,0,0,0,0,50,797
Chispitas,0,0,0,0,0,0,0,0,50,797
Chobani,0,0,0,0,0,0,0,0,50,797
Choco Milk,0,0,0,0,0,0,0,0,50,797
Choco Roles,0,0,0,0,0,0,0,0,50,797
Circle K,0,0,0,0,0,0,0,0,50,797
Cisco,0,0,0,0,0,0,0,0,50,797
Clancy's,0,0,0,0,0,0,0,0,50,797
Cliff Bar,0,0,0,0,0,0,0,0,50,797
Columbia Basin Ice,0,0,0,0,0,0,0,0,50,797
Columbina,0,0,0,0,0,0,0,0,50,797
ConVermex,0,0,0,0,0,0,0,0,50,797
Condom,0,0,0,0,0,0,0,0,50,797
Condor Grainger,0,0,0,0,0,0,0,0,50,797
HDX Coverall,0,0,0,0,0,0,0,0,50,797
Basco,0,0,0,0,0,0,0,0,50,797
PallMall,0,0,0,0,0,0,0,0,50,797
Black and Mild,0,0,0,0,0,0,0,0,50,797
McCormick,0,0,0,0,0,0,0,0,50,797
McDonald,0,0,0,0,0,0,0,0,50,797
McKee Foods,0,0,0,0,0,0,0,0,50,797
Medelo,0,0,0,0,0,0,0,0,50,797
Medifast,0,0,0,0,0,0,0,0,50,797
Melissa's,0,0,0,0,0,0,0,0,50,797
Member Mart,0,0,0,0,0,0,0,0,50,797
MicaForro,0,0,0,0,0,0,0,0,50,797
Mogu Mogu 33oz,0,0,0,0,0,0,0,0,50,797
Michelobe,0,0,0,0,0,0,0,0,50,797
Miduelob,0,0,0,0,0,0,0,0,50,797
Mike's Hard,0,0,0,0,0,0,0,0,50,797
Miler lite Beer 16oz,0,0,0,0,0,0,0,0,50,797
Arrowhead water,0,0,0,0,0,0,0,0,50,797
Mini Pay,0,0,0,0,0,0,0,0,50,797
Mission,0,0,0,0,0,0,0,0,50,797
Matec,0,0,0,0,0,0,0,0,50,797
Marvel,0,0,0,0,0,0,0,0,50,797
Maruchan Instant Lunch,0,0,0,0,0,0,0,0,50,797
Market Essential Water,0,0,0,0,0,0,0,0,50,797
4 Aces Cigar,0,0,0,0,0,0,0,0,50,797
Living Essentials,0,0,0,0,0,0,0,0,50,797
Local,0,0,0,0,0,0,0,0,50,797
Lorana Bottle,0,0,0,0,0,0,0,0,50,797
Los 19 Hermanos,0,0,0,0,0,0,0,0,50,797
Lucas Gusano,0,0,0,0,0,0,0,0,50,797
Lucerne,0,0,0,0,0,0,0,0,50,797
Bah Habour,0,0,0,0,0,0,0,0,50,797
Madalenas,0,0,0,0,0,0,0,0,50,797
Maisto,0,0,0,0,0,0,0,0,50,797
Malaga,0,0,0,0,0,0,0,0,50,797
Backwood,0,0,0,0,0,0,0,0,50,797
Manzela Japenese Peanuts,0,0,0,0,0,0,0,0,50,797
Marca Maizena,0,0,0,0,0,0,0,0,50,797
Marias,0,0,0,0,0,0,0,0,50,797
Mobil 1,0,0,0,0,0,0,0,0,50,797
Molson,0,0,0,0,0,0,0,0,50,797
Hasbro,0,0,0,0,0,0,0,0,50,797
Orion Confectionery,0,0,0,0,0,0,0,0,50,797
Obleas,0,0,0,0,0,0,0,0,50,797
Ocho Rios,0,0,0,0,0,0,0,0,50,797
Oikos,0,0,0,0,0,0,0,0,50,797
Old Tyme,0,0,0,0,0,0,0,0,50,797
Olivet International Inc,0,0,0,0,0,0,0,0,50,797
Orbit Gum Wrapper,0,0,0,0,0,0,0,0,50,797
Orchard Value Harvest 28gm,0,0,0,0,0,0,0,0,50,797
Oscar Mayer,0,0,0,0,0,0,0,0,50,797
Arrowhead,0,0,0,0,0,0,0,0,50,797
Otsuka,0,0,0,0,0,0,0,0,50,797
Apple + Eve 4oz,0,0,0,0,0,0,0,0,50,797
PMFTC,0,0,0,0,0,0,0,0,50,797
Anheuser Bush: Budweiser,0,0,0,0,0,0,0,0,50,797
Pake Taxo,0,0,0,0,0,0,0,0,50,797
Paleta Payaso,0,0,0,0,0,0,0,0,50,797
Paleta malva bony pop,0,0,0,0,0,0,0,0,50,797
Arcoiris,0,0,0,0,0,0,0,0,50,797
Nutri Yogurt,0,0,0,0,0,0,0,0,50,797
North Star,0,0,0,0,0,0,0,0,50,797
Nissin,0,0,0,0,0,0,0,0,50,797
"Monster, Coors, Modelo, Blue Sky, Minute Maid, Diet Samâ€™s Cola, Budweiser, Mtn Dew",0,0,0,0,0,0,0,0,50,797
Montana,0,0,0,0,0,0,0,0,50,797
Morinaga & Company,0,0,0,0,0,0,0,0,50,797
Mothers Circus Animal cookies,0,0,0,0,0,0,0,0,50,797
Multi Grano Linaza,0,0,0,0,0,0,0,0,50,797
Multiple Brands,0,0,0,0,0,0,0,0,50,797
Murgo Lias,0,0,0,0,0,0,0,0,50,797
N/A(regular plastic cups)),0,0,0,0,0,0,0,0,50,797
N/I,0,0,0,0,0,0,0,0,50,797
Naranjazo,0,0,0,0,0,0,0,0,50,797
Nature Mint,0,0,0,0,0,0,0,0,50,797
Nestles: Smarties,0,0,0,0,0,0,0,0,50,797
New Porf Cig,0,0,0,0,0,0,0,0,50,797
New Season's Market,0,0,0,0,0,0,0,0,50,797
Niagra,0,0,0,0,0,0,0,0,50,797
Little Ceasars,0,0,0,0,0,0,0,0,50,797
Link,0,0,0,0,0,0,0,0,50,797
Lifestyles,0,0,0,0,0,0,0,0,50,797
Inspireka,0,0,0,0,0,0,0,0,50,797
Howard Leight by Honeywell,0,0,0,0,0,0,0,0,50,797
"Hubertâ€™s Lemonade, Bacardi",0,0,0,0,0,0,0,0,50,797
Humpty Dumpty,0,0,0,0,0,0,0,0,50,797
Baronet,0,0,0,0,0,0,0,0,50,797
Impact Recovery,0,0,0,0,0,0,0,0,50,797
Imperial Brands,0,0,0,0,0,0,0,0,50,797
Indian Summer,0,0,0,0,0,0,0,0,50,797
Iris,0,0,0,0,0,0,0,0,50,797
Life Water 16oz,0,0,0,0,0,0,0,0,50,797
J.M. Smuckers,0,0,0,0,0,0,0,0,50,797
Barilla Group,0,0,0,0,0,0,0,0,50,797
Jacks Surfboard,0,0,0,0,0,0,0,0,50,797
Jolly Ranchers,0,0,0,0,0,0,0,0,50,797
Jovy,0,0,0,0,0,0,0,0,50,797
Jumex,0,0,0,0,0,0,0,0,50,797
Just the Basic,0,0,0,0,0,0,0,0,50,797
Houchens Industries,0,0,0,0,0,0,0,0,50,797
Hotkis,0,0,0,0,0,0,0,0,50,797
Hormel Foods Corporation,0,0,0,0,0,0,0,0,50,797
Hoody's,0,0,0,0,0,0,0,0,50,797
Hawaiian,0,0,0,0,0,0,0,0,50,797
Barritas,0,0,0,0,0,0,0,0,50,797
Helados del Sol,0,0,0,0,0,0,0,0,50,797
Henkel,0,0,0,0,0,0,0,0,50,797
Hersey,0,0,0,0,0,0,0,0,50,797
Hersey's,0,0,0,0,0,0,0,0,50,797
Hersheys,0,0,0,0,0,0,0,0,50,797
Hi-C,0,0,0,0,0,0,0,0,50,797
Hielo,0,0,0,0,0,0,0,0,50,797
Higueral Produce,0,0,0,0,0,0,0,0,50,797
Hill Country 16oz,0,0,0,0,0,0,0,0,50,797
Hill County Fare,0,0,0,0,0,0,0,0,50,797
Hillandale Farms,0,0,0,0,0,0,0,0,50,797
Hillcountry Fair,0,0,0,0,0,0,0,0,50,797
Home Coffee Solutions,0,0,0,0,0,0,0,0,50,797
Kacang,0,0,0,0,0,0,0,0,50,797
Kamel,0,0,0,0,0,0,0,0,50,797
Kar's,0,0,0,0,0,0,0,0,50,797
Kool aid james,0,0,0,0,0,0,0,0,50,797
L & M,0,0,0,0,0,0,0,0,50,797
LCBO,0,0,0,0,0,0,0,0,50,797
LD,0,0,0,0,0,0,0,0,50,797
LP football,0,0,0,0,0,0,0,0,50,797
La Brisa Ice Cream,0,0,0,0,0,0,0,0,50,797
La Lechera,0,0,0,0,0,0,0,0,50,797
La Luz,0,0,0,0,0,0,0,0,50,797
La Sabrosita,0,0,0,0,0,0,0,0,50,797
Lala Crema,0,0,0,0,0,0,0,0,50,797
Lala Yomi,0,0,0,0,0,0,0,0,50,797
Largo,0,0,0,0,0,0,0,0,50,797
Lays chip bag,0,0,0,0,0,0,0,0,50,797
Lays chips,0,0,0,0,0,0,0,0,50,797
Leche Araceli,0,0,0,0,0,0,0,0,50,797
Leviton,0,0,0,0,0,0,0,0,50,797
Bardahl,0,0,0,0,0,0,0,0,50,797
Kool aid Jamers,0,0,0,0,0,0,0,0,50,797
Barea Coffee Company,0,0,0,0,0,0,0,0,50,797
Kool Filter Kings,0,0,0,0,0,0,0,0,50,797
Karate,0,0,0,0,0,0,0,0,50,797
Karyme,0,0,0,0,0,0,0,0,50,797
Kean Coffee,0,0,0,0,0,0,0,0,50,797
Kellog's,0,0,0,0,0,0,0,0,50,797
Kelloge Fruit Snacks,0,0,0,0,0,0,0,0,50,797
Kellogg's,0,0,0,0,0,0,0,0,50,797
Kelloggs,0,0,0,0,0,0,0,0,50,797
Kettle Brand,0,0,0,0,0,0,0,0,50,797
Kettle Chip,0,0,0,0,0,0,0,0,50,797
Kikkoman,0,0,0,0,0,0,0,0,50,797
Kirk land,0,0,0,0,0,0,0,0,50,797
Kirkland Apple Juice,0,0,0,0,0,0,0,0,50,797
Kirkland Signiture,0,0,0,0,0,0,0,0,50,797
Kirkland Water,0,0,0,0,0,0,0,0,50,797
Kisko,0,0,0,0,0,0,0,0,50,797
Little Debbieâ€™s,0,0,0,0,0,0,0,0,50,797
