song_id,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity
-twistin'-White Silver SandsBill Black's Combo,Bill Black's Combo,-twistin'-White Silver Sands,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
¿Dònde Està Santa Claus? (Where Is Santa Claus?)Augie Rios,Augie Rios,¿Dònde Està Santa Claus? (Where Is Santa Claus?),['novelty'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
......And Roses And RosesAndy Williams,Andy Williams,......And Roses And Roses,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",3tvqPPpXyIgKrm4PR9HCf0,https://p.scdn.co/mp3-preview/cef4883cfd1e0e5312be7ccce98176cff46d7879?cid=b8d3901151d34489a160e3cf0ab1fa94,166106,FALSE,The Essential Andy Williams,0.154,0.185,5,-14.063,1,0.0315,0.911,2.67e-4,0.112,0.15,83.969,4,38
...And Then There Were DrumsSandy Nelson,Sandy Nelson,...And Then There Were Drums,"['rock-and-roll', 'space age pop', 'surf music']",1fHHq3qHU8wpRKHzhojZ4a,NA,172066,FALSE,Compelling Percussion,0.588,0.672,11,-17.278,0,0.0361,0.00256,0.745,0.145,0.801,121.962,4,11
...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"['dance pop', 'pop', 'post-teen pop']",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066,FALSE,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0,-5.745,0,0.0307,0.202,1.31e-4,0.443,0.907,92.96,4,77
...Ready For It?Taylor Swift,Taylor Swift,...Ready For It?,"['pop', 'post-teen pop']",2yLa0QULdQr0qAIvVwN6B5,NA,208186,FALSE,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'available_markets': ['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW'], 'external_urls': {'spotify': 'https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv'}, 'href': 'https://api.spotify.com/v1/albums/6DEjYFkNZh67HP7R9PSZvv', 'id': '6DEjYFkNZh67HP7R9PSZvv', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b', 'width': 64}], 'name': 'reputation', 'release_date': '2017-11-10', 'release_date_precision': 'day', 'total_tracks': 15, 'type': 'album', 'uri': 'spotify:album:6DEjYFkNZh67HP7R9PSZvv'}",0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,4,73
'03 Bonnie & ClydeJay-Z Featuring Beyonce Knowles,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",5ljCWsDlSyJ41kwqym2ORw,NA,205560,TRUE,The Blueprint 2 The Gift & The Curse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
'65 Love AffairPaul Davis,Paul Davis,'65 Love Affair,"['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",5nBp8F6tekSrnFg8G2Pvug,https://p.scdn.co/mp3-preview/a701445830ecacfb521200da9507753586200453?cid=b8d3901151d34489a160e3cf0ab1fa94,219813,FALSE,Radio Hits Of the '80s,0.647,0.686,2,-4.247,0,0.0274,0.432,6.19e-6,0.133,0.952,155.697,4,40
"'98 Thug ParadiseTragedy, Capone, Infinite","Tragedy, Capone, Infinite",'98 Thug Paradise,['english indie rock'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
'Round We GoBig Sister,Big Sister,'Round We Go,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
'til I Can Make It On My OwnTammy Wynette,Tammy Wynette,'til I Can Make It On My Own,"['country', 'country dawn', 'nashville sound']",0aJHZYjwbfTmeyUWF7zGxI,https://p.scdn.co/mp3-preview/73a24c43d2b48dc53d8bd40a972cbd840afc4457?cid=b8d3901151d34489a160e3cf0ab1fa94,182080,FALSE,The Essential Tammy Wynette,0.45,0.294,7,-12.022,1,0.0318,0.832,3.53e-5,0.108,0.146,141.148,4,31
'til It's Time To Say GoodbyeJonathan Cain,Jonathan Cain,'til It's Time To Say Goodbye,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
'Til My Baby Comes HomeLuther Vandross,Luther Vandross,'Til My Baby Comes Home,"['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",2R97RZWUx4vAFbMMtmb5Ss,https://p.scdn.co/mp3-preview/c54184ec2fc7e8bd6a9094a3665aa478a18baeb2?cid=b8d3901151d34489a160e3cf0ab1fa94,332226,FALSE,The Night I Fell In Love,0.804,0.714,11,-6.714,0,0.183,0.0567,6.21e-6,0.0253,0.802,139.663,4,29
'Til Summer Comes AroundKeith Urban,Keith Urban,'Til Summer Comes Around,"['australian country', 'contemporary country', 'country', 'country road']",1CKmI1IQjVEVB3F7VmJmM3,NA,331466,FALSE,Defying Gravity,0.57,0.629,9,-7.608,0,0.0331,0.593,1.36e-4,0.77,0.308,127.907,4,42
'Til You Do Me RightAfter 7,After 7,'Til You Do Me Right,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",3kGMziz884MLV1oCwrarmN,NA,295000,FALSE,Reflections,0.612,0.542,5,-7.563,1,0.0264,0.0781,0,0.0763,0.433,76.744,4,42
'TilThe Angels,The Angels,'Til,"['blues rock', 'garage rock', 'modern blues rock', 'neo-psychedelic', 'nu gaze', 'punk blues']",6cMBpazQUSw6xYiLNYvQzf,https://p.scdn.co/mp3-preview/bf264f14124ddf08989ccb04696cd84b8e366144?cid=b8d3901151d34489a160e3cf0ab1fa94,148440,FALSE,Caprice! The Story Behind Gerry Granahan's Caprice Label 1960 - 1963,0.253,0.232,0,-12.695,1,0.0318,0.805,1.8e-4,0.0939,0.307,173.819,3,10
'Tis The Damn SeasonTaylor Swift,Taylor Swift,'Tis The Damn Season,"['pop', 'post-teen pop']",7dW84mWkdWE5a6lFWxJCBG,NA,229840,FALSE,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'available_markets': ['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW'], 'external_urls': {'spotify': 'https://open.spotify.com/album/2Xoteh7uEpea4TohMxjtaq'}, 'href': 'https://api.spotify.com/v1/albums/2Xoteh7uEpea4TohMxjtaq', 'id': '2Xoteh7uEpea4TohMxjtaq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0233b8541201f1ef38941024be', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485133b8541201f1ef38941024be', 'width': 64}], 'name': 'evermore', 'release_date': '2020-12-11', 'release_date_precision': 'day', 'total_tracks': 15, 'type': 'album', 'uri': 'spotify:album:2Xoteh7uEpea4TohMxjtaq'}",0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-5,0.105,0.348,145.916,4,70
"""B"" GirlsYoung And Restless",Young And Restless,"""B"" Girls",[],0rWUHulFlScxQsCq7kWKde,https://p.scdn.co/mp3-preview/c551cbcaadd17bf4da6a086985b0cb86de2f7f92?cid=b8d3901151d34489a160e3cf0ab1fa94,242106,FALSE,Something To Get You Hyped,0.615,0.497,7,-11.913,1,0.439,0.016,0,0.312,0.769,193.762,3,20
"""Cherry Cherry"" from Hot August NightNeil Diamond",Neil Diamond,"""Cherry Cherry"" from Hot August Night","['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",18ocy9Be9SxWEEnOLGDfkS,NA,443320,FALSE,Hot August Night / NYC (Live From Madison Square Garden),0.34,0.948,9,-5.061,1,0.137,0.0941,9.07e-4,0.867,0.604,172.349,4,16
"""Having A Party"" MedleyThe Ovations (Featuring Louis Williams)",The Ovations (Featuring Louis Williams),"""Having A Party"" Medley","['memphis soul', 'southern soul']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"""Joy"" Pt. IIsaac Hayes",Isaac Hayes,"""Joy"" Pt. I","['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"""Roots"" MedleyQuincy Jones",Quincy Jones,"""Roots"" Medley","['adult standards', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"""Yep!""Duane Eddy His Twangy Guitar And The Rebels",Duane Eddy His Twangy Guitar And The Rebels,"""Yep!""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
('til) I Kissed YouThe Everly Brothers,The Everly Brothers,('til) I Kissed You,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",2erTdgDOZmjJNaNhjhWXhJ,https://p.scdn.co/mp3-preview/c1719c80d7145e735caba90b0d2a1a77ea8827b2?cid=b8d3901151d34489a160e3cf0ab1fa94,146066,FALSE,The Very Best of The Everly Brothers,0.518,0.432,10,-11.689,0,0.0459,0.401,0,0.299,0.701,139.567,4,53
(1-2-3-4-5-6-7) Count The DaysInez & Charlie Foxx,Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,['rif'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(A Ship Will Come) Ein Schiff Wird KommenLale Anderson,Lale Anderson,(A Ship Will Come) Ein Schiff Wird Kommen,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(All I Have To Do Is) DreamThe Nitty Gritty Dirt Band,The Nitty Gritty Dirt Band,(All I Have To Do Is) Dream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(All Of A Sudden) My Heart SingsMel Carter,Mel Carter,(All Of A Sudden) My Heart Sings,[],6x5BiQwNlbtisITsEHa8Eu,NA,164066,FALSE,The Best Of Mel Carter,0.418,0.532,7,-7.866,1,0.0354,0.461,2.99e-6,0.83,0.504,117.261,3,17
(All of a Sudden) My Heart SingsPaul Anka,Paul Anka,(All of a Sudden) My Heart Sings,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",5Eeq19q3Ft77GpSENEZL2I,https://p.scdn.co/mp3-preview/e7eea243b469d67e212cb4e1cb276a0df78b9050?cid=b8d3901151d34489a160e3cf0ab1fa94,184200,FALSE,Paul Aka Sigs His Big Te,0.307,0.267,4,-11.898,1,0.0327,0.809,0,0.269,0.39,111.322,3,21
(Any Way That You Want It) I'll Be ThereStarz,Starz,(Any Way That You Want It) I'll Be There,[],3nxrdgbdv33HEUeZUayRuN,NA,204760,FALSE,Attention Shoppers!,0.454,0.834,7,-4.753,1,0.0305,0.00248,2.73e-5,0.311,0.596,124.744,4,2
(Baby Tell Me) Can You DanceShanice Wilson,Shanice Wilson,(Baby Tell Me) Can You Dance,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Baby) Hully GullyThe Olympics,The Olympics,(Baby) Hully Gully,"['doo-wop', 'rhythm and blues']",6UO3m5VERw0IOI0fCXwcvJ,https://p.scdn.co/mp3-preview/2dddf6f576c753c4ddacc93fa2feef6ae073210c?cid=b8d3901151d34489a160e3cf0ab1fa94,127829,FALSE,Collectors Gold Series,0.744,0.47,7,-10.295,1,0.035,0.659,0,0.256,0.908,116.233,4,5
(Baby) Turn On To MeThe Impressions,The Impressions,(Baby) Turn On To Me,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Believed You Were) Lucky'Til Tuesday,'Til Tuesday,(Believed You Were) Lucky,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",3Lm7hSTabr01oav0WdSsuD,https://p.scdn.co/mp3-preview/9376a6cc89abe5e070e2a056b766d1fb81a98436?cid=b8d3901151d34489a160e3cf0ab1fa94,216973,FALSE,Everything's Different Now,0.612,0.523,5,-11.425,1,0.0321,0.448,1.59e-6,0.0727,0.495,124.315,4,17
(Between A) Rock And A Hard PlaceCutting Crew,Cutting Crew,(Between A) Rock And A Hard Place,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",2KxYID9maMVJaGnvGu6Iso,NA,227960,FALSE,The Best Of Cutting Crew,0.615,0.845,5,-9.943,0,0.0393,0.0928,2.77e-5,0.0755,0.585,117.444,4,19
(Bringing Out) The Girl In MeMaxine Nightingale,Maxine Nightingale,(Bringing Out) The Girl In Me,['classic uk pop'],5fuRsSCGDlOImVIJktdyoV,NA,210973,FALSE,Lead Me On,0.712,0.753,9,-7.666,1,0.0399,0.756,1.58e-6,0.169,0.953,116.178,4,6
(Call Me Your) Anything ManBobby Moore,Bobby Moore,(Call Me Your) Anything Man,['classic soul'],0O38BS1klXTO7qRKeEsUK4,https://p.scdn.co/mp3-preview/fae69821573cac51eb16e1591866dc135bd17113?cid=b8d3901151d34489a160e3cf0ab1fa94,374491,FALSE,Disco Gold Vol. 2,0.624,0.604,3,-12.401,0,0.0459,0.0474,0.00159,0.263,0.76,91.554,4,4
(Call Me) When The Spirit Moves YouTouch,Touch,(Call Me) When The Spirit Moves You,"['bubblegum dance', 'europop']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Can't Live Without Your) Love And AffectionNelson,Nelson,(Can't Live Without Your) Love And Affection,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",3JjY2L2bqql54j1SjnjQ23,NA,236435,FALSE,After The Rain (Remastered),0.543,0.902,1,-6.344,1,0.0393,0.0354,0,0.0609,0.855,121.419,4,47
(Closest Thing To) PerfectJermaine Jackson,Jermaine Jackson,(Closest Thing To) Perfect,"['disco', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']",7pM34Bmj0JY3YNkDOlrcrh,https://p.scdn.co/mp3-preview/07b58bc266ac840c890172ef9341487b3239b91d?cid=b8d3901151d34489a160e3cf0ab1fa94,230693,FALSE,Arista Heritage Series: Jermaine Jackson,0.661,0.763,6,-12.204,0,0.0326,0.0205,3.07e-4,0.382,0.905,149.974,4,8
(Come 'round Here) I'm The One You NeedThe Miracles,The Miracles,(Come 'round Here) I'm The One You Need,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']",5YvokzRkNONpj5c0TIqTjQ,NA,150066,FALSE,Away We Go-Go,0.545,0.607,0,-9.525,1,0.0347,0.242,0,0.779,0.767,113.88,4,26
(Come On) ShoutAlex Brown,Alex Brown,(Come On) Shout,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Dance The) Mess AroundChubby Checker,Chubby Checker,(Dance The) Mess Around,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",1AYJ3jYK65l6wRRk6vJzHM,https://p.scdn.co/mp3-preview/4c5412cf44ba9b8c2ee6df08b9b6a932b594d67e?cid=b8d3901151d34489a160e3cf0ab1fa94,141666,FALSE,Chubby Checker Classics,0.544,0.725,1,-7.054,0,0.0759,0.0605,0,0.112,0.746,141.831,4,13
(Dance With The) Guitar ManDuane Eddy and the Rebelettes,Duane Eddy and the Rebelettes,(Dance With The) Guitar Man,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Do The New) ContinentalThe Dovells,The Dovells,(Do The New) Continental,"['brill building pop', 'doo-wop', 'rhythm and blues']",1bZnNyr6uaY7XbxZfO1JYs,NA,157333,FALSE,The Best Of The Dovells 1961-1965,0.682,0.784,8,-5.905,1,0.0471,0.177,0,0.196,0.942,120.397,4,16
(Do The) Mashed Potatoes (Part 1)Nat Kendrick And The Swans,Nat Kendrick And The Swans,(Do The) Mashed Potatoes (Part 1),[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Do The) Push And Pull Part IRufus Thomas,Rufus Thomas,(Do The) Push And Pull Part I,"['classic soul', 'funk', 'memphis blues', 'memphis soul', 'rhythm and blues', 'soul', 'southern soul']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Do You) Wanna RideReel Tight,Reel Tight,(Do You) Wanna Ride,[],7mtYwHLYETUEgA8Sc2Uuxr,https://p.scdn.co/mp3-preview/66be623f9f59ee82b65d32497243628490546513?cid=b8d3901151d34489a160e3cf0ab1fa94,213213,FALSE,I Still Know What You Did Last Summer Soundtrack,0.757,0.659,6,-5.525,1,0.0701,0.185,0,0.0674,0.878,138.045,4,7
(Doin' The) Lovers LeapWebb Pierce,Webb Pierce,(Doin' The) Lovers Leap,"['honky tonk', 'rockabilly']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Don't Fear) The ReaperBlue Oyster Cult,Blue Oyster Cult,(Don't Fear) The Reaper,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']",5QTxFnGygVM4jFQiBovmRo,https://p.scdn.co/mp3-preview/596db216a6621b8c0e2f87fb343f33a9c0bd8878?cid=b8d3901151d34489a160e3cf0ab1fa94,308120,FALSE,Agents Of Fortune,0.333,0.927,9,-8.55,0,0.0733,0.0029,2.11e-4,0.297,0.382,141.47,4,77
(Don't Worry) If There's A Hell Below We're All Going To GoCurtis Mayfield,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"['chicago soul', 'classic soul', 'disco', 'funk', 'soul']",5RlUTWYlTeE1JiyudvnlAU,https://p.scdn.co/mp3-preview/69225e38740b2674debe0f5d231b1b1ec2cd40e7?cid=b8d3901151d34489a160e3cf0ab1fa94,470506,FALSE,Move On Up,0.686,0.755,1,-8.304,0,0.0488,0.149,0.063,0.111,0.686,119.895,4,15
(Down At) Papa Joe'sThe Dixiebelles,The Dixiebelles,(Down At) Papa Joe's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Every Time I Turn Around) Back In Love AgainLTD,LTD,(Every Time I Turn Around) Back In Love Again,['reggaeton'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(everybody Wanna Get Rich) Rite AwayDr. John,Dr. John,(everybody Wanna Get Rich) Rite Away,"['blues', 'blues rock', 'classic rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'psychedelic rock', 'roots rock', 'soul']",2a0fkN8dbA5Kh8SR7cvl3D,https://p.scdn.co/mp3-preview/94ed76522a63c1b269bdf30b94f05d993e833aaf?cid=b8d3901151d34489a160e3cf0ab1fa94,163933,FALSE,Destively Bonnaroo,0.746,0.916,9,-10.061,1,0.0772,0.518,0.0686,0.0785,0.971,99.926,4,54
(Everything I Do) I Do It For YouBryan Adams,Bryan Adams,(Everything I Do) I Do It For You,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",6eBK3edMW7bEzecF1eCezc,NA,394133,FALSE,Waking Up The Neighbours,0.519,0.372,1,-12.635,1,0.0284,0.0816,4.67e-5,0.0652,0.298,131.227,4,65
(For God's Sake) Give More Power To The PeopleThe Chi-lites,The Chi-lites,(For God's Sake) Give More Power To The People,"['chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",0dVabf3Sm1uHODq1vz2Lts,https://p.scdn.co/mp3-preview/e6d56add4e9409e78f087a02053a013c05af8c38?cid=b8d3901151d34489a160e3cf0ab1fa94,180133,FALSE,The Ultimate Chi-Lites,0.665,0.552,6,-10.177,1,0.0307,0.493,0.0272,0.421,0.899,96.889,4,29
(Forever) Live And DieOrchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,(Forever) Live And Die,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']",7pFydJbDEToJHtvl6g579k,NA,218133,FALSE,The Pacific Age,0.605,0.545,0,-13.603,1,0.0297,0.0902,0.244,0.149,0.865,90.179,4,48
(Ghost) Riders In The SkyOutlaws,Outlaws,(Ghost) Riders In The Sky,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",4ncVYIs3UFvitjvc8RIPkM,https://p.scdn.co/mp3-preview/be20c6462522bcb1b8587f222a83dba32b94fd76?cid=b8d3901151d34489a160e3cf0ab1fa94,351400,FALSE,Ghost Riders,0.228,0.896,9,-7.241,0,0.13,0.0132,0.0273,0.795,0.146,128.433,4,47
(Ghost) Riders In The SkyRamrods,Ramrods,(Ghost) Riders In The Sky,['classic garage rock'],5eUVr9Ja4GK6e1lcIXjML7,https://p.scdn.co/mp3-preview/19307e9a712d0793f222261d891c1b741888124e?cid=b8d3901151d34489a160e3cf0ab1fa94,156933,FALSE,Ghost Riders in the Sky,0.442,0.717,9,-9.943,0,0.0395,0.518,0.262,0.184,0.376,120.914,4,24
"(Girls, Girls, Girls) Made To LoveEddie Hodges",Eddie Hodges,"(Girls, Girls, Girls) Made To Love",[],4PeZdZt3Mf46SfsL6Gj1EY,https://p.scdn.co/mp3-preview/6d5a4642f5e2503d56c7b45c22a82adf56737020?cid=b8d3901151d34489a160e3cf0ab1fa94,150666,FALSE,Hit Singles - EP,0.61,0.377,9,-9.805,1,0.0935,0.414,0,0.0734,0.519,178.06,4,16
(God Must Have Spent) A Little More Time On You'N Sync,'N Sync,(God Must Have Spent) A Little More Time On You,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(He's My) DreamboatConnie Francis,Connie Francis,(He's My) Dreamboat,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",3OvzW4ex4PCAkr25M85WCP,NA,162106,FALSE,Gold,0.373,0.364,0,-6.563,1,0.0305,0.78,2.24e-6,0.342,0.451,70.31,4,28
