song_id,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity
Red Rubber BallThe Cyrkle,The Cyrkle,Red Rubber Ball,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat', 'sunshine pop']",6DuLN8tFW0DkH9wsbTHZsX,https://p.scdn.co/mp3-preview/1e016f28a51ad3297df56605c673774c80160d30?cid=b8d3901151d34489a160e3cf0ab1fa94,137493,FALSE,Red Rubber Ball (A Collection),0.644,0.459,9,-11.702,1,0.0322,0.657,0,0.0876,0.852,92.801,4,43
Red Sails In The SunsetFats Domino,Fats Domino,Red Sails In The Sunset,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",4ezEySNo2YlhPbZ9ZLeEq1,https://p.scdn.co/mp3-preview/1bc82fe46d69dbd2b775cb0fc496df88a18eb79a?cid=b8d3901151d34489a160e3cf0ab1fa94,108866,FALSE,Whole Lotta Fats Domino Hits Live,0.528,0.879,8,-5.516,1,0.0315,0.613,1.24e-5,0.381,0.963,131.13,1,13
Red Sails In The SunsetThe Platters Featuring Tony Williams,The Platters Featuring Tony Williams,Red Sails In The Sunset,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']",0B1wFQyWViZ4P1bn6Uva8p,NA,144426,FALSE,Reflections,0.342,0.269,0,-11.314,1,0.0303,0.973,9.91e-6,0.272,0.228,73.562,4,33
Red Solo CupGlee Cast,Glee Cast,Red Solo Cup,"['glee club', 'hollywood', 'post-teen pop']",1p4t76Y2XreMC6uECFLvmn,https://p.scdn.co/mp3-preview/47091f26dbf378cd7bca67a88c8f57b79b853cc1?cid=b8d3901151d34489a160e3cf0ab1fa94,221253,FALSE,Red Solo Cup (Glee Cast Version),0.507,0.601,1,-5.702,0,0.117,0.583,0,0.22,0.631,165.434,4,36
Red Solo CupToby Keith,Toby Keith,Red Solo Cup,"['contemporary country', 'country', 'country road', 'oklahoma country']",4YKAOXyqkKZ5gOZR0AmVMN,https://p.scdn.co/mp3-preview/4e38b50d8e7af8febedd3a12f6340ac70561dd0c?cid=b8d3901151d34489a160e3cf0ab1fa94,223386,FALSE,Clancy's Tavern,0.535,0.56,4,-6.586,1,0.0901,0.287,0,0.209,0.785,164.17,4,65
RedboneChildish Gambino,Childish Gambino,Redbone,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",0wXuerDYiBnERgIpbb3JBR,https://p.scdn.co/mp3-preview/0167089f98ed9b52156232cc17294c7676a88dd4?cid=b8d3901151d34489a160e3cf0ab1fa94,326933,TRUE,"""Awake",0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,4,83
Redemption SongRihanna,Rihanna,Redemption Song,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RedemptionDrake,Drake,Redemption,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",4cRBqWBjuccCowYVHFlXK6,NA,333946,TRUE,Views,0.635,0.319,0,-8.727,1,0.118,0.618,1.69e-6,0.117,0.327,118.844,4,66
RedmanLil Durk,Lil Durk,Redman,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']",6ryWmFIfWRxIuqmUPtKIDh,NA,95914,TRUE,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3hcs9uc56yIGFCSy9leWe7'}, 'href': 'https://api.spotify.com/v1/artists/3hcs9uc56yIGFCSy9leWe7', 'id': '3hcs9uc56yIGFCSy9leWe7', 'name': 'Lil Durk', 'type': 'artist', 'uri': 'spotify:artist:3hcs9uc56yIGFCSy9leWe7'}], 'available_markets': ['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW'], 'external_urls': {'spotify': 'https://open.spotify.com/album/12TuxCWI6BzfSXaZMKMrPn'}, 'href': 'https://api.spotify.com/v1/albums/12TuxCWI6BzfSXaZMKMrPn', 'id': '12TuxCWI6BzfSXaZMKMrPn', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e67a56591cf8bcfcb1450980', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e67a56591cf8bcfcb1450980', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e67a56591cf8bcfcb1450980', 'width': 64}], 'name': 'The Voice', 'release_date': '2020-12-24', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:12TuxCWI6BzfSXaZMKMrPn'}",0.74,0.511,9,-10.507,0,0.262,0.481,0,0.12,0.841,160.017,4,59
Redneck CrazyTyler Farr,Tyler Farr,Redneck Crazy,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",4lcXNTm9JrQpJYXqsENmFI,https://p.scdn.co/mp3-preview/59237751c3fca0ba3015e2eca6d3b2a56c8b0adf?cid=b8d3901151d34489a160e3cf0ab1fa94,216040,FALSE,Redneck Crazy,0.487,0.667,7,-4.216,0,0.0309,0.153,0,0.161,0.463,145.854,4,60
