yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
1876,female,22,median,380,48.4,75043,75233,0.0051,0.9949,0.0051,0.995
1876,female,23,5,370,47.7,74668,74853,0.005,0.9951,0.0049,0.995
1876,female,23,95,370,47.7,74668,74853,0.005,0.9951,0.0049,0.995
1876,female,23,median,370,47.7,74668,74853,0.005,0.9951,0.0049,0.995
1876,female,24,5,380,46.9,74293,74483,0.0051,0.9949,0.0051,0.9948
1876,female,24,95,380,46.9,74293,74483,0.0051,0.9949,0.0051,0.9948
1876,female,24,median,380,46.9,74293,74483,0.0051,0.9949,0.0051,0.9948
1876,female,25,5,396,46.2,73905,74103,0.0054,0.9947,0.0053,0.9946
1876,female,25,95,396,46.2,73905,74103,0.0054,0.9947,0.0053,0.9946
1876,female,25,median,396,46.2,73905,74103,0.0054,0.9947,0.0053,0.9946
1876,female,26,5,396,45.4,73509,73707,0.0054,0.9946,0.0054,0.9948
1876,female,26,95,396,45.4,73509,73707,0.0054,0.9946,0.0054,0.9948
1876,female,26,median,396,45.4,73509,73707,0.0054,0.9946,0.0054,0.9948
1876,female,27,5,374,44.6,73124,73311,0.0051,0.9949,0.0051,0.9949
1876,female,27,95,374,44.6,73124,73311,0.0051,0.9949,0.0051,0.9949
1876,female,27,median,374,44.6,73124,73311,0.0051,0.9949,0.0051,0.9949
1876,female,28,5,378,43.9,72748,72937,0.0052,0.9948,0.0052,0.9949
1876,female,28,95,378,43.9,72748,72937,0.0052,0.9948,0.0052,0.9949
1876,female,28,median,378,43.9,72748,72937,0.0052,0.9948,0.0052,0.9949
1876,female,29,5,361,43.1,72379,72559,0.005,0.995,0.005,0.995
1876,female,29,95,361,43.1,72379,72559,0.005,0.995,0.005,0.995
1876,female,29,median,361,43.1,72379,72559,0.005,0.995,0.005,0.995
1876,female,30,5,360,42.3,72019,72198,0.005,0.995,0.005,0.9952
1876,female,30,95,360,42.3,72019,72198,0.005,0.995,0.005,0.9952
1876,female,30,median,360,42.3,72019,72198,0.005,0.995,0.005,0.9952
1876,female,31,5,326,41.5,71676,71839,0.0046,0.9955,0.0045,0.9956
1876,female,31,95,326,41.5,71676,71839,0.0046,0.9955,0.0045,0.9956
1876,female,31,median,326,41.5,71676,71839,0.0046,0.9955,0.0045,0.9956
1876,female,32,5,307,40.7,71359,71512,0.0043,0.9957,0.0043,0.9953
1876,female,32,95,307,40.7,71359,71512,0.0043,0.9957,0.0043,0.9953
1876,female,32,median,307,40.7,71359,71512,0.0043,0.9957,0.0043,0.9953
1876,female,33,5,364,39.9,71023,71205,0.0051,0.9949,0.0051,0.9949
1876,female,33,95,364,39.9,71023,71205,0.0051,0.9949,0.0051,0.9949
1876,female,33,median,364,39.9,71023,71205,0.0051,0.9949,0.0051,0.9949
1876,female,34,5,355,39.1,70663,70841,0.005,0.995,0.005,0.9951
1876,female,34,95,355,39.1,70663,70841,0.005,0.995,0.005,0.9951
1876,female,34,median,355,39.1,70663,70841,0.005,0.995,0.005,0.9951
1876,female,35,5,341,38.3,70315,70486,0.0049,0.9952,0.0048,0.995
1876,female,35,95,341,38.3,70315,70486,0.0049,0.9952,0.0048,0.995
1876,female,35,median,341,38.3,70315,70486,0.0049,0.9952,0.0048,0.995
1876,female,36,5,364,37.5,69963,70145,0.0052,0.9948,0.0052,0.9948
1876,female,36,95,364,37.5,69963,70145,0.0052,0.9948,0.0052,0.9948
1876,female,36,median,364,37.5,69963,70145,0.0052,0.9948,0.0052,0.9948
1876,female,37,5,370,36.6,69596,69781,0.0053,0.9947,0.0053,0.9947
1876,female,37,95,370,36.6,69596,69781,0.0053,0.9947,0.0053,0.9947
1876,female,37,median,370,36.6,69596,69781,0.0053,0.9947,0.0053,0.9947
