Company,Pride Event Sponsored,"Sponsorship Amount, where available",Year,Source,True donor value
Bank of the West BNP Paribas,SF Pride,Celebretory Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,BNP Paribas
Baptist Health,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Barefoot,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Barefoot
Barefoot,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Barefoot
Barefoot,Houston Pride,Bronze,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Barefoot
Barry's,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Barry
Bartable bart.gov,SF Pride,Travel Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
BBVA,Houston Pride,Gold,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,PNC
Belden Leom,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Best Buy,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Best Buy
