Company,Pride Event Sponsored,"Sponsorship Amount, where available",Year,Source,True donor value
NBC 6 Miami,Miami Pride,Media Partners,2021,https://www.miamibeachpride.com/sponsor,NBC
New England Fertility Institute,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
New York Life,NYC Pride,Silver Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,New York Life Insurance
New York Presbyterian,NYC Pride,Silver Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NewYork-Presbyterian Hospital
Nexus Radio,NYC Pride,Gold Media Sponsor,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,"Nexus
 Fusion Radio"
Nissan,SF Pride,Celebretory Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Nissan
Nissan,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Nissan
Nissan,Seattle Pridefest,Diamond Sponsors,2022,https://www.seattlepridefest.org/sponsors/,Nissan
Nissan,Houston Pride,Gold,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Nissan
Nissan,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,Nissan
Nordstrom,SF Pride,Supporting Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Nordstrom
Nordstrom,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Nordstrom
Nordstrom,LA Pride,Allies,2022,https://lapride.org/2022-sponsors/,Nordstrom
nrg,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,NA
NY Botanical Garden,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
NYC Pride,Miami Pride,Advocate Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Omnicom Group,NYC Pride,Platinum Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Omnicom Group
One Magical Weekend,Miami Pride,Advocate Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Oscar Wilde Tours,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Otr Capital,Atlanta Pride,Bronze,2021,https://www.atlantapride.org/our_partners/,OTR Capital
Out NBC Universal,Miami Pride,Media Partners,2021,https://www.miamibeachpride.com/sponsor,NBC
Out Smart,Houston Pride,Gold,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
Outcycling,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Outfront,Miami Pride,Media Partners,2021,https://www.miamibeachpride.com/sponsor,Outfront
Pacific NW Fertility,Seattle Pridefest,Silver Sponsors,2022,https://www.seattlepridefest.org/sponsors/,NA
PARG55 San Francisco Hilton Hotel,SF Pride,Travel Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Hilton
Peach Media and Printing,Atlanta Pride,Gold Sponsors,2021,https://www.atlantapride.org/our_partners/,Peach Media and Printing
Peachtree TV,Atlanta Pride,Rainbow Sponsors,2021,https://www.atlantapride.org/our_partners/,CBS
Phillips 66,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,conocoPhillips
Piedmont,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,Piedmont Healthcare
Pink Banana media,NYC Pride,Silver Media Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Pink Banana
PNC,Atlanta Pride,Platinum Sponsors,2021,https://www.atlantapride.org/our_partners/,PNC Bank
Point Source Youth,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Porsche,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,Porsche
Postmates,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Postmates
Precept Wine,LA Pride,Allies,2022,https://lapride.org/2022-sponsors/,Precept Wine
Pride Bud Light,SF Pride,Commemorative Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Budweiser
Pride Fort Lauderdale,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Pride Fort Lauderdale,Miami Pride,Advocate Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Pride in London,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Pride Movie Night Oracle Park,SF Pride,Community Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
PRIDE radio,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
Pride Tours NYC,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Pride x Purpose,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
PVH,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Phillips-Van Heusen Corporation
PWC,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,PricewaterhouseCoopers
Quanta Services,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Quanta
Queens Pride Parade and Festival,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Queer Eye,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
RCN,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Astound Broadband
Red Bull,SF Pride,Donor,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Red Bull
Red Bull,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Red Bull
ric sena,NYC Pride,promotional partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,"Ric Sena
 Allegria Events"
sage Advocacy & services for LGBT Elders,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Samsara,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,Samsara
San Diego Pride,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Scruff,NYC Pride,Gold Media Sponsor,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Scruff
SF Bay Times LGBTQ News Calendar for the Bay,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
SF Examiner Media Company,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
SF Giants,SF Pride,Community Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
SFMTA,SF Pride,Travel Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
SGN,Seattle Pridefest,Media and Community Sponsors,2022,https://www.seattlepridefest.org/sponsors/,NA
Shell,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Shell
SKYY Vodka,NYC Pride,Platinum Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,SKYY
Smirnoff,Seattle Pridefest,Diamond Sponsors,2022,https://www.seattlepridefest.org/sponsors/,Smirnoff
