date,discipline_code,discipline_name,event_code,event_description,start_datetime_local,end_datetime_local,start_datetime_utc,end_datetime_utc,is_medal_event,is_training,venue_code,venue_name,venue_slug,location_name,location_code,session_code,estimated_start,day_of_week,start_time,end_time
2026-02-09,BTH,Biathlon,BTHM20KMIS------------FNL-000100--,Men's 20km Individual,2026-02-10T13:30:00Z,2026-02-10T15:10:00Z,2026-02-10T12:30:00Z,2026-02-10T14:10:00Z,TRUE,FALSE,ABA,Anterselva Biathlon Arena,anterselva-biathlon-arena,Anterselva Biathlon Arena,ABA,OBTH02,FALSE,Monday,13:30:00,15:10:00
2026-02-09,CCS,Cross-Country Skiing,CCSMSKIATHLN----------FNL-000100--,Men's 10km + 10km Skiathlon,2026-02-08T12:30:00Z,2026-02-08T13:40:00Z,2026-02-08T11:30:00Z,2026-02-08T12:40:00Z,TRUE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country Stadium,TCC,OCCS02,FALSE,Monday,12:30:00,13:40:00
2026-02-09,CCS,Cross-Country Skiing,CCSWSPRINT------------QUAL000100--,Women's Sprint Classic Qualification,2026-02-10T09:15:00Z,2026-02-10T09:50:00Z,2026-02-10T08:15:00Z,2026-02-10T08:50:00Z,FALSE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country Stadium,TCC,OCCS03,FALSE,Monday,09:15:00,09:50:00
2026-02-09,CCS,Cross-Country Skiing,CCSMSPRINT------------QUAL000100--,Men's Sprint Classic Qualification,2026-02-10T09:55:00Z,2026-02-10T10:45:00Z,2026-02-10T08:55:00Z,2026-02-10T09:45:00Z,FALSE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country Stadium,TCC,OCCS03,FALSE,Monday,09:55:00,10:45:00
2026-02-09,CCS,Cross-Country Skiing,CCSWSPRINT------------QFNL--------,Women's Sprint Classic Quarterfinals,2026-02-10T11:45:00Z,2026-02-10T12:12:00Z,2026-02-10T10:45:00Z,2026-02-10T11:12:00Z,FALSE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country,TCC,OCCS03,FALSE,Monday,11:45:00,12:12:00
2026-02-09,CCS,Cross-Country Skiing,CCSMSPRINT------------QFNL--------,Men's Sprint Classic Quarterfinals,2026-02-10T12:15:00Z,2026-02-10T12:42:00Z,2026-02-10T11:15:00Z,2026-02-10T11:42:00Z,FALSE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country,TCC,OCCS03,FALSE,Monday,12:15:00,12:42:00
2026-02-09,CCS,Cross-Country Skiing,CCSWSPRINT------------SFNL--------,Women's Sprint Classic Semifinals,2026-02-10T12:45:00Z,2026-02-10T12:54:00Z,2026-02-10T11:45:00Z,2026-02-10T11:54:00Z,FALSE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country,TCC,OCCS03,FALSE,Monday,12:45:00,12:54:00
2026-02-09,CCS,Cross-Country Skiing,CCSMSPRINT------------SFNL--------,Men's Sprint Classic Semifinals,2026-02-10T12:57:00Z,2026-02-10T13:06:00Z,2026-02-10T11:57:00Z,2026-02-10T12:06:00Z,FALSE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country,TCC,OCCS03,FALSE,Monday,12:57:00,13:06:00
2026-02-09,CCS,Cross-Country Skiing,CCSWSPRINT------------FNL-000100--,Women's Sprint Classic Final,2026-02-10T13:13:00Z,2026-02-10T13:16:00Z,2026-02-10T12:13:00Z,2026-02-10T12:16:00Z,TRUE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country Stadium,TCC,OCCS03,FALSE,Monday,13:13:00,13:16:00
2026-02-09,CCS,Cross-Country Skiing,CCSMSPRINT------------FNL-000100--,Men's Sprint Classic Final,2026-02-10T13:25:00Z,2026-02-10T13:28:00Z,2026-02-10T12:25:00Z,2026-02-10T12:28:00Z,TRUE,FALSE,TCC,Tesero Cross-Country Skiing Stadium,tesero-cross-country-skiing-stadium,Tesero Cross-Country Stadium,TCC,OCCS03,FALSE,Monday,13:25:00,13:28:00
