edition,year,stage_results_id,rank,time,rider,age,team,points,elapsed,bib_number
1,1903,stage-1,1,13S,Garin Maurice,32,NA,100,13S,NA
1,1903,stage-1,2,55S,Pagie Émile,32,NA,70,8S,NA
1,1903,stage-1,3,59S,Georget Léon,23,NA,50,12S,NA
1,1903,stage-1,4,48S,Augereau Fernand,20,NA,40,1S,NA
1,1903,stage-1,5,53S,Fischer Jean,36,NA,32,6S,NA
1,1903,stage-1,6,53S,Kerff Marcel,37,NA,26,6S,NA
1,1903,stage-1,7,55S,Catteau Aloïs,25,NA,22,8S,NA
1,1903,stage-1,8,47S,Pivin Ernest,33,NA,18,0S,NA
1,1903,stage-1,9,15S,Habets Léon,NA,NA,14,28S,NA
1,1903,stage-1,10,26S,Beaugendre François,22,NA,10,39S,NA
1,1903,stage-1,11,49S,Muller Rodolfo,26,NA,8,2S,NA
1,1903,stage-1,12,49S,Gauban Jean,28,NA,6,2S,NA
1,1903,stage-1,13,49S,Jaeck Anton,21,NA,4,2S,NA
1,1903,stage-1,14,49S,Pothier Lucien,20,NA,2,2S,NA
1,1903,stage-1,15,49S,Lequatre Marcel,20,NA,1,2S,NA
1,1903,stage-1,16,49S,Pasquier Gustave,25,NA,NA,2S,NA
1,1903,stage-1,17,56S,Laeser Charles,23,NA,NA,9S,NA
1,1903,stage-1,18,42S,Lootens Julien,26,NA,NA,55S,NA
1,1903,stage-1,19,41S,Fischer Josef,38,NA,NA,54S,NA
1,1903,stage-1,20,16S,Salais René,28,NA,NA,29S,NA
1,1903,stage-1,21,16S,Borot Georges,NA,NA,NA,29S,NA
1,1903,stage-1,22,56S,Lechartier Isidore,NA,NA,NA,9S,NA
1,1903,stage-1,23,56S,Dargassies Jean,30,NA,NA,9S,NA
1,1903,stage-1,24,46S,Girbe Julien,NA,NA,NA,59S,NA
1,1903,stage-1,25,56S,Foureaux Alexandre,NA,NA,NA,9S,NA
1,1903,stage-1,26,48S,Monachon François,NA,NA,NA,1S,NA
1,1903,stage-1,27,48S,De Balade Philippe,19,NA,NA,1S,NA
1,1903,stage-1,28,56S,Ellinamour H.,NA,NA,NA,9S,NA
1,1903,stage-1,29,48S,Payan Ferdinand,33,NA,NA,1S,NA
1,1903,stage-1,30,50S,Guillarme Gustave,25,NA,NA,3S,NA
1,1903,stage-1,31,21S,Pernette Léon,NA,NA,NA,34S,NA
1,1903,stage-1,32,21S,Barroy Lucien,18,NA,NA,34S,NA
1,1903,stage-1,33,59S,Millocheau Arsène,36,NA,NA,12S,NA
1,1903,stage-1,34,44S,Moulin Emile,NA,NA,NA,57S,NA
1,1903,stage-1,35,42S,Barthelmann Ludwig,NA,NA,NA,55S,NA
1,1903,stage-1,36,44S,Desvages Pierre,36,NA,NA,57S,NA
1,1903,stage-1,37,23S,Brange Eugène,31,NA,NA,36S,NA
1,1903,stage-2,1,53S,Aucouturier Hippolyte,26,NA,100,53S,NA
1,1903,stage-2,2,0S,Georget Léon,23,NA,70,53S,NA
1,1903,stage-2,3,6S,Brange Eugène,31,NA,50,59S,NA
1,1903,stage-2,4,7S,Garin Maurice,32,NA,40,0S,NA
1,1903,stage-2,5,7S,Muller Rodolfo,26,NA,32,0S,NA
1,1903,stage-2,6,7S,Pothier Lucien,20,NA,26,0S,NA
1,1903,stage-2,7,36S,Kerff Marcel,37,NA,22,29S,NA
1,1903,stage-2,8,16S,Augereau Fernand,20,NA,18,9S,NA
1,1903,stage-2,9,9S,Pasquier Gustave,25,NA,14,2S,NA
1,1903,stage-2,10,9S,Beaugendre François,22,NA,10,2S,NA
1,1903,stage-2,11,39S,Fischer Jean,36,NA,8,32S,NA
1,1903,stage-2,12,29S,Ellinamour H.,NA,NA,6,22S,NA
1,1903,stage-2,13,29S,Laeser Charles,23,NA,4,22S,NA
1,1903,stage-2,14,12S,Jaeck Anton,21,NA,2,5S,NA
1,1903,stage-2,15,12S,Lootens Julien,26,NA,1,5S,NA
1,1903,stage-2,16,12S,Fischer Josef,38,NA,NA,5S,NA
1,1903,stage-2,17,39S,Payan Ferdinand,33,NA,NA,32S,NA
1,1903,stage-2,18,39S,Dargassies Jean,30,NA,NA,32S,NA
1,1903,stage-2,19,39S,Lequatre Marcel,20,NA,NA,32S,NA
1,1903,stage-2,20,31S,Lechartier Isidore,NA,NA,NA,24S,NA
1,1903,stage-2,21,31S,Foureaux Alexandre,NA,NA,NA,24S,NA
1,1903,stage-2,22,31S,Monachon François,NA,NA,NA,24S,NA
1,1903,stage-2,23,49S,Mercier Paul,NA,NA,NA,42S,NA
1,1903,stage-2,24,29S,Habets Léon,NA,NA,NA,22S,NA
1,1903,stage-2,25,29S,Salais René,28,NA,NA,22S,NA
1,1903,stage-2,26,16S,Girbe Julien,NA,NA,NA,9S,NA
1,1903,stage-2,27,16S,Catteau Aloïs,25,NA,NA,9S,NA
1,1903,stage-2,28,59S,Pernette Léon,NA,NA,NA,52S,NA
1,1903,stage-2,29,9S,Desvages Pierre,36,NA,NA,2S,NA
1,1903,stage-2,30,36S,Barroy Lucien,18,NA,NA,29S,NA
1,1903,stage-2,31,54S,Moulin Emile,NA,NA,NA,47S,NA
1,1903,stage-2,32,59S,De Balade Philippe,19,NA,NA,52S,NA
1,1903,stage-2,33,31S,Pivin Ernest,33,NA,NA,24S,NA
1,1903,stage-2,34,31S,Borot Georges,NA,NA,NA,24S,NA
1,1903,stage-2,35,31S,Millocheau Arsène,36,NA,NA,24S,NA
1,1903,stage-3,1,4S,Aucouturier Hippolyte,26,NA,100,4S,NA
1,1903,stage-3,2,22S,Brange Eugène,31,NA,70,26S,NA
1,1903,stage-3,3,22S,Lootens Julien,26,NA,50,26S,NA
1,1903,stage-3,4,22S,Garin Maurice,32,NA,40,26S,NA
1,1903,stage-3,5,22S,Pothier Lucien,20,NA,32,26S,NA
1,1903,stage-3,6,0S,Beaugendre François,22,NA,26,4S,NA
1,1903,stage-3,7,18S,Fischer Jean,36,NA,22,22S,NA
1,1903,stage-3,8,19S,Muller Rodolfo,26,NA,18,23S,NA
1,1903,stage-3,9,20S,Catteau Aloïs,25,NA,14,24S,NA
1,1903,stage-3,10,20S,Kerff Marcel,37,NA,10,24S,NA
1,1903,stage-3,11,24S,Georget Léon,23,NA,8,28S,NA
1,1903,stage-3,12,5S,Augereau Fernand,20,NA,6,9S,NA
1,1903,stage-3,13,59S,Dargassies Jean,30,NA,4,3S,NA
1,1903,stage-3,14,4S,Pasquier Gustave,25,NA,2,8S,NA
1,1903,stage-3,15,6S,Payan Ferdinand,33,NA,1,10S,NA
1,1903,stage-3,16,8S,Lechartier Isidore,NA,NA,NA,12S,NA
1,1903,stage-3,17,26S,Girbe Julien,NA,NA,NA,30S,NA
1,1903,stage-3,18,23S,Borot Georges,NA,NA,NA,27S,NA
1,1903,stage-3,19,37S,De Balade Philippe,19,NA,NA,41S,NA
1,1903,stage-3,20,46S,Fischer Josef,38,NA,NA,50S,NA
1,1903,stage-3,21,46S,Foureaux Alexandre,NA,NA,NA,50S,NA
1,1903,stage-3,22,1S,Guillarme Gustave,25,NA,NA,5S,NA
1,1903,stage-3,23,26S,Moulin Emile,NA,NA,NA,30S,NA
1,1903,stage-3,24,51S,Salais René,28,NA,NA,55S,NA
1,1903,stage-3,25,51S,Pivin Ernest,33,NA,NA,55S,NA
1,1903,stage-3,26,51S,Millocheau Arsène,36,NA,NA,55S,NA
1,1903,stage-3,27,54S,Desvages Pierre,36,NA,NA,58S,NA
1,1903,stage-4,1,0S,Laeser Charles,23,NA,100,0S,NA
1,1903,stage-4,2,3S,Lootens Julien,26,NA,70,3S,NA
1,1903,stage-4,3,3S,Muller Rodolfo,26,NA,50,3S,NA
1,1903,stage-4,4,3S,Georget Léon,23,NA,40,3S,NA
1,1903,stage-4,5,3S,Garin Maurice,32,NA,32,3S,NA
1,1903,stage-4,6,3S,Fischer Jean,36,NA,26,3S,NA
1,1903,stage-4,7,3S,Pothier Lucien,20,NA,22,3S,NA
1,1903,stage-4,8,41S,Brange Eugène,31,NA,18,41S,NA
1,1903,stage-4,9,41S,Catteau Aloïs,25,NA,14,41S,NA
1,1903,stage-4,10,22S,Dargassies Jean,30,NA,10,22S,NA
1,1903,stage-4,11,7S,Dortignacq Jean-Baptiste,19,NA,8,7S,NA
1,1903,stage-4,12,22S,Augereau Fernand,20,NA,6,22S,NA
1,1903,stage-4,13,38S,Pujol ?,NA,NA,4,38S,NA
1,1903,stage-4,14,22S,Payan Ferdinand,33,NA,2,22S,NA
1,1903,stage-4,15,22S,Lechartier Isidore,NA,NA,1,22S,NA
1,1903,stage-4,16,22S,Kerff Marcel,37,NA,NA,22S,NA
1,1903,stage-4,17,2S,Beaugendre François,22,NA,NA,2S,NA
1,1903,stage-4,18,2S,Pagie Émile,32,NA,NA,2S,NA
1,1903,stage-4,19,29S,Pasquier Gustave,25,NA,NA,29S,NA
1,1903,stage-4,20,29S,Foureaux Alexandre,NA,NA,NA,29S,NA
1,1903,stage-4,21,29S,Fischer Josef,38,NA,NA,29S,NA
1,1903,stage-4,22,14S,Girbe Julien,NA,NA,NA,14S,NA
1,1903,stage-4,23,12S,De Balade Philippe,19,NA,NA,12S,NA
1,1903,stage-4,24,31S,Desvages Pierre,36,NA,NA,31S,NA
1,1903,stage-4,25,11S,Moulin Emile,NA,NA,NA,11S,NA
1,1903,stage-4,26,45S,Pivin Ernest,33,NA,NA,45S,NA
1,1903,stage-4,27,55S,Durandeau Léon,30,NA,NA,55S,NA
1,1903,stage-4,28,33S,Salais René,28,NA,NA,33S,NA
1,1903,stage-4,29,34S,Millocheau Arsène,36,NA,NA,34S,NA
1,1903,stage-4,30,34S,Borot Georges,NA,NA,NA,34S,NA
1,1903,stage-4,DNF,NA,Dartigue Edouard,25,NA,NA,NA,NA
1,1903,stage-5,1,31S,Garin Maurice,32,NA,100,31S,NA
1,1903,stage-5,2,0S,Pasquier Gustave,25,NA,70,31S,NA
1,1903,stage-5,3,0S,Pothier Lucien,20,NA,50,31S,NA
1,1903,stage-5,4,37S,Augereau Fernand,20,NA,40,8S,NA
1,1903,stage-5,5,34S,Garin Ambroise,28,NA,32,5S,NA
1,1903,stage-5,6,33S,Muller Rodolfo,26,NA,26,4S,NA
1,1903,stage-5,7,3S,Fischer Jean,36,NA,22,34S,NA
1,1903,stage-5,8,3S,Kerff Marcel,37,NA,18,34S,NA
1,1903,stage-5,9,9S,Dargassies Jean,30,NA,14,40S,NA
1,1903,stage-5,10,24S,Payan Ferdinand,33,NA,10,55S,NA
1,1903,stage-5,11,42S,Catteau Aloïs,25,NA,8,13S,NA
1,1903,stage-5,12,2S,Lootens Julien,26,NA,6,33S,NA
1,1903,stage-5,13,11S,Girbe Julien,NA,NA,4,42S,NA
1,1903,stage-5,14,51S,Lechartier Isidore,NA,NA,2,22S,NA
1,1903,stage-5,15,29S,Salais René,28,NA,1,0S,NA
1,1903,stage-5,16,29S,Beaugendre François,22,NA,NA,0S,NA
1,1903,stage-5,17,29S,Geay Eugène,NA,NA,NA,0S,NA
1,1903,stage-5,18,29S,Fischer Josef,38,NA,NA,0S,NA
1,1903,stage-5,19,44S,Moulin Emile,NA,NA,NA,15S,NA
1,1903,stage-5,20,29S,Borot Georges,NA,NA,NA,0S,NA
1,1903,stage-5,21,29S,Desvages Pierre,36,NA,NA,0S,NA
1,1903,stage-5,22,29S,Millocheau Arsène,36,NA,NA,0S,NA
1,1903,stage-6,1,0S,Garin Maurice,32,NA,100,0S,NA
1,1903,stage-6,2,10S,Augereau Fernand,20,NA,70,10S,NA
1,1903,stage-6,3,10S,Lootens Julien,26,NA,50,10S,NA
1,1903,stage-6,4,20S,Fischer Jean,36,NA,40,20S,NA
1,1903,stage-6,5,30S,Pothier Lucien,20,NA,32,30S,NA
1,1903,stage-6,6,0S,Muller Rodolfo,26,NA,26,0S,NA
1,1903,stage-6,7,30S,Foureaux Alexandre,NA,NA,22,30S,NA
1,1903,stage-6,8,35S,Girbe Julien,NA,NA,18,35S,NA
1,1903,stage-6,9,0S,Beaugendre François,22,NA,14,0S,NA
1,1903,stage-6,10,0S,Kerff Marcel,37,NA,10,0S,NA
1,1903,stage-6,11,30S,Salais René,28,NA,8,30S,NA
1,1903,stage-6,12,20S,Dargassies Jean,31,NA,6,20S,NA
1,1903,stage-6,13,25S,Fischer Josef,38,NA,4,25S,NA
1,1903,stage-6,14,15S,Pasquier Gustave,25,NA,2,15S,NA
1,1903,stage-6,15,35S,Catteau Aloïs,25,NA,1,35S,NA
1,1903,stage-6,16,16S,Payan Ferdinand,33,NA,NA,16S,NA
1,1903,stage-6,17,10S,Lechartier Isidore,NA,NA,NA,10S,NA
1,1903,stage-6,18,40S,Moulin Emile,NA,NA,NA,40S,NA
1,1903,stage-6,19,5S,Millocheau Arsène,36,NA,NA,5S,NA
1,1903,stage-6,20,5S,Borot Georges,NA,NA,NA,5S,NA
1,1903,stage-6,21,20S,Desvages Pierre,36,NA,NA,20S,NA
2,1904,stage-1,1,6S,Garin Maurice,33,NA,NA,6S,NA
2,1904,stage-1,2,24S,Pothier Lucien,21,NA,NA,30S,NA
2,1904,stage-1,DSQ,54S,Chevalier Pierre,NA,NA,NA,0S,NA
2,1904,stage-1,1,54S,Frederick Michel,31,NA,100,0S,NA
2,1904,stage-1,5,29S,Gerbi Giovanni,19,NA,32,35S,NA
2,1904,stage-1,6,54S,Garin Cesar,24,NA,NA,0S,NA
2,1904,stage-1,7,54S,Beaugendre François,23,NA,22,0S,NA
2,1904,stage-1,8,24S,Lombard Emile,NA,NA,18,30S,NA
2,1904,stage-1,9,9S,Gauban Jean,29,NA,14,15S,NA
2,1904,stage-1,10,54S,Faure Antoine,20,NA,10,0S,NA
2,1904,stage-1,DSQ,9S,Payan Ferdinand,34,NA,NA,15S,NA
2,1904,stage-1,12,54S,Gabory Julien,NA,NA,6,0S,NA
2,1904,stage-1,13,54S,Cornet Henri,19,NA,4,0S,NA
2,1904,stage-1,14,54S,Aucouturier Hippolyte,27,NA,NA,0S,NA
2,1904,stage-1,15,55S,Pillon Edouard,NA,NA,1,1S,NA
2,1904,stage-1,DSQ,54S,Jousselin Philippe,32,NA,NA,0S,NA
2,1904,stage-1,17,4S,Maitron Julien,23,NA,NA,10S,NA
2,1904,stage-1,18,54S,Dortignacq Jean-Baptiste,20,NA,NA,0S,NA
2,1904,stage-1,19,55S,Ventresque Eugène,18,NA,NA,1S,NA
2,1904,stage-1,20,24S,Dargassies Jean,31,NA,NA,30S,NA
2,1904,stage-1,DSQ,9S,Prevost Noël,NA,NA,NA,15S,NA
2,1904,stage-1,22,54S,Coolsaet Louis,19,NA,NA,0S,NA
2,1904,stage-1,23,59S,Fily Camille,17,NA,NA,5S,NA
2,1904,stage-1,24,59S,Catteau Aloïs,26,NA,NA,5S,NA
2,1904,stage-1,25,59S,Geay Eugène,NA,NA,NA,5S,NA
2,1904,stage-1,26,28S,Paret Henri,NA,NA,NA,34S,NA
2,1904,stage-1,27,59S,Durand Auguste,NA,NA,NA,5S,NA
2,1904,stage-1,28,39S,Maisonneuve Auguste,NA,NA,NA,45S,NA
2,1904,stage-1,29,49S,Gauthier Auguste,34,NA,NA,55S,NA
2,1904,stage-1,30,49S,De Balade Philippe,20,NA,NA,55S,NA
2,1904,stage-1,31,0S,Prevost Charles,NA,NA,NA,6S,NA
2,1904,stage-1,DSQ,6S,Lootens Julien,27,NA,NA,12S,NA
2,1904,stage-1,33,39S,Grimenwald ?,NA,NA,NA,45S,NA
2,1904,stage-1,34,43S,Saget René,NA,NA,NA,49S,NA
2,1904,stage-1,35,54S,Chaput Stéphane,NA,NA,NA,0S,NA
2,1904,stage-1,36,54S,Carrere Maurice,NA,NA,NA,0S,NA
2,1904,stage-1,37,24S,Daumain Auguste,26,NA,NA,30S,NA
2,1904,stage-1,38,9S,Vassela ?,NA,NA,NA,15S,NA
2,1904,stage-1,39,9S,Riche Léon,NA,NA,NA,15S,NA
2,1904,stage-1,40,9S,Colas Achille,29,NA,NA,15S,NA
2,1904,stage-1,41,39S,Lardillier Romain,37,NA,NA,45S,NA
2,1904,stage-1,42,54S,Rist Auguste,NA,NA,NA,0S,NA
2,1904,stage-1,43,54S,Leroy  Albert,NA,NA,NA,0S,NA
2,1904,stage-1,44,14S,Niepceron Albert,20,NA,NA,20S,NA
2,1904,stage-1,45,26S,Tachet Laurent,NA,NA,NA,32S,NA
2,1904,stage-1,46,39S,Delhaye Eugène,28,NA,NA,45S,NA
2,1904,stage-1,47,54S,Cnops Pierre,30,NA,NA,0S,NA
2,1904,stage-1,48,28S,Drioul Gustave,28,NA,NA,34S,NA
2,1904,stage-1,49,54S,Desvages Pierre,37,NA,NA,0S,NA
2,1904,stage-1,50,54S,Damelincourt Nicolas,NA,NA,NA,0S,NA
2,1904,stage-1,51,54S,Jaeck Anton,22,NA,NA,0S,NA
2,1904,stage-1,52,54S,Varalde Ange,NA,NA,NA,0S,NA
2,1904,stage-1,53,54S,Cist ?,NA,NA,NA,0S,NA
2,1904,stage-1,54,54S,Poupin Emile,NA,NA,NA,0S,NA
2,1904,stage-1,55,54S,Deflotriere Antoine,27,NA,NA,0S,NA
2,1904,stage-1,DNF,NA,Lipman,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Moulin Emile,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Monin,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Fleury Georges,26,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Achten Joseph,19,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Treuvelot L,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Doury  Octave,20,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Lecuona Louis,19,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Marcastel François,22,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Eugene  Prevost Lucien,41,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Brange Eugène,32,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Jacquet Jean-Baptiste,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Hibon P.,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Delmilhac Charles,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Dartigue Maurice,13,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Laeser Charles,24,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Nemo  Georges,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Dufraix P.,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Reidenbach Franz,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Sales  Jules,29,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Boyer Felix,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Habets Léon,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Dome Hubert,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Sylvain G.,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Deveze Victor,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Lamboeuf Emile,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Rossignoli Giovanni,21,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Lapree Auguste,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Boyer Henri,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Jamar Dieudonné,25,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Lamouline,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Blanqui Adrien,NA,NA,NA,NA,NA
2,1904,stage-1,DNF,NA,Legaux,NA,NA,NA,NA,NA
2,1904,stage-2,1,0S,Aucouturier Hippolyte,27,NA,NA,0S,NA
2,1904,stage-2,2,0S,Garin Cesar,24,NA,NA,0S,NA
2,1904,stage-2,3,1S,Pothier Lucien,21,NA,NA,1S,NA
2,1904,stage-2,4,1S,Garin Maurice,33,NA,NA,1S,NA
2,1904,stage-2,1,2S,Faure Antoine,20,NA,100,2S,NA
2,1904,stage-2,6,2S,Lombard Emile,NA,NA,26,2S,NA
2,1904,stage-2,7,3S,Cornet Henri,19,NA,22,3S,NA
2,1904,stage-2,8,3S,Dortignacq Jean-Baptiste,20,NA,18,3S,NA
2,1904,stage-2,9,4S,Chaput Stéphane,NA,NA,NA,4S,NA
2,1904,stage-2,10,0S,Catteau Aloïs,26,NA,10,0S,NA
2,1904,stage-2,11,0S,Beaugendre François,23,NA,8,0S,NA
2,1904,stage-2,12,2S,Gabory Julien,NA,NA,6,2S,NA
2,1904,stage-2,13,30S,Lootens Julien,27,NA,4,30S,NA
2,1904,stage-2,14,0S,Ventresque Eugène,18,NA,2,0S,NA
2,1904,stage-2,15,0S,Dargassies Jean,31,NA,1,0S,NA
2,1904,stage-2,DSQ,0S,Fily Camille,17,NA,NA,0S,NA
2,1904,stage-2,17,0S,Prevost Charles,NA,NA,NA,0S,NA
2,1904,stage-2,18,0S,Saget René,NA,NA,NA,0S,NA
2,1904,stage-2,19,0S,Paret Henri,NA,NA,NA,0S,NA
2,1904,stage-2,20,0S,Colas Achille,29,NA,NA,0S,NA
2,1904,stage-2,21,0S,Frederick Michel,31,NA,NA,0S,NA
2,1904,stage-2,22,0S,Carrere Maurice,NA,NA,NA,0S,NA
2,1904,stage-2,23,0S,Grimenwald ?,NA,NA,NA,0S,NA
2,1904,stage-2,24,0S,Jousselin Philippe,32,NA,NA,0S,NA
2,1904,stage-2,25,0S,Maitron Julien,23,NA,NA,0S,NA
2,1904,stage-2,26,0S,Geay Eugène,NA,NA,NA,0S,NA
2,1904,stage-2,27,0S,Drioul Gustave,28,NA,NA,0S,NA
2,1904,stage-2,28,0S,Lardillier Romain,37,NA,NA,0S,NA
2,1904,stage-2,29,0S,Daumain Auguste,26,NA,NA,0S,NA
2,1904,stage-2,30,0S,Coolsaet Louis,19,NA,NA,0S,NA
2,1904,stage-2,31,0S,Rist Auguste,NA,NA,NA,0S,NA
2,1904,stage-2,32,0S,Gauthier Auguste,34,NA,NA,0S,NA
2,1904,stage-2,33,0S,Deflotriere Antoine,27,NA,NA,0S,NA
2,1904,stage-2,34,0S,De Balade Philippe,20,NA,NA,0S,NA
2,1904,stage-2,35,0S,Maisonneuve Auguste,NA,NA,NA,0S,NA
2,1904,stage-2,36,0S,Niepceron Albert,20,NA,NA,0S,NA
2,1904,stage-2,37,0S,Poupin Emile,NA,NA,NA,0S,NA
2,1904,stage-2,38,0S,Prevost Noël,NA,NA,NA,0S,NA
2,1904,stage-2,39,0S,Tachet Laurent,NA,NA,NA,0S,NA
2,1904,stage-2,40,0S,Damelincourt Nicolas,NA,NA,NA,0S,NA
2,1904,stage-2,41,0S,Delhaye Eugène,28,NA,NA,0S,NA
2,1904,stage-2,DNF,NA,Riche Léon,NA,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Durand Auguste,NA,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Desvages Pierre,37,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Cnops Pierre,30,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Gerbi Giovanni,19,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Leroy  Albert,NA,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Pillon Edouard,NA,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Cist ?,NA,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Vassela ?,NA,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Varalde Ange,NA,NA,NA,NA,NA
2,1904,stage-2,DNF,NA,Gauban Jean,29,NA,NA,NA,NA
2,1904,stage-2,DNS,NA,Jaeck Anton,22,NA,NA,NA,NA
2,1904,stage-3,1,55S,Aucouturier Hippolyte,27,NA,NA,55S,NA
2,1904,stage-3,1,0S,Cornet Henri,19,NA,100,55S,NA
2,1904,stage-3,3,11S,Beaugendre François,23,NA,50,6S,NA
2,1904,stage-3,4,12S,Pothier Lucien,21,NA,NA,7S,NA
2,1904,stage-3,5,13S,Garin Maurice,33,NA,NA,8S,NA
2,1904,stage-3,6,8S,Fily Camille,17,NA,26,3S,NA
2,1904,stage-3,7,7S,Dortignacq Jean-Baptiste,20,NA,22,2S,NA
2,1904,stage-3,8,5S,Catteau Aloïs,26,NA,18,0S,NA
2,1904,stage-3,9,41S,Garin Cesar,24,NA,NA,36S,NA
2,1904,stage-3,10,37S,Jousselin Philippe,32,NA,10,32S,NA
2,1904,stage-3,11,45S,Carrere Maurice,NA,NA,8,40S,NA
2,1904,stage-3,12,45S,Dargassies Jean,31,NA,6,40S,NA
2,1904,stage-3,13,45S,Faure Antoine,20,NA,4,40S,NA
2,1904,stage-3,14,18S,Prevost Charles,NA,NA,2,13S,NA
2,1904,stage-3,15,47S,Prevost Noël,NA,NA,1,42S,NA
2,1904,stage-3,16,1S,Daumain Auguste,26,NA,NA,56S,NA
2,1904,stage-3,17,5S,Drioul Gustave,28,NA,NA,0S,NA
2,1904,stage-3,18,49S,Lootens Julien,27,NA,NA,44S,NA
2,1904,stage-3,19,25S,Gabory Julien,NA,NA,NA,20S,NA
2,1904,stage-3,20,5S,Tachet Laurent,NA,NA,NA,0S,NA
2,1904,stage-3,21,25S,Maitron Julien,23,NA,NA,20S,NA
2,1904,stage-3,22,5S,Saget René,NA,NA,NA,0S,NA
2,1904,stage-3,23,5S,Rist Auguste,NA,NA,NA,0S,NA
2,1904,stage-3,24,5S,Niepceron Albert,20,NA,NA,0S,NA
2,1904,stage-3,25,5S,Colas Achille,29,NA,NA,0S,NA
2,1904,stage-3,26,5S,Paret Henri,NA,NA,NA,0S,NA
2,1904,stage-3,27,5S,Coolsaet Louis,19,NA,NA,0S,NA
2,1904,stage-3,28,5S,Damelincourt Nicolas,NA,NA,NA,0S,NA
2,1904,stage-3,29,5S,Grimenwald ?,NA,NA,NA,0S,NA
2,1904,stage-3,30,5S,Gauthier Auguste,34,NA,NA,0S,NA
2,1904,stage-3,31,5S,Chaput Stéphane,NA,NA,NA,0S,NA
2,1904,stage-3,32,5S,Poupin Emile,NA,NA,NA,0S,NA
2,1904,stage-3,33,5S,De Balade Philippe,20,NA,NA,0S,NA
2,1904,stage-3,34,5S,Delhaye Eugène,28,NA,NA,0S,NA
2,1904,stage-3,35,5S,Deflotriere Antoine,27,NA,NA,0S,NA
2,1904,stage-3,36,5S,Geay Eugène,NA,NA,NA,0S,NA
2,1904,stage-3,DNF,NA,Ventresque Eugène,18,NA,NA,NA,NA
2,1904,stage-3,DNF,NA,Lombard Emile,NA,NA,NA,NA,NA
2,1904,stage-3,DNF,NA,Maisonneuve Auguste,NA,NA,NA,NA,NA
2,1904,stage-3,DNS,NA,Frederick Michel,31,NA,NA,NA,NA
2,1904,stage-3,DNS,NA,Lardillier Romain,37,NA,NA,NA,NA
2,1904,stage-4,1,6S,Pothier Lucien,21,NA,NA,6S,NA
2,1904,stage-4,2,0S,Garin Cesar,24,NA,NA,6S,NA
2,1904,stage-4,1,0S,Beaugendre François,23,NA,100,6S,NA
2,1904,stage-4,4,0S,Garin Maurice,33,NA,NA,6S,NA
2,1904,stage-4,5,56S,Jousselin Philippe,32,NA,32,2S,NA
2,1904,stage-4,6,59S,Aucouturier Hippolyte,27,NA,NA,5S,NA
2,1904,stage-4,7,59S,Cornet Henri,19,NA,22,5S,NA
2,1904,stage-4,8,24S,Maitron Julien,23,NA,18,30S,NA
2,1904,stage-4,9,9S,Catteau Aloïs,26,NA,14,15S,NA
2,1904,stage-4,10,14S,Gabory Julien,NA,NA,10,20S,NA
2,1904,stage-4,11,54S,Dortignacq Jean-Baptiste,20,NA,8,0S,NA
