species,date,geo_group,region,losses,dead,discarded,escaped,other
rainbowtrout,2024-05-01,county,Agder,0,0,0,0,0
rainbowtrout,2024-05-01,county,Rogaland,0,0,0,0,0
rainbowtrout,2024-05-01,county,Vestland,153034,124817,2525,0,25692
rainbowtrout,2024-05-01,county,Møre og Romsdal,23115,22290,0,0,825
rainbowtrout,2024-05-01,county,Trøndelag,2172,666,1485,0,21
rainbowtrout,2024-05-01,county,Nordland,0,0,0,0,0
rainbowtrout,2024-05-01,county,Troms,0,0,0,0,0
rainbowtrout,2024-05-01,country,Norge,178321,147773,4010,0,26538
rainbowtrout,2024-06-01,area,1,0,0,0,0,0
rainbowtrout,2024-06-01,area,2,0,0,0,0,0
rainbowtrout,2024-06-01,area,3,53837,52598,1037,0,202
rainbowtrout,2024-06-01,area,4,89389,76657,4150,0,8582
rainbowtrout,2024-06-01,area,5,24430,22911,0,0,1519
rainbowtrout,2024-06-01,area,6,821,820,0,0,1
rainbowtrout,2024-06-01,area,9,0,0,0,0,0
rainbowtrout,2024-06-01,area,10,0,0,0,0,0
rainbowtrout,2024-06-01,county,Agder,0,0,0,0,0
rainbowtrout,2024-06-01,county,Rogaland,0,0,0,0,0
rainbowtrout,2024-06-01,county,Vestland,143226,129255,5187,0,8784
rainbowtrout,2024-06-01,county,Møre og Romsdal,24521,23002,0,0,1519
rainbowtrout,2024-06-01,county,Trøndelag,730,729,0,0,1
rainbowtrout,2024-06-01,county,Nordland,0,0,0,0,0
rainbowtrout,2024-06-01,county,Troms,0,0,0,0,0
rainbowtrout,2024-06-01,country,Norge,168477,152986,5187,0,10304
rainbowtrout,2024-07-01,area,1,0,0,0,0,0
rainbowtrout,2024-07-01,area,2,0,0,0,0,0
rainbowtrout,2024-07-01,area,3,47993,46763,1024,0,206
rainbowtrout,2024-07-01,area,4,167659,131294,4239,0,32126
rainbowtrout,2024-07-01,area,5,15133,13785,0,0,1348
rainbowtrout,2024-07-01,area,6,3437,972,2463,0,2
rainbowtrout,2024-07-01,area,9,0,0,0,0,0
rainbowtrout,2024-07-01,area,10,0,0,0,0,0
rainbowtrout,2024-07-01,county,Agder,0,0,0,0,0
rainbowtrout,2024-07-01,county,Rogaland,0,0,0,0,0
rainbowtrout,2024-07-01,county,Vestland,215652,178057,5263,0,32332
rainbowtrout,2024-07-01,county,Møre og Romsdal,17645,13834,2463,0,1348
rainbowtrout,2024-07-01,county,Trøndelag,925,923,0,0,2
rainbowtrout,2024-07-01,county,Nordland,0,0,0,0,0
rainbowtrout,2024-07-01,county,Troms,0,0,0,0,0
rainbowtrout,2024-07-01,country,Norge,234222,192814,7726,0,33682
rainbowtrout,2024-08-01,area,1,0,0,0,0,0
rainbowtrout,2024-08-01,area,2,819,819,0,0,0
rainbowtrout,2024-08-01,area,3,65317,63286,1311,0,720
rainbowtrout,2024-08-01,area,4,188904,171457,5789,0,11658
rainbowtrout,2024-08-01,area,5,13938,11526,0,0,2412
rainbowtrout,2024-08-01,area,6,1298,1283,0,0,15
rainbowtrout,2024-08-01,area,9,0,0,0,0,0
rainbowtrout,2024-08-01,area,10,0,0,0,0,0
rainbowtrout,2024-08-01,county,Agder,0,0,0,0,0
rainbowtrout,2024-08-01,county,Rogaland,819,819,0,0,0
rainbowtrout,2024-08-01,county,Vestland,254221,234743,7100,0,12378
rainbowtrout,2024-08-01,county,Møre og Romsdal,13941,11529,0,0,2412
rainbowtrout,2024-08-01,county,Trøndelag,1295,1280,0,0,15
rainbowtrout,2024-08-01,county,Nordland,0,0,0,0,0
rainbowtrout,2024-08-01,county,Troms,0,0,0,0,0
rainbowtrout,2024-08-01,country,Norge,270276,248371,7100,0,14805
rainbowtrout,2024-09-01,area,1,0,0,0,0,0
rainbowtrout,2024-09-01,area,2,194,194,0,0,0
rainbowtrout,2024-09-01,area,3,34446,32450,1115,0,881
rainbowtrout,2024-09-01,area,4,234933,180723,29640,0,24570
rainbowtrout,2024-09-01,area,5,9022,7814,0,0,1208
rainbowtrout,2024-09-01,area,6,2419,1927,382,0,110
rainbowtrout,2024-09-01,area,9,0,0,0,0,0
rainbowtrout,2024-09-01,area,10,0,0,0,0,0
rainbowtrout,2024-09-01,county,Agder,0,0,0,0,0
rainbowtrout,2024-09-01,county,Rogaland,194,194,0,0,0
rainbowtrout,2024-09-01,county,Vestland,269379,213173,30755,0,25451
rainbowtrout,2024-09-01,county,Møre og Romsdal,9639,8049,382,0,1208
rainbowtrout,2024-09-01,county,Trøndelag,1802,1692,0,0,110
rainbowtrout,2024-09-01,county,Nordland,0,0,0,0,0
rainbowtrout,2024-09-01,county,Troms,0,0,0,0,0
rainbowtrout,2024-09-01,country,Norge,281014,223108,31137,0,26769
rainbowtrout,2024-10-01,area,1,0,0,0,0,0
rainbowtrout,2024-10-01,area,2,178,178,0,0,0
rainbowtrout,2024-10-01,area,3,35597,33712,231,0,1654
rainbowtrout,2024-10-01,area,4,209206,168956,12943,0,27307
rainbowtrout,2024-10-01,area,5,11300,10972,0,0,328
rainbowtrout,2024-10-01,area,6,1959,1910,0,0,49
rainbowtrout,2024-10-01,area,9,0,0,0,0,0
