gutenberg_author_id,author,alias,birthdate,deathdate,wikipedia,aliases
49966,"Surette, Thomas Whitney",NA,1861,1941,https://en.wikipedia.org/wiki/Thomas_Whitney_Surette,NA
49968,"Smith, Southwood",NA,1788,1861,https://en.wikipedia.org/wiki/Thomas_Southwood_Smith,"Smith, T. S. (Thomas Southwood)/Smith, S. (Southwood)/Smith, Thomas Southwood/Southwood-Smith, Thomas"
49969,"Arnold, Sarah Louise",NA,1859,1943,https://en.wikipedia.org/wiki/Sarah_Louise_Arnold,NA
49971,"Eby, Henry Harrison",NA,1841,1932,NA,NA
49973,"Brinton, R. S. (Reginald Seymour)","Brinton, Reginald Seymour",1869,1942,https://en.wikipedia.org/wiki/Reginald_Brinton,"Brinton, Reginald Seymour"
49974,"Napier, Francis John Hamilton Scott",NA,1850,1929,NA,"Napier, Francis H./Napier, F. H."
49975,"Bacon, Edward Denny, Sir","Bacon, E. D.",1860,1938,https://en.wikipedia.org/wiki/Edward_Denny_Bacon,"Bacon, E. D."
49978,"Fehlinger, Hans","Fehlinger, H.",1874,NA,NA,"Fehlinger, H."
49982,"Monroe, W. S. (Will Seymour)",NA,1863,1939,https://en.wikipedia.org/wiki/Will_Seymour_Monroe,"Monroe, Will Seymour/Monroe, Will S. (Will Seymour)"
49983,"Nichols, James Moses","Nichols, James M.",1835,1886,NA,"Nichols, James M."
49984,Ohio State University. Biological Club,NA,NA,NA,NA,"Biological Club‏, Columbus, OH‏/Club, Ohio State University. Biological"
49985,"Plaatsman, D. P.",NA,NA,NA,NA,NA
49988,"Ross, John",NA,NA,NA,NA,NA
49989,Bodley Head (Firm),NA,NA,NA,NA,Bodley Head Limited/Bodley Head Ltd./John Lane the Bodley Head
49992,B. Heller & Co.,B. Heller and Co.,NA,NA,NA,B. Heller and Co.
49993,"Monckton, C. A. W. (Charles Arthur Whitmore)","Monckton, Charles Arthur Whitmore",1872,1936,NA,"Monckton, Charles Arthur Whitmore"
49994,"McConaughy, J. W.",NA,NA,NA,NA,NA
49995,"Bisson, Alexandre",NA,1848,1912,https://en.wikipedia.org/wiki/Alexandre_Bisson,"Bisson, Alexandre Charles Auguste/Bisson, A. (Alexandre)"
49997,CIOS,Cios,NA,NA,NA,Cios
49999,"Anderson, Joseph",NA,1832,1916,https://en.wikipedia.org/wiki/Joseph_Anderson_(antiquarian),NA
50001,"Erber, Felix",NA,NA,NA,NA,NA
50002,"Ross, Warner A.","Ross, Warner Anthony",1879,NA,NA,"Ross, Warner Anthony"
50004,"Buffin, Camille","Buffin, Camille, baron",1871,1928,NA,"Buffin, Camille, baron"
50007,"Yates, Edmund",NA,1831,1894,https://en.wikipedia.org/wiki/Edmund_Yates,"Yates, Edmund Hodgson/Yates, E. (Edmund)"
50009,"Waring, Edward John",NA,1819,1891,https://en.wikipedia.org/wiki/Edward_John_Waring,NA
50012,"Stewart, Alexander, Rev.",NA,NA,NA,NA,NA
50013,"Burnell, A. C. (Arthur Coke)","Burnell, Arthur Coke",1840,1882,https://en.wikipedia.org/wiki/Arthur_Coke_Burnell,"Burnell, Arthur Coke"
50016,"Whitcomb, Caroline Elizabeth","Whitcomb, Caroline E.",1862,NA,NA,"Whitcomb, Caroline E."
50017,"Fabri, Felix",NA,1441,1502,https://en.wikipedia.org/wiki/Felix_Fabri|https://de.wikipedia.org/wiki/Felix_Fabri,"Faber, Felix/Schmid, Felix"
50019,"Goodyear, R. A. H. (Robert Arthur Hanson)","Goodyear, Robert Arthur Hanson",NA,NA,https://en.wikipedia.org/wiki/R._A._H._Goodyear,"Goodyear, Robert Arthur Hanson"
50022,"Miller, Harriet Parks",NA,NA,NA,NA,NA
50023,"Carter, Elsie Hobart","Carter, Elizabeth Hobart",1875,1949,NA,"Carter, Elizabeth Hobart"
50024,"Robertson, James I.",NA,1930,NA,https://en.wikipedia.org/wiki/James_I._Robertson_Jr.,NA
50026,"Wiley, Belle",NA,NA,NA,NA,NA
50027,"Edick, Grace Willard",NA,1875,NA,NA,NA
50029,"Alberts, Edwin C. (Edwin Cameron)","Alberts, Edwin Cameron",1912,2000,NA,"Alberts, Edwin Cameron"
50030,"Abkoude, Christiaan van",NA,1880,1960,https://nl.wikipedia.org/wiki/Chris_van_Abkoude,"Van Abkoude, Christiaan/Abkoude, Chris van/Winters, Charles"
50032,"Bell, Robert",NA,1766,1826,NA,NA
50033,American Colonization Society,NA,NA,NA,https://en.wikipedia.org/wiki/American_Colonization_Society,"Society, American Colonization/ACS/American Colonisation Society/African Colonisation Society"
50034,"Duncan, James",NA,1804,1861,https://en.wikipedia.org/wiki/James_Duncan_(zoologist),NA
50035,"McConnell, James R. (James Rogers)",NA,1887,1917,https://en.wikipedia.org/wiki/James_Rogers_McConnell,NA
50037,"Audubon, John Woodhouse",NA,1812,1862,https://en.wikipedia.org/wiki/John_Woodhouse_Audubon,NA
