gutenberg_author_id,author,alias,birthdate,deathdate,wikipedia,aliases
1,United States,U.S.A.,NA,NA,https://en.wikipedia.org/wiki/United_States,U.S.A.
3,"Lincoln, Abraham",NA,1809,1865,https://en.wikipedia.org/wiki/Abraham_Lincoln,"United States President (1861-1865)/Lincoln, Abe"
4,"Henry, Patrick",NA,1736,1799,https://en.wikipedia.org/wiki/Patrick_Henry,NA
5,"Adam, Paul",NA,1849,1931,https://de.wikipedia.org/wiki/Paul_Adam_(Buchbinder),NA
7,"Carroll, Lewis","Dodgson, Charles Lutwidge",1832,1898,https://en.wikipedia.org/wiki/Lewis_Carroll,"Dodgson, Charles Lutwidge"
8,United States. Central Intelligence Agency,NA,NA,NA,https://en.wikipedia.org/wiki/Central_Intelligence_Agency,"Agency, United States. Central Intelligence/Central Intelligence Agency (U.S.)/CIA (Central Intelligence Agency (U.S.))"
9,"Melville, Herman","Melville, Hermann",1819,1891,https://en.wikipedia.org/wiki/Herman_Melville,"Melville, Hermann"
10,"Barrie, J. M. (James Matthew)",NA,1860,1937,https://en.wikipedia.org/wiki/J._M._Barrie,"Barrie, James Matthew/Barrie, J.M."
11,Church of Jesus Christ of Latter-day Saints,NA,NA,NA,https://en.wikipedia.org/wiki/The_Church_of_Jesus_Christ_of_Latter-day_Saints,NA
12,"Smith, Joseph, Jr.","Smith, Joseph",1805,1844,https://en.wikipedia.org/wiki/Joseph_Smith%2C_Jr.,"Smith, Joseph"
13,"Hamilton, Alexander",NA,1757,1804,https://en.wikipedia.org/wiki/Alexander_Hamilton,NA
14,"Madison, James",United States President (1809-1817),1751,1836,https://en.wikipedia.org/wiki/James_Madison,United States President (1809-1817)
15,"Jay, John","Jay, J. (John)",1745,1829,https://en.wikipedia.org/wiki/John_Jay,"Jay, J. (John)"
16,"Longfellow, Henry Wadsworth","Longfellow, Henry W.",1807,1882,https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow,"Longfellow, Henry W."
17,"Milton, John",NA,1608,1674,https://en.wikipedia.org/wiki/John_Milton,NA
18,Aesop,NA,NA,NA,https://en.wikipedia.org/wiki/Aesop,Æsop/Aisopos
19,"Townsend, George Fyler","Townsend, George Tyler",1814,1900,https://en.wikipedia.org/wiki/George_Fyler_Townsend,"Townsend, George Tyler"
20,"Roget, Peter Mark",NA,1779,1869,https://en.wikipedia.org/wiki/Peter_Roget,NA
22,"Cather, Willa",NA,1873,1947,https://en.wikipedia.org/wiki/Willa_Cather,"Cather, Willa Sibert/Cather, Wilella/Catherová, Willa/Catherova, Willa"
23,"Hardy, Thomas",NA,1840,1928,https://en.wikipedia.org/wiki/Thomas_Hardy,NA
25,United States. Bureau of the Census,NA,NA,NA,http://en.wikipedia.org/wiki/United_States_Census_Bureau,NA
26,Sophocles,NA,-496,-406,https://en.wikipedia.org/wiki/Sophocles|https://hu.wikipedia.org/wiki/Szophokl%C3%A9sz,Σοφοκλής/Sófocles/Sophokles
27,"Gilman, Charlotte Perkins",NA,1860,1935,https://en.wikipedia.org/wiki/Charlotte_Perkins_Gilman,"Stetson, Charlotte Perkins/Perkins, Charlotte Anna"
28,"Hawthorne, Nathaniel",NA,1804,1864,https://en.wikipedia.org/wiki/Nathaniel_Hawthorne,NA
29,"Kehoe, Brendan P.",NA,1970,2011,https://en.wikipedia.org/wiki/Brendan_Kehoe,NA
30,"Wells, H. G. (Herbert George)","Wells, Herbert George",1866,1946,https://en.wikipedia.org/wiki/H._G._Wells,"Wells, Herbert George"
32,"Krol, Ed",NA,1951,NA,https://en.wikipedia.org/wiki/Ed_Krol,NA
33,"Kochmer, Jonathan",NA,NA,NA,NA,NA
34,"Irving, Washington","Crayon, Geoffrey",1783,1859,https://en.wikipedia.org/wiki/Washington_Irving,"Crayon, Geoffrey"
35,"Stevenson, Robert Louis","Stevenson, R. L. (Robert Louis)",1850,1894,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson,"Stevenson, R. L. (Robert Louis)"
36,"Montgomery, L. M. (Lucy Maud)",NA,1874,1942,https://en.wikipedia.org/wiki/Lucy_Maud_Montgomery,"Montgomery, Lucy Maud/MacDonald, Lucy Maud Montgomery"
37,"Dickens, Charles",NA,1812,1870,https://en.wikipedia.org/wiki/Charles_Dickens,"Boz/Dickens, Charles John Huffam"
38,"Polly, Jean Armour",NA,NA,NA,https://en.wikipedia.org/wiki/Jean_Armour_Polly,NA
39,"Hemphill, Scott",NA,NA,NA,NA,NA
40,"Kerr, Stan",NA,NA,NA,NA,NA
41,Library of Congress,NA,NA,NA,https://en.wikipedia.org/wiki/Library_of_Congress,NA
42,"Baum, L. Frank (Lyman Frank)",NA,1856,1919,https://en.wikipedia.org/wiki/L._Frank_Baum,"Van Dyne, Edith/Bancroft, Laura/Baum, Lyman Frank/Metcalf, Suzanne/Akers, Floyd/Cooke, John Estes/Fitzgerald, Capt. Hugh/Fitzgerald, Hugh/Staunton, Schuyler"
44,"Descartes, René","Descartes, Rene",1596,1650,https://en.wikipedia.org/wiki/René_Descartes|https://fr.wikipedia.org/wiki/Ren%C3%A9_Descartes,"Descartes, Rene"
45,"Orczy, Emmuska Orczy, Baroness",NA,1865,1947,https://en.wikipedia.org/wiki/Baroness_Orczy,"Orczy, Baroness Emmuska/Barstow, Montagu, Mrs."
46,"Marx, Karl",NA,1818,1883,https://de.wikipedia.org/wiki/Karl_Marx|https://en.wikipedia.org/wiki/Karl_Marx,"Marx, Heinrich Karl/Marx, Carlos"
47,"Engels, Friedrich","Engels, Frederick",1820,1895,https://en.wikipedia.org/wiki/Friedrich_Engels|https://de.wikipedia.org/wiki/Friedrich_Engels,"Engels, Frederick"
48,"Burroughs, Edgar Rice",NA,1875,1950,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs,NA
49,Unknown,NA,NA,NA,ebooks/author/216,NA
50,"Joly, Norman F.",NA,NA,NA,NA,NA
51,"Coombs, Norman",NA,1932,NA,NA,NA
52,"Slowinski, David",NA,NA,NA,https://en.wikipedia.org/wiki/David_Slowinski,NA
53,"Twain, Mark",NA,1835,1910,https://en.wikipedia.org/wiki/Mark_Twain,"Clemens, Samuel Langhorne/Twain, Mark (Samuel Clemens)"
54,"Thoreau, Henry David","Thoreau, Henry D. (Henry David)",1817,1862,https://en.wikipedia.org/wiki/Henry_David_Thoreau,"Thoreau, Henry D. (Henry David)"
55,"Crane, Stephen","Smith, Johnston",1871,1900,https://en.wikipedia.org/wiki/Stephen_Crane,"Smith, Johnston"
56,"Goodwin, John E.",NA,NA,NA,NA,NA
57,"Schwartau, Winn",NA,1952,NA,https://en.wikipedia.org/wiki/Winn_Schwartau,NA
58,"De Presno, Odd","Presno, Odd de",1944,NA,NA,"Presno, Odd de"
59,"Scott, Walter",NA,1771,1832,https://en.wikipedia.org/wiki/Walter_Scott,"Scott, Sir Walter/Malagrowther, Malachi/Cleishbotham, Jedediah/Templeton, Laurence"
60,"Verne, Jules",NA,1828,1905,https://en.wikipedia.org/wiki/Jules_Verne|https://pt.wikipedia.org/wiki/J%C3%BAlio_Verne|https://fr.wikipedia.org/wiki/Jules_Verne,"Verne, Júlio/Verne, Jules Gabriël/Verne, Jules Gabriel/Verne, Gyula"
61,"Shelley, Mary Wollstonecraft",NA,1797,1851,https://en.wikipedia.org/wiki/Mary_Wollstonecraft_Shelley,"Shelley, Mary Wollstonecraft Godwin/Shelley, Mary W."
62,Canada,NA,NA,NA,https://en.wikipedia.org/wiki/Canada,NA
63,"Hope, Anthony","Hawkins, Anthony Hope",1863,1933,https://en.wikipedia.org/wiki/Anthony_Hope,"Hawkins, Anthony Hope"
64,"Abbott, Edwin Abbott",NA,1838,1926,https://en.wikipedia.org/wiki/Edwin_Abbott_Abbott,"A Square/Abbott, E. A. (Edwin Abbott)/Abbott, Edwin A. (Edwin Abbott)"
65,"Shakespeare, William",NA,1564,1616,https://en.wikipedia.org/wiki/William_Shakespeare,"Shakspeare, William/Shakspere, William"
66,"Sterling, Bruce",NA,1954,NA,https://en.wikipedia.org/wiki/Bruce_Sterling,NA
67,"Roosevelt, Franklin D. (Franklin Delano)",NA,1882,1945,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,"United States President (1933-1945)/Roosevelt, Franklin Delano"
68,"Austen, Jane",NA,1775,1817,https://en.wikipedia.org/wiki/Jane_Austen,NA
69,"Doyle, Arthur Conan",NA,1859,1930,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle,"Conan Doyle, Arthur, Sir/Doyle, Sir Arthur Conan/Doyle, A. Conan"
70,"Millay, Edna St. Vincent",NA,1892,1950,https://en.wikipedia.org/wiki/Edna_St._Vincent_Millay,"Boyd, Nancy/Boissevain, Edna St. Vincent Millay"
71,"Stratton-Porter, Gene",NA,1863,1924,https://en.wikipedia.org/wiki/Gene_Stratton_Porter,NA
72,"McGowan, Richard",NA,1958,NA,NA,NA
73,"Burnett, Frances Hodgson",NA,1849,1924,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett,"Townesend, Frances Eliza Hodgson Burnett/Hodgson, Frances Eliza"
74,"Tenniel, John","Tenniel, Sir John",1820,1914,https://en.wikipedia.org/wiki/John_Tenniel,"Tenniel, Sir John"
75,"Beethoven, Ludwig van",NA,1770,1827,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven,"Beethoven, Ludwig von/Beethoven, L. van (Ludwig)/Van Beethoven, Ludwig"
76,Electronic Frontier Foundation,EFF,NA,NA,https://en.wikipedia.org/wiki/Electronic_Frontier_Foundation,EFF
77,"Nemiroff, Robert J.",NA,NA,NA,https://en.wikipedia.org/wiki/Robert_J._Nemiroff,NA
78,"Bonnell, Jerry T.",NA,NA,NA,NA,NA
79,"Lang, Andrew","Lang, Walter Andrew",1844,1912,https://en.wikipedia.org/wiki/Andrew_Lang,"Lang, Walter Andrew"
80,"Chesterton, G. K. (Gilbert Keith)",NA,1874,1936,https://en.wikipedia.org/wiki/G._K._Chesterton,"Chesterton, Gilbert Keith/Chesterton, Gilbert K. (Gilbert Keith)"
81,"Bunyan, John","Bunyan, Johann",1628,1688,https://en.wikipedia.org/wiki/John_Bunyan,"Bunyan, Johann"
83,"Frederic, Harold",NA,1856,1898,https://en.wikipedia.org/wiki/Harold_Frederic,NA
84,"Wollstonecraft, Mary",NA,1759,1797,https://en.wikipedia.org/wiki/Mary_Wollstonecraft,"Cresswick, Mr./Godwin, Mary Wollstonecraft"
85,"Hugo, Victor",NA,1802,1885,https://en.wikipedia.org/wiki/Victor_Hugo|https://fr.wikipedia.org/wiki/Victor_Hugo,"Hugo, Victor Marie, comte/Hugo, Víctor"
86,"Doumic, René","Doumic, Rene",1860,1937,https://en.wikipedia.org/wiki/René_Doumic|https://fr.wikipedia.org/wiki/Ren%C3%A9_Doumic,"Doumic, Rene"
88,"Sinclair, Upton",NA,1878,1968,https://en.wikipedia.org/wiki/Upton_Sinclair,"Fitch, Clarke/Garrison, Frederick/Sinclair, Upton Beall"
89,"Woolf, Virginia",NA,1882,1941,http://en.wikipedia.org/wiki/Virginia_Woolf,"Woolf, Virginia Stephen/Stephen, Virginia"
90,"Eliot, George",NA,1819,1880,https://en.wikipedia.org/wiki/George_Eliot,"Evans, Mary Anne/Cross, Marian Evans/Evans, Marian/Cross, Mary Ann/Lewes, M. E. (Marian Evans)/Lewes, Marian Evans"
91,"Paine, Thomas","Pain, Thomas",1737,1809,https://en.wikipedia.org/wiki/Thomas_Paine,"Pain, Thomas"
92,"Franklin, Benjamin",NA,1706,1790,https://en.wikipedia.org/wiki/Benjamin_Franklin,NA
93,Plato,Πλάτων,-428,-348,https://en.wikipedia.org/wiki/Plato,Πλάτων
95,"Coleridge, Samuel Taylor","Coleridge, S. T. (Samuel Taylor)",1772,1834,https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,"Coleridge, S. T. (Samuel Taylor)"
96,"Sprague, Ruth M.",NA,NA,NA,NA,NA
97,"Howells, William Dean",NA,1837,1920,https://en.wikipedia.org/wiki/William_Dean_Howells,"Howells, W. D. (William Dean)/Howells, William D. (William Dean)"
98,"Collins, Wilkie","Collins, William Wilkie",1824,1889,https://en.wikipedia.org/wiki/Wilkie_Collins,"Collins, William Wilkie"
99,"Webster, Jean",NA,1876,1916,https://en.wikipedia.org/wiki/Jean_Webster,"McKinney, Jean Webster/Webster, Alice Jean Chandler"
100,"Chopin, Kate",NA,1850,1904,https://en.wikipedia.org/wiki/Kate_Chopin,"Chopin, Katherine O'Flaherty/O'Flaherty, Catherine"
101,"Laxer, Mark E.",NA,NA,NA,NA,NA
102,"Alcott, Louisa May",NA,1832,1888,https://en.wikipedia.org/wiki/Louisa_May_Alcott,"Barnard, A. M./Alcott, Louisa M. (Louisa May)/Alcott, L. M. (Louisa May)"
103,"Norris, Frank","Norris, Benjamin Franklin",1870,1902,https://en.wikipedia.org/wiki/Frank_Norris,"Norris, Benjamin Franklin"
104,"Wharton, Edith",NA,1862,1937,https://en.wikipedia.org/wiki/Edith_Wharton|https://fr.wikipedia.org/wiki/Edith_Wharton,"Wharton, Edith Newbold Jones/Olivieri, David"
105,"Humphrey, S. D. (Samuel Dwight)","Humphrey, Samuel Dwight",1823,1883,NA,"Humphrey, Samuel Dwight"
106,"Snelling, Henry Hunt","Snelling, H. H. (Henry Hunt)",1816,1897,https://en.wikipedia.org/wiki/Henry_Hunt_Snelling,"Snelling, H. H. (Henry Hunt)"
107,"Morris, William","Morris, William M.",1834,1896,http://en.wikipedia.org/wiki/William_Morris,"Morris, William M."
108,"Rowson, Mrs.",NA,1762,1824,https://en.wikipedia.org/wiki/Susanna_Rowson,"Haswell, Susannah/Rowson, Susanna Haswell"
109,"Morley, Christopher","Morley, Christopher Darlington",1890,1957,https://en.wikipedia.org/wiki/Christopher_Morley,"Morley, Christopher Darlington"
110,"Rohmer, Sax","Ward, Arthur Sarsfield",1883,1959,https://en.wikipedia.org/wiki/Sax_Rohmer,"Ward, Arthur Sarsfield"
111,"Wilde, Oscar","Wilde, Oscar Fingal O'Flahertie Wills",1854,1900,https://fr.wikipedia.org/wiki/Oscar_Wilde|https://en.wikipedia.org/wiki/Oscar_Wilde,"Wilde, Oscar Fingal O'Flahertie Wills"
112,"Leroux, Gaston",NA,1868,1927,https://en.wikipedia.org/wiki/Gaston_Leroux|https://fr.wikipedia.org/wiki/Gaston_Leroux,NA
113,"James, Henry",NA,1843,1916,https://en.wikipedia.org/wiki/Henry_James,NA
114,Project Gutenberg,"Gutenberg, Project",NA,NA,https://en.wikipedia.org/wiki/Project_Gutenberg,"Gutenberg, Project"
115,"Stowe, Harriet Beecher",NA,1811,1896,https://en.wikipedia.org/wiki/Harriet_Beecher_Stowe,"Stowe, Harriet Elizabeth Beecher/Crowfield, Christopher/Stowe, H. B. (Harriet Beecher)"
116,Various,NA,NA,NA,NA,"Verschillende/Various, Various"
117,"Service, Robert W. (Robert William)","Service, Robert William",1874,1958,https://en.wikipedia.org/wiki/Robert_W._Service,"Service, Robert William"
118,"Paterson, A. B. (Andrew Barton)",NA,1864,1941,https://en.wikipedia.org/wiki/Banjo_Paterson,"Paterson, Banjo/Paterson, Andrew Barton"
119,"Lawson, Henry","Lawson, Henry Archibald Hertzberg",1867,1922,https://en.wikipedia.org/wiki/Henry_Lawson,"Lawson, Henry Archibald Hertzberg"
120,"London, Jack","Chaney, John Griffith",1876,1916,https://en.wikipedia.org/wiki/Jack_London,"Chaney, John Griffith"
123,"Lawrence, D. H. (David Herbert)",NA,1885,1930,https://en.wikipedia.org/wiki/D._H._Lawrence,"Lawrence, D.H./Lawrence, David Herbert/Davison, Lawrence H. (Lawrence Herbert)"
125,"Conrad, Joseph",NA,1857,1924,https://en.wikipedia.org/wiki/Joseph_Conrad,"Korzeniowski, Joseph Conrad Theodore/Korzeniowski, Józef Konrad Teodor/Korzeniowski, Jozef Konrad Teodor"
126,"Maugham, W. Somerset (William Somerset)",NA,1874,1965,https://en.wikipedia.org/wiki/W._Somerset_Maugham,"Maugham, William Somerset/Maugham, Somerset"
127,"MacDonald, George",NA,1824,1905,https://en.wikipedia.org/wiki/George_MacDonald,NA
128,"Cicero, Marcus Tullius",NA,-106,-43,http://en.wikipedia.org/wiki/Cicero,NA
129,Virgil,NA,-70,-19,https://en.wikipedia.org/wiki/Virgil,"Vergil/Vergilius Maro, Publius/Publio Virgilio Marón/Marón, Publio Virgilio"
130,"Dreiser, Theodore",NA,1871,1945,https://en.wikipedia.org/wiki/Theodore_Dreiser,NA
131,"Salza, Giuseppe",NA,NA,NA,NA,NA
132,"Kipling, Rudyard",NA,1865,1936,https://en.wikipedia.org/wiki/Rudyard_Kipling,"Kipling, R. (Rudyard)/Kipling, Joseph Rudyard"
133,"Propertius, Sextus","Propertius, Sextus Aurelius",NA,NA,http://en.wikipedia.org/wiki/Sextus_Propertius,"Propertius, Sextus Aurelius"
134,"Harris, Robert A. (Robert Alan)","Harris, Robert A., Ph.D.",1950,NA,NA,"Harris, Robert A., Ph.D."
135,"Brown, William Wells",NA,NA,1884,https://en.wikipedia.org/wiki/William_Wells_Brown,"Brown, W. Wells (William Wells)/Brown, Wm. Wells (William Wells)/Brown, William W."
136,"Tolstoy, Leo, graf",NA,1828,1910,https://en.wikipedia.org/wiki/Leo_Tolstoy,"Толстой, Лев Николаевич/Tolstoi, Leo/Tolstoy, Lev N./Tolstoï, Léon/Tolstoy, Graf Leo/Tolstoj, Lev Nikolaevič/Tolstoj, Lev Nikolaevic"
138,"FitzGerald, Edward","Purcell, Edward",1809,1883,https://en.wikipedia.org/wiki/Edward_FitzGerald_%28poet%29,"Purcell, Edward"
139,"Webster, Noah",NA,1758,1843,https://en.wikipedia.org/wiki/Noah_Webster,NA
141,Library of Congress. Copyright Office,NA,NA,NA,https://en.wikipedia.org/wiki/United_States_Copyright_Office,"United States. Copyright Office/Library of Congress. Register of Copyrights/Office, U.S. Copyright/Congress, U. S. Copyright Office Library of/Congress, Copyright Office Library of/Office, Copyright"
142,Coalition for Networked Information,CNI,NA,NA,https://en.wikipedia.org/wiki/Coalition_for_Networked_Information,CNI
143,"Scavezze, Dan",NA,NA,NA,NA,NA
144,"Chaucer, Geoffrey","Chaucer, Jeffrey",1342,1400,https://en.wikipedia.org/wiki/Geoffrey_Chaucer,"Chaucer, Jeffrey"
145,"Gordon, Adam Lindsay",NA,1833,1870,https://en.wikipedia.org/wiki/Adam_Lindsay_Gordon,NA
146,"Browning, Robert",NA,1812,1889,https://en.wikipedia.org/wiki/Robert_Browning,NA
147,"Lowell, Amy",NA,1874,1925,https://en.wikipedia.org/wiki/Amy_Lowell,NA
148,"Brooke, Rupert",NA,1887,1915,https://en.wikipedia.org/wiki/Rupert_Brooke,NA
149,"Kilmer, Joyce","Kilmer, Alfred Joyce",1886,1918,https://en.wikipedia.org/wiki/Joyce_Kilmer,"Kilmer, Alfred Joyce"
150,"Gower, John",NA,NA,1408,https://en.wikipedia.org/wiki/John_Gower,NA
152,Saki,NA,1870,1916,https://en.wikipedia.org/wiki/Saki,"Munro, Hector Hugh/Munro, H. H. (Hector Hugh)"
153,"Grahame, Kenneth",NA,1859,1932,https://en.wikipedia.org/wiki/Kenneth_Grahame,NA
154,"Sewell, Anna","Sewell, Ana",1820,1878,https://en.wikipedia.org/wiki/Anna_Sewell,"Sewell, Ana"
155,"Luther, Martin",NA,1483,1546,https://en.wikipedia.org/wiki/Martin_Luther,NA
156,"Melanchthon, Philipp",NA,1497,1560,https://en.wikipedia.org/wiki/Philipp_Melanchthon,"Schwarzerd, Philipp/Faventinus, Didymus"
157,"Haydn, Joseph",NA,1732,1809,https://en.wikipedia.org/wiki/Joseph_Haydn,"Haydn, Franz Josef/Haydn, Franz Joseph"
158,National Atomic Museum (U.S.),NA,NA,NA,https://en.wikipedia.org/wiki/National_Museum_of_Nuclear_Science_%26_History,NA
163,"Kinglake, Alexander William","Kinglake, A. W. (Alexander William)",1809,1891,https://en.wikipedia.org/wiki/Alexander_William_Kinglake,"Kinglake, A. W. (Alexander William)"
166,"Cabell, James Branch","Cabell, Branch",1879,1958,https://en.wikipedia.org/wiki/James_Branch_Cabell,"Cabell, Branch"
167,"Taylor, Bayard",NA,1825,1878,https://en.wikipedia.org/wiki/Bayard_Taylor,"Taylor, James Bayard/Taylor, J. B./Taylor, J.B."
168,"Alger, Horatio, Jr.",NA,1832,1899,"https://en.wikipedia.org/wiki/Horatio_Alger,_Jr.","Putnam, Arthur Lee/Starr, Julian/Preston, Charles F./Alger, Horatio"
169,"Tarkington, Booth",NA,1869,1946,https://en.wikipedia.org/wiki/Booth_Tarkington,"Tarkington, Newton Booth/Tarkington, B. (Booth)/Van Loot, Cornelius Obenchain"
170,"Boyesen, Hjalmar Hjorth","Boyesen, Hjalmar H.",1848,1895,https://en.wikipedia.org/wiki/Hjalmar_Hjorth_Boyesen,"Boyesen, Hjalmar H."
171,"Husted, Michael",NA,NA,NA,NA,NA
172,"Gaboriau, Emile","Gaboriau, Émile",1832,1873,http://en.wikipedia.org/wiki/%C3%89mile_Gaboriau|http://fr.wikipedia.org/wiki/%C3%89mile_Gaboriau,"Gaboriau, Émile"
173,"Jerome, Jerome K. (Jerome Klapka)",NA,1859,1927,https://en.wikipedia.org/wiki/Jerome_K._Jerome,"Jerome, Jerome Klapka/Jerome, J. K./Jerome, J.K./Jerome, Jerome Clapp"
174,"Benét, Stephen Vincent","Benet, Stephen Vincent",1898,1943,https://en.wikipedia.org/wiki/Stephen_Vincent_Benét,"Benet, Stephen Vincent"
175,"Robinson, Edwin Arlington",NA,1869,1935,https://en.wikipedia.org/wiki/Edwin_Arlington_Robinson,"Robinson, E. A. (Edwin Arlington)/Robinson, Edward A."
176,"Dobie, J. Frank (James Frank)",NA,1888,1964,https://en.wikipedia.org/wiki/J._Frank_Dobie,"Dobie, James Frank/Dobie, Frank"
177,"Drake, Joseph Rodman",NA,1795,1820,https://en.wikipedia.org/wiki/Joseph_Rodman_Drake,NA
178,"Gregory, Eliot",NA,1854,1915,NA,NA
179,"Fox, John, Jr.",NA,1862,1919,https://en.wikipedia.org/wiki/John_Fox%2C_Jr.,"Fox, John/Fox, John William, Jr."
180,"Muir, John",NA,1838,1914,https://en.wikipedia.org/wiki/John_Muir,NA
181,"Davis, Richard Harding",NA,1864,1916,https://en.wikipedia.org/wiki/Richard_Harding_Davis,NA
182,"Guest, Edgar A. (Edgar Albert)",NA,1881,1959,https://en.wikipedia.org/wiki/Edgar_Guest,"Guest, Edgar Albert/Guest, Eddie"
183,"Rinehart, Mary Roberts",NA,1876,1958,https://en.wikipedia.org/wiki/Mary_Roberts_Rinehart,NA
184,"Page, Thomas Nelson",NA,1853,1922,https://en.wikipedia.org/wiki/Thomas_Nelson_Page,NA
185,"Raleigh, Walter Alexander, Sir","Raleigh, Sir Walter Alexander",1861,1922,https://en.wikipedia.org/wiki/Walter_Raleigh_(professor),"Raleigh, Sir Walter Alexander"
186,"Davis, Rebecca Harding","Davis, R. H. (Rebecca Harding)",1831,1910,https://en.wikipedia.org/wiki/Rebecca_Harding_Davis,"Davis, R. H. (Rebecca Harding)"
187,"Eastman, Charles A.",NA,1858,1939,https://en.wikipedia.org/wiki/Charles_Eastman,"Ohiyesa/Okhidzheza/Eastman, Charles Alexander"
188,Zitkala-Sa,NA,1876,1938,https://en.wikipedia.org/wiki/Zitkala-Sa,"Bonnin, Gertrude/Simmons, Gertrude"
189,"McLaughlin, Marie L.",NA,1842,NA,NA,NA
190,"Stoker, Bram","Stoker, Abraham",1847,1912,https://en.wikipedia.org/wiki/Bram_Stoker,"Stoker, Abraham"
191,Hesiod,NA,NA,NA,https://en.wikipedia.org/wiki/Hesiod,NA
193,"Ferber, Edna",NA,1885,1968,https://en.wikipedia.org/wiki/Edna_Ferber,NA
194,"McCrae, John",NA,1872,1918,https://en.wikipedia.org/wiki/John_McCrae,NA
196,"Shaw, Anna Howard",NA,1847,1919,https://en.wikipedia.org/wiki/Anna_Howard_Shaw,NA
197,"Jordan, Elizabeth Garver",NA,1867,1947,https://en.wikipedia.org/wiki/Elizabeth_Jordan,NA
198,"Olcott, Frances Jenkins",NA,1872,1963,https://en.wikipedia.org/wiki/Frances_Jenkins_Olcott,NA
199,"Proudhon, P.-J. (Pierre-Joseph)","Proudhon, Pierre Joseph",1809,1865,http://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon,"Proudhon, Pierre Joseph"
200,"Porter, Eleanor H. (Eleanor Hodgman)","Porter, Eleanor Hodgman",1868,1920,https://en.wikipedia.org/wiki/Eleanor_H._Porter,"Porter, Eleanor Hodgman"
201,"Austin, Mary","Austin, Mary Hunter",1868,1934,https://en.wikipedia.org/wiki/Mary_Hunter_Austin,"Austin, Mary Hunter"
202,"Jewett, Sarah Orne",NA,1849,1909,http://en.wikipedia.org/wiki/Sarah_Orne_Jewett,NA
203,"Conwell, Russell H.","Conwell, Russell Herman",1843,1925,https://en.wikipedia.org/wiki/Russell_Conwell,"Conwell, Russell Herman"
204,"Defoe, Daniel",NA,NA,1731,https://en.wikipedia.org/wiki/Daniel_Defoe|ebooks/author/26500,"Defo, Daniel/John, Gabriel/Moreton, Andrew/Defoë, Daniel"
205,"Wheatley, Henry B. (Henry Benjamin)","Wheatley, H. B. (Henry Benjamin)",1838,1917,https://en.wikipedia.org/wiki/Henry_B._Wheatley,"Wheatley, H. B. (Henry Benjamin)"
206,"Bierce, Ambrose","Grile, Dod",1842,1913,https://en.wikipedia.org/wiki/Ambrose_Bierce|ebooks/author/44231,"Grile, Dod"
207,"Barker, Nettie Garmer",NA,1882,1953,NA,NA
208,"Martorell, Joanot",NA,NA,1468,https://en.wikipedia.org/wiki/Joanot_Martorell,"Martorell, Joannot/Martorell, Juan/Martorell, Pedro Juan"
210,"Galba, Martí Joan de",NA,NA,1490,https://en.wikipedia.org/wiki/Martí_Joan_de_Galba,"Galba, Marti Joan de/Galla, Martín Juan de/Gralla, Martín Juan de/Gralla, Martin Juan de"
211,"Goldsmith, Oliver","Goldsmit, Oliver",NA,1774,http://en.wikipedia.org/wiki/Oliver_Goldsmith,"Goldsmit, Oliver"
212,"Grey, Zane",NA,1872,1939,https://en.wikipedia.org/wiki/Zane_Grey,"Gray, Zane/Gray, Pearl Zane"
213,"Churchill, Winston",NA,1871,1947,https://en.wikipedia.org/wiki/Winston_Churchill_(novelist),NA
214,"Machen, Arthur",NA,1863,1947,http://en.wikipedia.org/wiki/Arthur_Machen,NA
215,"Cranmer-Byng, L. (Launcelot)","Cranmer-Byng, Launcelot Alfred",1872,1945,https://en.wikipedia.org/wiki/Launcelot_Cranmer-Byng,"Cranmer-Byng, Launcelot Alfred"
216,Anonymous,NA,NA,NA,https://en.wikipedia.org/wiki/Anonymous_work|ebooks/author/49,"Anonyme/Anonymous, Anonymous"
218,"Tasso, Torquato",NA,1544,1595,https://en.wikipedia.org/wiki/Torquato_Tasso,"Tasso, Torcuato/Tasso, Torkvato/Taso, Torquato/Dasso, Dorkuato/Tasso, Torquata"
219,"Stacpoole, H. De Vere (Henry De Vere)",NA,1863,1951,https://en.wikipedia.org/wiki/Henry_De_Vere_Stacpoole,"Stacpoole, Henry De Vere/Stacpoole, H. de Vere"
220,"Gaskell, Elizabeth Cleghorn",NA,1810,1865,https://en.wikipedia.org/wiki/Elizabeth_Gaskell,"Gaskell, E. C. (Elizabeth Cleghorn)/Gaskell, Mrs./Gaskell, Elizabeth Cleghorn Stevenson/Stevenson, Elizabeth/Mills, Cotton Mather/Gaskell, Elizabeth C."
221,"Stockton, Frank R.",NA,1834,1902,https://en.wikipedia.org/wiki/Frank_R._Stockton,"Stockton, Francis Richard/Stockton, Frank Richard"
222,"Platt, Rutherford Hayes","Platt, Rutherford",1894,1975,https://en.wikipedia.org/wiki/Rutherford_Platt,"Platt, Rutherford"
