gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
32,Herland,"Gilman, Charlotte Perkins",27,en,Best Books Ever Listings/Browsing: Culture/Civilization/Society/Browsing: Gender & Sexuality Studies/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
33,The Scarlet Letter,"Hawthorne, Nathaniel",28,en,Harvard Classics/Movie Books/Browsing: Culture/Civilization/Society/Browsing: History - American/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
34,Zen and the Art of the Internet,"Kehoe, Brendan P.",29,en,Browsing: Computers & Technology,Copyrighted. Read the copyright notice inside this book for details.,TRUE
35,The Time Machine,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Movie Books/Browsing: Literature/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
36,The War of the Worlds,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Movie Books/Browsing: History - Warfare/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
37,The 1990 United States Census [2nd],United States. Bureau of the Census,25,en,Browsing: Encyclopedias/Dictionaries/Reference/Browsing: History - American,Public domain in the USA.,TRUE
38,"The Jargon File, Version 2.9.10, 01 Jul 1992",NA,NA,en,Browsing: Computers & Technology/Browsing: Encyclopedias/Dictionaries/Reference/Browsing: Humour,Public domain in the USA.,TRUE
39,Hitchhiker's Guide to the Internet,"Krol, Ed",32,en,Browsing: Computers & Technology,Copyrighted. Read the copyright notice inside this book for details.,TRUE
40,NorthWestNet User Services Internet Resource Guide (NUSIRG),"Kochmer, Jonathan",33,en,Browsing: Computers & Technology,Copyrighted. Read the copyright notice inside this book for details.,TRUE
41,The Legend of Sleepy Hollow,"Irving, Washington",34,en,Children's Literature/Harvard Classics/Browsing: Children & Young Adult Reading/Browsing: History - American/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",35,en,Precursors of Science Fiction/Horror/Gothic Fiction/Movie Books/Browsing: Literature/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",35,en,Precursors of Science Fiction/Horror/Movie Books/Browsing: Psychiatry/Psychology/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
44,The Song of the Lark,"Cather, Willa",22,en,Opera/Browsing: Culture/Civilization/Society/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",36,en,Canada/Children's Literature/Browsing: Children & Young Adult Reading/Browsing: Culture/Civilization/Society/Browsing: History - General/Browsing: Fiction,Public domain in the USA.,TRUE
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",37,en,Children's Literature/Christmas/Browsing: Children & Young Adult Reading/Browsing: Culture/Civilization/Society/Browsing: Fiction,Public domain in the USA.,TRUE
47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",36,en,Canada/Children's Literature/Browsing: Children & Young Adult Reading/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
48,The 1992 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks/Browsing: Encyclopedias/Dictionaries/Reference/Browsing: Politics/Browsing: Travel & Geography,Public domain in the USA.,TRUE
49,"Surfing the Internet: An Introduction
Version 2.0.2","Polly, Jean Armour",38,en,Browsing: Computers & Technology,Copyrighted. Read the copyright notice inside this book for details.,TRUE
50,Pi,"Hemphill, Scott",39,en,Mathematics/Browsing: Mathematics/Browsing: Science - General,Public domain in the USA.,TRUE
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud)",36,en,Canada/Children's Literature/Browsing: Children & Young Adult Reading/Browsing: Literature/Browsing: Fiction,Public domain in the USA.,TRUE
52,The Square Root of 2,"Kerr, Stan",40,en,Mathematics/Browsing: Mathematics/Browsing: Science - General,Public domain in the USA.,TRUE
53,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",Library of Congress,41,en,Browsing: Computers & Technology/Browsing: Encyclopedias/Dictionaries/Reference,Public domain in the USA.,TRUE
54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Browsing: Children & Young Adult Reading/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Browsing: Children & Young Adult Reading/Browsing: Science-Fiction & Fantasy/Browsing: Fiction,Public domain in the USA.,TRUE
