tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt13977508,movie,Hollywood in the Atomic Age - Monsters! Martians! Mad Scientists!,Hollywood in the Atomic Age - Monsters! Martians! Mad Scientists!,2021,120,"Horror,Sci-Fi",hollywood in the atomic age  monsters martians mad scientists,6.9,50
tt1399053,movie,Monster: The Josef Fritzl Story,Monster: The Josef Fritzl Story,2015,48,"Crime,Documentary",monster the josef fritzl story,4.9,1838
tt1414236,movie,My Stuffed Animal Is a Monster,My Stuffed Animal Is a Monster,2009,76,"Comedy,Horror",my stuffed animal is a monster,6.6,12
tt14151682,movie,Mike Mignola: Drawing Monsters,Mike Mignola: Drawing Monsters,2022,98,Documentary,mike mignola drawing monsters,7.7,138
tt14157332,movie,H.P. Lovecraft's Monster Portal,H.P. Lovecraft's Monster Portal,2022,80,"Drama,Fantasy,Horror",hp lovecrafts monster portal,3.2,318
tt14365408,movie,Monsters of Florence,Il triangolo della morte: I mostri di Firenze,2020,95,"Crime,Documentary",monsters of florence,5.9,131
tt1438239,movie,Shelter: A Monster Movie,Shelter: A Monster Movie,2009,NA,Crime,shelter a monster movie,7.4,11
tt1447981,tvMovie,Monster High: The Movie,Monster High,2022,92,"Action,Adventure,Comedy",monster high the movie,5.1,3555
tt14516188,movie,Ape vs. Monster,Ape vs. Monster,2021,88,"Action,Adventure,Sci-Fi",ape vs monster,2.2,1022
tt14530552,movie,Carnal Monsters,Carnal Monsters,2021,NA,Horror,carnal monsters,4.4,32
tt1453405,movie,Monsters University,Monsters University,2013,104,"Adventure,Animation,Comedy",monsters university,7.2,399330
tt1463183,video,Making the Manticore Monsters,Making the Manticore Monsters,2003,6,"Documentary,Short",making the manticore monsters,6.5,46
tt1463411,video,"Monsters, Marriage and Murder in Manchvegas","Monsters, Marriage and Murder in Manchvegas",2009,80,"Adventure,Comedy",monsters marriage and murder in manchvegas,6,105
tt1467280,movie,Mega Monster Battle: Ultra Galaxy Legends - The Movie,Daikaijû Batoru: Urutora Ginga Densetsu - The Movie,2009,96,"Action,Adventure,Family",mega monster battle ultra galaxy legends  the movie,7,405
tt1468727,movie,Monster Mutt,Monster Mutt,2011,89,"Comedy,Family,Sci-Fi",monster mutt,3.7,339
tt1470827,movie,Monsters,Monsters,2010,94,"Adventure,Drama,Romance",monsters,6.3,98700
