tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt2839666,movie,Monster Croc Hunt,Monster Croc Hunt,2013,NA,Documentary,monster croc hunt,6,16
tt2850272,movie,Monster,Monster,2018,98,"Crime,Drama",monster,6.5,6765
tt28655477,movie,I Am Monsters!,I Am Monsters!,2023,72,"Documentary,Horror",i am monsters,6.5,14
tt28754394,movie,Monster Inside: America's Most Extreme Haunted House,Monster Inside: America's Most Extreme Haunted House,2023,87,"Crime,Documentary,Horror",monster inside americas most extreme haunted house,5.4,1607
tt2903136,movie,Hanna and the Monsters,Hanna y los monstruos,2023,80,"Adventure,Animation",hanna and the monsters,6.4,55
tt29199680,movie,Monster's Battlefield,Yi shou zhanchang,2021,NA,Action,monsters battlefield,3.3,14
tt29268352,movie,Scariest Monsters in the World,Scariest Monsters in the World,2023,NA,Documentary,scariest monsters in the world,5.9,32
tt2941188,video,Monster Party,Monster Party,2013,7,"Comedy,Short",monster party,6.9,16
tt2952488,movie,Frankenstein's Monster,Frankenstein's Monster,2014,86,"Drama,History,Sci-Fi",frankensteins monster,3.6,28
tt29605907,movie,Bela: Humanoid Monster,Yôkai ningen Bela,2020,90,"Fantasy,Horror",bela humanoid monster,4.9,11
tt2972362,movie,Hwayi: A Monster Boy,Hwai: Goimooleul samkin ai,2013,126,"Action,Crime,Thriller",hwayi a monster boy,7,5577
tt2977158,movie,There Are Monsters,There Are Monsters,2013,90,Horror,there are monsters,5.3,462
tt2980264,tvMovie,Monsters of God,Monsters of God,2017,60,"Action,Adventure,War",monsters of god,5.2,32
tt29941084,movie,Monster,Monster,2023,86,"Horror,Mystery,Thriller",monster,4.6,1472
tt29961408,movie,Elda and the Monsters,Elda y los monstruos,2023,73,"Documentary,Drama,Music",elda and the monsters,8.4,11
tt3027424,movie,Piet Piraat en het zeemonster,Piet Piraat en het zeemonster,2013,85,"Adventure,Family",piet piraat en het zeemonster,6.5,47
tt30393345,movie,Monsters,Monsters,2022,86,Horror,monsters,3.2,15
tt30422726,movie,Bigfoot: Grip of the Monster,Bigfoot: Grip of the Monster,2023,NA,Mystery,bigfoot grip of the monster,3.9,38
tt30469723,movie,Monster Mash,Monster Mash,2024,85,Horror,monster mash,3.5,335
tt30475122,tvMovie,Monsters: 103 Mercies Dragon Damnation,Monsutâzu Ippaku Sanjô Hiryû Jigoku,2024,25,"Action,Adventure,Animation",monsters 103 mercies dragon damnation,7.7,2189
tt3073910,tvMovie,Mighty Mighty Monsters in Pranks for the Memories,Mighty Mighty Monsters in Pranks for the Memories,2015,45,Animation,mighty mighty monsters in pranks for the memories,5.9,20
tt30869861,movie,Militant Monster 2024,Militant Monster 2024,2024,NA,Adventure,militant monster 2024,8.8,27
tt3095734,movie,Monster Trucks,Monster Trucks,2016,104,"Action,Adventure,Comedy",monster trucks,5.7,19341
tt31158794,movie,The Murder of the Monster,The Murder of the Monster,2024,NA,"Drama,Thriller",the murder of the monster,7.9,17
tt3159812,tvMovie,Monster High: 13 Wishes,Monster High: 13 Wishes,2013,73,Animation,monster high 13 wishes,7,1423
tt31843607,movie,Attenborough and the Jurassic Sea Monster,Attenborough and the Jurassic Sea Monster,2024,53,Documentary,attenborough and the jurassic sea monster,7.3,30
tt31864176,movie,Monster Island,Ju shou dao,2021,69,"Action,Fantasy,Sci-Fi",monster island,4,14
tt32026886,movie,Tummy Monster,Tummy Monster,2024,88,Thriller,tummy monster,8.5,24
tt32126636,movie,The Lord of the Monsters,The Lord of the Monsters,2024,93,Action,the lord of the monsters,6.9,52
tt3219154,movie,Bloody Monster,Bloody Monster,2013,112,Horror,bloody monster,3.8,38
tt32614357,movie,Seven Heroes Beat the Monster,Seven Heroes Beat the Monster,2024,89,Action,seven heroes beat the monster,6.8,51
tt3280730,movie,Moshi Monsters: The Movie,Moshi Monsters: The Movie,2013,81,"Adventure,Animation,Comedy",moshi monsters the movie,3.2,682
tt3284110,video,Monster Machine,Monster Machine,2013,NA,"Comedy,Horror,Short",monster machine,6.9,54
tt3402232,movie,We Are Monster,We Are Monster,2014,89,Drama,we are monster,4.9,622
tt3416532,movie,A Monster Calls,A Monster Calls,2016,108,"Adventure,Drama,Family",a monster calls,7.4,95065
tt3473596,movie,Ultraman Ginga: Theater Special Ultra Monster Hero Battle Royal!,Urutoraman Ginga Gekijô Supesharu Urutora Kaijû Hîrô Batoru Roiyaru,2014,51,Action,ultraman ginga theater special ultra monster hero battle royal,6.5,23
tt3500724,movie,Kids vs Monsters,Kids vs Monsters,2015,101,"Comedy,Fantasy,Horror",kids vs monsters,3.3,184
tt3565904,tvMovie,"Monster High: Frights, Camera, Action!","Monster High: Frights, Camera, Action!",2014,73,Animation,monster high frights camera action,6.7,1069
tt3589450,movie,Monster,Mon-seu-teo,2014,113,"Action,Drama,Thriller",monster,6.4,1778
tt3611432,tvMovie,"Monster High: Scaris, City of Frights","Monster High: Scaris, City of Frights",2013,61,Animation,monster high scaris city of frights,6.9,884
tt3638396,movie,Closet Monster,Closet Monster,2015,90,"Drama,Fantasy,Mystery",closet monster,7,9341
tt3671900,tvMovie,Gehara: The Dark & Long Hair Monster,Chohatsu Daikaiju Gehara,2009,NA,"Comedy,Horror,Sci-Fi",gehara the dark  long hair monster,6.9,77
tt3741700,movie,Godzilla: King of the Monsters,Godzilla: King of the Monsters,2019,132,"Action,Adventure,Fantasy",godzilla king of the monsters,6,214385
tt3757216,movie,The Monster,The Monster,2015,59,"Drama,Mystery",the monster,2.5,210
tt3762284,movie,Age Of Monster,El tiempo de los monstruos,2015,97,Comedy,age of monster,4.7,221
tt3781476,movie,Monster Hunt,Zhuo yao ji,2015,117,"Adventure,Comedy,Fantasy",monster hunt,6.1,5764
tt3821674,tvMovie,Monster of the Nudist Colony,Monster of the Nudist Colony,2013,79,Comedy,monster of the nudist colony,4.9,111
tt3824344,tvMovie,Monster High: Freaky Fusion,Monster High: Freaky Fusion,2014,73,"Animation,Comedy,Family",monster high freaky fusion,6.7,1056
tt3834772,video,Young Frankenstein: It's Alive! Creating a Monster Classic,Young Frankenstein: It's Alive! Creating a Monster Classic,2008,31,"Documentary,Short",young frankenstein its alive creating a monster classic,7.7,24
tt3906648,tvMovie,Monster Beach,Monster Beach,2014,73,"Adventure,Animation,Comedy",monster beach,7.1,53
tt3920416,movie,Monster of Party Beach,Monster of Party Beach,2014,NA,Comedy,monster of party beach,8.2,10
tt3946998,movie,"Hey Monster, Hands Off My City","Hey Monster, Hands Off My City",2014,84,"Comedy,Crime,Horror",hey monster hands off my city,8.5,14
tt3954936,movie,Monster Summer,Monster Summer,2024,97,"Adventure,Horror,Mystery",monster summer,6.1,494
tt3971950,movie,Monster High: Scaremester Collection,Monster High: Scaremester Collection,2014,47,Animation,monster high scaremester collection,8,73
tt3976144,movie,The Monster,The Monster,2016,91,"Drama,Fantasy,Horror",the monster,5.4,19735
tt4074652,movie,We Monsters,Wir Monster,2015,95,"Crime,Drama,Thriller",we monsters,6.4,413
tt4126358,video,Monster Madness: The Golden Age of the Horror Film,Monster Madness: The Golden Age of the Horror Film,2014,79,Documentary,monster madness the golden age of the horror film,6.5,110
tt4126424,video,"Monster Madness: Mutants, Space Invaders and Drive-Ins","Monster Madness: Mutants, Space Invaders and Drive-Ins",2014,96,Documentary,monster madness mutants space invaders and driveins,6.6,60
tt4132230,movie,Chet Zar: I Like to Paint Monsters,Chet Zar: I Like to Paint Monsters,2015,80,"Biography,Documentary,Thriller",chet zar i like to paint monsters,9.1,44
tt4137924,tvMovie,Monster High: Haunted,Monster High: Haunted,2015,75,"Animation,Family",monster high haunted,6.4,1077
tt4155256,video,"Metallica: Live Tushino Airfield, Moscow 28 Sept 1991 - Monsters of Rock Festival","Metallica: Live Tushino Airfield, Moscow 28 Sept 1991 - Monsters of Rock Festival",1991,81,Music,metallica live tushino airfield moscow 28 sept 1991  monsters of rock festival,8.9,23
tt4215766,video,Scooby-Doo! Moon Monster Madness,Scooby-Doo! Moon Monster Madness,2015,80,"Adventure,Animation,Comedy",scoobydoo moon monster madness,6.4,2145
tt4220474,video,Lee Evans: Monsters,Lee Evans: Monsters,2014,131,"Comedy,Documentary",lee evans monsters,7.5,606
tt4267590,movie,Monsters of Carnage,Monsters of Carnage,2013,68,Horror,monsters of carnage,5,22
tt4276112,movie,Breaking a Monster,Breaking a Monster,2015,92,"Biography,Documentary,Drama",breaking a monster,6.1,307
tt4278144,movie,Sick Sock Monsters from Outer Space,Dolcezza Extrema,2015,82,"Animation,Comedy,Horror",sick sock monsters from outer space,6.2,59
tt4324302,video,Justice League: Gods and Monsters,Justice League: Gods and Monsters,2015,76,"Action,Adventure,Animation",justice league gods and monsters,7,17109
tt4328094,movie,Impossible Monsters,Impossible Monsters,2019,84,Thriller,impossible monsters,4.1,5912
tt4360104,video,Creating a Monster: The Making of Wolf Creek 2,Creating a Monster: The Making of Wolf Creek 2,2014,52,Documentary,creating a monster the making of wolf creek 2,7.4,10
tt4386242,tvMovie,R.L. Stine's Monsterville: Cabinet of Souls,R.L. Stine's Monsterville: Cabinet of Souls,2015,86,"Comedy,Fantasy,Horror",rl stines monsterville cabinet of souls,5.6,2471
tt4387114,movie,Monsters Among Men,Monsters Among Men,2017,96,"Action,Horror,Thriller",monsters among men,5.1,30
tt4396534,movie,Moor-Monster!,Moor-Monster!,2014,119,"Comedy,Horror",moormonster,6.6,21
tt4439784,movie,Ted Sieger's Molly Monster - Der Kinofilm,Ted Sieger's Molly Monster - Der Kinofilm,2016,72,"Adventure,Animation,Fantasy",ted siegers molly monster  der kinofilm,5.9,131
tt4527400,movie,Monster: The Prehistoric Project,Monster: The Prehistoric Project,2015,79,"Horror,Sci-Fi",monster the prehistoric project,1.4,172
tt4537888,movie,The Monster Project,The Monster Project,2017,99,"Horror,Mystery,Thriller",the monster project,4.5,3665
tt4559996,video,Monster Madness: The Gothic Revival of Horror,Monster Madness: The Gothic Revival of Horror,2015,90,Documentary,monster madness the gothic revival of horror,6.4,63
tt4569240,movie,A Monster with a Thousand Heads,Un monstruo de mil cabezas,2015,74,"Drama,Thriller",a monster with a thousand heads,6.5,1177
tt4694366,movie,Mail Order Monster,Mail Order Monster,2018,89,"Drama,Family,Sci-Fi",mail order monster,4.7,644
tt4729754,video,Batman Unlimited: Monster Mayhem,Batman Unlimited: Monster Mayhem,2015,81,"Action,Adventure,Animation",batman unlimited monster mayhem,5.6,3195
tt4757648,movie,Meet Beau Dick: Maker of Monsters,Meet Beau Dick,2017,92,Documentary,meet beau dick maker of monsters,8.6,28
tt4757986,movie,Minerva Monster,Minerva Monster,2015,54,Documentary,minerva monster,5.4,139
tt4779496,video,"Monster High: Boo York, Boo York","Monster High: Boo York, Boo York",2015,71,"Animation,Family,Fantasy",monster high boo york boo york,6.8,1362
tt4813482,movie,Monster Madness: The Counter Culture to Blockbusters,Monster Madness: The Counter Culture to Blockbusters,2015,90,Documentary,monster madness the counter culture to blockbusters,7.2,19
tt4844130,movie,Ninja the Monster,Ninja the Monster,2015,81,"Action,Adventure,Drama",ninja the monster,5.1,460
tt4844150,movie,A Babysitter's Guide to Monster Hunting,A Babysitter's Guide to Monster Hunting,2020,98,"Comedy,Family,Fantasy",a babysitters guide to monster hunting,5.4,4997
tt4938164,movie,"Jack Pierce, the Maker of Monsters",Jack Pierce: The Maker of Monsters,2015,82,Documentary,jack pierce the maker of monsters,6.4,24
tt5016760,tvMovie,The Monster of Mangatiti,The Monster of Mangatiti,2015,70,"Biography,Crime,Documentary",the monster of mangatiti,6.2,827
tt5028144,movie,Monsterz,Monsterz,2015,60,Music,monsterz,8.3,23
tt5058316,movie,Killer Camera Monsters,Killer Camera Monsters,2020,86,"Horror,Thriller",killer camera monsters,2.5,141
tt5145662,movie,Monsters at Large,Monsters at Large,2018,91,Family,monsters at large,5.1,533
tt5158472,video,"American Monsters: Werewolves, Wildmen and Sea Creatures","American Monsters: Werewolves, Wildmen and Sea Creatures",2015,60,Documentary,american monsters werewolves wildmen and sea creatures,5,30
tt5215096,movie,Other Monsters,Other Monsters,2022,93,"Crime,Thriller",other monsters,4.1,121
tt5252606,movie,Badass Monster Killer,Badass Monster Killer,2015,96,"Action,Comedy,Horror",badass monster killer,4.7,137
tt5253186,movie,Monsters,Yi zhong,2015,87,Horror,monsters,4.2,12
tt5268764,tvMovie,Party Monsters,Party Monsters,2015,NA,"Comedy,Drama,Horror",party monsters,7.8,13
tt5343016,video,Farmers Insurance: Monster Foot,Farmers Insurance: Monster Foot,2015,1,"Comedy,Short",farmers insurance monster foot,8.2,24
tt5475710,video,Monster High: Great Scarrier Reef,Monster High: Great Scarrier Reef,2016,71,"Animation,Fantasy",monster high great scarrier reef,6,734
tt5654154,video,Mystery of Faceless Man: History of Monster,Mystery of Faceless Man: History of Monster,2016,65,Horror,mystery of faceless man history of monster,1.2,35
tt5703038,movie,Monsterland,Monsterland,2016,108,"Comedy,Fantasy,Horror",monsterland,4.7,644
tt5717960,video,Trailer Trauma 2: Drive-in Monsterama,Trailer Trauma 2: Drive-In Monsterama,2016,203,Horror,trailer trauma 2 drivein monsterama,7.3,52
tt5725368,movie,Boggy Creek Monster,Boggy Creek Monster,2016,73,Documentary,boggy creek monster,5.8,232
tt5730882,movie,They Call Us Monsters,They Call Us Monsters,2016,82,Documentary,they call us monsters,7,672
tt5856530,video,Attack of Monster,Attack of Monster,2016,67,"Comedy,Drama,Horror",attack of monster,1.6,30
tt5898034,movie,Monster High: Welcome to Monster High,Monster High: Welcome to Monster High,2016,73,"Animation,Fantasy",monster high welcome to monster high,5.5,809
tt5979874,movie,Godzilla: Planet of the Monsters,Gojira: Kaijû Wakusei,2017,89,"Action,Adventure,Animation",godzilla planet of the monsters,6,9814
tt5985470,video,Monster Movie Night,Monster Movie Night,2012,NA,"Crime,Drama,Horror",monster movie night,9.5,23
tt6018036,movie,Hide the Monster,Hide the Monster,2016,79,Horror,hide the monster,4.7,336
tt6143290,video,Monsters,The Last Starship,2017,108,"Action,Adventure,Drama",monsters,3.1,247
tt6170484,movie,Monster Hunt 2,Zhuo yao ji 2,2018,110,"Adventure,Comedy,Fantasy",monster hunt 2,5.4,2081
tt6173902,movie,Hulk: Where Monsters Dwell,Hulk: Where Monsters Dwell,2016,75,"Action,Animation,Fantasy",hulk where monsters dwell,5.4,1485
tt6195844,movie,Monster Pool: Chapter Two,Monster Pool: Chapter Two,2016,97,Horror,monster pool chapter two,5.1,43
tt6210806,movie,Monster Strike the Movie,Monsutâ sutoraiku the Movie: Hajimari no basho,2016,105,Animation,monster strike the movie,4.5,47
tt6222828,movie,Monster Force Zero,Monster Force Zero,2019,84,"Comedy,Sci-Fi",monster force zero,3.6,236
tt6243472,video,Little & Big Monsters,Monstros e Monstrinhos,2009,45,"Animation,Family",little  big monsters,1.2,275
tt6269658,movie,Monster Island,Monster Island,2017,80,"Adventure,Animation,Comedy",monster island,4.8,844
tt6372676,movie,American Monster,American Monster,2017,NA,Documentary,american monster,8.3,12
tt6374826,movie,Ghosts Vs.Monsters,Ghosts Vs.Monsters,2017,106,Comedy,ghosts vsmonsters,8.6,20
tt6456326,movie,Monsters of Man,Monsters of Man,2020,131,"Action,Sci-Fi,Thriller",monsters of man,5.4,8391
tt6475714,movie,Monster Hunter,Monster Hunter,2020,103,"Action,Adventure,Fantasy",monster hunter,5.2,69574
tt6494542,movie,Monster X,Monster X,2017,70,Horror,monster x,3.5,457
tt6534422,movie,A Brilliant Monster,A Brilliant Monster,2018,86,Horror,a brilliant monster,2.9,153
tt6536944,tvMovie,Monster High: Electrified,Monster High: Electrified,2017,71,"Animation,Fantasy",monster high electrified,5.6,427
tt6556576,movie,Monster Party,Monster Party,2018,89,"Horror,Thriller",monster party,5.5,4808
tt6572702,movie,Monster Family,Happy Family,2017,93,"Animation,Comedy,Family",monster family,4.8,5549
tt6648404,movie,Mon Mon Mon Monsters,Bao gao lao shi! Guai guai guai guai wu,2017,113,"Comedy,Drama,Horror",mon mon mon monsters,6.3,1750
tt6699022,video,"Real Monsters, Creatures, Ghosts and Demons from Hell","Real Monsters, Creatures, Ghosts and Demons from Hell",2017,180,Documentary,real monsters creatures ghosts and demons from hell,4.9,10
tt6714754,movie,The Monster Inside Me,The Monster Inside Me,2022,147,Documentary,the monster inside me,9.2,66
tt6748030,movie,Lake Michigan Monster,Lake Michigan Monster,2018,78,"Action,Adventure,Comedy",lake michigan monster,6.2,970
tt6799442,movie,Mother Monster,Mother Monster,2013,NA,Crime,mother monster,8,12
tt6840904,movie,Monster,Monster,2018,90,Horror,monster,5.3,197
tt6893370,movie,My Little Monster,Tonari no kaibutsu-kun,2018,105,"Comedy,Drama,Romance",my little monster,5.9,830
tt7073350,movie,Sea Monsters,Sea Monsters,2017,72,Animation,sea monsters,6,82
tt7097770,movie,Johnny in Monsterland,Johnny in Monsterland,1990,120,Horror,johnny in monsterland,7.4,14
tt7130684,video,"Alien Creatures from Beyond: Monsters, Ghosts and Vampires","Alien Creatures from Beyond: Monsters, Ghosts and Vampires",2015,75,Mystery,alien creatures from beyond monsters ghosts and vampires,5.3,14
tt7192180,movie,Reel Monsters,Reel Monsters,2022,75,"Comedy,Family,Fantasy",reel monsters,3,124
tt7257986,movie,Battle of the Monster Trucks,Battle of the Monster Trucks,2008,46,Adventure,battle of the monster trucks,8.8,12
tt7260818,movie,Book of Monsters,Book of Monsters,2018,84,"Action,Comedy,Horror",book of monsters,4.7,2325
tt7275212,movie,Bad Monsters,Bad Monsters,2018,66,"Animation,Comedy,Horror",bad monsters,6.2,23
tt7325162,movie,Interviewing Monsters and Bigfoot,Interviewing Monsters and Bigfoot,2019,109,Comedy,interviewing monsters and bigfoot,3.2,223
tt7343800,movie,The Horrific Evil Monsters,The Horrific Evil Monsters,2021,70,"Action,Comedy,Horror",the horrific evil monsters,2.5,734
tt7390588,movie,Little Monsters,Little Monsters,2019,93,"Comedy,Horror,Sci-Fi",little monsters,6.3,19895
tt7462322,movie,Little Monster,Little Monster,2018,73,Horror,little monster,6.2,19
tt7528064,movie,Moor-Monster 2,Moor-Monster 2,2017,158,"Action,Comedy,Horror",moormonster 2,6.3,17
tt7535798,movie,Monster Pool: Seven Deadly Sins,Monster Pool: Seven Deadly Sins,2017,93,Horror,monster pool seven deadly sins,5.3,86
tt7575642,movie,Sea Monsters 2,Sea Monsters 2,2018,106,Animation,sea monsters 2,5.8,77
tt7575702,movie,Monsterland 2,Monsterland 2,2019,73,Horror,monsterland 2,4.2,2170
tt7649020,video,John Lewis: Moz the Monster,John Lewis: Moz the Monster,2017,2,Short,john lewis moz the monster,5.7,31
tt7662370,tvMovie,Myra: The Making of a Monster,Myra: The Making of a Monster,2003,72,"Biography,Crime,Documentary",myra the making of a monster,6.5,12
tt7689906,movie,Monsters and Men,Monsters and Men,2018,96,"Crime,Drama,Thriller",monsters and men,6.1,2759
tt7825558,movie,Home with a View of the Monster,Home with a View of the Monster,2019,97,"Drama,Horror,Mystery",home with a view of the monster,4.2,506
tt7831362,video,A Monster Calls: Making of the Tales,A Monster Calls: Making of the Tales,2017,8,"Animation,Documentary,Fantasy",a monster calls making of the tales,7.9,31
tt8012820,movie,The Flatwoods Monster: A Legacy of Fear,The Flatwoods Monster: A Legacy of Fear,2018,45,Documentary,the flatwoods monster a legacy of fear,6,125
tt8022160,video,Inside Monster House,Inside Monster House,2006,25,"Documentary,Short",inside monster house,7.9,18
tt8071360,movie,Monster,Monster,2019,81,"Crime,Drama",monster,7.7,15
tt8150728,movie,Making Monsters,Making Monsters,2019,82,"Horror,Thriller",making monsters,5.5,737
tt8186932,movie,M.O.M. Mothers of Monsters,M.O.M.: Mothers of Monsters,2020,98,"Drama,Horror,Thriller",mom mothers of monsters,5.8,2414
tt8254042,movie,Monsters,Monsters,2018,97,"Drama,Thriller",monsters,8.8,18
tt8311792,movie,"Murder Me, Monster","Muere, monstruo, muere",2018,109,"Drama,Horror,Thriller",murder me monster,5.5,1095
tt8315704,movie,Kill the Monsters,Kill the Monsters,2018,77,"Comedy,Drama",kill the monsters,5.2,161
tt8421278,movie,Phil Tippett: Mad Dreams and Monsters,Phil Tippett: Mad Dreams and Monsters,2019,80,"Biography,Documentary",phil tippett mad dreams and monsters,7.2,367
tt8520912,movie,The Monsters Without,The Monsters Without,2021,89,"Adventure,Fantasy,Sci-Fi",the monsters without,4.9,32
tt8524650,movie,Monster Zone,Cranston Academy: Monster Zone,2020,85,"Adventure,Animation,Family",monster zone,5.1,1173
tt8702244,movie,Boris Karloff: The Man Behind the Monster,Boris Karloff: The Man Behind the Monster,2021,99,"Biography,Documentary",boris karloff the man behind the monster,7.6,407
tt8963288,movie,Mechanical Monsters,Mechanical Monsters,2018,59,"Documentary,History",mechanical monsters,5.8,21
tt8986808,movie,Monsters.,Monstri.,2019,116,"Drama,Romance",monsters,6.3,648
tt8993468,video,Big Fat Monster,Big Fat Monster,2018,2,"Comedy,Short",big fat monster,7.3,16
tt9005542,movie,No Such Thing As Monsters,No Such Thing as Monsters,2019,89,Horror,no such thing as monsters,4,572
tt9051180,video,Fallen Kingdom: Monster in a Mansion,Fallen Kingdom: Monster in a Mansion,2018,3,"Documentary,Short",fallen kingdom monster in a mansion,6.3,13
tt9077038,movie,Monster,Monster,2019,139,"Comedy,Drama,Family",monster,6.7,2836
tt9109822,movie,Monster Strike The Movie: Sora no Kanata,Monster Strike The Movie: Sora no Kanata,2018,97,"Action,Animation",monster strike the movie sora no kanata,3.1,33
tt9139778,tvMovie,Isisleaks: Inside the Monster's Mind,Isisleaks: Inside the Monster's Mind,2018,NA,Documentary,isisleaks inside the monsters mind,7.4,22
tt9155740,tvMovie,Oddbods: Party Monsters,Oddbods: Party Monsters,2018,23,Animation,oddbods party monsters,6.7,19
tt9174358,tvMovie,Monster Hunter: Legends of the Guild,Monster Hunter: Legends of the Guild,2021,58,"Action,Adventure,Animation",monster hunter legends of the guild,5.2,1531
tt9201634,movie,The Doctor's Monster,The Doctor's Monster,2020,73,Sci-Fi,the doctors monster,2.2,74
tt9247554,movie,"Gigantis, the Fire Monster",Gigantis: The Fire Monster,1959,78,"Action,Horror,Sci-Fi",gigantis the fire monster,4.2,214
tt9252692,movie,Monster,Monster,2018,86,"Sci-Fi,Thriller",monster,6,35
tt9378850,movie,Kung Fu Monster,Wu lin guai shou,2018,104,"Action,Fantasy",kung fu monster,3.9,265
tt9556198,movie,Raiga: The Monster from the Deep Sea,Shinkaijû Raiga,2009,80,"Action,Fantasy,Sci-Fi",raiga the monster from the deep sea,4.8,112
tt9563330,movie,Goodbye Monster,Shan Hai Jing zhi Zai jian guai shou,2022,99,"Adventure,Animation,Comedy",goodbye monster,5.6,277
tt9572006,movie,My Sweet Monster,Buka. Moyo lyubimoe chudishche,2021,98,"Adventure,Animation,Family",my sweet monster,4.8,518
tt9598824,movie,I Am (Not) a Monster,I Am (Not) a Monster,2019,90,Documentary,i am not a monster,5.9,93
tt9620986,movie,Monster,Arracht,2019,90,Drama,monster,7,525
tt9702912,movie,Monster with a Movie Camera,Monster with a Movie Camera,2018,49,Comedy,monster with a movie camera,7.1,34
