gender,event,medal,athlete,abb,country,grp_id,type,year,guide
Men,Double FITA Round Amputee,Gold,LARSEN Finn,DEN,NA,NA,Archery,1980,NA
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,FRG,NA,NA,Archery,1980,NA
Men,Double FITA Round Amputee,Bronze,SATO Masao,JPN,NA,NA,Archery,1980,NA
Men,Double FITA Round Paraplegic,Gold,GEISS H.,FRG,NA,NA,Archery,1980,NA
Men,Double FITA Round Paraplegic,Silver,GRUN Guy,BEL,NA,NA,Archery,1980,NA
Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,GBR,NA,NA,Archery,1980,NA
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,NA,NA,Archery,1980,NA
Men,Double FITA Round Tetraplegic,Silver,STEBEKK Oddbjorn,NOR,NA,NA,Archery,1980,NA
Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,FRA,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,MEX,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,NED,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NED,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Tetraplegic,Silver,KISHINO Tadashi,JPN,NA,NA,Archery,1980,NA
Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,NA,NA,Archery,1980,NA
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,NA,NA,Archery,1980,NA
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,NA,NA,Archery,1980,NA
Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,NA,NA,Archery,1980,NA
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,NA,NA,Archery,1980,NA
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,NA,NA,Archery,1980,NA
Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,NOR,NA,NA,Archery,1980,NA
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,NA,NA,Archery,1980,NA
Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,AUT,NA,NA,Archery,1980,NA
Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,AUT,NA,NA,Archery,1980,NA
Women,Double FITA Round Amputee,Gold,ROSVIK Marie,NOR,NA,NA,Archery,1980,NA
Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,POL,NA,NA,Archery,1980,NA
Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,FRA,NA,NA,Archery,1980,NA
Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,NZL,NA,NA,Archery,1980,NA
Women,Double FITA Round Paraplegic,Silver,KORVA Elli,FIN,NA,NA,Archery,1980,NA
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,FRG,NA,NA,Archery,1980,NA
Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,JPN,NA,NA,Archery,1980,NA
Women,Double FITA Round Novice Paraplegic,Silver,-,NA,NA,NA,Archery,1980,NA
Women,Double FITA Round Novice Paraplegic,Bronze,-,NA,NA,NA,Archery,1980,NA
Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,AUT,NA,NA,Archery,1980,NA
Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,GBR,NA,NA,Archery,1980,NA
Women,Short Metric Round Paraplegic,Bronze,-,NA,NA,NA,Archery,1980,NA
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,NA,NA,Archery,1980,NA
Women,Advanced Metric Round Paraplegic,Silver,RIMMER Eve M.,NZL,NA,NA,Archery,1980,NA
Women,Advanced Metric Round Paraplegic,Bronze,MATTHEWS G.,GBR,NA,NA,Archery,1980,NA
Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,FRG,FR Germany,1,Archery,1980,NA
Men,Double FITA Round Team Amputee,Gold,BUTENHOFF Hilmar,FRG,FR Germany,2,Archery,1980,NA
Men,Double FITA Round Team Amputee,Gold,POHL K.,FRG,FR Germany,3,Archery,1980,NA
Men,Double FITA Round Team Amputee,Silver,APPELKVIST Sune,SWE,Sweden,1,Archery,1980,NA
Men,Double FITA Round Team Amputee,Silver,BABKIN Nicolai,SWE,Sweden,2,Archery,1980,NA
Men,Double FITA Round Team Amputee,Silver,CARSSON Jan O.,SWE,Sweden,3,Archery,1980,NA
Men,Double FITA Round Team Amputee,Bronze,NA,NA,-,1,Archery,1980,NA
Men,Double FITA Round Team Paraplegic,Gold,BARDOEL Filip,BEL,Belgium,1,Archery,1980,NA
Men,Double FITA Round Team Paraplegic,Gold,GRUN Guy,BEL,Belgium,2,Archery,1980,NA
Men,Double FITA Round Team Paraplegic,Gold,MEYSEN Jozef,BEL,Belgium,3,Archery,1980,NA
Men,Double FITA Round Team Paraplegic,Silver,BUCHANAN J.CORRIE Alan,GBR,Great Britain,1,Archery,1980,NA
Men,Double FITA Round Team Paraplegic,Silver,SMITH I.,GBR,Great Britain,2,Archery,1980,NA
Men,Double FITA Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,FRG,FR Germany,1,Archery,1980,NA
Men,Double FITA Round C1-C2,Gold,BAREFOOT David,CAN,NA,NA,Archery,1984,NA
Men,Double FITA Round C1-C2,Silver,-,NA,NA,NA,Archery,1984,NA
Men,Double FITA Round C1-C2,Bronze,-,NA,NA,NA,Archery,1984,NA
Men,"Double FITA Round C3,C6",Gold,THORNE Philip,GBR,NA,NA,Archery,1984,NA
Men,"Double FITA Round C3,C6",Silver,-,NA,NA,NA,Archery,1984,NA
Men,"Double FITA Round C3,C6",Bronze,-,NA,NA,NA,Archery,1984,NA
Men,Double FITA Round Div. 3,Gold,LOVVOLD Kjell,NOR,NA,NA,Archery,1984,NA
Men,Double FITA Round Div. 3,Silver,KUYS Alfons,BEL,NA,NA,Archery,1984,NA
Men,Double FITA Round Div. 3,Bronze,TANQUEREL Benoit,FRA,NA,NA,Archery,1984,NA
Men,Double FITA Round Integrated,Gold,THULIN Jan,SWE,NA,NA,Archery,1984,NA
Men,Double FITA Round Integrated,Silver,REBOLLO Antonio,ESP,NA,NA,Archery,1984,NA
Men,Double FITA Round Integrated,Bronze,TIRRONEN Raimo,FIN,NA,NA,Archery,1984,NA
Men,Double FITA Round Paraplegic,Gold,GRUN Guy,BEL,NA,NA,Archery,1984,NA
Men,Double FITA Round Paraplegic,Silver,WEIJERS J.,NED,NA,NA,Archery,1984,NA
Men,Double FITA Round Paraplegic,Bronze,LAUKKANEN Heikki,FIN,NA,NA,Archery,1984,NA
Men,Double FITA Round Tetraplegic,Gold,LETTNER Felix,AUT,NA,NA,Archery,1984,NA
Men,Double FITA Round Tetraplegic,Silver,KONEMAN K.,NED,NA,NA,Archery,1984,NA
Men,Double FITA Round Tetraplegic,Bronze,STEBEKK Oddbjorn,NOR,NA,NA,Archery,1984,NA
Men,Double Short Metric Round Paraplegic,Gold,BAUDOIS Michel,SUI,NA,NA,Archery,1984,NA
Men,Double Short Metric Round Paraplegic,Silver,KIM H. S.,KOR,NA,NA,Archery,1984,NA
Men,Double Short Metric Round Paraplegic,Bronze,DE MASI Pasquale,ITA,NA,NA,Archery,1984,NA
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,NA,NA,Archery,1984,NA
Men,Double Short Metric Round Tetraplegic,Silver,-,NA,NA,NA,Archery,1984,NA
Men,Double Short Metric Round Tetraplegic,Bronze,-,NA,NA,NA,Archery,1984,NA
Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,NA,NA,Archery,1984,NA
Men,Double Advanced Metric Round Paraplegic,Silver,BOUCHITE C.,FRA,NA,NA,Archery,1984,NA
Men,Double Advanced Metric Round Paraplegic,Bronze,KRISHNER Patrick,USA,NA,NA,Archery,1984,NA
Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,AUT,NA,NA,Archery,1984,NA
Men,Double Advanced Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,NA,NA,Archery,1984,NA
Men,Double Advanced Metric Round Tetraplegic,Bronze,ARNOLD Ernest,GBR,NA,NA,Archery,1984,NA
Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,GBR,NA,NA,Archery,1984,NA
Women,Double FITA Round Div. 3,Silver,LEAPER Beverley,GBR,NA,NA,Archery,1984,NA
Women,Double FITA Round Div. 3,Bronze,-,NA,NA,NA,Archery,1984,NA
Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,FRG,NA,NA,Archery,1984,NA
Women,Double FITA Round Integrated,Silver,LACOMBLEZ Martine,BEL,NA,NA,Archery,1984,NA
Women,Double FITA Round Integrated,Bronze,MONACO Irene,ITA,NA,NA,Archery,1984,NA
Women,Double FITA Round Paraplegic,Gold,HAGEL Susan,USA,NA,NA,Archery,1984,NA
Women,Double FITA Round Paraplegic,Silver,SUZUKI Hifumi,JPN,NA,NA,Archery,1984,NA
Women,Double FITA Round Paraplegic,Bronze,DAVIES Susan,AUS,NA,NA,Archery,1984,NA
Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,FRA,NA,NA,Archery,1984,NA
Women,Double Short Metric Round Paraplegic,Silver,SCHWEIZER Rosa,AUT,NA,NA,Archery,1984,NA
Women,Double Short Metric Round Paraplegic,Bronze,GRAY Anne,GBR,NA,NA,Archery,1984,NA
Men,Double FITA Round Team 1A-6,Gold,,BEL,Belgium,1,Archery,1984,NA
Men,Double FITA Round Team 1A-6,Silver,,NED,Netherlands,1,Archery,1984,NA
Men,Double FITA Round Team 1A-6,Bronze,,GBR,Great Britain,1,Archery,1984,NA
Men,Double FITA Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,SWE,Sweden,1,Archery,1984,NA
Men,Double FITA Round Team Integrated,Gold,TJERNELL Arne,SWE,Sweden,2,Archery,1984,NA
Men,Double FITA Round Team Integrated,Silver,DUCRET Rene,FRA,France,1,Archery,1984,NA
Men,Double FITA Round Team Integrated,Silver,HAMART George,FRA,France,2,Archery,1984,NA
Men,Double FITA Round Team Integrated,Silver,LELON Daniel,FRA,France,3,Archery,1984,NA
Men,Double FITA Round Team Integrated,Bronze,BOECKERS Manfred,FRG,FR Germany,1,Archery,1984,NA
Men,Double FITA Round Team Integrated,Bronze,BRENNE Manfred,FRG,FR Germany,2,Archery,1984,NA
Men,Double FITA Round Team Integrated,Bronze,BUTENHOFF Kilmar,FRG,FR Germany,3,Archery,1984,NA
Men,Short Metric Round Team 1A-6,Gold,,FRA,France,1,Archery,1984,NA
Men,Short Metric Round Team 1A-6,Silver,,AUS,Australia,1,Archery,1984,NA
Men,Short Metric Round Team 1A-6,Bronze,,GBR,Great Britain,1,Archery,1984,NA
Men,Double Advanced Metric Round Team 1A-6,Gold,,FRA,France,1,Archery,1984,NA
Men,Double Advanced Metric Round Team 1A-6,Silver,NA,NA,-,1,Archery,1984,NA
Men,Double Advanced Metric Round Team 1A-6,Bronze,NA,NA,-,1,Archery,1984,NA
Men,"Single FITA Round C7,C8",Gold,KUYS Alfons,BEL,NA,NA,Archery,1988,NA
Men,"Single FITA Round C7,C8",Silver,TASHIRO Kiyotaka,JPN,NA,NA,Archery,1988,NA
Men,"Single FITA Round C7,C8",Bronze,KIM Kyung Sun,KOR,NA,NA,Archery,1988,NA
Men,Double FITA Round Open,Gold,AN Tae Sung,KOR,NA,NA,Archery,1988,NA
Men,Double FITA Round Open,Silver,SCALISI Carmelo,BEL,NA,NA,Archery,1988,NA
Men,Double FITA Round Open,Bronze,REBOLLO Antonio,ESP,NA,NA,Archery,1988,NA
Men,Double FITA Round 2-6,Gold,BAUDOIS Michel,SUI,NA,NA,Archery,1988,NA
Men,Double FITA Round 2-6,Silver,KIM Hee Sook,KOR,NA,NA,Archery,1988,NA
Men,Double FITA Round 2-6,Bronze,WOLF Udo,FRG,NA,NA,Archery,1988,NA
Men,Double Short Metric Round 1A-1C,Gold,RANTAVOURI Martti,FIN,NA,NA,Archery,1988,NA
Men,Double Short Metric Round 1A-1C,Silver,FUJII Narumi,JPN,NA,NA,Archery,1988,NA
Men,Double Short Metric Round 1A-1C,Bronze,STAUNER Michael,USA,NA,NA,Archery,1988,NA
Women,Double FITA Round Open,Gold,LEE Kyung Hee,KOR,NA,NA,Archery,1988,NA
Women,Double FITA Round Open,Silver,DERSEN Anneliese,FRG,NA,NA,Archery,1988,NA
Women,Double FITA Round Open,Bronze,MORGENSEN Birthe,DEN,NA,NA,Archery,1988,NA
Women,Double FITA Round 2-6,Gold,WATTS Karen,GBR,NA,NA,Archery,1988,NA
Women,Double FITA Round 2-6,Silver,KORVA Elli,FIN,NA,NA,Archery,1988,NA
Women,Double FITA Round 2-6,Bronze,FANTATO Paola,ITA,NA,NA,Archery,1988,NA
Men,Double FITA Round Team Open,Gold,AN Tae Sung,KOR,Korea,1,Archery,1988,NA
Men,Double FITA Round Team Open,Gold,CHO Hyun Kwan,KOR,Korea,2,Archery,1988,NA
Men,Double FITA Round Team Open,Gold,KIM Sung Hee,KOR,Korea,3,Archery,1988,NA
Men,Double FITA Round Team Open,Gold,LEE Hak Young,KOR,Korea,4,Archery,1988,NA
Men,Double FITA Round Team Open,Silver,KALLUNKI Keijo,FIN,Finland,1,Archery,1988,NA
Men,Double FITA Round Team Open,Silver,TIRRONEN Raimo,FIN,Finland,2,Archery,1988,NA
Men,Double FITA Round Team Open,Silver,VIINIKKA Veijo,FIN,Finland,3,Archery,1988,NA
Men,Double FITA Round Team Open,Bronze,COURTILLON Lucien,FRA,France,1,Archery,1988,NA
Men,Double FITA Round Team Open,Bronze,FAVRE Jean-Michel,FRA,France,2,Archery,1988,NA
Men,Double FITA Round Team Open,Bronze,LELOU Daniel,FRA,France,3,Archery,1988,NA
Men,Double FITA Round Team 2-6,Gold,JANG Ki Ki,KOR,Korea,1,Archery,1988,NA
Men,Double FITA Round Team 2-6,Gold,KIM Hee Sook,KOR,Korea,2,Archery,1988,NA
Men,Double FITA Round Team 2-6,Gold,KIM Ho Sung,KOR,Korea,3,Archery,1988,NA
Men,Double FITA Round Team 2-6,Gold,YOON Choon Heung,KOR,Korea,4,Archery,1988,NA
Men,Double FITA Round Team 2-6,Silver,AMADI Fabio,ITA,Italy,1,Archery,1988,NA
Men,Double FITA Round Team 2-6,Silver,GABELLI Giuseppe,ITA,Italy,2,Archery,1988,NA
Men,Double FITA Round Team 2-6,Silver,KOTEN Giuliano,ITA,Italy,3,Archery,1988,NA
Men,Double FITA Round Team 2-6,Silver,PIZZORNI Orazio,ITA,Italy,4,Archery,1988,NA
Men,Double FITA Round Team 2-6,Bronze,INOUE Yoshihiro,JPN,Japan,1,Archery,1988,NA
Men,Double FITA Round Team 2-6,Bronze,OKANISHI Michio,JPN,Japan,2,Archery,1988,NA
Men,Double FITA Round Team 2-6,Bronze,UCHIYAMA Junji,JPN,Japan,3,Archery,1988,NA
Men,Double FITA Round Team 2-6,Bronze,YOSHIDA Shigetoshi,JPN,Japan,4,Archery,1988,NA
Women,Double FITA Round Team 2-6,Gold,ANIC Wilma,GBR,Great Britain,1,Archery,1988,NA
Women,Double FITA Round Team 2-6,Gold,COOPER Joan,GBR,Great Britain,2,Archery,1988,NA
Women,Double FITA Round Team 2-6,Gold,WATTS Karen,GBR,Great Britain,3,Archery,1988,NA
Women,Double FITA Round Team 2-6,Silver,DROSDZIOK Ursula,FRG,FR Germany,1,Archery,1988,NA
Women,Double FITA Round Team 2-6,Silver,ENZMANN Inge,FRG,FR Germany,2,Archery,1988,NA
Women,Double FITA Round Team 2-6,Silver,KIEBLICH Karin,FRG,FR Germany,3,Archery,1988,NA
Women,Double FITA Round Team 2-6,Bronze,COLLIN Sirkka Liisa,FIN,Finland,1,Archery,1988,NA
Women,Double FITA Round Team 2-6,Bronze,JOKIVIRTA Hilkka,FIN,Finland,2,Archery,1988,NA
Women,Double FITA Round Team 2-6,Bronze,KORVA Elli,FIN,Finland,3,Archery,1988,NA
Men,Individual AR1,Gold,MINAMI Koichi,JPN,NA,NA,Archery,1992,NA
Men,Individual AR1,Silver,SPIZZIRRI Richard,USA,NA,NA,Archery,1992,NA
Men,Individual AR1,Bronze,MERCANDELLI Giampiero,ITA,NA,NA,Archery,1992,NA
Men,Individual AR2,Gold,PIZZORNI Orazio,ITA,NA,NA,Archery,1992,NA
Men,Individual AR2,Silver,NORTMANN Hermann,GER,NA,NA,Archery,1992,NA
Men,Individual AR2,Bronze,WOLF Udo,GER,NA,NA,Archery,1992,NA
Men,Individual Open,Gold,FUDGE Jens,DEN,NA,NA,Archery,1992,NA
Men,Individual Open,Silver,NISHII Kenichi,JPN,NA,NA,Archery,1992,NA
Men,Individual Open,Bronze,CHO Hyun Kwan,KOR,NA,NA,Archery,1992,NA
Women,Individual AR2,Gold,FANTATO Paola,ITA,NA,NA,Archery,1992,NA
Women,Individual AR2,Silver,KORVA Elli,FIN,NA,NA,Archery,1992,NA
Women,Individual AR2,Bronze,SUZUKI Hifumi,JPN,NA,NA,Archery,1992,NA
Women,Individual Open,Gold,GRISHKO Tatiana,EUN,NA,NA,Archery,1992,NA
Women,Individual Open,Silver,THULIN Siv,SWE,NA,NA,Archery,1992,NA
Women,Individual Open,Bronze,TVED Hanne,DEN,NA,NA,Archery,1992,NA
Men,Teams AR2,Gold,BAHLS Karl,GER,Germany,1,Archery,1992,NA
Men,Teams AR2,Gold,NORTMANN Hermann,GER,Germany,2,Archery,1992,NA
Men,Teams AR2,Gold,WOLF Udo,GER,Germany,3,Archery,1992,NA
Men,Teams AR2,Silver,GABELLI Giuseppe,ITA,Italy,1,Archery,1992,NA
Men,Teams AR2,Silver,MALOVINI Luciano,ITA,Italy,2,Archery,1992,NA
Men,Teams AR2,Silver,PIZZORNI Orazio,ITA,Italy,3,Archery,1992,NA
Men,Teams AR2,Bronze,CHOI Jang Sub,KOR,Korea,1,Archery,1992,NA
Men,Teams AR2,Bronze,JANG Ki Ki,KOR,Korea,2,Archery,1992,NA
Men,Teams AR2,Bronze,LEE Ouk Soo,KOR,Korea,3,Archery,1992,NA
Men,Teams Open,Gold,CHO Hyun Kwan,KOR,Korea,1,Archery,1992,NA
Men,Teams Open,Gold,KIM Sung Hee,KOR,Korea,2,Archery,1992,NA
Men,Teams Open,Gold,LEE Hak Young,KOR,Korea,3,Archery,1992,NA
Men,Teams Open,Silver,FERNANDEZ Jose,ESP,Spain,1,Archery,1992,NA
Men,Teams Open,Silver,HERMOSIN Jose Luis,ESP,Spain,2,Archery,1992,NA
Men,Teams Open,Silver,REBOLLO Antonio,ESP,Spain,3,Archery,1992,NA
Men,Teams Open,Bronze,FAVRE Jean-Michel,FRA,France,1,Archery,1992,NA
Men,Teams Open,Bronze,GARCIA Jean Francois,FRA,France,2,Archery,1992,NA
Men,Teams Open,Bronze,LE BRAS Rene,FRA,France,3,Archery,1992,NA
Men,Individual W1,Gold,RANTAVOURI Martti,FIN,NA,NA,Archery,1996,NA
Men,Individual W1,Silver,MACCAFERRI Kurt,SUI,NA,NA,Archery,1996,NA
Men,Individual W1,Bronze,MINAMI Koichi,JPN,NA,NA,Archery,1996,NA
Men,Individual W2,Gold,LEE Ouk Soo,KOR,NA,NA,Archery,1996,NA
Men,Individual W2,Silver,WALSTRA Jappie,NED,NA,NA,Archery,1996,NA
Men,Individual W2,Bronze,WOLF Udo,GER,NA,NA,Archery,1996,NA
Men,Individual Standing,Gold,OLEJNIK Ryszard,POL,NA,NA,Archery,1996,NA
Men,Individual Standing,Silver,GARCIA Jean Francois,FRA,NA,NA,Archery,1996,NA
Men,Individual Standing,Bronze,AN Tae Sung,KOR,NA,NA,Archery,1996,NA
Women,Individual W2,Gold,SUZUKI Hifumi,JPN,NA,NA,Archery,1996,NA
Women,Individual W2,Silver,TRUCCOLO Sandra,ITA,NA,NA,Archery,1996,NA
Women,Individual W2,Bronze,FANTATO Paola,ITA,NA,NA,Archery,1996,NA
Women,Individual Standing,Gold,OLEJNIK Malgorzata,POL,NA,NA,Archery,1996,NA
Women,Individual Standing,Silver,CHAPMAN Anita,GBR,NA,NA,Archery,1996,NA
Women,Individual Standing,Bronze,HYBOIS Marie-Francoise,FRA,NA,NA,Archery,1996,NA
Men,Teams W1/W2,Gold,NORTMANN Hermann,GER,Germany,1,Archery,1996,NA
Men,Teams W1/W2,Gold,OEHME Mario,GER,Germany,2,Archery,1996,NA
Men,Teams W1/W2,Gold,WOLF Udo,GER,Germany,3,Archery,1996,NA
Men,Teams W1/W2,Silver,GABELLI Giuseppe,ITA,Italy,1,Archery,1996,NA
Men,Teams W1/W2,Silver,MAI Marco,ITA,Italy,2,Archery,1996,NA
Men,Teams W1/W2,Silver,MALOVINI Luciano,ITA,Italy,3,Archery,1996,NA
Men,Teams W1/W2,Bronze,LEE Ouk Soo,KOR,Korea,1,Archery,1996,NA
Men,Teams W1/W2,Bronze,OH Doo,KOR,Korea,2,Archery,1996,NA
Men,Teams W1/W2,Bronze,YOU In,KOR,Korea,3,Archery,1996,NA
Men,Teams Standing,Gold,AN Tae Sung,KOR,Korea,1,Archery,1996,NA
Men,Teams Standing,Gold,CHO Hyeon,KOR,Korea,2,Archery,1996,NA
Men,Teams Standing,Gold,LEE Hak Young,KOR,Korea,3,Archery,1996,NA
Men,Teams Standing,Silver,JONSKI Stanislaw,POL,Poland,1,Archery,1996,NA
Men,Teams Standing,Silver,LEZANSKI Tomasz,POL,Poland,2,Archery,1996,NA
Men,Teams Standing,Silver,OLEJNIK Ryszard,POL,Poland,3,Archery,1996,NA
Men,Teams Standing,Bronze,ISHIDA Mitoya,JPN,Japan,1,Archery,1996,NA
Men,Teams Standing,Bronze,NISHII Kenichi,JPN,Japan,2,Archery,1996,NA
Men,Teams Standing,Bronze,SATO Masao,JPN,Japan,3,Archery,1996,NA
Women,Teams Open,Gold,FANTATO Paola,ITA,Italy,1,Archery,1996,NA
Women,Teams Open,Gold,LAZZARONI Roberta,ITA,Italy,2,Archery,1996,NA
Women,Teams Open,Gold,TRUCCOLO Sandra,ITA,Italy,3,Archery,1996,NA
Women,Teams Open,Silver,MATSUEDA Shigeko,JPN,Japan,1,Archery,1996,NA
Women,Teams Open,Silver,SUZUKI Hifumi,JPN,Japan,2,Archery,1996,NA
Women,Teams Open,Silver,YONEZAWA Masako,JPN,Japan,3,Archery,1996,NA
Women,Teams Open,Bronze,CHAPMAN Anita,GBR,Great Britain,1,Archery,1996,NA
Women,Teams Open,Bronze,GALE Rebecca,GBR,Great Britain,2,Archery,1996,NA
Women,Teams Open,Bronze,SMITH Kathleen,GBR,Great Britain,3,Archery,1996,NA
Men,Individual W1,Gold,SEBEK Zdenek,CZE,NA,NA,Archery,2000,NA
Men,Individual W1,Silver,HATEM Olivier,FRA,NA,NA,Archery,2000,NA
Men,Individual W1,Bronze,MILADINOVIC Dejan,FRA,NA,NA,Archery,2000,NA
Men,Individual W2,Gold,LEE Hong Gu,KOR,NA,NA,Archery,2000,NA
Men,Individual W2,Silver,JUNG Young Joo,KOR,NA,NA,Archery,2000,NA
Men,Individual W2,Bronze,DE PELLEGRIN Oscar,ITA,NA,NA,Archery,2000,NA
Men,Individual Standing,Gold,AN Tae Sung,KOR,NA,NA,Archery,2000,NA
Men,Individual Standing,Silver,ATAMANENKO Serhiy,UKR,NA,NA,Archery,2000,NA
Men,Individual Standing,Bronze,LYOCSA Imrich,SVK,NA,NA,Archery,2000,NA
Women,Individual W1/W2,Gold,FANTATO Paola,ITA,NA,NA,Archery,2000,NA
Women,Individual W1/W2,Silver,SMITH Kathleen,GBR,NA,NA,Archery,2000,NA
Women,Individual W1/W2,Bronze,KO Hee Sook,KOR,NA,NA,Archery,2000,NA
Women,Individual Standing,Gold,CHAPMAN Anita,GBR,NA,NA,Archery,2000,NA
Women,Individual Standing,Silver,OLEJNIK Malgorzata,POL,NA,NA,Archery,2000,NA
Women,Individual Standing,Bronze,KORZENIOWSKA Malgorzata,POL,NA,NA,Archery,2000,NA
Men,Teams Open,Gold,DE PELLEGRIN Oscar,ITA,Italy,1,Archery,2000,NA
Men,Teams Open,Gold,CARRUBBA Salvatore,ITA,Italy,2,Archery,2000,NA
Men,Teams Open,Gold,GABELLI Giuseppe,ITA,Italy,3,Archery,2000,NA
Men,Teams Open,Silver,EST Charles,FRA,France,1,Archery,2000,NA
Men,Teams Open,Silver,HATEM Olivier,FRA,France,2,Archery,2000,NA
Men,Teams Open,Silver,MILADINOVIC Dejan,FRA,France,3,Archery,2000,NA
Men,Teams Open,Bronze,CHO Hyun Kwan,KOR,Korea,1,Archery,2000,NA
Men,Teams Open,Bronze,LEE Hong Gu,KOR,Korea,2,Archery,2000,NA
Men,Teams Open,Bronze,LEE Ouk Soo,KOR,Korea,3,Archery,2000,NA
Women,Teams Open,Gold,FANTATO Paola,ITA,Italy,4,Archery,2000,NA
Women,Teams Open,Gold,MENCONI Anna,ITA,Italy,5,Archery,2000,NA
Women,Teams Open,Gold,TRUCCOLO Sandra,ITA,Italy,6,Archery,2000,NA
Women,Teams Open,Silver,CHAPMAN Anita,GBR,Great Britain,1,Archery,2000,NA
Women,Teams Open,Silver,SMITH Kathleen,GBR,Great Britain,2,Archery,2000,NA
Women,Teams Open,Silver,WHITE Jane,GBR,Great Britain,3,Archery,2000,NA
Women,Teams Open,Bronze,ISOZAKI Naomi,JPN,Japan,1,Archery,2000,NA
Women,Teams Open,Bronze,SUZUKI Hifumi,JPN,Japan,2,Archery,2000,NA
Women,Teams Open,Bronze,YONEZAWA Masako,JPN,Japan,3,Archery,2000,NA
Men,Individual W1,Gold,CAVANAGH John,GBR,NA,NA,Archery,2004,NA
Men,Individual W1,Silver,GROENBERG Anders,SWE,NA,NA,Archery,2004,NA
Men,Individual W1,Bronze,FABRY Jeffrey,USA,NA,NA,Archery,2004,NA
Men,Individual W2,Gold,OEHME Mario,GER,NA,NA,Archery,2004,NA
Men,Individual W2,Silver,JUNG Young Joo,KOR,NA,NA,Archery,2004,NA
Men,Individual W2,Bronze,LEE Hong Gu,KOR,NA,NA,Archery,2004,NA
Men,Individual Standing,Gold,LYOCSA Imrich,SVK,NA,NA,Archery,2004,NA
Men,Individual Standing,Silver,LEZANSKI Tomasz,POL,NA,NA,Archery,2004,NA
Men,Individual Standing,Bronze,AN Tae Sung,KOR,NA,NA,Archery,2004,NA
Women,Individual W1/W2,Gold,FANTATO Paola,ITA,NA,NA,Archery,2004,NA
Women,Individual W1/W2,Silver,ISOZAKI Naomi,JPN,NA,NA,Archery,2004,NA
Women,Individual W1/W2,Bronze,HIRASAWA Nako,JPN,NA,NA,Archery,2004,NA
Women,Individual Standing,Gold,WANG Yanhong,CHN,NA,NA,Archery,2004,NA
Women,Individual Standing,Silver,KARPMAICHAN Wasana,THA,NA,NA,Archery,2004,NA
Women,Individual Standing,Bronze,OLEJNIK Malgorzata,POL,NA,NA,Archery,2004,NA
Men,Teams Open,Gold,JUNG Young Joo,KOR,Korea,1,Archery,2004,NA
Men,Teams Open,Gold,LEE Hak Young,KOR,Korea,2,Archery,2004,NA
Men,Teams Open,Gold,LEE Hong Gu,KOR,Korea,3,Archery,2004,NA
Men,Teams Open,Silver,MINAMI Koichi,JPN,Japan,1,Archery,2004,NA
Men,Teams Open,Silver,ONODERA Kimimasa,JPN,Japan,2,Archery,2004,NA
Men,Teams Open,Silver,SAKODO Shinji,JPN,Japan,3,Archery,2004,NA
