SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
1,1950,,,MI,ON,PIE ISL-THUNDER CAPE,PIE,,,519,OS1,,LAT,,49888,1950,ff,,ADRP,99.9,,99.9,999.99,,0,xxx,u,OMNR,5,
2,1952,4,29,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,102097,1951,y,,RP,,,,,816.78,0,AI-51W-BAY,u,WIDNR,5,
3,1952,9,23,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,145000,1952,ff,,LP,,,,,870,0,AI-52W-BAY,u,WIDNR,5,
4,1952,,,SU,MI,LAUGHING FISH PT,LAUGHING FISH,,,1531,MS4,MI5,LAT,,65366,1952,ff,,ADRV,,,,,588.29,0,,u,USFWS,5,
5,1953,5,27,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,80137,1952,y,,RP,,,,,1442.47,0,AI-52W-BAY,u,WIDNR,5,
6,1953,10,10,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,132980,1953,ff,,LP,,,,,664.9,0,AI-53W-BAY,u,WIDNR,5,
7,1953,,,SU,MI,LAUGHING FISH PT,LAUGHING FISH,,,1531,MS4,MI5,LAT,,69439,1952,y,,ADLV,,,,,902.71,0,,u,USFWS,5,
8,1953,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,139073,1953,ff,,ADRV,,,,,695.37,0,,u,USFWS,5,
9,1953,,,SU,ON,PIE ISL-THUNDER CAPE,PIE,,,519,OS1,,LAT,,49915,1953,ff,,ADLP,,,,,,0,,b,OMNR,5,
10,1954,6,8,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,102016,1953,y,,RP,,,,,612.1,0,AI-53W-BAY,u,WIDNR,5,
11,1954,10,15,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,142323,1954,ff,,ADRV,,,,,1280.91,0,AI-54W-BAY,u,WIDNR,5,
12,1954,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,121296,1954,ff,,ADRV,,,,,970.37,0,,u,USFWS,5,
13,1954,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,134318,1953,y,,ADLV,,,,,1208.86,0,,u,USFWS,5,
14,1955,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,102794,1954,y,,ADLV,,,,,2569.85,0,AI-54W-BAY,u,WIDNR,5,
15,1955,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,60744,1954,y,,ADLV,,,,,1214.88,0,,u,USFWS,5,
16,1956,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,200731,1955,y,,RP,,,,,5018.28,0,AI-55W-BAY,u,WIDNR,5,
17,1958,4,21,SU,ON,DOG RIVER,DOG,,,742,OS6,,LAT,,5000,1956,a,24,ADRV,,,,,,0,SUP(DOG)56W-TAR,u,OMNR,5,
18,1958,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,183964,1957,y,,RP,,,,,3679.28,0,AI-57W-BAY,u,WIDNR,5,
19,1958,,,SU,MI,GRAND MARAIS,GRAND MARAIS,,,1438,MS5,MI7,LAT,,80020,1957,y,,LP,,,,,960.24,0,SUP(IR)57W-PC,u,USFWS,5,
20,1958,,,SU,ON,LIZZARD ISL,LIZZARD,,,1045,OS7,,LAT,,250000,1957,y,,AD,,,,,500,0,IL(ONT)57W-TAR,b,OMNR,5,
21,1958,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,60033,1957,y,,LV,,,,,780.43,0,MQ(SUP)57D-PC,u,USFWS,5,
22,1958,,,SU,MI,MUNISING,MUNISING,,,1634,MS4,MI6,LAT,,119975,1957,y,,LP,,,,,1559.68,0,SUP(IR)57W-PC,u,USFWS,5,
23,1958,,,SU,ON,NIPIGON BAY,NIPIGON,,,124,OS3,,LAT,,287870,1957,y,,AD,,,,,3742.31,0,IL(ONT)57W-DOR,u,OMNR,5,
24,1958,,,SU,MI,PARADISE,PARADISE,,,1544,MS6,MI8,LAT,,24250,1957,y,,LP,,,,,436.5,0,SUP(IR)57W-PC,u,USFWS,5,
25,1958,,,SU,MI,PENDILLS BAY,PENDILLS,,,1645,MS6,MI8,LAT,,13870,1957,y,,LP,,,,,485.45,0,SUP(IR)57W-PC,u,USFWS,5,
26,1959,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,75524,1958,y,,RMRP,,,,,1586,0,AI-58W-BAY,b,WIDNR,5,
27,1959,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,75536,1958,y,16,ADRP,,,,,1586.26,0,AI-58W-BAY,u,WIDNR,5,
28,1959,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,5573,1957,a,26,ADLP,,,,,356.67,0,MQ(SUP)57D-PC,u,USFWS,5,
29,1959,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,21580,1957,a,26,ADLP,,,,,1381.12,0,MQ(SUP)57W-PC,u,USFWS,5,
30,1959,,,SU,ON,LIZZARD ISL,LIZZARD,,,1045,OS7,,LAT,,216000,1958,y,15,LV,,,,,864,0,IL(MAN)58W-TAR,b,OMNR,5,
31,1959,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,2452,1956,a,29,ADLV,,,,,223.13,0,MQ(SUP)56D-PC,u,USFWS,5,
32,1959,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,2888,1956,a,40,RV,,,,,727.78,0,MQ-56D-MQ-PC,u,USFWS,5,
33,1959,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,10972,1958,y,,ADLV,,,,,,0,MQ(SUP)57D-PC,u,USFWS,5,
34,1959,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,256590,1958,y,,RV,,,,,3592.26,0,IL(ONT)58W-DOR,u,OMNR,5,
35,1960,7,15,SU,ON,PIE ISL,PIE,,,519,OS1,,LAT,,50250,1960,ff,3,RPLV,,,,,100.5,0,IL(BT)60W-PA,b,OMNR,5,
36,1960,11,13,MI,MI,CHARLEVOIX,CHARLEVOIX,,,616,MM3,,LAT,,24543,1960,ff,10,LP,,,,,196.34,0,SPOK(CW)60D-CX,u,USFWS,5,
37,1960,,,MI,MI,FOX ISLAND AREA,,,,514,MM3,,LAT,,88235,1959,y,16,RV,,,,,2382.35,0,SPOK(CW)59D-CX,b,USFWS,5,
38,1960,,,SU,ON,AGAWA RIVER,AGAWA,,,1045,OS7,,LAT,,65000,1959,y,,ADLP,,,,,,0,IL(MAN)59W-TAR,u,OMNR,5,
39,1960,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,49400,1960,ff,8,DO,,,,,345.8,0,IL(GRN)60W-ST.CR.,u,WIDNR,5,
40,1960,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,161350,1959,y,16,LP,,,,,3711.05,0,AI-59W-BAY,u,WIDNR,5,
41,1960,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,128778,1959,y,15,ADLV,,,,,1802.89,0,IL(MICH)59W-CX-PC,u,USFWS,5,
42,1960,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,131702,1959,y,,ADRV,,,,,1843.83,0,IL(MICH)59W-CX-PC,u,USFWS,5,
43,1960,,,SU,MI,MUNISING,MUNISING,,,1634,MS4,MI6,LAT,,132628,1959,y,16,ADBV,,,,,3050.44,0,MQ-59D-CX-PC,u,USFWS,5,
44,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,23990,1959,y,14,RP,,,,,455.81,0,IL(NIP)59W-PA-DOR,u,OMNR,5,13-14 months of age
45,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,32190,1959,y,14,RP,,,,,611.61,0,IL(SIM)59W-PA-DOR,u,OMNR,5,13-14 months of age
46,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,37905,1959,y,14,RP,,,,,720.2,0,IL(LL)59W-PA-DOR,u,OMNR,5,13-14 months of age
47,1960,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,38840,1959,y,14,RP,,,,,737.96,0,IL(MAN)59W-PA-DOR,u,OMNR,5,13-14 months of age
48,1960,,,SU,ON,SAND RIVER,SAND,,,1045,OS7,,LAT,,65000,1959,y,,ADLP,,,,,,0,IL(MAN)59W-TAR,u,OMNR,5,
49,1960,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,23990,1959,y,14,RP,,,,,455.81,0,IL(NIP059W-PA-DOR,b,OMNR,5,13-14 months of age
50,1960,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,32190,1959,y,14,RP,,,,,611.61,0,IL(SIM)59W-PA-DOR,b,OMNR,5,13-14 months of age
51,1960,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,37905,1959,y,14,RP,,,,,720.2,0,IL(LL)59W-PA-DOR,b,OMNR,5,13-14 months of age
52,1960,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,38840,1959,y,14,RP,,,,,737.96,0,IL(MAN)59W-PA-DOR,b,OMNR,5,13-14 months of age
53,1961,7,18,SU,ON,PIE ISL,PIE,,,519,OS1,,LAT,,60200,1961,ff,3,ADRP,,,,,120.4,0,IL(WS)61W-PA,b,OMNR,5,
54,1961,,,MI,MI,CHARLEVOIX,CHARLEVOIX,,,616,MM3,,LAT,,94823,1960,y,15,LV,,,,,1706.81,0,SPOK(CW)60D-CX,u,USFWS,5,
55,1961,,,SU,WI,APOSTLE ISLES,APOSTLE,,,1409,WISC,WI2,LAT,,31885,1960,y,,AD,,,,,542.05,0,AI-60W-BAY,u,WIDNR,5,
56,1961,,,SU,WI,APOSTLE ISLES,APOSTLE,,,1409,WISC,WI2,LAT,,77002,1960,y,,AD,,,,,1309.03,0,MQ(IR)60D-BAY,u,WIDNR,5,
57,1961,,,SU,WI,APOSTLE ISLES,APOSTLE,,,1409,WISC,WI2,LAT,,96960,1960,y,16,ADLM,,,,,3005.76,0,IL(GRN)60W-ST.CR.BAY,u,WIDNR,5,
58,1961,,,SU,WI,APOSTLE ISLES,APOSTLE,,,1409,WISC,WI2,LAT,,108175,1960,y,16,DORV,,,,,,0,MQ-60D-PC-BAY,u,WIDNR,5,
59,1961,,,SU,MI,BARAGA,BARAGA,,,1423,MS3,MI4,LAT,,171730,1960,y,16,LV,,,,,3091.14,0,IL(MICH)60W-CX-PC,u,USFWS,5,
60,1961,,,SU,ON,COLDWATER RIVER,COLDWATER,,,1045,OS7,,LAT,,107500,1960,y,15,LPRV,,,,,537.5,0,LI(MAN)60W-TAR,b,OMNR,5,
61,1961,,,SU,MI,MUNISING,MUNISING,,,1634,MS4,MI6,LAT,,59700,1960,y,16,RMLP,,,,,1492.5,0,MQ-(60D)-(FX1)MQ-PC,u,USFWS,5,
62,1961,,,SU,ON,MONTREAL RIVER,MONTREAL,,,1146,OS7,,LAT,,107500,1960,y,15,LPRV,,,,,537.5,0,LI(MAN)60W-TAR,u,OMNR,5,
63,1961,,,SU,MI,ONTONAGON,ONTONAGON,,,1318,MS2,MI2,LAT,,48700,1960,y,17,DORP,,,,,876.6,0,MQ-60D-TN-WT,u,MIDNR,5,
64,1961,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,22250,1960,y,,BV,,,,,378.25,0,IL(BT)60W-PA-DOR,u,OMNR,5,
65,1961,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,28400,1960,y,,BV,,,,,482.8,0,IL(LL)60W-PA-DOR,u,OMNR,5,
66,1961,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,58965,1960,y,,BV,,,,,1002.41,0,IL(CR)60W-PA-DOR,u,OMNR,5,
67,1961,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,22250,1960,y,,BV,,,,,378.25,0,IL(BT)60W-PA-DOR,b,OMNR,5,
68,1961,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,28400,1960,y,,BV,,,,,482.8,0,IL(LL)60W-PA-DOR,b,OMNR,5,
69,1961,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,58965,1960,y,,BV,,,,,1002.41,0,IL(CR)60W-PA-DOR,b,OMNR,5,
70,1961,,,SU,MI,WHITEFISH PT,,,,1444,MS6,MI8,LAT,,112500,1960,y,17,RV,,,,,3037.5,0,MQ-60D-TN-PC,u,USFWS,5,
71,1962,9,27,SU,MN,LITTLE MARAIS,LITTLE MARAIS,,,1007,M2,,LAT,,76559,1962,ff,8,DO,,,,,405.76,0,MQ(SUP)62D-LAN,b,MNDNR,5,
72,1962,,,MI,WI,MILWAUKEE REEF,,,,1905,WM5,,LAT,,72936,1961,y,16,RP,,,,,1750.46,0,SPOK(CW)61D-CX,b,USFWS,5,
73,1962,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,120800,1961,y,16,DOLP,,,,,2416,0,MQ(SUP)61D-PC,u,USFWS,5,
74,1962,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,115870,1961,y,20,DOLV,,,,,5909.37,0,MQ(SUP)61D-TN-PC,u,USFWS,5,
75,1962,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,101722,1961,y,17,ADBV,,,,,2644.77,0,MQ(SUP)61D-ST.CR.,u,WIDNR,5,
76,1962,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,154776,1961,y,17,ADBV,,,,,4024.18,0,MQ(SUP)61D-BAY,u,WIDNR,5,
77,1962,,,SU,MI,BETE GRISE,BETE GRISE,,,1026,MS3,MI4,LAT,,322789,1961,y,16,RP,,,,,5487.41,0,MQ(SUP)61D-TN-PC-SC,u,USFWS,5,
78,1962,,,SU,ON,COLDWATER RIVER,COLDWATER,,,1045,OS7,,LAT,,6700,1961,y,15,ADLV,,,,,33.5,0,HILL(SUP)61D-TAR,b,OMNR,5,
79,1962,,,SU,ON,COLDWATER RIVER,COLDWATER,,,1045,OS7,,LAT,,118000,1961,y,15,ADLV,,,,,590,0,IL(MAN)61W-TAR,b,OMNR,5,
80,1962,,,SU,ON,MONTREAL RIVER,MONTREAL,,,1146,OS7,,LAT,,6700,1961,y,15,ADLV,,,,,33.5,0,HILL(SUP)61D-TAR,u,OMNR,5,
81,1962,,,SU,ON,MONTREAL RIVER,MONTREAL,,,1146,OS7,,LAT,,118000,1961,y,15,ADLV,,,,,590,0,IL(MAN)61W-TAR,u,OMNR,5,
82,1962,,,SU,MI,ONTONAGON,ONTONAGON,,,1318,MS2,MI2,LAT,,86907,1961,y,16,ADLP,,,,,1564.33,0,IL(MICH)61W-CX-PC-WT,u,MIDNR,5,
83,1962,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,10645,1961,y,13,ADRV,,,,,159.68,0,IL(WS)61W-PA-DOR,u,OMNR,5,
84,1962,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,22290,1961,y,13,ADRV,,,,,334.35,0,IL(BT)61W-PA-DOR,u,OMNR,5,
85,1962,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,29640,1961,y,13,ADRV,,,,,444.6,0,IL(LL)61W-PA-DOR,u,OMNR,5,
86,1962,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,66512,1961,y,13,ADRV,,,,,997.68,0,IL(CR)61W-PA-DOR,u,OMNR,5,
87,1962,,,SU,MI,SHELTER BAY,,,,1632,MS4,MI6,LAT,,295465,1961,y,16,LP,,,,,5318.37,0,MQ(SUP)61D-TN-PC,u,USFWS,5,
88,1962,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,10645,1961,y,13,ADRV,,,,,159.68,0,IL(WS)61W-PA-DOR,b,OMNR,5,
89,1962,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,22290,1961,y,13,ADRV,,,,,334.35,0,IL(BT)61W-PA-DOR,b,OMNR,5,
90,1962,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,29640,1961,y,13,ADRV,,,,,444.6,0,IL(LL)61W-PA-DOR,b,OMNR,5,
91,1962,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,66512,1961,y,13,ADRV,,,,,997.68,0,IL(LL)61W-PA-DOR,b,OMNR,5,
92,1962,,,SU,MI,WHITEFISH BAY,WHITEFISH BAY,,,1444,MS6,MI8,LAT,,70000,1962,ff,,DOBV,,,,,560,0,IL(HIG-ELK)61W-HA,u,MIDNR,5,
93,1963,5,16,SU,ON,DOG RIVER,DOG,,,742,OS6,,LAT,,40000,1962,y,,AD,,,,,,0,HILL(SUP)62D-TAR,u,OMNR,5,
94,1963,9,16,SU,MN,BEAVER BAY/SILVER BAY,BEAVER,,,1106,M2,,LAT,,85236,1963,ff,8,LP,,,,,238.66,0,MQ(SUP)63D-MINN,u,MNDNR,5,
95,1963,9,25,SU,MN,BEAVER BAY/SILVER BAY,BEAVER,,,1106,M2,,LAT,,89584,1963,ff,8,LP,,,,,268.75,0,MQ(SUP)63D-MINN,u,MNDNR,5,
96,1963,,,MI,WI,EASTERN DOOR COUNTY,EASTERN DOOR,,,,WM3,,RBT,,9200,,y,,XX,,,,,,0,,,WIDNR,7,Marked as XX: Unknown clip status
97,1963,,,ON,ON,GLENORA,,,,,,,LAT,,74700,1962,y,,LP,,,,,,0,,u,OMNR,5,
98,1963,,,ON,ON,MAIN DUCK IS,,,,421,OO3,,LAT,,106767,1962,y,15,LP,,,,,2135.34,0,MQ(SUP)62D-CX,b,USFWS,5,
99,1963,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,311469,1962,y,15,LPRV,,,,,7475.26,0,MQ(SUP)62D-WIS,u,WIDNR,5,14-16 months of age
100,1963,,,SU,MI,ONTONAGON,ONTONAGON,,,1318,MS2,MI2,LAT,,83000,1962,y,15,DORP,,,,,498,0,MQ(SUP)62D-WT,u,MIDNR,5,
101,1963,,,SU,MI,PEQUAMING POINT,PEQUAMING,,,1323,MS3,MI4,LAT,,266745,1962,y,19,RV,,,,,8269.1,0,MQ(SUP)62D-PC,u,USFWS,5,
102,1963,,,SU,MI,PEQUAMING POINT,PEQUAMING,,,1323,MS3,MI4,LAT,,273430,1962,y,16,LV,,,,,4374.88,0,MQ(SUP)62D-PC,u,USFWS,5,
103,1963,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,13934,1962,y,14,BV,,,,,195.08,0,IL(LL)62W-PA-DOR,u,OMNR,5,
104,1963,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,30355,1962,y,14,BV,,,,,424.97,0,IL(CL)62W-PA-DOR,u,OMNR,5,
105,1963,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,79065,1962,y,14,BV,,,,,1106.91,0,IL(WS)62W-PA-DOR,u,OMNR,5,
106,1963,,,SU,MI,SHELTER BAY,,,,1632,MS4,MI6,LAT,,562580,1962,y,15,RPLV,,,,,9563.86,0,MQ(SUP)62D-PC,u,USFWS,5,
107,1963,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,13934,1962,y,14,BV,,,,,195.08,0,IL(LL)62W-PA-DOR,b,OMNR,5,
108,1963,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,30365,1962,y,14,BV,,,,,425.11,0,IL(CL)62W-PA-DOR,b,OMNR,5,
109,1963,,,SU,ON,ST IGNACE ISL,ST IGNACE,,,226,OS4,,LAT,,79065,1962,y,14,BV,,,,,1106.91,0,IL(WS)62W-PA-DOR,b,OMNR,5,
110,1963,,,SU,MI,WHITEFISH PT,,,,1444,MS6,MI8,LAT,,161815,1963,ff,9,LP,,,,,647.26,0,MQ(SUP)63D-TN-CX,u,USFWS,5,
111,1963,,,SU,ON,WHITEFISH BAY,,,,1346,OS7,,LAT,,95000,1962,y,16,AD,,,,,475,0,IL(MAN)62W-TAR,u,OMNR,5,
112,1963,,,SU,ON,WHITEFISH BAY,,,,1546,OS7,,LAT,,95000,1962,y,16,AD,,,,,475,0,IL(MAN)62W-TAR,u,OMNR,5,
113,1964,4,28,SU,MN,GRAND MARAIS,GRAND MARAIS,,,811,M3,,LAT,,90000,1963,y,15,DORV,,,,,576,0,MQ(SUP)63D-TN-WT,u,,5,
114,1964,5,5,SU,MN,HOVLAND,HOVLAND,,,714,M3,,LAT,,92000,1963,y,15,DORV,,,,,588.8,0,MQ(SUP)63D-TN-WT,u,,5,
115,1964,5,22,SU,MN,,,,,,M1,,LAT,,20000,1964,ff,1,NC,,,,,,0,,u,MNDNR,5,
116,1964,6,18,SU,MI,PENDILLS BAY,PENDILLS,,,1645,MS6,MI8,LAT,,194630,1963,y,16,DOLV,,,,,3308.71,0,MQ(SUP)63D-TN-PC,u,USFWS,5,
117,1964,9,28,SU,MN,BEAVER BAY,BEAVER,,,1106,M2,,LAT,,15412,1964,ff,8,DO,,,,,204.98,0,MQ(SUP)64D-LAN,u,MNDNR,5,
118,1964,10,1,SU,MN,GRAND MARAIS,GRAND MARAIS,,,811,M3,,LAT,,22434,1964,ff,8,DO,,,,,296.13,0,MQ(SUP)64D-LAN,u,MNDNR,5,
119,1964,,,MI,WI,ALGOMA KEWAUNEE,ALGOMA,,,,WM4,,RBT,,1500,,y,,XX,,,,,,0,,,WIDNR,7,Marked as XX: Unknown clip status
120,1964,,,MI,WI,EASTERN DOOR COUNTY,EASTERN DOOR,,,,WM3,,RBT,,13500,,y,,XX,,,,,,0,,,WIDNR,7,Marked as XX: Unknown clip status
121,1964,,,ON,ON,MAIN DUCK IS,,,,421,OO3,,LAT,,36739,1963,y,16,LV,,,,,440.87,0,MQ(SUP)63D-TN-CXPCCX,b,USFWS,5,
122,1964,,,ON,ON,MAIN DUCK IS,,,,421,OO3,,LAT,,74619,1963,y,16,LV,,,,,1865.48,0,MQ(HA)(SUP)63D-CX,b,USFWS,5,
123,1964,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,86613,1963,y,13,ADRP,,,,,1818.87,0,BAY(AI)63D-BAY,u,WIDNR,5,11-14 months of age
124,1964,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,88982,1963,y,13,ADRP,,,,,1868.62,0,MQ(SUP)63D-HAY,u,WIDNR,5,11-14 months of age
125,1964,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,117579,1963,y,13,ADRP,,,,,2469.16,0,MQ(SUP)63D-ST.CR.,u,WIDNR,5,11-14 months of age
126,1964,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,159300,1963,y,13,ADRP,,,,,3345.3,0,MQ(SUP)63D-WR,u,WIDNR,5,11-14 months of age
127,1964,,,SU,WI,APOSTLE ISLES,APOSTLE,,,,WISC,WI2,LAT,,290961,1963,y,13,ADRP,,,,,6110.18,0,MQ(SUP)63D-BAY,u,WIDNR,5,11-14 months of age
128,1964,,,SU,MI,BETE GRISE,BETE GRISE,,,1026,MS3,MI4,LAT,,122400,1963,y,16,RP,,,,,1836,0,MQ(SUP)63D-TN-PC,u,USFWS,5,15-16 months of age
129,1964,,,SU,MI,BETSY RIVER,BETSY,,,1126,MS3,MI4,LAT,,97700,1963,y,16,RP,,,,,1465.5,0,MQ(SUP)63D-TN-PC,u,USFWS,5,15-16 months of age
130,1964,,,SU,MI,MUNISING,MUNISING,,,1634,MS4,MI6,LAT,,108050,1963,y,16,RP,,,,,1620.75,0,MQ(SUP)63D-TN-PC-SC,u,USFWS,5,15-16 months of age
131,1964,,,SU,MI,GRAND MARAIS,GRAND MARAIS,,,1438,MS5,MI7,LAT,,141390,1963,y,16,RP,,,,,2120.85,0,MQ(SUP)63D-TN-PC,u,USFWS,5,15-16 months of age
132,1964,,,SU,MI,HURON BAY,HURON,,,1424,MS3,MI4,LAT,,61600,1963,y,16,RP,,,,,924,0,MQ(SUP)63D-TN-PC,u,USFWS,5,15-16 months of age
133,1964,,,SU,MI,MARQUETTE HARBOR,MARQUETTE,,,1529,MS4,MI5,LAT,,155850,1963,y,16,RP,,,,,2337.75,0,MQ(SUP)63D-TN-PC-SC,u,USFWS,5,15-16 months of age
134,1964,,,SU,MI,MUNISING,MUNISING,,,1634,MS4,MI6,LAT,,52900,1963,y,16,RP,,,,,793.5,0,MQ(SUP)63D-TN-PC-SC,u,USFWS,5,15-16 months of age
135,1964,,,SU,ON,MICHIPICOTEN HARBOR,MICHIPICOTEN,,,744,OS6,,LAT,,25000,1963,y,15,ADLP,,,,,125,0,TAR(SUP)63D-TAR,u,OMNR,5,
136,1964,,,SU,ON,MICHIPICOTEN HARBOR,MICHIPICOTEN,,,744,OS6,,LAT,,43500,1963,y,15,ADLP,,,,,217.5,0,HL(SUP)63D-TAR,u,OMNR,5,
137,1964,,,SU,ON,MICHIPICOTEN HARBOR,MICHIPICOTEN,,,744,OS6,,LAT,,56500,1963,y,15,ADLP,,,,,282.5,0,IL(MAN)63W-TAR,u,OMNR,5,
138,1964,,,SU,MI,ONTONAGON RIVER MOUTH,ONTONAGON,,,1318,MS2,MI2,LAT,,98780,1963,y,15,ADRV,,,,,1086.58,0,PC(IR)63D-PC,u,USFWS,5,
139,1964,,,SU,MI,ONTONAGON RIVER MOUTH,ONTONAGON,,,1318,MS2,MI2,LAT,,99130,1963,y,15,ADRV,,,,,1090.43,0,MQ(SUP)63D-TN-PC,u,USFWS,5,
140,1964,,,SU,MI,PEQUAMING POINT,PEQUAMING,,,1323,MS3,MI4,LAT,,63340,1963,y,16,RP,,,,,950.1,0,MQ(SUP)63D-TN-PC,u,USFWS,5,15-16 months of age
141,1964,,,SU,ON,PIE ISL,PIE,,,519,OS1,,LAT,,25755,1963,y,15,ADLV,,,,,257.55,0,IL(LL)63W-PA-DOR,b,OMNR,5,
142,1964,,,SU,ON,PIE ISL,PIE,,,519,OS1,,LAT,,38235,1963,y,15,ADLV,,,,,382.35,0,IL(DRY)63W-PA-DOR,b,OMNR,5,
143,1964,,,SU,ON,PIE ISL,PIE,,,519,OS1,,LAT,,47210,1963,y,15,ADLV,,,,,472.1,0,IL(WS)63W-PA-DOR,b,OMNR,5,
144,1964,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,25755,1963,y,15,ADLV,,,,,257.55,0,IL(LL)63W-PA-DOR,u,OMNR,5,
145,1964,,,SU,ON,ROSSPORT,ROSSPORT,,,128,OS3,,LAT,,38235,1963,y,15,ADLV,,,,,382.35,0,IL(DRY)63W-PA-DOR,u,OMNR,5,
