map_date,state_abb,valid_start,valid_end,stat_fmt,drought_lvl,area_pct,area_total,pop_pct,pop_total
20210413,AK,2021-04-13,2021-04-19,2,D3,0,0,0,0
20210413,AK,2021-04-13,2021-04-19,2,D4,0,0,0,0
20210406,AK,2021-04-06,2021-04-12,2,None,70.89,413010.13,97.44,691449.9400000001
20210406,AK,2021-04-06,2021-04-12,2,D0,29.11,169558.16,2.56,18180.05
20210406,AK,2021-04-06,2021-04-12,2,D1,0,0,0,0
20210406,AK,2021-04-06,2021-04-12,2,D2,0,0,0,0
20210406,AK,2021-04-06,2021-04-12,2,D3,0,0,0,0
20210406,AK,2021-04-06,2021-04-12,2,D4,0,0,0,0
20210330,AK,2021-03-30,2021-04-05,2,None,65.33,380607.81,94.21,668538.92
20210330,AK,2021-03-30,2021-04-05,2,D0,34.67,201960.47999999998,5.79,41091.07
20210330,AK,2021-03-30,2021-04-05,2,D1,0,0,0,0
20210330,AK,2021-03-30,2021-04-05,2,D2,0,0,0,0
20210330,AK,2021-03-30,2021-04-05,2,D3,0,0,0,0
20210330,AK,2021-03-30,2021-04-05,2,D4,0,0,0,0
20210323,AK,2021-03-23,2021-03-29,2,None,65.33,380607.81,94.21,668538.92
20210323,AK,2021-03-23,2021-03-29,2,D0,34.67,201960.47999999998,5.79,41091.07
20210323,AK,2021-03-23,2021-03-29,2,D1,0,0,0,0
20210323,AK,2021-03-23,2021-03-29,2,D2,0,0,0,0
20210323,AK,2021-03-23,2021-03-29,2,D3,0,0,0,0
20210323,AK,2021-03-23,2021-03-29,2,D4,0,0,0,0
20210316,AK,2021-03-16,2021-03-22,2,None,65.33,380607.81,94.21,668538.92
20210316,AK,2021-03-16,2021-03-22,2,D0,34.67,201960.47999999998,5.79,41091.07
20210316,AK,2021-03-16,2021-03-22,2,D1,0,0,0,0
20210316,AK,2021-03-16,2021-03-22,2,D2,0,0,0,0
20210316,AK,2021-03-16,2021-03-22,2,D3,0,0,0,0
20210316,AK,2021-03-16,2021-03-22,2,D4,0,0,0,0
20210309,AK,2021-03-09,2021-03-15,2,None,65.33,380607.81,94.21,668538.92
20210309,AK,2021-03-09,2021-03-15,2,D0,34.67,201960.47999999998,5.79,41091.07
20210309,AK,2021-03-09,2021-03-15,2,D1,0,0,0,0
20210309,AK,2021-03-09,2021-03-15,2,D2,0,0,0,0
20210309,AK,2021-03-09,2021-03-15,2,D3,0,0,0,0
20210309,AK,2021-03-09,2021-03-15,2,D4,0,0,0,0
20210302,AK,2021-03-02,2021-03-08,2,None,78.8,459066.75,95.24,675872.05
20210302,AK,2021-03-02,2021-03-08,2,D0,21.2,123501.54,4.76,33757.94
20210302,AK,2021-03-02,2021-03-08,2,D1,0,0,0,0
20210302,AK,2021-03-02,2021-03-08,2,D2,0,0,0,0
20210302,AK,2021-03-02,2021-03-08,2,D3,0,0,0,0
20210302,AK,2021-03-02,2021-03-08,2,D4,0,0,0,0
20210223,AK,2021-02-23,2021-03-01,2,None,81.48,474664.89,84.28,598074.69
20210223,AK,2021-02-23,2021-03-01,2,D0,18.52,107903.39,15.72,111555.31
20210223,AK,2021-02-23,2021-03-01,2,D1,0,0,0,0
20210223,AK,2021-02-23,2021-03-01,2,D2,0,0,0,0
20210223,AK,2021-02-23,2021-03-01,2,D3,0,0,0,0
20210223,AK,2021-02-23,2021-03-01,2,D4,0,0,0,0
20210216,AK,2021-02-16,2021-02-22,2,None,81.48,474664.89,84.28,598074.69
20210216,AK,2021-02-16,2021-02-22,2,D0,18.52,107903.39,15.72,111555.31
20210216,AK,2021-02-16,2021-02-22,2,D1,0,0,0,0
20210216,AK,2021-02-16,2021-02-22,2,D2,0,0,0,0
20210216,AK,2021-02-16,2021-02-22,2,D3,0,0,0,0
20210216,AK,2021-02-16,2021-02-22,2,D4,0,0,0,0
20210209,AK,2021-02-09,2021-02-15,2,None,81.48,474664.89,84.28,598074.69
20210209,AK,2021-02-09,2021-02-15,2,D0,18.52,107903.39,15.72,111555.31
20210209,AK,2021-02-09,2021-02-15,2,D1,0,0,0,0
20210209,AK,2021-02-09,2021-02-15,2,D2,0,0,0,0
20210209,AK,2021-02-09,2021-02-15,2,D3,0,0,0,0
20210209,AK,2021-02-09,2021-02-15,2,D4,0,0,0,0
20210202,AK,2021-02-02,2021-02-08,2,None,80.6,469523.28,83.98,595921.3300000001
20210202,AK,2021-02-02,2021-02-08,2,D0,19.4,113045.01,16.02,113708.67000000001
20210202,AK,2021-02-02,2021-02-08,2,D1,0,0,0,0
20210202,AK,2021-02-02,2021-02-08,2,D2,0,0,0,0
20210202,AK,2021-02-02,2021-02-08,2,D3,0,0,0,0
20210202,AK,2021-02-02,2021-02-08,2,D4,0,0,0,0
20210126,AK,2021-01-26,2021-02-01,2,None,84.03,489505.14999999997,96.45,684455.13
20210126,AK,2021-01-26,2021-02-01,2,D0,15.97,93063.14,3.55,25174.87
20210126,AK,2021-01-26,2021-02-01,2,D1,0,0,0,0
20210126,AK,2021-01-26,2021-02-01,2,D2,0,0,0,0
20210126,AK,2021-01-26,2021-02-01,2,D3,0,0,0,0
20210126,AK,2021-01-26,2021-02-01,2,D4,0,0,0,0
20210119,AK,2021-01-19,2021-01-25,2,None,84.03,489505.14999999997,96.45,684455.13
20210119,AK,2021-01-19,2021-01-25,2,D0,15.97,93063.14,3.55,25174.87
20210119,AK,2021-01-19,2021-01-25,2,D1,0,0,0,0
20210119,AK,2021-01-19,2021-01-25,2,D2,0,0,0,0
20210119,AK,2021-01-19,2021-01-25,2,D3,0,0,0,0
20210119,AK,2021-01-19,2021-01-25,2,D4,0,0,0,0
20210112,AK,2021-01-12,2021-01-18,2,None,84.03,489505.14999999997,96.45,684455.13
20210112,AK,2021-01-12,2021-01-18,2,D0,15.97,93063.14,3.55,25174.87
20210112,AK,2021-01-12,2021-01-18,2,D1,0,0,0,0
20210112,AK,2021-01-12,2021-01-18,2,D2,0,0,0,0
20210112,AK,2021-01-12,2021-01-18,2,D3,0,0,0,0
20210112,AK,2021-01-12,2021-01-18,2,D4,0,0,0,0
20210105,AK,2021-01-05,2021-01-11,2,None,91.44,532707.03,97.24,690049.92
20210105,AK,2021-01-05,2021-01-11,2,D0,8.56,49861.259999999995,2.76,19580.07
20210105,AK,2021-01-05,2021-01-11,2,D1,0,0,0,0
20210105,AK,2021-01-05,2021-01-11,2,D2,0,0,0,0
20210105,AK,2021-01-05,2021-01-11,2,D3,0,0,0,0
20210105,AK,2021-01-05,2021-01-11,2,D4,0,0,0,0
20201229,AK,2020-12-29,2021-01-04,2,None,91.44,532707.03,97.24,690049.92
20201229,AK,2020-12-29,2021-01-04,2,D0,8.56,49861.259999999995,2.76,19580.07
20201229,AK,2020-12-29,2021-01-04,2,D1,0,0,0,0
20201229,AK,2020-12-29,2021-01-04,2,D2,0,0,0,0
20201229,AK,2020-12-29,2021-01-04,2,D3,0,0,0,0
20201229,AK,2020-12-29,2021-01-04,2,D4,0,0,0,0
20201222,AK,2020-12-22,2020-12-28,2,None,91.44,532707.03,97.24,690049.92
20201222,AK,2020-12-22,2020-12-28,2,D0,8.56,49861.259999999995,2.76,19580.07
20201222,AK,2020-12-22,2020-12-28,2,D1,0,0,0,0
20201222,AK,2020-12-22,2020-12-28,2,D2,0,0,0,0
20201222,AK,2020-12-22,2020-12-28,2,D3,0,0,0,0
20201222,AK,2020-12-22,2020-12-28,2,D4,0,0,0,0
20201215,AK,2020-12-15,2020-12-21,2,None,88.88,517815,97.16,689487.16
20201215,AK,2020-12-15,2020-12-21,2,D0,11.12,64753.28999999999,2.84,20142.84
20201215,AK,2020-12-15,2020-12-21,2,D1,0,0,0,0
20201215,AK,2020-12-15,2020-12-21,2,D2,0,0,0,0
20201215,AK,2020-12-15,2020-12-21,2,D3,0,0,0,0
20201215,AK,2020-12-15,2020-12-21,2,D4,0,0,0,0
20201208,AK,2020-12-08,2020-12-14,2,None,88.88,517815,97.16,689487.16
20201208,AK,2020-12-08,2020-12-14,2,D0,11.12,64753.28999999999,2.84,20142.84
20201208,AK,2020-12-08,2020-12-14,2,D1,0,0,0,0
20201208,AK,2020-12-08,2020-12-14,2,D2,0,0,0,0
20201208,AK,2020-12-08,2020-12-14,2,D3,0,0,0,0
20201208,AK,2020-12-08,2020-12-14,2,D4,0,0,0,0
20201201,AK,2020-12-01,2020-12-07,2,None,88.89,517831.12,64.9,460520.82
20201201,AK,2020-12-01,2020-12-07,2,D0,11.11,64737.17,35.1,249109.17
20201201,AK,2020-12-01,2020-12-07,2,D1,0,0,0,0
20201201,AK,2020-12-01,2020-12-07,2,D2,0,0,0,0
20201201,AK,2020-12-01,2020-12-07,2,D3,0,0,0,0
20201201,AK,2020-12-01,2020-12-07,2,D4,0,0,0,0
20201124,AK,2020-11-24,2020-11-30,2,None,88.89,517831.12,64.9,460520.82
20201124,AK,2020-11-24,2020-11-30,2,D0,11.11,64737.17,35.1,249109.17
20201124,AK,2020-11-24,2020-11-30,2,D1,0,0,0,0
20201124,AK,2020-11-24,2020-11-30,2,D2,0,0,0,0
20201124,AK,2020-11-24,2020-11-30,2,D3,0,0,0,0
20201124,AK,2020-11-24,2020-11-30,2,D4,0,0,0,0
20201117,AK,2020-11-17,2020-11-23,2,None,88.89,517831.12,64.9,460520.82
20201117,AK,2020-11-17,2020-11-23,2,D0,11.11,64737.17,35.1,249109.17
20201117,AK,2020-11-17,2020-11-23,2,D1,0,0,0,0
20201117,AK,2020-11-17,2020-11-23,2,D2,0,0,0,0
20201117,AK,2020-11-17,2020-11-23,2,D3,0,0,0,0
20201117,AK,2020-11-17,2020-11-23,2,D4,0,0,0,0
20201110,AK,2020-11-10,2020-11-16,2,None,88.89,517831.12,64.9,460520.82
20201110,AK,2020-11-10,2020-11-16,2,D0,10.26,59798.119999999995,34.96,248086.54
20201110,AK,2020-11-10,2020-11-16,2,D1,0.85,4939.05,0.14,1022.62
20201110,AK,2020-11-10,2020-11-16,2,D2,0,0,0,0
20201110,AK,2020-11-10,2020-11-16,2,D3,0,0,0,0
20201110,AK,2020-11-10,2020-11-16,2,D4,0,0,0,0
20201103,AK,2020-11-03,2020-11-09,2,None,88.89,517831.12,64.9,460520.82
20201103,AK,2020-11-03,2020-11-09,2,D0,10.26,59798.119999999995,34.96,248086.54
20201103,AK,2020-11-03,2020-11-09,2,D1,0.85,4939.05,0.14,1022.62
20201103,AK,2020-11-03,2020-11-09,2,D2,0,0,0,0
20201103,AK,2020-11-03,2020-11-09,2,D3,0,0,0,0
20201103,AK,2020-11-03,2020-11-09,2,D4,0,0,0,0
20201027,AK,2020-10-27,2020-11-02,2,None,87.81,511546.5,64.8,459860.51
20201027,AK,2020-10-27,2020-11-02,2,D0,11.34,66082.73999999999,35.05,248746.84999999998
20201027,AK,2020-10-27,2020-11-02,2,D1,0.85,4939.05,0.14,1022.62
20201027,AK,2020-10-27,2020-11-02,2,D2,0,0,0,0
20201027,AK,2020-10-27,2020-11-02,2,D3,0,0,0,0
20201027,AK,2020-10-27,2020-11-02,2,D4,0,0,0,0
20201020,AK,2020-10-20,2020-10-26,2,None,85.51,498161.25,64.13,455121.05
20201020,AK,2020-10-20,2020-10-26,2,D0,13.64,79467.98999999999,35.72,253486.31999999998
20201020,AK,2020-10-20,2020-10-26,2,D1,0.85,4939.05,0.14,1022.62
20201020,AK,2020-10-20,2020-10-26,2,D2,0,0,0,0
20201020,AK,2020-10-20,2020-10-26,2,D3,0,0,0,0
20201020,AK,2020-10-20,2020-10-26,2,D4,0,0,0,0
20201013,AK,2020-10-13,2020-10-19,2,None,85.51,498161.25,64.13,455121.05
20201013,AK,2020-10-13,2020-10-19,2,D0,13.64,79467.98999999999,35.72,253486.31999999998
20201013,AK,2020-10-13,2020-10-19,2,D1,0.85,4939.05,0.14,1022.62
20201013,AK,2020-10-13,2020-10-19,2,D2,0,0,0,0
20201013,AK,2020-10-13,2020-10-19,2,D3,0,0,0,0
20201013,AK,2020-10-13,2020-10-19,2,D4,0,0,0,0
20201006,AK,2020-10-06,2020-10-12,2,None,85.51,498161.25,64.13,455121.05
20201006,AK,2020-10-06,2020-10-12,2,D0,13.64,79467.98999999999,35.72,253486.31999999998
20201006,AK,2020-10-06,2020-10-12,2,D1,0.85,4939.05,0.14,1022.62
20201006,AK,2020-10-06,2020-10-12,2,D2,0,0,0,0
20201006,AK,2020-10-06,2020-10-12,2,D3,0,0,0,0
20201006,AK,2020-10-06,2020-10-12,2,D4,0,0,0,0
20200929,AK,2020-09-29,2020-10-05,2,None,77.85,453502.5,63.41,449998.26
20200929,AK,2020-09-29,2020-10-05,2,D0,21.36,124465.70999999999,36.45,258679.29
20200929,AK,2020-09-29,2020-10-05,2,D1,0.79,4600.08,0.13,952.4399999999999
20200929,AK,2020-09-29,2020-10-05,2,D2,0,0,0,0
20200929,AK,2020-09-29,2020-10-05,2,D3,0,0,0,0
20200929,AK,2020-09-29,2020-10-05,2,D4,0,0,0,0
20200922,AK,2020-09-22,2020-09-28,2,None,70.24,409208.11,61.99,439911.3
20200922,AK,2020-09-22,2020-09-28,2,D0,28.14,163959.05,36.51,259119.6
20200922,AK,2020-09-22,2020-09-28,2,D1,1.61,9401.130000000001,1.49,10599.09
20200922,AK,2020-09-22,2020-09-28,2,D2,0,0,0,0
20200922,AK,2020-09-22,2020-09-28,2,D3,0,0,0,0
20200922,AK,2020-09-22,2020-09-28,2,D4,0,0,0,0
20200915,AK,2020-09-15,2020-09-21,2,None,70.24,409208.11,61.99,439911.3
20200915,AK,2020-09-15,2020-09-21,2,D0,28.14,163959.05,36.51,259119.6
20200915,AK,2020-09-15,2020-09-21,2,D1,1.61,9401.130000000001,1.49,10599.09
20200915,AK,2020-09-15,2020-09-21,2,D2,0,0,0,0
20200915,AK,2020-09-15,2020-09-21,2,D3,0,0,0,0
20200915,AK,2020-09-15,2020-09-21,2,D4,0,0,0,0
20200908,AK,2020-09-08,2020-09-14,2,None,68.37,398327.74,61.45,436066.39
20200908,AK,2020-09-08,2020-09-14,2,D0,30.01,174839.41,37.06,262964.51
20200908,AK,2020-09-08,2020-09-14,2,D1,1.61,9401.130000000001,1.49,10599.09
20200908,AK,2020-09-08,2020-09-14,2,D2,0,0,0,0
20200908,AK,2020-09-08,2020-09-14,2,D3,0,0,0,0
20200908,AK,2020-09-08,2020-09-14,2,D4,0,0,0,0
20200901,AK,2020-09-01,2020-09-07,2,None,65.46,381333.33,58.04,411853.89
20200901,AK,2020-09-01,2020-09-07,2,D0,32.93,191833.81999999998,40.47,287177
20200901,AK,2020-09-01,2020-09-07,2,D1,1.61,9401.130000000001,1.49,10599.09
20200901,AK,2020-09-01,2020-09-07,2,D2,0,0,0,0
20200901,AK,2020-09-01,2020-09-07,2,D3,0,0,0,0
20200901,AK,2020-09-01,2020-09-07,2,D4,0,0,0,0
20200825,AK,2020-08-25,2020-08-31,2,None,89.31,520286.55,66.77,473820.54
20200825,AK,2020-08-25,2020-08-31,2,D0,9.87,57480.68,31.87,226162.8
20200825,AK,2020-08-25,2020-08-31,2,D1,0.82,4801.06,1.36,9646.65
20200825,AK,2020-08-25,2020-08-31,2,D2,0,0,0,0
20200825,AK,2020-08-25,2020-08-31,2,D3,0,0,0,0
20200825,AK,2020-08-25,2020-08-31,2,D4,0,0,0,0
20200818,AK,2020-08-18,2020-08-24,2,None,92.28,537571.8500000001,67.65,480061.53
20200818,AK,2020-08-18,2020-08-24,2,D0,7.72,44996.44,32.35,229568.46
20200818,AK,2020-08-18,2020-08-24,2,D1,0,0,0,0
20200818,AK,2020-08-18,2020-08-24,2,D2,0,0,0,0
20200818,AK,2020-08-18,2020-08-24,2,D3,0,0,0,0
20200818,AK,2020-08-18,2020-08-24,2,D4,0,0,0,0
20200811,AK,2020-08-11,2020-08-17,2,None,92.28,537571.8500000001,67.65,480061.53
20200811,AK,2020-08-11,2020-08-17,2,D0,7.72,44996.44,32.35,229568.46
20200811,AK,2020-08-11,2020-08-17,2,D1,0,0,0,0
20200811,AK,2020-08-11,2020-08-17,2,D2,0,0,0,0
20200811,AK,2020-08-11,2020-08-17,2,D3,0,0,0,0
20200811,AK,2020-08-11,2020-08-17,2,D4,0,0,0,0
20200804,AK,2020-08-04,2020-08-10,2,None,92.28,537571.8500000001,67.65,480061.53
20200804,AK,2020-08-04,2020-08-10,2,D0,7.72,44996.44,32.35,229568.46
20200804,AK,2020-08-04,2020-08-10,2,D1,0,0,0,0
20200804,AK,2020-08-04,2020-08-10,2,D2,0,0,0,0
20200804,AK,2020-08-04,2020-08-10,2,D3,0,0,0,0
20200804,AK,2020-08-04,2020-08-10,2,D4,0,0,0,0
20200728,AK,2020-07-28,2020-08-03,2,None,94.76,552016.8400000001,92.95,659583.89
20200728,AK,2020-07-28,2020-08-03,2,D0,5.24,30551.45,7.05,50046.1
20200728,AK,2020-07-28,2020-08-03,2,D1,0,0,0,0
20200728,AK,2020-07-28,2020-08-03,2,D2,0,0,0,0
20200728,AK,2020-07-28,2020-08-03,2,D3,0,0,0,0
20200728,AK,2020-07-28,2020-08-03,2,D4,0,0,0,0
20200721,AK,2020-07-21,2020-07-27,2,None,94.76,552016.8400000001,92.95,659583.89
20200721,AK,2020-07-21,2020-07-27,2,D0,5.24,30551.45,7.05,50046.1
20200721,AK,2020-07-21,2020-07-27,2,D1,0,0,0,0
20200721,AK,2020-07-21,2020-07-27,2,D2,0,0,0,0
20200721,AK,2020-07-21,2020-07-27,2,D3,0,0,0,0
20200721,AK,2020-07-21,2020-07-27,2,D4,0,0,0,0
20200714,AK,2020-07-14,2020-07-20,2,None,94.76,552016.8400000001,92.95,659583.89
20200714,AK,2020-07-14,2020-07-20,2,D0,5.24,30551.45,7.05,50046.1
20200714,AK,2020-07-14,2020-07-20,2,D1,0,0,0,0
20200714,AK,2020-07-14,2020-07-20,2,D2,0,0,0,0
20200714,AK,2020-07-14,2020-07-20,2,D3,0,0,0,0
20200714,AK,2020-07-14,2020-07-20,2,D4,0,0,0,0
20200707,AK,2020-07-07,2020-07-13,2,None,94.42,550063.89,92.76,658248.9600000001
20200707,AK,2020-07-07,2020-07-13,2,D0,5.58,32504.4,7.24,51381.04
20200707,AK,2020-07-07,2020-07-13,2,D1,0,0,0,0
20200707,AK,2020-07-07,2020-07-13,2,D2,0,0,0,0
20200707,AK,2020-07-07,2020-07-13,2,D3,0,0,0,0
20200707,AK,2020-07-07,2020-07-13,2,D4,0,0,0,0
20200630,AK,2020-06-30,2020-07-06,2,None,100,582568.2899999999,100,709629.99
20200630,AK,2020-06-30,2020-07-06,2,D0,0,0,0,0
20200630,AK,2020-06-30,2020-07-06,2,D1,0,0,0,0
20200630,AK,2020-06-30,2020-07-06,2,D2,0,0,0,0
20200630,AK,2020-06-30,2020-07-06,2,D3,0,0,0,0
20200630,AK,2020-06-30,2020-07-06,2,D4,0,0,0,0
20200623,AK,2020-06-23,2020-06-29,2,None,100,582568.2899999999,100,709629.99
20200623,AK,2020-06-23,2020-06-29,2,D0,0,0,0,0
20200623,AK,2020-06-23,2020-06-29,2,D1,0,0,0,0
20200623,AK,2020-06-23,2020-06-29,2,D2,0,0,0,0
20200623,AK,2020-06-23,2020-06-29,2,D3,0,0,0,0
20200623,AK,2020-06-23,2020-06-29,2,D4,0,0,0,0
20200616,AK,2020-06-16,2020-06-22,2,None,100,582568.2899999999,100,709629.99
20200616,AK,2020-06-16,2020-06-22,2,D0,0,0,0,0
20200616,AK,2020-06-16,2020-06-22,2,D1,0,0,0,0
20200616,AK,2020-06-16,2020-06-22,2,D2,0,0,0,0
20200616,AK,2020-06-16,2020-06-22,2,D3,0,0,0,0
20200616,AK,2020-06-16,2020-06-22,2,D4,0,0,0,0
20200609,AK,2020-06-09,2020-06-15,2,None,100,582568.2899999999,100,709629.99
20200609,AK,2020-06-09,2020-06-15,2,D0,0,0,0,0
20200609,AK,2020-06-09,2020-06-15,2,D1,0,0,0,0
20200609,AK,2020-06-09,2020-06-15,2,D2,0,0,0,0
20200609,AK,2020-06-09,2020-06-15,2,D3,0,0,0,0
20200609,AK,2020-06-09,2020-06-15,2,D4,0,0,0,0
20200602,AK,2020-06-02,2020-06-08,2,None,100,582568.2899999999,100,709629.99
20200602,AK,2020-06-02,2020-06-08,2,D0,0,0,0,0
20200602,AK,2020-06-02,2020-06-08,2,D1,0,0,0,0
20200602,AK,2020-06-02,2020-06-08,2,D2,0,0,0,0
20200602,AK,2020-06-02,2020-06-08,2,D3,0,0,0,0
20200602,AK,2020-06-02,2020-06-08,2,D4,0,0,0,0
20200526,AK,2020-05-26,2020-06-01,2,None,100,582568.2899999999,100,709629.99
20200526,AK,2020-05-26,2020-06-01,2,D0,0,0,0,0
20200526,AK,2020-05-26,2020-06-01,2,D1,0,0,0,0
20200526,AK,2020-05-26,2020-06-01,2,D2,0,0,0,0
20200526,AK,2020-05-26,2020-06-01,2,D3,0,0,0,0
20200526,AK,2020-05-26,2020-06-01,2,D4,0,0,0,0
20200519,AK,2020-05-19,2020-05-25,2,None,100,582568.2899999999,100,709629.99
20200519,AK,2020-05-19,2020-05-25,2,D0,0,0,0,0
