entity,code,year,crop_oil,production
Afghanistan,AFG,1970,Rapeseed,NA
Afghanistan,AFG,1970,Groundnut,NA
Afghanistan,AFG,1970,Cottonseed,7847
Afghanistan,AFG,1970,Coconut (copra),NA
Afghanistan,AFG,1970,"Olive, virgin",98
Afghanistan,AFG,1970,Safflower,NA
Afghanistan,AFG,1970,Sunflower,3437
Afghanistan,AFG,1970,Maize,NA
Afghanistan,AFG,1970,Palm kernel,NA
Afghanistan,AFG,1971,Soybean,NA
Afghanistan,AFG,1971,Sesame,996
Afghanistan,AFG,1971,Linseed,4720
Afghanistan,AFG,1971,Palm,NA
Afghanistan,AFG,1971,Rapeseed,NA
Afghanistan,AFG,1971,Groundnut,NA
Afghanistan,AFG,1971,Cottonseed,6702
Afghanistan,AFG,1971,Coconut (copra),NA
Afghanistan,AFG,1971,"Olive, virgin",82
Afghanistan,AFG,1971,Safflower,NA
Afghanistan,AFG,1971,Sunflower,2736
Afghanistan,AFG,1971,Maize,NA
Afghanistan,AFG,1971,Palm kernel,NA
Afghanistan,AFG,1972,Soybean,NA
Afghanistan,AFG,1972,Sesame,10
Afghanistan,AFG,1972,Linseed,3279
Afghanistan,AFG,1972,Palm,NA
Afghanistan,AFG,1972,Rapeseed,NA
Afghanistan,AFG,1972,Groundnut,NA
Afghanistan,AFG,1972,Cottonseed,3347
Afghanistan,AFG,1972,Coconut (copra),NA
Afghanistan,AFG,1972,"Olive, virgin",98
Afghanistan,AFG,1972,Safflower,NA
Afghanistan,AFG,1972,Sunflower,3333
Afghanistan,AFG,1972,Maize,NA
Afghanistan,AFG,1972,Palm kernel,NA
Afghanistan,AFG,1973,Soybean,NA
Afghanistan,AFG,1973,Sesame,200
Afghanistan,AFG,1973,Linseed,2830
Afghanistan,AFG,1973,Palm,NA
Afghanistan,AFG,1973,Rapeseed,NA
Afghanistan,AFG,1973,Groundnut,NA
Afghanistan,AFG,1973,Cottonseed,11191
Afghanistan,AFG,1973,Coconut (copra),NA
Afghanistan,AFG,1973,"Olive, virgin",78
Afghanistan,AFG,1973,Safflower,NA
Afghanistan,AFG,1973,Sunflower,3733
Afghanistan,AFG,1973,Maize,NA
Afghanistan,AFG,1973,Palm kernel,NA
Afghanistan,AFG,1974,Soybean,NA
Afghanistan,AFG,1974,Sesame,276
Afghanistan,AFG,1974,Linseed,4394
Afghanistan,AFG,1974,Palm,NA
Afghanistan,AFG,1974,Rapeseed,NA
Afghanistan,AFG,1974,Groundnut,NA
Afghanistan,AFG,1974,Cottonseed,16520
Afghanistan,AFG,1974,Coconut (copra),NA
Afghanistan,AFG,1974,"Olive, virgin",106
Afghanistan,AFG,1974,Safflower,NA
Afghanistan,AFG,1974,Sunflower,3925
Afghanistan,AFG,1974,Maize,NA
Afghanistan,AFG,1974,Palm kernel,NA
Afghanistan,AFG,1975,Soybean,NA
Afghanistan,AFG,1975,Sesame,3058
Afghanistan,AFG,1975,Linseed,3166
Afghanistan,AFG,1975,Palm,NA
Afghanistan,AFG,1975,Rapeseed,NA
Afghanistan,AFG,1975,Groundnut,NA
Afghanistan,AFG,1975,Cottonseed,18095
Afghanistan,AFG,1975,Coconut (copra),NA
Afghanistan,AFG,1975,"Olive, virgin",82
Afghanistan,AFG,1975,Safflower,NA
Afghanistan,AFG,1975,Sunflower,3925
Afghanistan,AFG,1975,Maize,NA
Afghanistan,AFG,1975,Palm kernel,NA
Afghanistan,AFG,1976,Soybean,NA
Afghanistan,AFG,1976,Sesame,2538
Afghanistan,AFG,1976,Linseed,1588
Afghanistan,AFG,1976,Palm,NA
Afghanistan,AFG,1976,Rapeseed,NA
Afghanistan,AFG,1976,Groundnut,NA
Afghanistan,AFG,1976,Cottonseed,18274
Afghanistan,AFG,1976,Coconut (copra),NA
Afghanistan,AFG,1976,"Olive, virgin",90
Afghanistan,AFG,1976,Safflower,NA
Afghanistan,AFG,1976,Sunflower,3925
Afghanistan,AFG,1976,Maize,NA
Afghanistan,AFG,1976,Palm kernel,NA
Afghanistan,AFG,1977,Soybean,NA
Afghanistan,AFG,1977,Sesame,2322
Afghanistan,AFG,1977,Linseed,4062
Afghanistan,AFG,1977,Palm,NA
Afghanistan,AFG,1977,Rapeseed,NA
Afghanistan,AFG,1977,Groundnut,NA
Afghanistan,AFG,1977,Cottonseed,15674
Afghanistan,AFG,1977,Coconut (copra),NA
Afghanistan,AFG,1977,"Olive, virgin",112
Afghanistan,AFG,1977,Safflower,NA
Afghanistan,AFG,1977,Sunflower,3525
Afghanistan,AFG,1977,Maize,NA
Afghanistan,AFG,1977,Palm kernel,NA
Afghanistan,AFG,1978,Soybean,NA
Afghanistan,AFG,1978,Sesame,376
Afghanistan,AFG,1978,Linseed,5552
Afghanistan,AFG,1978,Palm,NA
Afghanistan,AFG,1978,Rapeseed,NA
Afghanistan,AFG,1978,Groundnut,NA
Afghanistan,AFG,1978,Cottonseed,14717
Afghanistan,AFG,1978,Coconut (copra),NA
Afghanistan,AFG,1978,"Olive, virgin",108
Afghanistan,AFG,1978,Safflower,NA
Afghanistan,AFG,1978,Sunflower,3412
Afghanistan,AFG,1978,Maize,NA
Afghanistan,AFG,1978,Palm kernel,NA
Afghanistan,AFG,1979,Soybean,NA
Afghanistan,AFG,1979,Sesame,3667
Afghanistan,AFG,1979,Linseed,5403
Afghanistan,AFG,1979,Palm,NA
Afghanistan,AFG,1979,Rapeseed,NA
Afghanistan,AFG,1979,Groundnut,NA
Afghanistan,AFG,1979,Cottonseed,11921
Afghanistan,AFG,1979,Coconut (copra),NA
Afghanistan,AFG,1979,"Olive, virgin",73
Afghanistan,AFG,1979,Safflower,NA
Afghanistan,AFG,1979,Sunflower,4111
Afghanistan,AFG,1979,Maize,NA
Afghanistan,AFG,1979,Palm kernel,NA
Afghanistan,AFG,1980,Soybean,NA
Afghanistan,AFG,1980,Sesame,376
Afghanistan,AFG,1980,Linseed,1579
Afghanistan,AFG,1980,Palm,NA
Afghanistan,AFG,1980,Rapeseed,NA
Afghanistan,AFG,1980,Groundnut,NA
Afghanistan,AFG,1980,Cottonseed,6614
Afghanistan,AFG,1980,Coconut (copra),NA
Afghanistan,AFG,1980,"Olive, virgin",95
Afghanistan,AFG,1980,Safflower,NA
Afghanistan,AFG,1980,Sunflower,4210
Afghanistan,AFG,1980,Maize,NA
Afghanistan,AFG,1980,Palm kernel,NA
Afghanistan,AFG,1981,Soybean,NA
