year,month,service,departure_station,arrival_station,journey_time_avg,total_num_trips,avg_delay_all_departing,avg_delay_all_arriving,num_late_at_departure,num_arriving_late,delay_cause,delayed_number
2017,1,National,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,168.375,115,-0.146875,2.69717261905,1,14,delay_cause_external_cause,0.444444444444
2017,1,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,63.1299303944,434,3.64605568445,4.01040216551,66,88,delay_cause_external_cause,0.224137931034
2017,1,National,VALENCE ALIXAN TGV,PARIS LYON,132.636363636,273,3.87203282828,1.75542929293,62,31,delay_cause_external_cause,0.217391304348
2017,7,National,PARIS LYON,DIJON VILLE,95.8430913349,429,3.97658079625,4.14988290398,64,63,delay_cause_external_cause,0.211538461538
2017,7,National,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.6262135922,206,1.21844660194,2.48058252427,20,41,delay_cause_external_cause,0.275862068966
2017,7,National,PARIS LYON,NICE VILLE,341.674911661,287,4.07067137809,15.2650176678,54,88,delay_cause_external_cause,0.302325581395
2017,7,National,PARIS LYON,PERPIGNAN,305.741463415,205,4.42926829268,13.2341463415,36,44,delay_cause_external_cause,0.272727272727
2017,7,National,PERPIGNAN,PARIS LYON,306.080851064,235,3.16170212766,9.80425531915,43,47,delay_cause_external_cause,0.439024390244
2017,7,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.722222222,776,5.53174603175,10.8399470899,203,195,delay_cause_external_cause,0.141935483871
2017,7,National,LAVAL,PARIS MONTPARNASSE,88.3125,209,3.49038461538,7.68269230769,28,60,delay_cause_external_cause,0.0857142857143
2017,7,National,NANTES,PARIS MONTPARNASSE,130.284836066,498,3.63319672131,8.14754098361,82,75,delay_cause_external_cause,0.172413793103
2017,7,National,PARIS MONTPARNASSE,POITIERS,94.3284823285,492,3.9106029106,8.36382536383,61,105,delay_cause_external_cause,0.09375
2017,7,National,QUIMPER,PARIS MONTPARNASSE,225.937219731,231,0.57399103139,8.17937219731,8,24,delay_cause_external_cause,0.15
2017,7,National,PARIS MONTPARNASSE,TOULOUSE MATABIAU,260.960674157,181,5.51123595506,15.8820224719,42,53,delay_cause_external_cause,0.169811320755
2017,7,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,262.690217391,189,2.09782608696,10.1467391304,23,38,delay_cause_external_cause,0.129032258065
2017,7,National,PARIS NORD,ARRAS,49.5018587361,274,1.11524163569,2.05576208178,12,24,delay_cause_external_cause,0.375
2017,7,National,MONTPELLIER,LYON PART DIEU,110.771513353,343,2.51038575668,9.79525222552,36,84,delay_cause_external_cause,0.258620689655
2017,7,National,MARSEILLE ST CHARLES,LILLE,296.64673913,187,1.71195652174,13.8913043478,19,76,delay_cause_external_cause,0.194444444444
2017,7,International,PARIS LYON,ZURICH,224.140939597,149,6.04697986577,6.65100671141,30,20,delay_cause_external_cause,0.3
2017,7,International,ZURICH,PARIS LYON,251.402684564,149,1,1.54362416107,3,7,delay_cause_external_cause,0.285714285714
2015,3,National,METZ,PARIS EST,85.4469178082,294,2.3904109589,3.29452054795,37,50,delay_cause_external_cause,0.2
2015,3,National,PARIS EST,REIMS,47.1889400922,217,0.47465437788,1.12903225806,5,8,delay_cause_external_cause,0.625
2015,3,National,PARIS EST,STRASBOURG,141.679864253,443,0.62443438914,2.74208144796,12,29,delay_cause_external_cause,0.428571428571
2015,3,National,AVIGNON TGV,PARIS LYON,162.804347826,508,3.74703557312,0.998023715415,87,47,delay_cause_external_cause,0.234042553191
2015,3,National,MACON LOCHE,PARIS LYON,100.489071038,183,4.08743169399,-0.306010928962,48,10,delay_cause_external_cause,0.2
2015,3,National,MARSEILLE ST CHARLES,PARIS LYON,199.443324937,398,0.88161209068,0.0554156171285,16,12,delay_cause_external_cause,0.5
2015,3,National,PARIS LYON,NIMES,180.330479452,292,0.599315068493,4.57876712329,8,20,delay_cause_external_cause,0.45
2015,3,National,PERPIGNAN,PARIS LYON,305.201754386,114,0.622807017544,4,5,14,delay_cause_external_cause,0.357142857143
2015,3,National,PARIS LYON,TOULON,233.570754717,213,1.25943396226,7.74056603774,10,28,delay_cause_external_cause,0.25
2015,3,National,PARIS MONTPARNASSE,BORDEAUX ST JEAN,207.714728682,645,0.337984496124,2.04031007752,8,27,delay_cause_external_cause,0.36
2015,3,National,PARIS MONTPARNASSE,LE MANS,55.8241758242,455,0.454945054945,1.82637362637,12,36,delay_cause_external_cause,0.333333333333
2015,3,National,LE MANS,PARIS MONTPARNASSE,58.7863247863,468,2.48717948718,2.67735042735,38,47,delay_cause_external_cause,0.318181818182
2015,3,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,63.7949886105,439,1.70159453303,1.69248291572,25,35,delay_cause_external_cause,0.21875
2015,3,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,337.497237569,181,0.629834254144,5.69060773481,4,17,delay_cause_external_cause,0.3125
2015,3,National,PARIS NORD,ARRAS,53.0207667732,314,0.507987220447,-0.600638977636,9,17,delay_cause_external_cause,0.333333333333
2015,3,National,PARIS NORD,DUNKERQUE,122.996168582,262,0.701149425287,1.75862068966,7,17,delay_cause_external_cause,0.352941176471
2015,3,National,LILLE,LYON PART DIEU,193.826086957,277,1.71014492754,2.80797101449,19,15,delay_cause_external_cause,0.0666666666667
2015,3,National,MARSEILLE ST CHARLES,LYON PART DIEU,100.880692168,550,2.08378870674,7.31329690346,52,85,delay_cause_external_cause,0.207317073171
2015,3,National,RENNES,LYON PART DIEU,260.702970297,102,0.594059405941,5.16831683168,4,8,delay_cause_external_cause,0.5
2015,3,National,NANTES,STRASBOURG,325.9375,40,0.8,2.925,1,3,delay_cause_external_cause,0.333333333333
2015,3,International,PARIS EST,STUTTGART,146.129166667,120,0.758333333333,5.58333333333,5,12,delay_cause_external_cause,NA
2015,3,International,PARIS LYON,GENEVE,172.641552511,219,0.579908675799,1.99543378995,6,11,delay_cause_external_cause,NA
2015,3,International,ITALIE,PARIS LYON,257.298913043,92,3.03260869565,0.565217391304,15,5,delay_cause_external_cause,0
2015,3,International,PARIS LYON,LAUSANNE,179.990654206,107,0.635514018692,2.17757009346,5,1,delay_cause_external_cause,NA
2015,2,National,PARIS EST,STRASBOURG,141.638676845,400,0.730279898219,3.8727735369,15,33,delay_cause_external_cause,0.322580645161
2015,2,National,PARIS LYON,AVIGNON TGV,159.712581345,461,0.691973969631,2.3557483731,14,28,delay_cause_external_cause,0.321428571429
2015,2,National,PARIS LYON,BELLEGARDE (AIN),162.461883408,223,0.609865470852,7.60538116592,9,47,delay_cause_external_cause,0.260869565217
2015,2,National,BESANCON FRANCHE COMTE TGV,PARIS LYON,130.83902439,206,0.741463414634,0.107317073171,5,7,delay_cause_external_cause,0.571428571429
2015,2,National,PARIS LYON,GRENOBLE,183.712809917,242,0.252066115702,3.92561983471,3,17,delay_cause_external_cause,0.125
2015,2,National,MULHOUSE VILLE,PARIS LYON,167.234482759,290,1.62413793103,0.706896551724,18,15,delay_cause_external_cause,0.266666666667
2015,2,National,PARIS LYON,NICE VILLE,337.622093023,173,1.06976744186,7.43604651163,6,22,delay_cause_external_cause,0.210526315789
2015,2,National,NIMES,PARIS LYON,177.096296296,270,2.53703703704,2.14814814815,33,28,delay_cause_external_cause,0.678571428571
2015,2,National,PARIS MONTPARNASSE,ANGOULEME,157.173913043,300,0.963210702341,2.69230769231,11,20,delay_cause_external_cause,0.294117647059
2015,2,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,211.197411003,619,2.37055016181,3.74595469256,53,53,delay_cause_external_cause,0.458333333333
2015,2,National,PARIS NORD,ARRAS,53.0446428571,280,1.61071428571,0.939285714286,16,25,delay_cause_external_cause,0.173913043478
2015,2,National,DOUAI,PARIS NORD,84.9526315789,190,0.947368421053,-0.584210526316,8,19,delay_cause_external_cause,0.222222222222
2015,3,National,PARIS EST,NANCY,96.8474576271,295,0.854237288136,0.369491525424,11,14,delay_cause_external_cause,0.461538461538
2015,3,National,NANCY,PARIS EST,95.8384353741,294,0.857142857143,0.105442176871,8,15,delay_cause_external_cause,0.785714285714
2015,3,National,PARIS LYON,BELLEGARDE (AIN),164.073059361,219,0.579908675799,2.64840182648,6,14,delay_cause_external_cause,0.636363636364
2015,3,National,BESANCON FRANCHE COMTE TGV,PARIS LYON,132.592682927,205,0.287804878049,-2.22926829268,2,2,delay_cause_external_cause,0
2015,3,National,PARIS LYON,DIJON VILLE,98.0210772834,427,0.456674473068,0.00702576112412,11,9,delay_cause_external_cause,0.333333333333
2015,3,National,LYON PART DIEU,PARIS LYON,121.882996633,594,1.62794612795,-0.949494949495,45,21,delay_cause_external_cause,0.047619047619
2015,3,National,PARIS LYON,MULHOUSE VILLE,169.206834532,278,0.510791366906,0.798561151079,7,7,delay_cause_external_cause,0.428571428571
2015,3,National,PARIS LYON,VALENCE ALIXAN TGV,132.93129771,263,0.854961832061,1.84351145038,9,12,delay_cause_external_cause,0.25
2015,3,National,ANGERS SAINT LAUD,PARIS MONTPARNASSE,99.1832627119,472,1.88347457627,2.11440677966,37,28,delay_cause_external_cause,0.37037037037
2015,3,National,ANGOULEME,PARIS MONTPARNASSE,154.662921348,356,1.44101123596,1.79775280899,23,18,delay_cause_external_cause,0.3125
2015,3,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,209.769794721,682,1.96627565982,3.43108504399,70,44,delay_cause_external_cause,0.4
2015,3,National,LA ROCHELLE VILLE,PARIS MONTPARNASSE,197.563063063,222,0.355855855856,4.48648648649,2,13,delay_cause_external_cause,0.0833333333333
2015,3,National,QUIMPER,PARIS MONTPARNASSE,289.134715026,193,0.155440414508,3.35233160622,1,16,delay_cause_external_cause,0.375
2015,3,National,RENNES,PARIS MONTPARNASSE,135.583333333,576,1.35416666667,2.03819444444,35,35,delay_cause_external_cause,0.470588235294
2015,3,National,ST MALO,PARIS MONTPARNASSE,193.588235294,102,0.539215686275,1.08823529412,1,5,delay_cause_external_cause,0.4
2015,3,National,PARIS MONTPARNASSE,TOULOUSE MATABIAU,330.825657895,152,0.269736842105,3.39473684211,2,7,delay_cause_external_cause,0.857142857143
2015,3,National,TOURS,PARIS MONTPARNASSE,75.9757281553,206,0.291262135922,1.38349514563,4,15,delay_cause_external_cause,0.142857142857
2015,3,National,ARRAS,PARIS NORD,56.5976676385,343,1.39941690962,-0.34693877551,29,36,delay_cause_external_cause,0.352941176471
2015,3,National,PARIS NORD,DOUAI,71.1153846154,209,0.466346153846,0.855769230769,4,15,delay_cause_external_cause,0.5
2015,3,National,PARIS NORD,LILLE,65.4474522293,628,1.11942675159,0.364649681529,35,40,delay_cause_external_cause,0.333333333333
2015,3,National,LYON PART DIEU,MARSEILLE ST CHARLES,101.838087248,597,4.08724832215,5.69295302013,99,94,delay_cause_external_cause,0.265957446809
