0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4,state
34.7,d_19960601,0.9,0,0,0,0,0,64.4,43.3,10,6,2.2,kentucky
42,d_19960701,0.3,0,0,0,0,0,57.8,32.8,8.2,3.6,1.2,kentucky
51.7,d_19960801,1.4,0.2,0,0,0,0,46.9,24.9,6,3.8,1.5,kentucky
4.9,d_19960901,0,0,0,0,0,0,95,83.3,35.7,10.4,3.6,kentucky
4.2,d_19961001,0,0,0,0,0,0,95.8,83.5,29.1,7.5,0.9,kentucky
0.8,d_19961101,0,0,0,0,0,0,99.3,98.2,71.1,28.8,5.3,kentucky
1.2,d_19961201,0,0,0,0,0,0,98.8,97.7,72.2,27.2,2.8,kentucky
2,d_19970101,0,0,0,0,0,0,98,91.2,31.3,6.2,0.3,kentucky
23.9,d_19970201,0.7,0.1,0,0,0,0,75.5,48.5,9.7,0.9,0,kentucky
2,d_19970301,0,0,0,0,0,0,98,91,68,44.3,9.7,kentucky
12.7,d_19970401,0,0,0,0,0,0,87.2,74.2,40.8,14.2,0.1,kentucky
3.8,d_19970501,0,0,0,0,0,0,96.2,81,60.6,45.3,9,kentucky
4.1,d_19970601,0,0,0,0,0,0,95.9,86,62.4,35.6,4.9,kentucky
12.7,d_19970701,0,0,0,0,0,0,87.4,76.4,35.2,10.2,1.3,kentucky
22.6,d_19970801,2.3,0.4,0,0,0,0,75.1,62.1,31,9.6,0.4,kentucky
25.2,d_19970901,4.7,1.5,0,0,0,0,70,46.4,9.1,2.1,0,kentucky
22.1,d_19971001,6,3.5,0,0,0,0,71.8,45.1,9,2.3,0,kentucky
25.6,d_19971101,4.3,2.2,0,0,0,0,70.1,39.8,7.9,2.4,0,kentucky
51,d_19971201,49.1,22.7,3.7,0.1,0,0,0,0,0,0,0,kentucky
63.3,d_19980101,31.3,14.4,0.7,0,0,0,5.3,0.4,0,0,0,kentucky
49.7,d_19980201,48.9,27.1,7.2,0.4,0,0,1.4,0,0,0,0,kentucky
3.7,d_19980301,96.2,86.3,44.1,18.4,3.9,0,0,0,0,0,0,kentucky
71.7,d_19980401,27.2,16.2,3.2,0,0,0,1.1,0.1,0,0,0,kentucky
69.6,d_19980501,22.3,13.5,2.8,0,0,0,8.2,0.6,0,0,0,kentucky
25.6,d_19980601,0.5,0.1,0,0,0,0,73.9,47.3,2,0,0,kentucky
