id	title	author	year	total_weeks	first_week	debut_rank	best_rank
5209	THE FRIENDS WE KEEP	Jane Green	2019	1	2019-06-23	15	15
521	ASCENT INTO HELL	Andrew M. Greeley.	1983	1	1983-07-10	3	7
5210	THE FRONT	Patricia Cornwell	2008	3	2008-06-08	4	4
5211	THE FROZEN HOURS	Jeff Shaara	2017	1	2017-06-11	7	8
5212	THE FULL CUPBOARD OF LIFE	Alexander McCall Smith	2004	5	2004-05-09	14	7
5213	THE G-STRING MURDERS	Gyspy Rose Lee	1941	3	1941-10-27	6	5
5214	THE GABRIEL HOUNDS	Mary Stewart	1967	25	1967-10-01	10	1
5215	THE GALILEANS	Frank G. Slaughter	1953	12	1953-02-01	13	10
5216	THE GALLANT MRS. STONEWALL	Harnett T. Kane	1957	7	1957-12-08	13	12
5217	THE GALLERY	John Horne Burns	1947	2	1947-08-10	5	13
5218	THE GALLOWS OF CHANCE	E. Phillips Oppenheim	1934	1	1934-02-19	8	8
5219	THE GAME	Laurie R. King	2004	2	2004-03-28	4	14
522	ASHES OF VICTORY	David Weber	2000	1	2000-03-19	12	12
5220	THE GAMES	James Patterson and Mark Sullivan	2016	5	2016-07-17	5	2
5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin	1970	26	1970-01-18	12	5
5222	THE GANGSTER	Clive Cussler and Justin Scott	2016	4	2016-03-20	7	1
5223	THE GARDEN MURDER CASE	S. S. Van Dine	1935	5	1935-10-28	4	4
5224	THE GARDEN OF EDEN	Ernest Hemingway	1986	17	1986-06-01	7	5
5225	THE GARDEN OF RAMA	Arthur C. Clarke and Gentry Lee	1991	4	1991-09-08	4	13
5226	THE GARGOYLE	Andrew Davidson	2008	3	2008-08-24	3	13
5227	THE GARRETSON CHRONICLE	Gerald Warner Brace	1947	25	1947-09-28	7	5
5228	THE GATE HOUSE	Nelson DeMille	2008	9	2008-11-16	8	1
5229	THE GATES OF BRASS	McCready Huston	1956	2	1956-09-23	15	15
523	ASHES TO ASHES	Tami Hoag	1999	7	1999-03-21	1	4
5230	THE GATES OF THE ALAMO	Stephen Harrigan	2000	1	2000-04-16	4	15
5231	THE GATHERING STORM	Robert Jordan and Brandon Sanderson	2009	8	2009-11-15	5	1
5232	THE GAUNTLET	James H. Street	1945	17	1945-11-11	11	5
5233	THE GEMINI CONTENDERS	Robert Ludlum	1976	17	1976-03-21	7	3
5234	THE GENERAL IN HIS LABYRINTH	Gabriel Garcia Marquez	1990	11	1990-09-23	6	3
5235	THE GENERAL'S DAUGHTER	Nelson DeMille	1992	16	1992-11-22	4	5
5236	THE GENESIS CODE	John Case	1997	1	1997-06-08	10	15
5237	THE GENIUS AND THE GODDESS	Aldous Huxley	1955	3	1955-09-18	13	11
5238	THE GHOST	Danielle Steel	1997	13	1997-11-23	14	1
5239	THE GHOST KING	R. A. Salvatore	2009	1	2009-10-25	15	11
524	ASHLEY BELL	Dean Koontz	2015	5	2015-12-27	12	12
5240	THE GHOST WAR	Alex Berenson	2008	2	2008-03-02	1	11
5241	THE GHOST WRITER	Philip Roth	1979	3	1979-11-04	1	11
5242	THE GIFT	Danielle Steel	1994	26	1994-07-31	1	1
5243	THE GIFT	Nora Roberts	2004	5	2004-10-24	3	5
5244	THE GIFT	Richard Paul Evans	2007	1	2007-10-28	14	11
5245	THE GINGER GRIFFIN	Ann Bridge	1934	1	1934-05-28	5	5
5246	THE GINGER MAN	J.P. Donleavy	1958	1	1958-07-20	1	16
5247	THE GIPSY IN THE PARLOUR	Margery Sharp	1954	10	1954-05-09	11	8
5248	THE GIRL BEFORE	J P Delaney	2017	1	2017-03-26	5	14
5249	THE GIRL BEFORE	J. P. Delaney	2017	6	2017-02-12	16	3
525	ASK AGAIN, YES	Mary Beth Keane	2019	7	2019-06-16	6	5
5250	THE GIRL IN THE SPIDER'S WEB	David Lagercrantz	2015	11	2015-09-27	13	2
5251	THE GIRL ON THE TRAIN	Paula Hawkins	2015	77	2015-02-01	15	1
5252	THE GIRL ON THE VIA FLAMINIA	Alfred Hayes	1949	4	1949-04-10	2	12
5253	THE GIRL WHO CHASED THE MOON	Sarah Addison Allen	2010	1	2010-04-04	12	10
5254	THE GIRL WHO KICKED THE HORNET’S NEST	Stieg Larsson	2010	79	2010-06-13	1	1
5255	THE GIRL WHO LIVED TWICE	David Lagercrantz	2019	6	2019-09-15	14	3
5256	THE GIRL WHO LOVED TOM GORDON	Stephen King	1999	18	1999-04-25	15	1
5257	THE GIRL WHO PLAYED WITH FIRE	Stieg Larsson	2009	21	2009-08-16	5	1
5258	THE GIRL WHO TAKES AN EYE FOR AN EYE	David Lagercrantz	2017	8	2017-10-01	7	2
5259	THE GIRL WITH THE DRAGON TATTOO	Stieg Larsson	2008	5	2008-10-05	12	4
526	ASK ME NO MORE	Pamela Frankau	1958	1	1958-11-30	1	16
5260	THE GIRL WITH THE LOUDING VOICE	Abi Daré	2020	1	2020-02-23	4	10
5261	THE GIRLS	Emma Cline	2016	11	2016-07-03	4	2
5262	THE GIRLS OF AUGUST	Anne Rivers Siddons	2014	1	2014-07-27	5	13
5263	THE GIRLS' GUIDE TO HUNTING AND FISHING	Melissa Bank	1999	14	1999-06-20	14	7
5264	THE GIVEN DAY	Dennis Lehane	2008	4	2008-10-12	11	3
5265	THE GIVER OF STARS	Jojo Moyes	2019	31	2019-10-27	1	6
5266	THE GIVING QUILT	Jennifer Chiaverini	2012	1	2012-11-18	13	14
5267	THE GLASS BLOWERS	Daphne du Maurier	1963	24	1963-03-31	11	1
5268	THE GLASS BOOKS OF THE DREAM EATERS	Gordon Dahlquist	2006	1	2006-08-20	2	16
5269	THE GLASS CRUTCH	Jim Bishop	1945	1	1945-12-09	16	16
527	ASPECTS OF LOVE	David Garnett	1956	8	1956-02-19	13	10
5270	THE GLASS HOTEL	Emily St. John Mandel	2020	5	2020-04-12	9	4
5271	THE GLASS LAKE	Maeve Binchy	1995	11	1995-03-12	11	5
5272	THE GLASS RAINBOW	James Lee Burke	2010	5	2010-08-01	6	6
5273	THE GLITTER DOME	Joseph Wambaugh	1981	22	1981-06-28	4	3
5274	THE GLORIOUS POOL	Thorne Smith	1935	2	1935-01-07	5	5
5275	THE GO-BETWEEN	L.P. Hartley	1954	2	1954-09-26	12	12
5276	THE GOD OF SMALL THINGS	Arundhati Roy	1997	31	1997-08-17	10	5
5277	THE GOD OF THE HIVE	Laurie R. King	2010	1	2010-05-16	11	11
5278	THE GOD-SEEKER	Sinclair Lewis	1949	9	1949-03-20	5	10
5279	THE GODFATHER	Mario Puzo	1969	67	1969-03-30	6	1
528	ASPEN GOLD	Janet Dailey	1991	6	1991-04-21	10	4
5280	THE GODFATHER RETURNS	Mark Winegardner	2004	6	2004-12-05	11	7
