id	title	author	year	total_weeks	first_week	debut_rank	best_rank
0	"""H"" IS FOR HOMICIDE"	Sue Grafton	1991	15	1991-05-05	1	2
1	"""I"" IS FOR INNOCENT"	Sue Grafton	1992	11	1992-04-26	14	2
10	''G'' IS FOR GUMSHOE	Sue Grafton	1990	6	1990-05-06	4	8
100	A DOG'S JOURNEY	W. Bruce Cameron	2012	1	2012-05-27	3	14
1000	CHANGING FACES	Kimberla Lawson Roby	2006	1	2006-02-19	11	14
1001	CHAOS	Patricia Cornwell	2016	3	2016-12-04	1	7
1002	CHAPTERHOUSE: DUNE	Frank Herbert	1985	16	1985-04-21	9	2
1003	CHARADE	Sandra Brown	1994	5	1994-05-01	7	10
1004	CHARLESTON	John Jakes	2002	4	2002-08-25	7	12
1005	CHARLOTTE GRAY	Sebastian Faulks	1999	1	1999-03-14	12	17
1006	CHARLOTTE'S WEB	E.B. White	1952	3	1952-11-09	13	13
1007	CHARM!	Kendall Hart	2008	2	2008-02-24	5	13
1008	CHARMED CIRCLE	Susan Ertz	1956	11	1956-07-15	12	8
1009	CHARMING BILLY	Alice McDermott	1998	6	1998-12-27	2	5
101	A DOG'S LIFE	Peter Mayle	1995	9	1995-04-09	11	5
1010	CHARMS FOR THE EASY LIFE	Kaye Gibbons	1993	8	1993-05-02	13	11
1011	CHARON'S CLAW	R. A. Salvatore	2012	1	2012-08-26	2	4
1012	CHARON’S CLAW	R. A. Salvatore	2012	1	2012-09-02	14	16
1013	CHASING CEZANNE	Peter Mayle	1997	12	1997-06-22	10	6
1014	CHASING DARKNESS	Robert Crais	2008	2	2008-07-20	7	7
1015	CHASING DESTINY	Eric Jerome Dickey	2006	3	2006-04-30	7	6
1016	CHASING FIRE	Nora Roberts	2011	5	2011-05-01	15	1
1017	CHASING HARRY WINSTON	Lauren Weisberger	2008	11	2008-06-15	5	4
1018	CHASING MIDNIGHT	Randy Wayne White	2012	1	2012-03-25	7	7
1019	CHASING SUNSETS	Karen Kingsbury	2015	1	2015-04-26	16	14
102	A DOG'S WAY HOME	W. Bruce Cameron	2017	2	2017-05-28	9	10
1020	CHASING THE DIME	Michael Connelly	2002	3	2002-11-03	1	3
1021	CHASING THE NIGHT	Iris Johansen	2010	1	2010-11-07	9	13
1022	CHERRY	Nico Walker	2018	1	2018-09-02	1	14
1023	CHESAPEAKE	James A. Michener	1978	47	1978-07-23	7	1
1024	CHESAPEAKE BLUE	Nora Roberts	2002	5	2002-11-24	11	1
1025	CHESTNUT STREET	Maeve Binchy	2014	5	2014-05-11	9	3
1026	CHEZ PAVAN	Richard Llewellyn	1958	8	1958-08-24	1	10
1027	CHILD 44	Tom Rob Smith	2008	3	2008-05-18	7	9
1028	CHILD'S PLAY	Danielle Steel	2019	1	2019-10-27	16	9
1029	CHILDREN OF GOD	Vardis Fisher	1939	9	1939-09-04	6	2
103	A DREAM OF KINGS	Davis Grubb	1955	1	1955-10-23	15	15
1030	CHILDREN OF THE JEDI	Barbara Hambly	1995	4	1995-04-30	4	6
1031	CHILDREN OF THE STORM	Elizabeth Peters	2003	2	2003-04-20	3	11
1032	CHILL FACTOR	Sandra Brown	2005	6	2005-09-04	2	1
1033	CHILL OF FEAR	Kay Hooper	2005	3	2005-08-14	15	12
1034	CHINA COURT	Rumer Godden	1961	21	1961-03-26	12	5
1035	CHINA DOLLS	Lisa See	2014	2	2014-06-22	1	10
1036	CHLOE MARR	A. A. Milne	1946	1	1946-09-22	1	16
1037	CHOCOLATE CREAM PIE MURDER	Joanne Fluke	2019	1	2019-03-17	1	6
1038	CHOKE	Chuck Palahniuk	2001	3	2001-06-10	8	10
1039	CHOPPING SPREE	Diane Mott Davidson	2002	2	2002-07-14	8	12
104	A DREAM OF KINGS	Harry Mark Petrakis	1966	12	1966-10-30	13	8
1040	CHOPPY WATER	Stuart Woods	2020	1	2020-08-30	12	6
1041	CHOSEN COUNTRY	John Dos Passos	1952	2	1952-01-13	15	14
1042	CHOSEN ONES	Veronica Roth	2020	1	2020-04-26	14	11
1043	CHOSEN PREY	John Sandford	2001	8	2001-05-27	14	1
1044	CHRIST IN CONCRETE	Pietro di Donato	1939	11	1939-09-04	3	2
1045	CHRIST THE LORD: OUT OF EGYPT	Anne Rice	2005	12	2005-11-20	5	4
1046	CHRIST THE LORD: THE ROAD TO CANA	Anne Rice	2008	3	2008-03-23	2	8
1047	CHRISTINE	Stephen King	1983	32	1983-04-10	4	2
1048	CHRISTMAS CARAMEL MURDER	Joanne Fluke	2016	1	2016-10-16	1	7
1049	CHRISTMAS HOLIDAY	W. Somerset Maugham	1939	11	1939-10-30	3	2
105	A FABLE	William Faulkner	1954	15	1954-08-22	6	4
1050	CHRISTMAS LETTERS	Debbie Macomber	2006	3	2006-10-22	6	12
1051	CHRISTY	Catherine Marshall	1967	38	1967-11-05	14	2
1052	CHROMOSOME 6	Robin Cook	1997	8	1997-04-06	13	2
1053	CILKA'S JOURNEY	Heather Morris	2019	2	2019-10-20	15	8
1054	CIMARRON ROSE	James Lee Burke	1997	3	1997-08-24	14	13
1055	CINNAMON ROLL MURDER	Joanne Fluke	2012	1	2012-03-18	7	7
1056	CINNAMON SKIN	John D. MacDonald	1982	13	1982-07-04	10	3
1057	CIRCE	Madeline Miller	2018	16	2018-04-29	13	1
1058	CIRCLE OF FRIENDS	Maeve Binchy	1991	12	1991-01-27	12	6
1059	CIRCLING THE SUN	Paula McLain	2015	2	2015-09-13	6	11
106	A FAMILY PARTY	John O'Hara	1956	1	1956-09-02	14	14
1060	CIRCLING THE SUN	Paula Mclain	2015	4	2015-08-16	11	4
1061	CIRCUS	Alistair MacLean	1975	12	1975-08-31	10	5
1062	CITIES OF REFUGE	Phillip Gibbs	1937	8	1937-01-18	7	4
1063	CITIES OF THE PLAIN	Cormac McCarthy	1998	7	1998-05-31	11	2
1064	CITIZEN TOM PAINE	Howard Fast	1943	10	1943-05-17	5	2
1065	CITY OF BONES	Michael Connelly	2002	6	2002-05-05	1	4
1066	CITY OF ENDLESS NIGHT	Douglas Preston and Lincoln Child	2018	4	2018-02-04	7	2
1067	CITY OF GIRLS	Elizabeth Gilbert	2019	10	2019-06-23	2	2
1068	CITY OF GOD	E. L. Doctorow	2000	4	2000-03-05	16	11
1069	CITY OF NIGHT	John Rechy	1963	24	1963-07-07	6	3
107	A FEARFUL JOY	Joyce Cary	1950	4	1950-10-29	5	11
1070	CITY ON FIRE	Garth Risk Hallberg	2015	2	2015-11-01	3	5
1071	CLAIR DE LUNE	Pierre La Mure	1962	3	1962-12-23	16	15
1072	CLANSMEN	Ethel Boileau	1936	4	1936-06-15	5	5
1073	CLASS REUNION	Rona Jaffe	1979	21	1979-06-10	4	4
1074	CLAUDIUS THE GOD	Robert Graves	1935	3	1935-04-15	6	6
1075	CLAWBACK	J. A. Jance	2016	1	2016-03-27	1	11
1076	CLAWS AND EFFECT	Rita Mae Brown and Sneaky Pie Brown	2001	1	2001-03-18	8	15
1077	CLEA	Lawrence Durrell	1960	13	1960-04-10	1	7
1078	CLEAR AND PRESENT DANGER	Tom  Clancy	1990	1	1990-05-20	9	13
1079	CLEAR AND PRESENT DANGER	Tom Clancy	1989	44	1989-09-03	11	1
108	A FEAST FOR CROWS	George R. R. Martin	2005	5	2005-11-27	17	1
1080	CLOAK OF DARKNESS	Helen MacInnes	1982	6	1982-10-10	6	8
1081	CLOAK OF DECEPTION	James Luceno	2001	2	2001-06-17	10	12
1082	CLOCK DANCE	Anne Tyler	2018	5	2018-07-29	8	3
1083	CLOCK WITHOUT HANDS	Carson McCullers	1961	22	1961-09-03	16	7
1084	CLOSE COMBAT	W. E. B. Griffin	1993	7	1993-01-31	16	4
1085	CLOSE YOUR EYES	Iris Johansen and Roy Johansen	2012	1	2012-08-05	8	10
1086	CLUNY BROWN	Margery Sharp	1944	2	1944-10-01	4	3
1087	COAST ROAD	Barbara Delinsky	1998	5	1998-08-09	2	13
1088	COCKPIT	Jerzy Kosiniski	1975	1	1975-09-28	1	10
1089	COCONUT LAYER CAKE MURDER	Joanne Fluke	2020	1	2020-03-15	14	6
109	A FEVER IN THE BLOOD	William Pearson	1959	3	1959-12-06	1	14
1090	CODE OF CONDUCT	Brad Thor	2015	6	2015-07-26	9	3
1091	CODE TO ZERO	Ken Follett	2000	8	2000-12-24	14	3
1092	COGAN'S TRADE	George Higgins	1974	1	1974-04-28	1	10
1093	COLD BETRAYAL	J. A. Jance	2015	1	2015-03-29	13	13
1094	COLD COLD HEART	Tami Hoag	2015	3	2015-02-01	3	5
1095	COLD DAYS	Jim Butcher	2012	2	2012-12-16	15	1
1096	COLD FIRE	Dean R. Koontz	1991	16	1991-01-27	1	1
1097	COLD HARBOUR	Jack Higgins	1990	12	1990-01-21	11	4
1098	COLD MOUNTAIN	Charles Frazier	1997	61	1997-07-13	10	1
1099	COLD PARADISE	Stuart Woods	2001	5	2001-05-13	4	6
11	''M'' IS FOR MALICE	Sue Grafton	1997	1	1997-01-12	11	14
110	A FEW FOOLISH ONES	Gladys Hasty Carroll	1935	3	1935-05-13	5	5
1100	COLD SERVICE	Robert B. Parker	2005	4	2005-03-27	10	6
1101	COLD VENGEANCE	Douglas Preston and Lincoln Child	2011	5	2011-08-21	9	1
1102	COLD WIND	C. J. Box	2011	1	2011-04-10	8	10
1103	COLLATERAL DAMAGE	Stuart Woods	2013	3	2013-01-27	2	5
1104	COLLECTED STORIES OF WALLACE STEGNER	Wallace Stegner	1990	3	1990-04-15	10	14
1105	COLONY	Anne Rivers Siddons	1992	12	1992-07-19	9	4
1106	COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE	Haruki Murakami	2014	7	2014-08-31	12	1
1107	COLOUR SCHEME	Ngaio Marsh	1943	1	1943-07-26	5	5
1108	COLUMBELLA	Phyllis Whitney	1966	8	1966-05-08	3	8
1109	COMA	Robin Cook	1977	13	1977-07-24	10	6
111	A FEW OF THE GIRLS	Maeve Binchy	2016	2	2016-03-20	2	12
1110	COMANCHE MOON	Larry McMurtry	1997	11	1997-11-16	8	7
1111	COME AND GET IT	Edna Ferber	1935	14	1935-03-04	1	1
1112	COME HOME	Lisa Scottoline	2012	3	2012-04-29	5	4
1113	COME NINEVEH, COME TYRE	Allen Drury	1973	26	1973-11-25	9	2
1114	COME POUR THE WINE	Cynthia Freeman	1980	27	1980-10-19	7	3
1115	COME RAIN OR COME SHINE	Jan Karon	2015	4	2015-10-11	13	1
1116	COME SUNDOWN	Nora Roberts	2017	5	2017-06-18	15	1
1117	COME THE SPRING	Julie Garwood	1997	3	1997-11-23	4	7
1118	COME TO GRIEF	Dick Francis	1995	7	1995-10-01	14	4
1119	COME WITH ME TO MACEDONIA	Leonard Drohan	1957	1	1957-09-29	1	16
112	A FISTFUL OF COLLARS	Spencer Quinn	2012	1	2012-09-30	15	16
1120	COME, MY BELOVED	Pearl S. Buck	1953	11	1953-08-30	11	7
1121	COMEBACK	Dick Francis	1991	12	1991-11-03	9	3
1122	COMETH THE HOUR	Jeffrey Archer	2016	3	2016-03-06	6	1
1123	COMFORT ME WITH APPLES	Peter De Vries	1956	13	1956-05-20	10	7
1124	COMING HOME	Lester Cohen	1945	1	1945-09-09	15	15
1125	COMING HOME	Rosamunde Pilcher	1995	18	1995-09-10	12	2
1126	COMING OUT	Danielle Steel	2006	7	2006-07-16	4	2
1127	COMMAND AUTHORITY	Tom Clancy with Mark Greaney	2013	9	2013-12-22	6	1
1128	COMMAND DECISION	William Wister Haines	1947	3	1947-02-02	1	14
1129	COMMAND THE MORNING	Pearl S. Buck	1959	3	1959-06-07	15	14
113	A FLAG FOR SUNRISE	Robert Stone	1981	1	1981-11-22	10	9
1130	COMMITMENTs	Barbara Delinsky	2001	1	2001-03-18	5	12
1131	COMMODORE HORNBLOWER	C. S. Forester	1945	13	1945-07-01	4	3
1132	COMMONWEALTH	Ann Patchett	2016	18	2016-10-02	8	1
1133	COMPANY MAN	Joseph Finder	2005	1	2005-05-08	4	15
1134	COMPULSION	Jonathan Kellerman	2008	5	2008-04-13	10	1
1135	COMPULSION	Meyer Levin	1956	54	1956-11-18	10	2
1136	CONCEALED IN DEATH	J. D. Robb	2014	4	2014-03-09	5	1
1137	CONDOMINIUM	John D. MacDonald	1977	27	1977-04-24	10	3
1138	CONFESSIONAL	Jack Higgins	1985	1	1985-07-07	10	15
1139	CONFESSIONS OF A SOCIOPATHIC SOCIAL CLIMBER	Adèle Lang	2002	1	2002-06-23	10	14
114	A GARDEN TO THE EASTWARD	Harold Lamb	1947	2	1947-04-13	2	13
1140	CONFESSIONS OF A WILD CHILD	Jackie Collins	2014	1	2014-02-23	2	13
1141	CONFESSIONS OF FELIX KRULL	Thomas Mann	1955	8	1955-10-09	9	8
1142	CONFESSOR	Terry Goodkind	2007	4	2007-12-02	5	2
1143	CONFESSORS OF THE NAME	Gladys Schmitt	1952	4	1952-11-16	14	11
1144	CONGO	Michael Crichton	1980	12	1980-12-28	9	6
1145	CONGO SONG	Stuart Cloete	1943	1	1943-03-22	5	5
1146	CONNECTIONS IN DEATH	J.D. Robb	2019	4	2019-02-24	15	3
1147	CONSENT TO KILL	Vince Flynn	2005	6	2005-10-30	5	3
1148	CONSIDER THIS, SENORA	Harriet Doerr	1993	2	1993-09-19	12	13
1149	CONTACT	Carl Sagan	1985	24	1985-10-13	8	3
115	A GATE AT THE STAIRS	Lorrie Moore	2009	3	2009-09-20	15	10
1150	CONTAGION	Robin Cook	1996	8	1996-01-28	7	4
1151	CONTRABAND	Stuart Woods	2019	1	2019-09-01	6	10
1152	CONVENTION	Fletcher Knebel and Charles W. Bailey II	1964	27	1964-03-29	9	2
1153	CONVICTION	Aaron Allston	2011	2	2011-06-12	7	3
1154	CONVICTION	Richard North Patterson	2005	4	2005-02-13	6	4
1155	COP TOWN	Karin Slaughter	2014	1	2014-07-13	16	9
1156	COPPER BEACH	Jayne Ann Krentz	2012	1	2012-01-29	4	8
1157	COROMANDEL!	John Masters	1955	3	1955-04-17	15	15
1158	CORPUS OF JOE BAILEY	Oakley Hall	1953	6	1953-05-03	15	10
1159	CORSAIR	Clive Cussler and Jack Du Brul	2009	5	2009-03-29	1	2
116	A GENTLEMAN IN MOSCOW	Amor Towles	2016	59	2016-09-25	16	6
1160	COSMOPOLITANS	Somerset Maugham	1936	1	1936-03-09	7	7
1161	COTTAGE BY THE SEA	Debbie Macomber	2018	6	2018-08-05	7	3
1162	COUNTDOWN	Iris Johansen	2005	3	2005-05-29	9	6
1163	COUNTERATTACK	W. E. B. Griffin	1990	11	1990-02-04	8	5
1164	COUNTRY	Danielle Steel	2015	3	2015-07-05	12	8
1165	COUNTRY CHRONICLE	Angela Thirkell	1950	4	1950-11-26	4	15
1166	COUP DE GRACE	Marguerite Yourcenar	1957	1	1957-08-11	1	16
1167	COUPLES	John Updike	1968	36	1968-04-14	5	1
1168	COURTING TROUBLE	Lisa Scottoline	2002	3	2002-06-09	3	8
1169	COVER OF NIGHT	Linda Howard	2006	4	2006-07-16	7	6
117	A GIRL'S GUIDE TO MOVING ON	Debbie Macomber	2016	2	2016-03-20	11	5
1170	COVERT GAME	Christine Feehan	2018	1	2018-04-08	11	12
1171	COVERT WARRIORS	W. E. B. Griffin and William E. Butterworth IV	2012	1	2012-01-15	9	14
1172	COYOTE WAITS	Tony Hillerman	1990	13	1990-07-08	7	3
1173	CRADLE AND ALL	James Patterson	2000	10	2000-06-11	7	2
1174	CRASH AND BURN	Lisa Gardner	2015	3	2015-02-22	6	7
1175	CREAM PUFF MURDER	Joanne Fluke	2009	1	2009-03-15	10	12
1176	CREATION	Gore Vidal	1981	16	1981-04-05	5	2
1177	CREATION IN DEATH	J. D. Robb	2007	4	2007-11-25	4	2
1178	CREATURES OF CIRCUMSTANCE	W Somerset Maughan	1947	8	1947-08-17	5	7
1179	CREEK MARY'S BLOOD	Dee Brown	1980	11	1980-04-06	10	9
118	A GOD IN RUINS	Kate Atkinson	2015	2	2015-05-24	9	6
1180	CREOLE BELLE	James Lee Burke	2012	3	2012-08-05	3	5
1181	CRESCENT CITY	Belva Plain	1984	10	1984-09-16	6	5
1182	CRESCENT DAWN	Clive Cussler and Dirk Cussler	2010	6	2010-12-05	15	4
1183	CRESS DELAHANTY	Jessamyn West	1954	11	1954-01-31	10	8
1184	CRIME SCENE	Jonathan Kellerman and Jesse Kellerman	2017	2	2017-08-20	4	9
1185	CRIMEFILE NO. 1	Dennis Wheatley and J. H. Links	1936	5	1936-10-12	6	5
1186	CRIMINAL	Karin Slaughter	2012	3	2012-07-22	15	4
1187	CRIMSON DEATH	Laurell K. Hamilton	2016	1	2016-10-30	4	9
1188	CRIMSON IS THE EASTERN SHORE	Don Tracy	1953	1	1953-05-03	16	16
1189	CRIMSON JOY	Robert B. Parker	1988	11	1988-06-05	15	6
119	A GOD IN RUINS	Leon Uris	1999	2	1999-06-13	15	14
1190	CRIMSON SHORE	Douglas Preston and Lincoln Child	2015	2	2015-11-29	5	6
1191	CRIPPLED SPLENDOUR	Evan John	1938	2	1938-10-03	7	6
1192	CRISIS	Robin Cook	2006	4	2006-08-27	5	3
1193	CRISS CROSS	James Patterson	2019	8	2019-12-15	6	3
1194	CRITICAL	Robin Cook	2007	2	2007-08-26	11	11
1195	CROOKED RIVER	Douglas Preston and Lincoln Child	2020	4	2020-02-23	12	3
1196	CROSS	James Patterson	2006	15	2006-12-03	5	1
1197	CROSS BONES	Kathy Reichs	2005	3	2005-07-17	13	9
1198	CROSS COUNTRY	James Patterson	2008	11	2008-12-07	10	1
1199	CROSS FIRE	James Patterson	2010	10	2010-12-05	12	1
12	''N'' IS FOR NOOSE	Sue Grafton	1998	7	1998-05-10	5	1
120	A GOOD NEIGHBORHOOD	Therese Anne Fowler	2020	1	2020-03-29	12	5
1200	CROSS JUSTICE	James Patterson	2015	7	2015-12-13	1	1
1201	CROSS MY HEART	James Patterson	2013	9	2013-12-15	7	1
1202	CROSS ROADS	Wm. Paul Young	2012	11	2012-12-02	9	6
1203	CROSS THE LINE	James Patterson	2016	10	2016-12-11	10	1
1204	CROSSFIRE	Dick Francis and Felix Francis	2010	1	2010-09-05	8	11
1205	CROSSINGS	Danielle Steel	1982	24	1982-09-26	1	5
1206	CROSSROADS OF TWILIGHT	Robert Jordan	2003	12	2003-01-26	8	1
1207	CROW AND WEASEL	Barry Lopez. Illustrated by Tom Pohrt	1990	4	1990-11-18	13	12
1208	CROWN JEWEL	Fern Michaels	2004	1	2004-01-18	5	15
1209	CROWNED HEADS	Thomas Tryon	1976	14	1976-07-11	8	5
121	A GOOD WOMAN	Danielle Steel	2008	2	2008-11-16	12	5
1210	CRUCIBLE	James Rollins	2019	2	2019-02-10	16	2
1211	CRUEL & UNUSUAL	Patricia D. Cornwell	1993	12	1993-06-27	9	5
1212	CRUNCH TIME	Diane Mott Davidson	2011	1	2011-04-24	6	7
1213	CRUSADER'S CROSS	James Lee Burke	2005	2	2005-07-31	13	10
1214	CRY NO MORE	Linda Howard	2003	1	2003-11-23	2	9
1215	CRY, THE BELOVED COUNTRY	Alan Paton	1948	25	1948-02-29	5	11
1216	CRYPTONOMICON	Neal Stephenson	1999	3	1999-05-23	14	12
1217	CRYSTAL GARDENS	Amanda Quick	2012	1	2012-05-13	8	5
1218	CUBA	Stephen Coonts	1999	1	1999-08-29	14	13
1219	CUBA LIBRE	Elmore Leonard	1998	5	1998-02-08	14	8
122	A GOOD YARN	Debbie Macomber	2005	1	2005-05-15	2	14
1220	CUBA STRAITS	Randy Wayne White	2015	2	2015-04-12	10	8
1221	CUJO	Step hen King	1982	1	1982-01-24	4	8
1222	CUJO	Stephen King	1981	33	1981-08-16	6	1
1223	CURE	Robin Cook	2010	1	2010-08-29	12	14
1224	CURIOUS MINDS	Janet Evanovich and Phoef Sutton	2016	3	2016-09-04	11	3
1225	CURSE OF THE KINGS	Victoria Holt	1973	12	1973-08-19	9	7
1226	CURSED	Carol Higgins Clark	2009	2	2009-04-26	11	9
1227	CURTAIN	Agatha Christie	1975	33	1975-10-05	10	1
1228	CUT AND THRUST	Stuart Woods	2014	2	2014-08-03	12	4
1229	CUTLASS EMPIRE	F. Van Wyck Mason	1949	22	1949-03-27	5	4
123	A GOOD YEAR	Peter Mayle	2004	3	2004-06-20	6	13
1230	CYCLOPS	Clive Cussler	1986	14	1986-01-26	11	4
1231	D. C. DEAD	Stuart Woods	2012	1	2012-01-15	11	16
1232	DADDY	Danielle Steel	1989	22	1989-11-19	1	1
1233	DADDY'S GIRLS	Danielle Steel	2020	4	2020-06-28	2	5
1234	DADDY'S GONE A HUNTING	Mary Higgins Clark	2013	6	2013-04-28	3	1
1235	DADDY'S LITTLE GIRL	Mary Higgins Clark	2002	9	2002-05-05	12	1
1236	DADDY’S GIRL	Lisa Scottoline	2007	3	2007-04-01	7	3
1237	DAISY JONES & THE SIX	Taylor Jenkins Reid	2019	9	2019-03-24	13	3
1238	DAISY KENYON	Elizabeth Janeway	1945	1	1945-11-25	16	16
1239	DAISY-HEAD MAYZIE	Dr. Seuss	1995	11	1995-02-19	1	5
124	A GREAT RECKONING	Louise Penny	2016	5	2016-09-18	9	1
1240	DAMAGE	John Lescroart	2011	2	2011-01-23	6	12
1241	DAMAGE	Josephine Hart	1991	11	1991-03-31	11	5
1242	DAMAGE CONTROL	J. A. Jance	2008	2	2008-08-10	10	8
1243	DAMAGED	Lisa Scottoline	2016	2	2016-09-04	14	6
1244	DAMASCUS COUNTDOWN	Joel C. Rosenberg	2013	4	2013-03-24	6	7
1245	DAMASCUS GATE	Robert Stone	1998	4	1998-05-17	15	13
1246	DAMIA	Anne McCaffrey	1992	1	1992-08-02	10	15
1247	DAMIA'S CHILDREN	Anne McCaffrey	1993	1	1993-02-21	6	14
1248	DAMNED	Chuck Palahniuk	2011	2	2011-11-06	2	6
1249	DANCE OF DEATH	Douglas Preston and Lincoln Child	2005	4	2005-07-03	9	5
125	A GREEN DESIRE	Anton Myrer	1982	15	1982-02-07	1	3
1250	DANCE OF THE BONES	J. A. Jance	2015	1	2015-09-27	11	15
1251	DANCE WITH THE DEVIL	Kirk Douglas	1990	1	1990-08-05	11	15
1252	DANGER SIGNAL	Phyllis Bottome	1939	3	1939-02-06	5	4
1253	DANGEROUS	Diana Palmer	2010	1	2010-06-13	13	13
1254	DANGEROUS GAMES	Danielle Steel	2017	4	2017-03-26	8	1
1255	DANGEROUS KISS	Jackie Collins	1999	4	1999-06-20	1	11
1256	DANGEROUS MINDS	Janet Evanovich	2017	3	2017-07-09	2	5
1257	DANGEROUS TO KNOW	Barbara Taylor Bradford	1995	6	1995-07-30	6	9
1258	DANIEL MARTIN	John Fowles	1977	27	1977-09-25	6	4
1259	DANSE MACABRE	Laurell K. Hamilton	2006	3	2006-07-23	5	4
126	A HAPPY DEATH	Albert Camus	1972	2	1972-07-09	10	9
1260	DARK AGE	Pierce Brown	2019	1	2019-08-18	2	5
1261	DARK ANGEL	Sally Beauman	1990	1	1990-08-19	11	15
1262	DARK ASSASSIN	Anne Perry	2006	1	2006-04-16	13	15
1263	DARK BLOOD	Christine Feehan	2014	1	2014-09-21	7	12
1264	DARK CAROUSEL	Christine Feehan	2016	1	2016-08-21	1	9
1265	DARK CELEBRATION	Christine Feehan	2006	4	2006-09-24	8	3
1266	DARK CURSE	Christine Feehan	2008	3	2008-09-21	9	1
1267	DARK FORCE RISING	Timothy Zahn	1992	15	1992-06-07	14	2
1268	DARK HARBOR	Stuart Woods	2006	5	2006-04-30	1	2
1269	DARK HORSE	Fletcher Knebel	1972	19	1972-07-16	10	3
127	A HEARTBEAT AWAY	Michael Palmer	2011	2	2011-03-06	5	10
1270	DARK HORSE	Tami Hoag	2002	5	2002-09-15	14	3
1271	DARK ILLUSION	Christine Feehan	2019	1	2019-09-22	6	11
1272	DARK IN DEATH	J.D. Robb	2018	4	2018-02-18	4	1
1273	DARK JUSTICE	Jack Higgins	2004	4	2004-09-12	15	8
1274	DARK LADY	Richard North Patterson	1999	5	1999-09-12	7	6
1275	DARK LEGACY	Christine Feehan	2017	1	2017-09-24	15	9
1276	DARK LORD: THE RISE OF DARTH VADER	James Luceno	2005	2	2005-12-11	9	11
1277	DARK LYCAN	Christine Feehan	2013	1	2013-09-22	12	6
1278	DARK MATTER	Blake Crouch	2016	4	2016-08-14	5	14
1279	DARK MIRROR	Diane Duane	1993	1	1993-11-28	9	14
128	A HERO OF FRANCE	Alan Furst	2016	1	2016-06-19	6	7
1280	DARK OF NIGHT	Suzanne Brockmann	2009	1	2009-02-15	1	6
1281	DARK OF THE MOON	John Sandford	2007	5	2007-10-21	5	3
1282	DARK PERIL	Christine Feehan	2010	2	2010-09-19	1	3
1283	DARK POSSESSION	Christine Feehan	2007	4	2007-09-16	4	3
1284	DARK PREDATOR	Christine Feehan	2011	2	2011-09-25	12	3
1285	DARK PROMISES	Christine Feehan	2016	1	2016-04-03	15	9
1286	DARK RIVERS OF THE HEART	Dean Koontz	1994	10	1994-11-27	9	7
1287	DARK ROSE	Maurice Walsh	1938	1	1938-03-28	8	8
1288	DARK SACRED NIGHT	Michael Connelly	2018	9	2018-11-18	11	3
1289	DARK SENTINEL	Christine Feehan	2018	1	2018-09-23	8	8
129	A HOLOGRAM FOR THE KING	Dave Eggers	2012	1	2012-07-08	10	16
1290	DARK SIDE OF THE MOON	Sherrilyn Kenyon	2006	2	2006-06-18	7	7
1291	DARK SLAYER	Christine Feehan	2009	3	2009-09-20	6	1
1292	DARK SONG	Christine Feehan	2020	1	2020-09-20	2	15
1293	DARK STORM	Christine Feehan	2012	1	2012-10-21	5	7
1294	DARK SUMMER	Iris Johansen	2008	2	2008-11-09	1	10
1295	DARK TORT	Diane Mott Davidson	2006	4	2006-04-30	3	4
1296	DARK TRIBUTE	Iris Johansen	2019	1	2019-04-14	8	15
1297	DARK WOLF	Christine Feehan	2014	1	2014-01-26	7	3
1298	DARKER AFTER MIDNIGHT	Lara Adrian	2012	1	2012-02-12	5	9
1299	DARKNESS	John Saul	1991	4	1991-07-21	15	11
13	10 LB. PENALTY	Dick Francis	1997	7	1997-10-12	4	5
130	A HOUSE DIVIDED	Pearl S. Buck	1935	8	1935-01-28	8	4
1300	DARKSABER	Kevin J. Anderson	1995	3	1995-10-22	9	12
1301	DARTH BANE: PATH OF DESTRUCTION	Drew Karpyshyn	2006	2	2006-10-15	1	11
1302	DARTH BANE: RULE OF TWO	Drew Karpyshyn	2008	2	2008-01-13	1	12
1303	DARTH MAUL: Shadow Hunter	Michael Reaves	2001	4	2001-02-18	15	9
1304	DARTH PLAGUEIS	James Luceno	2012	2	2012-01-29	16	4
1305	DASHING THROUGH THE SNOW	Debbie Macomber	2015	1	2015-10-25	12	15
1306	DASHING THROUGH THE SNOW	Mary Higgins Clark and Carol Higgins Clark	2008	2	2008-12-07	3	9
1307	DATING GAME	Danielle Steel	2003	6	2003-03-23	10	3
1308	DAUGHTER OF FORTUNE	Isabel Allende	1999	13	1999-11-07	1	4
1309	DAUGHTER OF SILENCE	Morris L. West	1961	21	1961-12-10	12	5
131	A HOUSEFUL OF LOVE	Marjorie Housepian	1957	4	1957-07-21	15	13
1310	DAVID THE KING	Gladys Schmitt	1946	18	1946-03-17	2	3
1311	DAWN AT LYONESSE	Mary Ellen Chase	1938	2	1938-03-21	7	7
1312	DAY OF CONFESSION	Allan Folsom	1998	3	1998-10-04	3	12
1313	DAY OF RECKONING	Jack Higgins	2000	5	2000-03-19	10	9
1314	DAY OF THE CHEETAH	Dale Brown	1989	9	1989-07-02	2	8
1315	DAY SHIFT	Charlaine Harris	2015	1	2015-05-24	3	15
1316	DAYBREAK	Belva Plain	1994	2	1994-05-08	11	15
1317	DAYLIGHT	David Baldacci	2020	1	2020-12-06	12	2
