year,contestant,country,p1,p2,p3,p4,p5,p6,total,individual_rank,award
1988,Sampanna Bhandari,Nepal,3,0,0,0,1,0,4,525,
1988,Muhammad Hasnat Farooq,Pakistan,4,0,0,0,0,0,4,525,
1988,Keagan Sachin Ragoobar,Trinidad and Tobago,1,0,0,3,0,0,4,525,
1988,Francisco González,Uruguay,2,0,0,2,0,0,4,525,
1988,Matias Nova,Chile,3,0,0,0,0,0,3,533,
1988,Wilhelm Gonce,Ecuador,0,0,0,3,0,0,3,533,
1988,Excell Kumah Awusi,Ghana,3,0,0,0,0,0,3,533,
1988,Hrafnkell Hvanndal Halldórsson,Iceland,2,1,0,0,0,0,3,533,
1988,Magnús Thor Holloway,Iceland,3,0,0,0,0,0,3,533,
1988,Mouhammad Abder-Raouf Kone,Ivory Coast,2,0,0,0,1,0,3,533,
1988,Gilbert Amani Ongoro,Kenya,3,0,0,0,0,0,3,533,
1988,Shpendi Deva,Kosovo,3,0,0,0,0,0,3,533,
1988,Vida Suselj,Luxembourg,3,0,0,0,0,0,3,533,
1988,Michèle Voncken,Luxembourg,3,0,0,0,0,0,3,533,
1988,Pyae Tshan Oo,Myanmar,3,0,0,0,0,0,3,533,
1988,Drone Chaudhary,Nepal,3,0,0,0,0,0,3,533,
1988,Saugat Dhakal,Nepal,3,0,0,0,0,0,3,533,
1988,Muhammad Daniyal,Pakistan,2,0,0,1,0,0,3,533,
1988,Arnold Bana,Rwanda,2,0,0,0,1,0,3,533,
1988,Mohamad Fajjal,Syria,1,2,0,0,0,0,3,533,
1988,Aws Dhahri,Tunisia,2,1,0,0,0,0,3,533,
1988,Asadbek Bobokulov,Uzbekistan,1,2,0,0,0,0,3,533,
1988,Lola Muriel Ruffolo,Argentina,1,0,0,0,1,0,2,551,
1988,Wilfrin Vizcaíno Peña,Dominican Republic,1,0,0,0,1,0,2,551,
1988,Maryorie Damaris Cabrera Silvas,El Salvador,1,0,0,1,0,0,2,551,
1988,Álfrún Haraldsdóttir,Iceland,1,0,0,1,0,0,2,551,
1988,Mohamed Habib Baba Traore,Ivory Coast,1,0,0,1,0,0,2,551,
1988,Kouame Christ Elfried Carlos Yao,Ivory Coast,2,0,0,0,0,0,2,551,
1988,Len Muriungi Mutuma,Kenya,1,0,0,0,1,0,2,551,
1988,Wai Chong Chan,Macau,2,0,0,0,0,0,2,551,
1988,Rabha Ayoub Sulaiman Al Kindi,Oman,1,0,0,0,1,0,2,551,
1988,Osmar Mathías Cabrera Jacquet,Paraguay,1,0,0,1,0,0,2,551,
