season_name,season,episode_number_overall,episode,title,episode_date,viewers,rating_18_49,share_18_49
Survivor: Samoa,19,282,9,Tastes Like Chicken,2009-11-12,12.94,4,11
Survivor: Samoa,19,283,10,The Day of Reckoning,2009-11-19,12.33,3.8,11
Survivor: Samoa,19,284,11,The First 27 Days,2009-11-26,9.94,3.1,NA
Survivor: Samoa,19,285,12,Off With Their Heads!,2009-12-03,12.82,3.9,11
Survivor: Samoa,19,286,13,Damage Control,2009-12-10,13.25,4.2,12
Survivor: Samoa,19,287,14,Two Brains Are Better Than One,2009-12-17,12.46,3.9,12
Survivor: Samoa,19,288,15,This Game Ain't Over,2009-12-20,13.97,4.4,11
Survivor: Samoa,19,289,16,Reunion,2009-12-20,11.68,3.8,10
Survivor: Tocantins,18,259,1,Let's Get Rid of the Weak Players Before We Even Start,2009-02-12,13.63,4.5,13
Survivor: Tocantins,18,260,2,The Poison Apple Needs to Go,2009-02-19,13.59,4.5,12
Survivor: Tocantins,18,261,3,Mama Said There'd Be Days Like This,2009-02-26,12.05,4,11
Survivor: Tocantins,18,262,4,The Strongest Man Alive,2009-03-05,11.85,3.9,10
Survivor: Tocantins,18,263,5,You're Going to Want that Tooth,2009-03-12,12.82,4.1,12
Survivor: Tocantins,18,264,6,The First Fifteen Days,2009-03-25,8.15,2.3,6
Survivor: Tocantins,18,265,7,One of Those 'Coach Moments',2009-04-02,11.27,3.6,11
Survivor: Tocantins,18,266,8,The Dragon Slayer,2009-04-09,11.24,3.5,11
Survivor: Tocantins,18,267,9,The Biggest Fraud in the Game,2009-04-16,11.64,3.5,11
Survivor: Tocantins,18,268,10,It's Funny When People Cry,2009-04-23,11.3,3.2,11
Survivor: Tocantins,18,269,11,They Both Went Bananas,2009-04-30,11.73,3.6,11
Survivor: Tocantins,18,270,12,The Ultimate Sacrifice,2009-05-07,11.99,3.8,12
Survivor: Tocantins,18,271,13,The Martyr Approach,2009-05-14,12.18,3.8,11
Survivor: Tocantins,18,272,14,I Trust You But I Trust Me More,2009-05-17,12.94,4.2,NA
Survivor: Tocantins,18,273,15,Reunion,2009-05-17,11.59,4.1,NA
Survivor: Gabon,17,245,1,Want to See the Elephant Dung?,2008-09-25,13.06,4.4,11
Survivor: Gabon,17,246,2,She Obviously is Post-Op!,2008-10-02,13.08,4.3,12
Survivor: Gabon,17,247,3,It Was Like Christmas Morning!,2008-10-09,13.28,4.3,12
Survivor: Gabon,17,248,4,This Camp is Cursed,2008-10-16,12.81,4.2,12
Survivor: Gabon,17,249,5,"He's a Snake, But He's My Snake",2008-10-23,13.31,4.4,12
Survivor: Gabon,17,250,6,It All Depends on the Pin-Up Girl,2008-10-30,13.02,4.1,12
Survivor: Gabon,17,251,7,Apple in the Garden of Eden,2008-11-06,12.01,3.8,10
Survivor: Gabon,17,252,8,The Brains Behind Everything,2008-11-13,12.89,4.1,11
Survivor: Gabon,17,253,9,Nothing Tastes Better Than Five Hundred Dollars,2008-11-20,12.5,4,11
Survivor: Gabon,17,254,10,I Was Put on the Planet For This Show,2008-11-27,8.31,2.3,7
Survivor: Gabon,17,255,11,The Good Things in Life Aren’t Easy,2008-12-04,12.73,4,11
Survivor: Gabon,17,256,12,The Good Guys Should Win in the End,2008-12-11,13.05,4.1,11
Survivor: Gabon,17,257,13,Say Goodbye to Gabon,2008-12-14,13.77,NA,NA
Survivor: Gabon,17,258,14,Reunion,2008-12-14,11.74,NA,NA
Survivor: Micronesia,16,230,1,You Guys Are Dumber Than You Look,2008-02-07,14.02,4.8,13
Survivor: Micronesia,16,231,2,The Sounds of Jungle Love,2008-02-14,13.12,4.5,13
Survivor: Micronesia,16,232,3,I Should Be Carried on the Chariot-Type Thing!,2008-02-21,12.55,4,10
Survivor: Micronesia,16,233,4,"That's Baked, Barbecued and Fried!",2008-02-28,12.47,4.2,11
Survivor: Micronesia,16,234,5,He's a Ball of Goo!,2008-03-06,12.06,4,10
Survivor: Micronesia,16,235,6,It Hit Everyone Pretty Hard,2008-03-13,13.06,4.2,13
Survivor: Micronesia,16,236,7,Like a Wide-Eyed Kid in the Candy Store,2008-03-19,11.34,3.7,10
Survivor: Micronesia,16,237,8,A Lost Puppy Dog,2008-04-03,12.84,3.8,9
Survivor: Micronesia,16,238,9,I'm in Such a Hot Pickle!,2008-04-10,11.68,3.8,11
Survivor: Micronesia,16,239,10,I Promise...,2008-04-17,12.09,3.8,12
Survivor: Micronesia,16,240,11,I'm Ruthless... and Have a Smile on My Face,2008-04-24,12.98,4.2,13
Survivor: Micronesia,16,241,12,I'm Gonna Fix Her!,2008-05-01,12.53,4,12
Survivor: Micronesia,16,242,13,"If It Smells Like a Rat, Give It Cheese",2008-05-08,11.98,4.1,12
Survivor: Micronesia,16,243,14,Stir the Pot!,2008-05-11,12.92,4.4,12
Survivor: Micronesia,16,244,15,The Reunion,2008-05-11,10.84,3.9,10
Survivor: China,15,215,1,A Chicken's a Little Bit Smarter,2007-09-20,15.35,9,15
Survivor: China,15,216,2,My Mom Is Going to Kill Me!,2007-09-27,14.15,8.3,14
Survivor: China,15,217,3,I Lost Two Hands and Possibly a Shoulder,2007-10-04,14.14,8.5,14
Survivor: China,15,218,4,Ride the Workhorse Till the Tail Falls Off,2007-10-11,14.22,8.6,14
Survivor: China,15,219,5,Love Is In the Air,2007-10-18,14.03,8.5,13
Survivor: China,15,220,6,"That's Love, Baby! It Makes You Strong!",2007-10-25,14.19,8.5,14
Survivor: China,15,221,7,I'm Not As Dumb As I Look,2007-11-01,14.44,8.5,14
Survivor: China,15,222,8,High School Friend Contest,2007-11-08,14.86,8.7,14
Survivor: China,15,223,9,Just Don't Eat the Apple,2007-11-15,14.68,8.9,14
Survivor: China,15,224,10,It’s Been Real and It's Been Fun,2007-11-22,NA,NA,NA
Survivor: China,15,225,11,Ready to Bite the Apple,2007-11-29,13.57,8.3,13
Survivor: China,15,226,12,Going for the Oscar,2007-12-06,14.05,8.2,13
Survivor: China,15,227,13,"Hello, I'm Still a Person",2007-12-13,13.86,8.7,14
Survivor: China,15,228,14,A Slippery Little Sucker,2007-12-16,15.18,8.5,13
Survivor: China,15,229,15,Reunion,2007-12-16,NA,NA,NA
Survivor: Fiji,14,200,1,Something Cruel Is About to Happen...Real Soon,2007-02-08,16.44,5.7,15
Survivor: Fiji,14,201,2,Snakes Are Misunderstood...We Have an Understanding Now,2007-02-15,16.08,5.6,15
Survivor: Fiji,14,202,3,This Is Not Survival...It's Thrival,2007-02-22,13.47,4.6,12
Survivor: Fiji,14,203,4,Let's Just Call Jeff on the Jeff Phone,2007-03-01,14.67,5,13
Survivor: Fiji,14,204,5,"Love Many, Trust Few, Do Wrong to None",2007-03-08,13.81,4.6,12
Survivor: Fiji,14,205,6,I've Got Strength Now to Carry the Flag,2007-03-21,12.78,4.2,12
Survivor: Fiji,14,206,7,An Evil Thought,2007-03-29,13.71,4.5,14
Survivor: Fiji,14,207,8,So You Think You Can Meke?,2007-04-05,13.58,4.3,13
Survivor: Fiji,14,208,9,Are We Gonna Live on Exile Island?!,2007-04-12,14.25,4.5,13
Survivor: Fiji,14,209,10,It's a Turtle?!,2007-04-19,13.33,4.5,13
Survivor: Fiji,14,210,11,Blackmail or Betrayal,2007-04-26,13.83,4.6,14
Survivor: Fiji,14,211,12,"A Smile, Velvet Gloves and a Dagger in My Pocket",2007-05-03,13.74,4.6,14
Survivor: Fiji,14,212,13,I Wanna See If I Can Make a Deal,2007-05-10,13.77,4.4,14
Survivor: Fiji,14,213,14,You've Got That Puzzled Look,2007-05-13,13.63,4.6,13
Survivor: Fiji,14,214,15,Reunion,2007-05-13,NA,NA,NA
Survivor: Cook Islands,13,184,1,I Can Forgive Her But I Don't Have To Because She Screwed With My Chickens,2006-09-14,18,6.5,20
Survivor: Cook Islands,13,185,2,Dire Strengths and Dead Weight,2006-09-21,17.43,6.5,18
Survivor: Cook Islands,13,186,3,Flirting and Frustration,2006-09-28,16.85,5.9,16
Survivor: Cook Islands,13,187,4,Ruling the Roost,2006-10-05,15.83,5.6,16
Survivor: Cook Islands,13,188,5,Don't Cry Over Spilled Octopus,2006-10-12,15.84,5.5,15
Survivor: Cook Islands,13,189,6,Plan Voodoo,2006-10-19,15.02,5.3,14
Survivor: Cook Islands,13,190,7,A Closer Look,2006-10-26,15.3,5.4,14
Survivor: Cook Islands,13,191,8,Why Aren't You Swimming?!,2006-11-02,15.3,5.4,14
Survivor: Cook Islands,13,192,9,Mutiny,2006-11-09,14.39,4.8,13
Survivor: Cook Islands,13,193,10,People That You Like Want To See You Suffer,2006-11-16,15.35,5.3,14
Survivor: Cook Islands,13,194,11,Why Would You Trust Me?,2006-11-23,12.67,4.3,13
Survivor: Cook Islands,13,195,12,You're a Rat...,2006-11-30,15.63,5.4,14
Survivor: Cook Islands,13,196,13,Arranging a Hit,2006-12-07,15.72,5.3,15
Survivor: Cook Islands,13,197,14,I Have the Advantage...For Once,2006-12-14,14.55,5,14
Survivor: Cook Islands,13,198,15,"This Tribe Will Self-Destruct in 5, 4, 3...",2006-12-17,16.42,5.7,14
Survivor: Cook Islands,13,199,16,Reunion,2006-12-17,NA,NA,NA
Survivor: Panama,12,168,1,The First Exile,2006-02-02,19.2,7,18
Survivor: Panama,12,169,2,Breakdown,2006-02-09,18.75,6.6,17
Survivor: Panama,12,170,3,"Crazy Fights, Snake Dinners",2006-02-16,16.98,6.3,16
Survivor: Panama,12,171,4,Starvation and Lunacy,2006-02-23,14.85,5.5,14
Survivor: Panama,12,172,5,For Cod's Sake,2006-03-02,16.08,5.5,14
Survivor: Panama,12,173,6,Salvation and Desertion,2006-03-09,15.33,5.4,14
Survivor: Panama,12,174,7,A Closer Look,2006-03-15,NA,NA,NA
Survivor: Panama,12,175,8,An Emerging Plan,2006-03-30,16.25,5.8,17
Survivor: Panama,12,176,9,The Power of the Idol,2006-04-06,16.36,5.6,17
Survivor: Panama,12,177,10,Fight for Your Life or Eat,2006-04-13,15.07,5.2,17
Survivor: Panama,12,178,11,Medical Emergency,2006-04-20,16.26,5.5,18
Survivor: Panama,12,179,12,Perilous Scramble,2006-04-27,17.09,5.9,18
Survivor: Panama,12,180,13,Bamboozled,2006-05-04,17.04,5.9,18
Survivor: Panama,12,181,14,Call the Whambulence!,2006-05-11,17.2,5.8,18
Survivor: Panama,12,182,15,The Final Showdown,2006-05-14,17.07,6.2,15
Survivor: Panama,12,183,16,Reunion,2006-05-14,NA,NA,NA
Survivor: Guatemala,11,153,1,"Big Trek, Big Trouble, Big Surprise",2005-09-15,18.41,6.6,19
Survivor: Guatemala,11,154,2,Man Down,2005-09-22,16.98,6.1,17
Survivor: Guatemala,11,155,3,"The Brave May Not Live Long, but the Cautious Don't Live at All",2005-09-29,17.29,5.7,16
Survivor: Guatemala,11,156,4,"To Betray, or Not to Betray",2005-10-06,17.92,6.3,17
Survivor: Guatemala,11,157,5,"Crocs, Cowboys and City Slickers",2005-10-13,17.85,6.5,18
Survivor: Guatemala,11,158,6,"Big Balls, Big Mouth, Big Trouble",2005-10-20,17.78,6.1,17
Survivor: Guatemala,11,159,7,Surprise Enemy Visit,2005-10-27,17.38,6.2,17
Survivor: Guatemala,11,160,8,The Hidden Immunity Idol,2005-11-03,18.28,6.6,17
Survivor: Guatemala,11,161,9,Secret and Lies and an Idol Surprise,2005-11-10,18.98,6.9,19
Survivor: Guatemala,11,162,10,Eating and Sleeping With the Enemy,2005-11-17,18.82,6.4,17
Survivor: Guatemala,11,163,11,Everything Is Personal,2005-11-24,19.54,6.6,20
Survivor: Guatemala,11,164,12,Price for Immunity,2005-12-01,19.82,7,21
Survivor: Guatemala,11,165,13,"Big Win, Big Decision, Big Mistake?",2005-12-08,20.21,7.1,19
Survivor: Guatemala,11,166,14,Thunder Storms & Sacrifice,2005-12-11,21.18,7.7,17
Survivor: Guatemala,11,167,15,The Reunion,2005-12-11,15.21,5.7,14
Survivor: Palau,10,138,1,This Has Never Happened Before!,2005-02-17,23.66,9.1,23
Survivor: Palau,10,139,2,"Love is in the Air, Rats Are Everywhere",2005-02-24,21.64,7.9,20
Survivor: Palau,10,140,3,Dangerous Creatures and Horrible Setbacks,2005-03-03,21.8,8.5,NA
Survivor: Palau,10,141,4,Sumo at Sea,2005-03-10,21.8,8.1,22
Survivor: Palau,10,142,5,The Best and Worst Reward Ever,2005-03-16,18.42,6.9,19
Survivor: Palau,10,143,6,Jellyfish 'N Chips,2005-03-23,19.15,7.3,19
Survivor: Palau,10,144,7,The Great White Shark Hunter,2005-03-31,20.89,7.7,21
Survivor: Palau,10,145,8,Neanderthal Man,2005-04-07,19.75,7,20
Survivor: Palau,10,146,9,I Will Not Give Up,2005-04-14,20,7.1,NA
Survivor: Palau,10,147,10,Exile Island,2005-04-21,18.66,6.4,NA
Survivor: Palau,10,148,11,I'll Show You How Threatening I Am,2005-04-28,NA,NA,NA
Survivor: Palau,10,149,12,We'll Make You Pay,2005-05-05,20.07,7.1,21
Survivor: Palau,10,150,13,It Could All Backfire,2005-05-12,19.3,6.9,NA
Survivor: Palau,10,151,14,The Ultimate Shock,2005-05-15,20.8,7.8,18
Survivor: Palau,10,152,15,Reunion,2005-05-15,21.7,8.3,18
Survivor: Vanuatu,9,123,1,They Came at Us With Spears,2004-09-16,20.06,7.8,22
Survivor: Vanuatu,9,124,2,"Burly Girls, Bowheads, Young Studs, and the Old Bunch",2004-09-23,19.14,7.5,22
Survivor: Vanuatu,9,125,3,"Double Tribal, Double Trouble",2004-09-30,19.91,7.5,21
Survivor: Vanuatu,9,126,4,Now That's a Reward!,2004-10-07,19.46,7.3,21
Survivor: Vanuatu,9,127,5,Earthquakes and Shake-Ups!,2004-10-14,19.16,7,19
Survivor: Vanuatu,9,128,6,Hog Tied,2004-10-21,19.22,7.3,20
Survivor: Vanuatu,9,129,7,"Anger, Threats, Tears...and Coffee",2004-10-28,20.24,7.6,20
Survivor: Vanuatu,9,130,8,Now the Battle Really Begins,2004-11-04,20.7,7.8,NA
Survivor: Vanuatu,9,131,9,Gender Wars...It's Getting Ugly,2004-11-11,20.14,7.4,NA
Survivor: Vanuatu,9,132,10,Culture Shock and Violent Storms,2004-11-18,20.7,7.7,NA
Survivor: Vanuatu,9,133,11,Surprise and...Surprise Again!,2004-11-25,NA,NA,NA
Survivor: Vanuatu,9,134,12,Now Who's in Charge Here?!,2004-12-02,19.72,7.3,NA
Survivor: Vanuatu,9,135,13,Eruption of Volcanic Magnitude,2004-12-09,20.3,7.6,NA
Survivor: Vanuatu,9,136,14,Spirits and the Final Four,2004-12-12,19.72,7.5,16
Survivor: Vanuatu,9,137,15,Reunion,2004-12-12,NA,NA,NA
Survivor: All-Stars,8,106,1,They're Back!,2004-02-01,33.27,4.9,37
Survivor: All-Stars,8,107,2,"Panicked, Desperate, Thirsty as Hell",2004-02-05,23.07,8.9,22
Survivor: All-Stars,8,108,3,Shark Attack,2004-02-12,22.35,8,20
Survivor: All-Stars,8,109,4,Wipe Out!,2004-02-19,22.8,8.7,22
Survivor: All-Stars,8,110,5,I've Been Bamboozled!,2004-02-26,22.19,8.6,23
Survivor: All-Stars,8,111,6,Outraged,2004-03-04,23.22,8.7,23
Survivor: All-Stars,8,112,7,Sorry...I Blew It,2004-03-11,22.63,8.7,23
Survivor: All-Stars,8,113,8,Pick A Tribemate,2004-03-17,21.89,8.5,22
Survivor: All-Stars,8,114,9,A Closer Look (All Star Redux),2004-03-24,NA,NA,NA
Survivor: All-Stars,8,115,10,Mad Scramble and Broken Hearts,2004-04-01,21.69,8.3,23
Survivor: All-Stars,8,116,11,"Anger, Tears and Chaos",2004-04-08,20.76,7.9,24
Survivor: All-Stars,8,117,12,A Thoughtful Gesture or a Deceptive Plan,2004-04-15,20.78,7.5,21
Survivor: All-Stars,8,118,13,"Stupid People, Stupid, Stupid People",2004-04-22,20.99,7.6,22
Survivor: All-Stars,8,119,14,A Chapera Surprise,2004-04-29,20.78,7.5,21
Survivor: All-Stars,8,120,15,The Instigator,2004-05-06,19.21,7.2,20
Survivor: All-Stars,8,121,16,The Sole Surviving All-Star,2004-05-09,24.76,0,25
Survivor: All-Stars,8,122,17,Reunion,2004-05-09,28.36,2.8,29
Survivor: Pearl Islands,7,91,1,"Beg, Barter, Steal",2003-09-18,21.5,8.4,23
Survivor: Pearl Islands,7,92,2,To Quit or Not to Quit,2003-09-25,19.86,7.5,21
Survivor: Pearl Islands,7,93,3,"United We Stand, Divided We...?",2003-10-02,19.68,7.5,21
Survivor: Pearl Islands,7,94,4,Pick a Castaway...Any Castaway,2003-10-09,19.4,7.4,20
Survivor: Pearl Islands,7,95,5,Everyone's Hero,2003-10-16,19.35,7.4,20
Survivor: Pearl Islands,7,96,6,Me and My Snake,2003-10-23,20.19,7.5,20
Survivor: Pearl Islands,7,97,7,"What the...?, Part 1",2003-10-30,20.7,7.7,21
Survivor: Pearl Islands,7,98,8,"What the...?, Part 2",2003-11-06,21.3,7.7,21
Survivor: Pearl Islands,7,99,9,Shocking! Simply Shocking!,2003-11-13,22.1,8.3,22
Survivor: Pearl Islands,7,100,10,Swimming With Sharks,2003-11-20,19.9,7,20
Survivor: Pearl Islands,7,101,11,The Great Lie,2003-11-26,20.06,7.2,22
Survivor: Pearl Islands,7,102,12,Would You Be My Brutus Today?,2003-12-04,22,8,23
Survivor: Pearl Islands,7,103,13,Mutiny,2003-12-11,22.41,8.3,22
Survivor: Pearl Islands,7,104,14,Flames and Endurance,2003-12-14,25.23,9.7,22
Survivor: Pearl Islands,7,105,15,Reunion,2003-12-14,26.19,0.3,25
Survivor: The Amazon,6,76,1,Boys vs. Girls,2003-02-13,23.26,9.1,24
Survivor: The Amazon,6,77,2,Storms,2003-02-20,20.34,7.7,19
Survivor: The Amazon,6,78,3,Girl Power,2003-02-27,NA,8.4,22
Survivor: The Amazon,6,79,4,Trapped,2003-03-06,23.33,9.3,23
Survivor: The Amazon,6,80,5,Pick-up Sticks,2003-03-13,NA,NA,NA
Survivor: The Amazon,6,81,6,More Than Meats the Eye,2003-03-19,NA,NA,NA
Survivor: The Amazon,6,82,7,Girls Gone Wilder,2003-03-26,16.67,6.3,16
Survivor: The Amazon,6,83,8,Sleeping With the Enemy,2003-04-03,18.4,7.4,NA
Survivor: The Amazon,6,84,9,The Chain,2003-04-10,NA,NA,NA
Survivor: The Amazon,6,85,10,Amazon Redux,2003-04-17,NA,NA,NA
Survivor: The Amazon,6,86,11,Q and A,2003-04-24,18,6.4,NA
Survivor: The Amazon,6,87,12,Sour Grapes,2003-05-01,17.65,NA,NA
Survivor: The Amazon,6,88,13,The Amazon Heats Up,2003-05-08,19.1,7,NA
Survivor: The Amazon,6,89,14,...And Then There Were Four,2003-05-11,22.29,8.9,22
Survivor: The Amazon,6,90,15,The Reunion,2003-05-11,22.29,8.9,22
Survivor: Thailand,5,61,1,The Importance of Being Eldest,2002-09-19,23.05,9.6,28
Survivor: Thailand,5,62,2,The Great Divide,2002-09-26,21.72,8.6,21
Survivor: Thailand,5,63,3,Family Values,2002-10-03,20.6,8.5,21
Survivor: Thailand,5,64,4,Gender Bender,2002-10-10,21.16,8.6,22
Survivor: Thailand,5,65,5,The Ocean's Surprise,2002-10-17,NA,8.3,23
Survivor: Thailand,5,66,6,The Power of One,2002-10-24,20.8,8.4,22
Survivor: Thailand,5,67,7,Assumptions,2002-10-31,NA,7.5,NA
Survivor: Thailand,5,68,8,Sleeping with the Enemy,2002-11-07,NA,NA,NA
Survivor: Thailand,5,69,9,Desperate Measures,2002-11-14,21.62,8.6,22
Survivor: Thailand,5,70,10,While the Cats are Away,2002-11-21,NA,NA,NA
Survivor: Thailand,5,71,11,The First 30 Days,2002-11-27,NA,NA,NA
Survivor: Thailand,5,72,12,A Big Surprise... and Another,2002-12-05,21.5,8.6,NA
Survivor: Thailand,5,73,13,The Tides are Turning,2002-12-12,19,7.4,NA
Survivor: Thailand,5,74,14,Slip Through Your Fingers,2002-12-19,24.08,9.9,26
Survivor: Thailand,5,75,15,The Reunion,2002-12-19,NA,NA,NA
Survivor: Marquesas,4,46,1,Back to the Beach,2002-02-28,23.19,9.1,22
Survivor: Marquesas,4,47,2,Nacho Momma,2002-03-07,23.4,9.4,23
Survivor: Marquesas,4,48,3,"No Pain, No Gain",2002-03-13,20.46,8.9,24
Survivor: Marquesas,4,49,4,The Winds Twist,2002-03-20,22.81,9.5,26
Survivor: Marquesas,4,50,5,The End of Innocence,2002-03-28,20.54,8.2,22
Survivor: Marquesas,4,51,6,The Underdogs,2002-04-04,22.17,9.1,24
Survivor: Marquesas,4,52,7,True Lies,2002-04-11,19.34,7.7,22
Survivor: Marquesas,4,53,8,Jury's Out,2002-04-18,19.88,8,23
Survivor: Marquesas,4,54,9,Look Closer: The First 24 Days,2002-04-24,12.5,NA,NA
Survivor: Marquesas,4,55,10,Two Peas in a Pod,2002-04-25,19.42,7.8,20
Survivor: Marquesas,4,56,11,The Princess,2002-05-02,19.6,7.8,21
Survivor: Marquesas,4,57,12,Marquesan Vacation,2002-05-09,20.83,8.1,22
Survivor: Marquesas,4,58,13,A Tale of Two Cities,2002-05-16,19.15,7.5,20
Survivor: Marquesas,4,59,14,The Sole Survivor,2002-05-19,25.87,0.4,23
Survivor: Marquesas,4,60,15,The Reunion,2002-05-19,17.89,8,19
Survivor: Africa,3,31,1,Question of Trust,2001-10-11,23.84,0.4,20
Survivor: Africa,3,32,2,Who's Zooming Whom?,2001-10-18,19.59,7.9,20
Survivor: Africa,3,33,3,The Gods Are Angry,2001-10-25,20.43,8,20
Survivor: Africa,3,34,4,The Young and Untrusted,2001-11-01,18.73,7.8,18
Survivor: Africa,3,35,5,The Twist,2001-11-08,20.55,8.3,20
Survivor: Africa,3,36,6,I'd Never Do It To You,2001-11-15,19.71,8.1,21
Survivor: Africa,3,37,7,Will There Be a Feast Tonight?,2001-11-22,17.7,6.6,18
Survivor: Africa,3,38,8,The First 21 Days,2001-11-29,17.8,NA,NA
Survivor: Africa,3,39,9,Smoking Out the Snake,2001-12-06,19.28,7.9,21
Survivor: Africa,3,40,10,"Dinner, Movie and a Betrayal",2001-12-13,18.39,7.3,20
Survivor: Africa,3,41,11,We Are Family,2001-12-20,19.6,7.7,22
Survivor: Africa,3,42,12,The Big Adventure,2001-12-27,18.92,7.5,20
Survivor: Africa,3,43,13,Truth Be Told,2002-01-03,21.31,8.7,20
Survivor: Africa,3,44,14,The Final Four: No Regrets,2002-01-10,27.26,1.3,25
Survivor: Africa,3,45,15,The Reunion,2002-01-10,19.05,8.7,20
Survivor: The Australian Outback,2,15,1,Stranded,2001-01-28,45.37,1.8,48
Survivor: The Australian Outback,2,16,2,Suspicion,2001-02-01,29.04,1.9,28
Survivor: The Australian Outback,2,17,3,Trust No One,2001-02-08,29.04,2.2,28
Survivor: The Australian Outback,2,18,4,The Killing Fields,2001-02-15,28.23,1.7,29
Survivor: The Australian Outback,2,19,5,The Gloves Come Off,2001-02-22,28.78,1.9,28
Survivor: The Australian Outback,2,20,6,Trial By Fire,2001-03-01,31.32,3.7,34
Survivor: The Australian Outback,2,21,7,The Merge,2001-03-08,28.72,2.1,31
Survivor: The Australian Outback,2,22,8,Friends?,2001-03-14,28.46,2,33
Survivor: The Australian Outback,2,23,9,The First 24 Days,2001-03-21,NA,NA,NA
Survivor: The Australian Outback,2,24,10,Honeymoon or Not?,2001-03-29,28.12,1.8,29
Survivor: The Australian Outback,2,25,11,Let's Make a Deal,2001-04-05,27.71,1.7,32
Survivor: The Australian Outback,2,26,12,No Longer Just a Game,2001-04-12,27.55,1.7,34
Survivor: The Australian Outback,2,27,13,Enough is Enough,2001-04-19,28.41,1.7,32
Survivor: The Australian Outback,2,28,14,The Final Four,2001-04-26,26.89,1.2,31
Survivor: The Australian Outback,2,29,15,The Most Deserving,2001-05-03,36.35,5.9,39
Survivor: The Australian Outback,2,30,16,The Reunion,2001-05-03,41.26,8.5,41
Survivor: Borneo,1,1,1,The Marooning,2000-05-31,15.51,6.1,20
Survivor: Borneo,1,2,2,The Generation Gap,2000-06-07,18.1,7.5,25
Survivor: Borneo,1,3,3,Quest for Food,2000-06-14,23.25,9.4,29
Survivor: Borneo,1,4,4,"Too Little, Too Late?",2000-06-21,24.2,9.8,33
Survivor: Borneo,1,5,5,Pulling Your Own Weight,2000-06-28,23.98,9.6,31
Survivor: Borneo,1,6,6,Udder Revenge,2000-07-05,24.5,0.6,33
Survivor: Borneo,1,7,7,The Merger,2000-07-12,24.5,0.4,34
Survivor: Borneo,1,8,8,Thy Name is Duplicity,2000-07-19,26.15,1.4,35
Survivor: Borneo,1,9,9,Old and New Bonds,2000-07-26,27.18,1.9,36
Survivor: Borneo,1,10,10,Crack in the Alliance,2000-08-02,27.41,1.9,38
Survivor: Borneo,1,11,11,Long Hard Days,2000-08-09,28,2.1,38
Survivor: Borneo,1,12,12,Death of an Alliance,2000-08-16,28.67,2.7,38
Survivor: Borneo,1,13,13,The Final Four,2000-08-23,51.69,2.8,54
Survivor: Borneo,1,14,14,Reunion,2000-08-23,38.77,2.5,36
